,premise,hypothesis,label
0,"Pa, nisam ni razmišljao o tome, ali sam bio toliko frustriran, i, završio sam razgovarajući sa njim opet.",Nisam ponovo razgovarala sa njim.,2
1,"Pa, nisam ni razmišljao o tome, ali sam bio toliko frustriran, i, završio sam razgovarajući sa njim opet.",Bila sam toliko uznemirena da sam opet počela da pričam sa njim.,0
2,"Pa, nisam ni razmišljao o tome, ali sam bio toliko frustriran, i, završio sam razgovarajući sa njim opet.",Imali smo sjajan razgovor.,1
3,"I mislio sam da je to privilegija, i još uvijek je, još uvijek je, bio sam jedini devet dva dva Ex-O što je moje AFFC Air Force karijera polje.",Nisam bio svjestan da nisam bio jedini na terenu tog dana.,1
4,"I mislio sam da je to privilegija, i još uvijek je, još uvijek je, bio sam jedini devet dva dva Ex-O što je moje AFFC Air Force karijera polje.",Imao sam utisak da sam jedini sa tim brojem na terenu vazduhoplovnih karijera.,0
5,"I mislio sam da je to privilegija, i još uvijek je, još uvijek je, bio sam jedini devet dva dva Ex-O što je moje AFFC Air Force karijera polje.","Svi smo dobili isti broj bez obzira na to koje su privilegije bile obećane, sve je bila laž.",2
6,Rekli su mi da će me na kraju pozvati neko da se sretnem.,Nikad mi nije rečeno ništa o susretu sa bilo kim.,2
7,Rekli su mi da će me na kraju pozvati neko da se sretnem.,Rečeno mi je da će me pozvati na sastanak.,0
8,Rekli su mi da će me na kraju pozvati neko da se sretnem.,Tip se pojavio malo kasno.,1
9,Ima toliko toga o cemu bi mogao da pricaš da cu to preskociti.,Želim da ti kažem sve što znam o tome!,2
10,Ima toliko toga o cemu bi mogao da pricaš da cu to preskociti.,"Neću da pričam o tome, iako ima dosta toga da se pokrije.",0
11,Ima toliko toga o cemu bi mogao da pricaš da cu to preskociti.,Neću da pričam o istoriji grada jer ima previše toga da se kaže.,1
12,"To je bila glavna stvar koju smo htjeli spasiti jer nije bilo načina da se baciti 20-megatonska H-bomba sa 30, C124.",Nije nas bilo briga da spasimo bilo šta.,2
13,"To je bila glavna stvar koju smo htjeli spasiti jer nije bilo načina da se baciti 20-megatonska H-bomba sa 30, C124.",Želeli smo da spasimo jednu stvar više od ostalih.,0
14,"To je bila glavna stvar koju smo htjeli spasiti jer nije bilo načina da se baciti 20-megatonska H-bomba sa 30, C124.",Hteli smo da spasimo hidrogensku bombu jer je bilo tako teško da se nosimo sa njom.,1
15,Tako da nisam siguran zašto.,Ja sam siguran u razlog zašto.,2
16,Tako da nisam siguran zašto.,Ne znam zašto je prebacio škole.,1
17,Tako da nisam siguran zašto.,Ne znam zašto se to desilo.,0
18,"Ovo je Fani Flono, i ona je odrasla u Augusti, u Džordžiji, i ona će pričati o nekim pričama iz svog djetinjstva.",Fani Flono je morala da odloži sastanak i danas nam ne može da ispriča bilo kakve priče.,2
19,"Ovo je Fani Flono, i ona je odrasla u Augusti, u Džordžiji, i ona će pričati o nekim pričama iz svog djetinjstva.","Fani Flono je ovdje i ona će nam pričati o svojim pričama iz detinjstva odrastanja u Augusti, GA.",0
20,"Ovo je Fani Flono, i ona je odrasla u Augusti, u Džordžiji, i ona će pričati o nekim pričama iz svog djetinjstva.",Fani Flono je danas mogla da razgovara sa nama uprkos svom napornom rasporedu.,1
21,I ja sam izbacio pet jedinica iz U2.,Ja sam se bavio sa U2.,0
22,I ja sam izbacio pet jedinica iz U2.,Nisam imao posla sa U2's uopšte.,2
23,I ja sam izbacio pet jedinica iz U2.,Radio sam sa U2 svaki dan 40 godina.,1
24,"Ja sam jedini koji je, uh, ikada pokrenuo regulator za, test u minijaturnim kameri visine.",Nisam volio da sam jedini koji je pokrenuo regulator za testove.,1
25,"Ja sam jedini koji je, uh, ikada pokrenuo regulator za, test u minijaturnim kameri visine.",Testovi su urađeni u minijaturnim kamarima.,0
26,"Ja sam jedini koji je, uh, ikada pokrenuo regulator za, test u minijaturnim kameri visine.",Nekoliko nas je pokrenulo regulator za test.,2
27,"Ja sam glavni narednik, penzionisan, kao što je Rik rekao.",I dalje radim do danas.,2
28,"Ja sam glavni narednik, penzionisan, kao što je Rik rekao.",Penzionirao sam se 2002.,1
29,"Ja sam glavni narednik, penzionisan, kao što je Rik rekao.",Rick ti je rekao da sam u penziji.,0
30,"Na mom stolu su neke projekcije novčanog toka i, um, uh, to je za takvog i takvog Cuttyja, to je ime klijenta.",Klijent po imenu Cutty zarađuje 10000 $ mjesečno.,1
31,"Na mom stolu su neke projekcije novčanog toka i, um, uh, to je za takvog i takvog Cuttyja, to je ime klijenta.",Postoji klijent po imenu Cutty.,0
32,"Na mom stolu su neke projekcije novčanog toka i, um, uh, to je za takvog i takvog Cuttyja, to je ime klijenta.",Nemamo klijenta koji se zove Cutty.,2
33,Djevojka koja mi može pomoći je na drugom kraju grada.,Devojka od koje mi treba pomoć živi daleko.,0
34,Djevojka koja mi može pomoći je na drugom kraju grada.,Djevojka koja će mi pomoći je udaljena pet milja.,1
35,Djevojka koja mi može pomoći je na drugom kraju grada.,Niko mi ne može pomoći.,2
36,"Ali bili su podijeljeni oko toga ko su poljski radnici i ko su kućna djeca, bilo je nekako...",Svi su se složili da će raditi na polju.,2
37,"Ali bili su podijeljeni oko toga ko su poljski radnici i ko su kućna djeca, bilo je nekako...",Nisu se mogli složiti ko je poljski radnik a ko pripada kući.,0
38,"Ali bili su podijeljeni oko toga ko su poljski radnici i ko su kućna djeca, bilo je nekako...",Nisu se mogli složiti ko bi trebao raditi na polju pamuka i ko bi trebao čistiti podove.,1
39,"Danas će nam govoriti o Trećem SS-u, U2 Quick i Blackbird.",Odlučio je da više ne priča.,2
40,"Danas će nam govoriti o Trećem SS-u, U2 Quick i Blackbird.",Priča o tri različite podmornice.,1
41,"Danas će nam govoriti o Trećem SS-u, U2 Quick i Blackbird.",Govori o tri stvari.,0
42,"Imali su petoro dece, jedno je umrlo.",Sva njihova deca su preživela.,2
43,"Imali su petoro dece, jedno je umrlo.",Jedno od petoro dece je umrlo.,0
44,"Imali su petoro dece, jedno je umrlo.",Dete koje je umrlo je rođeno bolesno.,1
45,"I, naravno, Androv Gromikov nije ništa odgovorio, ali smo imali sve informacije iz filmova koje su U2 snimili.",U2 su uzeli dosta filma.,0
46,"I, naravno, Androv Gromikov nije ništa odgovorio, ali smo imali sve informacije iz filmova koje su U2 snimili.",U2 su uzeli tonu filma ispod vode.,1
47,"I, naravno, Androv Gromikov nije ništa odgovorio, ali smo imali sve informacije iz filmova koje su U2 snimili.","Nismo imali snimak, pa smo morali da nagađamo.",2
48,"Rekla je da su joj suze padale sa očiju i rekla je, onda je rekla da je Džo došao na trijemu.","Kada mu je rekla da izađe na trijem, imala je suze u očima.",0
49,"Rekla je da su joj suze padale sa očiju i rekla je, onda je rekla da je Džo došao na trijemu.",Brzo je obrisala suze nakon što je bacila Joea sa verande.,2
50,"Rekla je da su joj suze padale sa očiju i rekla je, onda je rekla da je Džo došao na trijemu.",Bila je toliko srećna što je videla Joa da je počela da plače.,1
51,"Čak i da je avion u plamenu, pa, on bi, uh, izgorio i rastopio bi se kroz olovni deo da bi radijacija procurila.",Radijacija se može zadržati i tokom požara.,1
52,"Čak i da je avion u plamenu, pa, on bi, uh, izgorio i rastopio bi se kroz olovni deo da bi radijacija procurila.",Radijacija bi procurila iz olovne komponente nakon što je avion izgorio.,0
53,"Čak i da je avion u plamenu, pa, on bi, uh, izgorio i rastopio bi se kroz olovni deo da bi radijacija procurila.",Radijacija ne bi procurila tokom požara.,2
54,"Ovo je glavni narednik Clem Francis, penzionisan iz američkih vazduhoplovnih snaga.",Šef je penzionisan iz vazduhoplovstva SAD.,0
55,"Ovo je glavni narednik Clem Francis, penzionisan iz američkih vazduhoplovnih snaga.",Šef je nedavno otišao u penziju.,1
56,"Ovo je glavni narednik Clem Francis, penzionisan iz američkih vazduhoplovnih snaga.",Šef vazduhoplovstva SAD je upravo počeo svoju karijeru ove nedelje.,2
57,"Pa, došlo je do toga da dva ili tri aviona stižu za nedelju dana, a ja nisam znao kuda lete.",Više od jednog aviona stiže svake sedmice.,0
58,"Pa, došlo je do toga da dva ili tri aviona stižu za nedelju dana, a ja nisam znao kuda lete.",Povećani saobraćaj aviona je problematičan.,1
59,"Pa, došlo je do toga da dva ili tri aviona stižu za nedelju dana, a ja nisam znao kuda lete.",Nikada ne stižu avioni.,2
60,Već su imali obuku u kompletnim odijelima pod pritiskom i trebalo mi je neko vrijeme ako ideš u kompletne odijela pod pritiskom.,Treba do tri mjeseca da se završi obuka u upotrebi kompletnog odijela pod pritiskom.,1
61,Već su imali obuku u kompletnim odijelima pod pritiskom i trebalo mi je neko vrijeme ako ideš u kompletne odijela pod pritiskom.,Treniranje za upotrebu kompletnog odijela za pritisak zahteva vreme.,0
62,Već su imali obuku u kompletnim odijelima pod pritiskom i trebalo mi je neko vrijeme ako ideš u kompletne odijela pod pritiskom.,Možemo vas obučiti da koristite kompletno odijelo do kraja dana.,2
63,"Želim reći da nije bilo nikakve opasnosti da se ide unutra sa bombom jer ona ne bi eksplodirala, bez obzira koliko je snažno pogodila zemlju.",Bomba je deaktivirana od strane pilota.,1
64,"Želim reći da nije bilo nikakve opasnosti da se ide unutra sa bombom jer ona ne bi eksplodirala, bez obzira koliko je snažno pogodila zemlju.",Bomba nije imala šanse da eksplodira.,0
65,"Želim reći da nije bilo nikakve opasnosti da se ide unutra sa bombom jer ona ne bi eksplodirala, bez obzira koliko je snažno pogodila zemlju.",Bila je velika opasnost da bomba eksplodira.,2
66,A šta ako izgleda kao da je to ono što pokušavam da uradim.,Nisam siguran kako ti ovo izgleda.,2
67,A šta ako izgleda kao da je to ono što pokušavam da uradim.,"Pokušavam da uradim ovo, očigledno.",0
68,A šta ako izgleda kao da je to ono što pokušavam da uradim.,Pokušavam da završim svoj projekat u narednoj sedmici.,1
69,"Ali, životinje su se stalno oslobađale, posebno koze.",Koze su svakog dana beže iz staje.,1
70,"Ali, životinje su se stalno oslobađale, posebno koze.",Koze su često beže.,0
71,"Ali, životinje su se stalno oslobađale, posebno koze.",Koze su držane na sigurnom.,2
72,Vrata su bila zaključana kada smo ušli.,Sva vrata su bila otvorena.,2
73,Vrata su bila zaključana kada smo ušli.,Ključevi su kod nas.,1
74,Vrata su bila zaključana kada smo ušli.,Ušli smo iako su vrata bila zaključana.,0
75,Morao sam da uzmem sve i da pokušam da shvatim ovako.,Uvjeren sam da su totali sve što mi treba da ovo shvatim.,1
76,Morao sam da uzmem sve i da pokušam da shvatim ovako.,Nemam pojma šta da radim sa samo ukupnim brojevima. Molim te da mi daš više detalja da shvatim ovaj nered.,2
77,Morao sam da uzmem sve i da pokušam da shvatim ovako.,Izračunaću je na osnovu ukupnih rezultata.,0
78,"Došao je, otvorio vrata i sjećam se da sam pogledao unazad i vidio izraz na njegovom licu, i mogao sam da vidim da je bio razočaran.",Bio je toliko uzbuđen i pun radosti da je praktično srušio vrata sa okvira.,2
79,"Došao je, otvorio vrata i sjećam se da sam pogledao unazad i vidio izraz na njegovom licu, i mogao sam da vidim da je bio razočaran.","Pokušavao je da nas ne čini da se osećamo krivim, ali smo znali da smo mu izazvali probleme.",1
80,"Došao je, otvorio vrata i sjećam se da sam pogledao unazad i vidio izraz na njegovom licu, i mogao sam da vidim da je bio razočaran.","Po izrazu na njegovom licu kad je ušao kroz vrata, znao sam da je razočaran.",0
81,"Dakle, nemam nikakve specifične priče.",Nemam određenu prodavnicu.,0
82,"Dakle, nemam nikakve specifične priče.",Imam jednu posebnu prodavnicu.,2
83,"Dakle, nemam nikakve specifične priče.",Ima dosta prodavnica.,1
84,"I to je bilo, on nikada nije morao da uradi bilo šta za sebe.",Ima dosta pomoći.,0
85,"I to je bilo, on nikada nije morao da uradi bilo šta za sebe.",Dobija pomoć sa hranom i odećom.,1
86,"I to je bilo, on nikada nije morao da uradi bilo šta za sebe.",Veoma je nezavisan.,2
87,"I ja sam kao, O moj Bože, i Ramona je stajala tamo.",Ramona je ležala na podu u fetalnom položaju.,2
88,"I ja sam kao, O moj Bože, i Ramona je stajala tamo.",Ramona me je tiho osuđivala.,1
89,"I ja sam kao, O moj Bože, i Ramona je stajala tamo.",Ramona je bila uspravna dok sam ja bio tamo u strahu.,0
90,A činjenica je da je bila laganija!,"Jeo je mnogo hrane, ali je i dalje održavao svoju težinu dolje.",1
91,A činjenica je da je bila laganija!,Nije mnogo teška.,0
92,A činjenica je da je bila laganija!,Bila je veoma srećna.,2
93,Ne znam da li je ostao u Augusti nakon toga.,Nastavio je da živi u Augusti i nakon napada.,1
94,Ne znam da li je ostao u Augusti nakon toga.,Nastavio je da živi u Augusti.,0
95,Ne znam da li je ostao u Augusti nakon toga.,Odmah se preselio iz Auguste.,2
96,"Sve što smo uradili, nisu nam rekli ni na koje mjesto su išli, čak ni kada su napustili bazu da bi otišli negdje drugdje da ostanu neko vrijeme.",Nikada nisam pitao gde su krenuli.,1
97,"Sve što smo uradili, nisu nam rekli ni na koje mjesto su išli, čak ni kada su napustili bazu da bi otišli negdje drugdje da ostanu neko vrijeme.",Uvijek su nam govorili gde su bili i gde idu.,2
98,"Sve što smo uradili, nisu nam rekli ni na koje mjesto su išli, čak ni kada su napustili bazu da bi otišli negdje drugdje da ostanu neko vrijeme.",Nikada nam nisu rekli gde idu.,0
99,"Rekli su, plaćamo mjesto za tebe da ostaneš.",Neće platiti ništa za nas.,2
100,"Rekli su, plaćamo mjesto za tebe da ostaneš.",Plaćaju stan za mene i moje braće.,1
101,"Rekli su, plaćamo mjesto za tebe da ostaneš.",Plaćaju stanovanje.,0
102,"Sledećeg dana, naravno, predsjednik Kennedy je blokirao Kubu, i naši brodovi su zaustavili ruski brod koji je krenuo izvan Kube, i našli su rakete na njima.",Kennedy je rekao našim trupama da traže rakete.,0
103,"Sledećeg dana, naravno, predsjednik Kennedy je blokirao Kubu, i naši brodovi su zaustavili ruski brod koji je krenuo izvan Kube, i našli su rakete na njima.",Nisu zaustavili nijedan brod jer nisu htjeli sukob.,2
104,"Sledećeg dana, naravno, predsjednik Kennedy je blokirao Kubu, i naši brodovi su zaustavili ruski brod koji je krenuo izvan Kube, i našli su rakete na njima.",Našli su 20 raketa na brodu.,1
105,"U svakom slučaju, čovek je ušao.",Čovek je ušao u sudnicu.,1
106,"U svakom slučaju, čovek je ušao.",Čovek je ušao u sobu.,0
107,"U svakom slučaju, čovek je ušao.",Čovek je pobjegao u drugom pravcu.,2
108,"Um, moji djed i baka su uvek bili veoma, veoma ljubazni ljudi i neki od, mojih roditelja su bili i jednostavno smo imali sjajno vreme tamo dolje.",Dugo je trebalo da se odveze do kuće mojih djedova.,1
109,"Um, moji djed i baka su uvek bili veoma, veoma ljubazni ljudi i neki od, mojih roditelja su bili i jednostavno smo imali sjajno vreme tamo dolje.",Moji djed i baka su bili veoma ljubazan par.,0
110,"Um, moji djed i baka su uvek bili veoma, veoma ljubazni ljudi i neki od, mojih roditelja su bili i jednostavno smo imali sjajno vreme tamo dolje.",Moji djed i baka su uvek bili veoma mrzovoljni i nikada nismo voleli da idemo u njihovu kuću.,2
111,Nisam imao vremena da se uključim u sve te stvari.,Mogao sam da završim sa unosom kasnije.,1
112,Nisam imao vremena da se uključim u sve te stvari.,Sve sam upisao na vreme.,2
113,Nisam imao vremena da se uključim u sve te stvari.,Nemam vremena da sve to upisem.,0
114,"Jedan od mojih poslova u to vreme je bio da obučavam pojedince kako da stave padobran na okidač nuklearnog oružja, koji detonira samu atomsku bombu.",Atomska bomba nema okidač.,2
115,"Jedan od mojih poslova u to vreme je bio da obučavam pojedince kako da stave padobran na okidač nuklearnog oružja, koji detonira samu atomsku bombu.",Opucač detonira bombu kada se povuče.,0
