,premise,hypothesis,label
0,"Bé, ni tan sols hi pensava, però estava tan frustrada, i vaig acabar parlant amb ell de nou.",No he tornat a parlar amb ell.,2
1,"Bé, ni tan sols hi pensava, però estava tan frustrada, i vaig acabar parlant amb ell de nou.",Estava tan molesta que vaig començar a parlar amb ell de nou.,0
2,"Bé, ni tan sols hi pensava, però estava tan frustrada, i vaig acabar parlant amb ell de nou.",Vam tenir una gran xerrada.,1
3,"I vaig pensar que era un privilegi, i encara ho és, encara ho és, jo era l'únic nou dos dos ex-O que era el meu camp de carrera de l'AFFC.",No sabia que no era l'única persona que hi havia aquell dia.,1
4,"I vaig pensar que era un privilegi, i encara ho és, encara ho és, jo era l'únic nou dos dos ex-O que era el meu camp de carrera de l'AFFC.",Tenia la impressió que era l'únic amb aquest número al camp de la carrera de l'AFFC.,0
5,"I vaig pensar que era un privilegi, i encara ho és, encara ho és, jo era l'únic nou dos dos ex-O que era el meu camp de carrera de l'AFFC.","A tots ens van donar el mateix número exactament, no importa quins privilegis ens van prometre que ens concedissin, tot era una mentida.",2
6,"Em van dir que, uh, que seria cridat un tipus al final per a mi per conèixer.",Mai em van dir res sobre conèixer algú.,2
7,"Em van dir que, uh, que seria cridat un tipus al final per a mi per conèixer.",Em van dir que un home seria cridat per a que em trobés.,0
8,"Em van dir que, uh, que seria cridat un tipus al final per a mi per conèixer.",El tipus va arribar una mica tard.,1
9,Hi ha tantes coses de les que podríeu parlar que ho ometré.,Vull dir-te tot el que sé sobre això!,2
10,Hi ha tantes coses de les que podríeu parlar que ho ometré.,"No parlaré d'això, encara que hi ha molt a cobrir.",0
11,Hi ha tantes coses de les que podríeu parlar que ho ometré.,No parlaré de la història de la ciutat perquè hi ha massa per dir.,1
12,"Era el que volíem salvar, ja que no hi havia manera de tirar una bomba H de 20 megatones d'un C124.",No ens importava salvar res.,2
13,"Era el que volíem salvar, ja que no hi havia manera de tirar una bomba H de 20 megatones d'un C124.",Volem salvar una cosa més que la resta.,0
14,"Era el que volíem salvar, ja que no hi havia manera de tirar una bomba H de 20 megatones d'un C124.",Volem salvar la bomba H perquè era molt difícil de gestionar.,1
15,Així que no estic segur del per què.,Estic segur del motiu.,2
16,Així que no estic segur del per què.,No sé per què va canviar d'escola.,1
17,Així que no estic segur del per què.,No sé per què va passar això.,0
18,"Aquesta és Fannie Flono, i va créixer a Augusta, GA, i ens parlarà d'algunes històries de la seva infància.",Fannie Flono ha hagut de tornar a programar i avui no pot explicar cap història.,2
19,"Aquesta és Fannie Flono, i va créixer a Augusta, GA, i ens parlarà d'algunes històries de la seva infància.","Fannie Flono és aquí i ens parlarà de les seves històries de la infància, de créixer a Augusta, GA.",0
20,"Aquesta és Fannie Flono, i va créixer a Augusta, GA, i ens parlarà d'algunes històries de la seva infància.",Fannie Flono va poder parlar amb nosaltres avui malgrat la seva agenda ocupada.,1
21,"I jo havia posat, uh, cinc destacaments dels U2.",Vaig tractar amb els U2.,0
22,"I jo havia posat, uh, cinc destacaments dels U2.",No he tingut cap relació amb els U2.,2
23,"I jo havia posat, uh, cinc destacaments dels U2.",Vaig treballar amb els U2's cada dia durant quaranta anys.,1
24,Jo era l'únic que va fer funcionar els reguladors per a la prova de les cambres d'altitud en miniatura.,No m'agradava ser l'únic a fer els controls per a les proves.,1
25,Jo era l'únic que va fer funcionar els reguladors per a la prova de les cambres d'altitud en miniatura.,Les proves es van fer en les cambres d'altitud en miniatura.,0
26,Jo era l'únic que va fer funcionar els reguladors per a la prova de les cambres d'altitud en miniatura.,Hi havia uns quants de nosaltres que van fer funcionar els reguladors per a la prova.,2
27,"Sóc... Sergent Major en Cap, jubilada, com va dir Rick.",Encara treballo fins avui.,2
28,"Sóc... Sergent Major en Cap, jubilada, com va dir Rick.",Em vaig jubilar el 2002.,1
29,"Sóc... Sergent Major en Cap, jubilada, com va dir Rick.",Rick t'ha dit que m'havia jubilat.,0
30,"Hi ha unes projeccions de fluxos de diners a la meva taula i, ehm, ehm, és per tal i tal Cutty, que és el nom del client.",El client anomenat Cutty guanya 10.000 dòlars al mes.,1
31,"Hi ha unes projeccions de fluxos de diners a la meva taula i, ehm, ehm, és per tal i tal Cutty, que és el nom del client.",Hi ha un client anomenat Cutty.,0
32,"Hi ha unes projeccions de fluxos de diners a la meva taula i, ehm, ehm, és per tal i tal Cutty, que és el nom del client.",No tenim cap client anomenat Cutty.,2
33,La noia que em pot ajudar és a l'altra banda de la ciutat.,La noia de qui necessito ajuda viu molt lluny.,0
34,La noia que em pot ajudar és a l'altra banda de la ciutat.,La noia que m'ajudarà està a 8 km.,1
35,La noia que em pot ajudar és a l'altra banda de la ciutat.,No hi ha ningú que em pugui ajudar.,2
36,"Però estaven dividits sobre qui era el treballador de camp i qui eren els nens de casa, era una mica...",Tots van acordar que treballarien als camps.,2
37,"Però estaven dividits sobre qui era el treballador de camp i qui eren els nens de casa, era una mica...",No es van poder posar d'acord sobre qui era un treballador de camp i qui pertanyia a la casa.,0
38,"Però estaven dividits sobre qui era el treballador de camp i qui eren els nens de casa, era una mica...",No es van poder posar d'acord qui havia de treballar al camp de cotó i qui havia de netejar el terra.,1
39,"Avui ens parlarà de la Tercera SS, dels U2 Quick i del Blackbird.",Ha decidit no parlar més.,2
40,"Avui ens parlarà de la Tercera SS, dels U2 Quick i del Blackbird.",Parla de tres submarins diferents.,1
41,"Avui ens parlarà de la Tercera SS, dels U2 Quick i del Blackbird.",Parla de tres coses.,0
42,"Només van tenir cinc fills, un d'ells va morir.",Tots els seus fills van sobreviure.,2
43,"Només van tenir cinc fills, un d'ells va morir.",Un dels cinc nens va morir.,0
44,"Només van tenir cinc fills, un d'ells va morir.",El nen que va morir va néixer malalt.,1
45,"I, per descomptat, Androv Gromikov no va respondre res, però teníem tota la informació de les pel·lícules que els U2 havien pres.",Els U2 van fer molta pel·lícula.,0
46,"I, per descomptat, Androv Gromikov no va respondre res, però teníem tota la informació de les pel·lícules que els U2 havien pres.",Els U2 van treure una tona de pel·lícula sota l'aigua.,1
47,"I, per descomptat, Androv Gromikov no va respondre res, però teníem tota la informació de les pel·lícules que els U2 havien pres.","No teníem cap gravació, així que vam haver d'inducir.",2
48,"Ella va dir que només hi havia llàgrimes que li baixaven dels ulls i va dir, després va dir que Joe va arribar al porxo.",Com ella li va dir que vingués al porxo que tenia llàgrimes als ulls.,0
49,"Ella va dir que només hi havia llàgrimes que li baixaven dels ulls i va dir, després va dir que Joe va arribar al porxo.",Va netejar ràpidament les llàgrimes després de llançar Joe del porxo.,2
50,"Ella va dir que només hi havia llàgrimes que li baixaven dels ulls i va dir, després va dir que Joe va arribar al porxo.",Ella estava tan contenta de veure Joe que va començar a plorar.,1
51,"Fins i tot si l'avió estava en foc, per què, que, uh, cremar i es foses a través d'un component de plom per a la radiació per filtrar.",La radiació també pot ser contenida durant un incendi.,1
52,"Fins i tot si l'avió estava en foc, per què, que, uh, cremar i es foses a través d'un component de plom per a la radiació per filtrar.",La radiació s'escapava d'un component de plom després que l'avió s'incinerés.,0
53,"Fins i tot si l'avió estava en foc, per què, que, uh, cremar i es foses a través d'un component de plom per a la radiació per filtrar.",La radiació no s'escamparia durant un incendi.,2
54,"Aquest és el sergent Clem Francis, jubilada de la Força Aèria dels EUA.",El cap es va retirar de la Força Aèria dels EUA.,0
55,"Aquest és el sergent Clem Francis, jubilada de la Força Aèria dels EUA.",El cap es va retirar fa unes setmanes.,1
56,"Aquest és el sergent Clem Francis, jubilada de la Força Aèria dels EUA.",El cap de l'aviació dels EUA acaba de començar la seva carrera aquesta setmana.,2
57,"Bé, va arribar al punt que hi havia dos o tres avions que arribaven cada setmana i jo no sabia cap on volien.",Cada setmana arriben més d'un avió.,0
58,"Bé, va arribar al punt que hi havia dos o tres avions que arribaven cada setmana i jo no sabia cap on volien.",L'augment del trànsit aeri és problemàtic.,1
59,"Bé, va arribar al punt que hi havia dos o tres avions que arribaven cada setmana i jo no sabia cap on volien.",Mai arriben avions.,2
60,Ja havien tingut el seu entrenament en els vestits de pressió total i em va costar un temps si vas a vestir vestits de pressió total.,Es triga fins a tres mesos per completar l'entrenament en l'ús d'un vestit de pressió completa.,1
61,Ja havien tingut el seu entrenament en els vestits de pressió total i em va costar un temps si vas a vestir vestits de pressió total.,L'entrenament per utilitzar un vestit de pressió completa pren temps.,0
62,Ja havien tingut el seu entrenament en els vestits de pressió total i em va costar un temps si vas a vestir vestits de pressió total.,Podria haver-te entrenat per utilitzar un vestit de pressió completa per al final del dia.,2
63,"Vull dir que no hi havia cap perill d'entrar amb la bomba perquè no explotaria, independentment de com fort toqués el terra.",La bomba havia estat desactivada pel pilot.,1
64,"Vull dir que no hi havia cap perill d'entrar amb la bomba perquè no explotaria, independentment de com fort toqués el terra.",La bomba no tenia cap possibilitat d'explotar.,0
65,"Vull dir que no hi havia cap perill d'entrar amb la bomba perquè no explotaria, independentment de com fort toqués el terra.",Hi havia un gran perill d'explosió de la bomba.,2
66,I què tal si sembla exactament el que intento fer.,No sé què et sembla això.,2
67,I què tal si sembla exactament el que intento fer.,"Estic intentant fer-ho, òbviament.",0
68,I què tal si sembla exactament el que intento fer.,Intento acabar el meu projecte la setmana que ve.,1
69,"Però, de totes maneres, els animals es desprenia tot el temps, especialment les cabres.",Les cabres escapaven del graner cada dia.,1
70,"Però, de totes maneres, els animals es desprenia tot el temps, especialment les cabres.",Les cabres escapaven sovint.,0
71,"Però, de totes maneres, els animals es desprenia tot el temps, especialment les cabres.",Les cabres estaven segures.,2
72,Les portes estaven tancades quan vam entrar.,Totes les portes estaven obertes.,2
73,Les portes estaven tancades quan vam entrar.,Teníem les claus amb nosaltres.,1
74,Les portes estaven tancades quan vam entrar.,Vam entrar encara que les portes estaven tancades.,0
75,Així que només havia de prendre els totals i intentar calcular-ho així.,Estic segur que els totals són tot el que necessito per a resoldre això.,1
76,Així que només havia de prendre els totals i intentar calcular-ho així.,"No tinc ni idea de què fer amb els totals. Si us plau, doneu-me més detalls per a resoldre aquest embolic.",2
77,Així que només havia de prendre els totals i intentar calcular-ho així.,Ho calcularé basant-me en els totals.,0
78,"Va arribar, va obrir la porta i recordo mirar cap enrere i veure l'expressió de la seva cara, i podia dir que estava decebut.",Estava tan emocionat i rebent de alegria que pràcticament va colpejar la porta de la seva estructura.,2
79,"Va arribar, va obrir la porta i recordo mirar cap enrere i veure l'expressió de la seva cara, i podia dir que estava decebut.",Ell estava intentant no fer-nos sentir culpables però sabíem que li havíem causat problemes.,1
80,"Va arribar, va obrir la porta i recordo mirar cap enrere i veure l'expressió de la seva cara, i podia dir que estava decebut.",Només pel seu rostre quan va entrar per la porta vaig saber que estava decebut.,0
81,Així que no tinc cap història específica.,No tinc una botiga en particular.,0
