,premise,hypothesis,label
0,"Ma ei mõelnud sellele, aga olin nii pettunud ja lõpetasin temaga uuesti rääkides.",Ma pole temaga enam rääkinud.,2
1,"Ma ei mõelnud sellele, aga olin nii pettunud ja lõpetasin temaga uuesti rääkides.","Olin nii endast väljas, et hakkasin temaga jälle rääkima.",0
2,"Ma ei mõelnud sellele, aga olin nii pettunud ja lõpetasin temaga uuesti rääkides.",Meil oli tore vestlus.,1
3,"Ja ma arvasin, et see oli privileeg, ja see on ikka veel, see on ikka veel, ma olin ainus üheksa kaks kaks Ex-O mis oli mu AFFC Air Force Karjääri valdkonnas.","Ma ei teadnud, et ma polnud ainus inimene, kes sellel päeval väljakul oli.",1
4,"Ja ma arvasin, et see oli privileeg, ja see on ikka veel, see on ikka veel, ma olin ainus üheksa kaks kaks Ex-O mis oli mu AFFC Air Force Karjääri valdkonnas.","Mul oli mulje, et ma olin ainus, kellel see number on AFFC õhujõudude karjääriväljal.",0
5,"Ja ma arvasin, et see oli privileeg, ja see on ikka veel, see on ikka veel, ma olin ainus üheksa kaks kaks Ex-O mis oli mu AFFC Air Force Karjääri valdkonnas.","Meile kõigile anti täpselt sama number, ükskõik milliseid privileege meile lubati anda, see kõik oli vale.",2
6,"Nad ütlesid, et ma pean lõpuks kellegagi kohtuma.",Mulle ei räägitud kellegagi kohtumisest.,2
7,"Nad ütlesid, et ma pean lõpuks kellegagi kohtuma.","Mulle öeldi, et kutsutakse üks mees, kellega ma kohtun.",0
8,"Nad ütlesid, et ma pean lõpuks kellegagi kohtuma.",See mees tuli veidi hilja.,1
9,"Sa võiksid nii palju rääkida, et ma jätan selle vahele.",Ma tahan sulle sellest kõigest rääkida!,2
10,"Sa võiksid nii palju rääkida, et ma jätan selle vahele.","Ma ei räägi sellest, kuigi on palju, mida kaevata.",0
11,"Sa võiksid nii palju rääkida, et ma jätan selle vahele.","Ma ei räägi linna ajaloost, sest on liiga palju rääkida.",1
