,premise,hypothesis,label
0,"Ez nion garrantzirik eman, baina ez nuen ondorioetan sinisten.",Ez dut harekin berriz hitz egin.,2
1,"Ez nion garrantzirik eman, baina ez nuen ondorioetan sinisten.","Hain haserre nengoen, non berarekin hitz egiten hasi nintzen.",0
2,"Ez nion garrantzirik eman, baina ez nuen ondorioetan sinisten.",Sekulako hitzaldia izan genuen.,1
3,Pribilegio bat zela uste nuen eta hala da. 9-2-2 zenbakidun entrenatzaile bakarra nintzen. Hori izan zen nire AFFCko ibilbidea.,Ez nintzen konturatu ez nintzela lurrean egoten bakarra.,1
4,Pribilegio bat zela uste nuen eta hala da. 9-2-2 zenbakidun entrenatzaile bakarra nintzen. Hori izan zen nire AFFCko ibilbidea.,Uste nuen bakarra nintzela armada eta AFRICOMeko jende askorekin.,0
5,Pribilegio bat zela uste nuen eta hala da. 9-2-2 zenbakidun entrenatzaile bakarra nintzen. Hori izan zen nire AFFCko ibilbidea.,"Guztiok kopuru bera jaso genuen. Berdin dio zer pribilegio izan, gezurra zen.",2
6,"Esan zidaten, azken orduko, gizon bat eskatuko zutela ni ikustera.",Inor ez zen inoiz etorri.,2
7,"Esan zidaten, azken orduko, gizon bat eskatuko zutela ni ikustera.",Esan zidaten gizon bat aurkituko zutela.,0
8,"Esan zidaten, azken orduko, gizon bat eskatuko zutela ni ikustera.",Morroia berandu iritsi zen.,1
9,Gauza asko daude hitz egiteko... Baina ez dut horretaz hitz egingo.,Horri buruz dakidan guztia esan nahi dizut.,2
10,Gauza asko daude hitz egiteko... Baina ez dut horretaz hitz egingo.,Ez dut horri buruz hitz egin nahi... nahiz eta eztabaida luzeak izan.,0
11,Gauza asko daude hitz egiteko... Baina ez dut horretaz hitz egingo.,"Ez dut hiriko historiaz hitz egingo, gehiegi dago esateko.",1
12,Hori zen salbatu nahi genuen guztia. Ez zegoen modurik 20 megatoiko H bonba bat botatzeko 30 C-124 erriflearekin.,Ez genuen ezer salbatzeko asmorik.,2
13,Hori zen salbatu nahi genuen guztia. Ez zegoen modurik 20 megatoiko H bonba bat botatzeko 30 C-124 erriflearekin.,Beste guztiak baino gauza bat salbatu nahi dugu.,0
14,Hori zen salbatu nahi genuen guztia. Ez zegoen modurik 20 megatoiko H bonba bat botatzeko 30 C-124 erriflearekin.,"Gorde egin nahi genuen, ba... gogorra zelako.",1
15,"Beraz, ez dakit zergatik.",Ziur nago horretaz.,2
16,"Beraz, ez dakit zergatik.",Ez dakit zergatik aldatu zuen eskola.,1
17,"Beraz, ez dakit zergatik.",Ez dakit zergatik gertatu den hori.,0
18,"Fannie Flono da, Augusten hazi zen, Galesko estatuan, eta istorio batzuk konta diezazkiguzue bere haurtzarokoak.",Fannie Flono beste batera eraman dute... eta ez dago istoriorik kontatzeko.,2
19,"Fannie Flono da, Augusten hazi zen, Galesko estatuan, eta istorio batzuk konta diezazkiguzue bere haurtzarokoak.",Fannie Flono etorri da... haurrak ginenean izandako gertakizunei buruz hitz egiteko.,0
20,"Fannie Flono da, Augusten hazi zen, Galesko estatuan, eta istorio batzuk konta diezazkiguzue bere haurtzarokoak.","Fannie Flono, ordutegi betea izan arren gurekin hitz egin dezake.",1
21,Eta bost talde bidali ditut U2ra.,U2rekin egin nuen lan.,0
22,Eta bost talde bidali ditut U2ra.,Ez dut U2rekin harremanik izan.,2
23,Eta bost talde bidali ditut U2ra.,40 urtez aritu naiz U2n egunero.,1
24,Nik bakarrik kontrolatu nuen Esfera....eskala-aldaketa minetarako.,Ez zait gustatzen erregulatzaileei buruz hitz egitea.,1
25,Nik bakarrik kontrolatu nuen Esfera....eskala-aldaketa minetarako.,Altuera-proba egiteko.,0
26,Nik bakarrik kontrolatu nuen Esfera....eskala-aldaketa minetarako.,Batzuek kontrolak aztertu genituen.,2
27,Rickek esan du erretiratua nagoela.,Oraindik lanean ari naiz.,2
28,Rickek esan du erretiratua nagoela.,2002an erretiratu nintzen.,1
29,Rickek esan du erretiratua nagoela.,Rickek esan zizun erretiratuta nengoela.,0
30,Nire mahaian aurrekontu bat dago. Cutty delako batentzat da. Hori da bezeroaren izena.,Cutty izeneko tipo batek 10.000 dolar irabazten ditu hilean.,1
31,Nire mahaian aurrekontu bat dago. Cutty delako batentzat da. Hori da bezeroaren izena.,Cutty izeneko bezero bat daukat.,0
32,Nire mahaian aurrekontu bat dago. Cutty delako batentzat da. Hori da bezeroaren izena.,Ez dugu bezero bat ere Cutty izeneko.,2
33,Lagun nazakeen neska oraindik hemen dago.,"Neska, laguntza behar dut, urruti bizi da.",0
34,Lagun nazakeen neska oraindik hemen dago.,"Niri laguntzekoa den neska hemen dago, bost kilometrora.",1
35,Lagun nazakeen neska oraindik hemen dago.,Inork ezin dit lagundu.,2
36,"Baina banandurik zeuden, lanbide eta ikasketetan.",Denek lan egin nahi zuten baserrian.,2
37,"Baina banandurik zeuden, lanbide eta ikasketetan.",Ez dute adosten nor den ona eta nor txarra.,0
38,"Baina banandurik zeuden, lanbide eta ikasketetan.",Ez dute adostu nork garbitu behar duen zerrategia.,1
39,Gaur hirugarren SS-ko batailoi bati buruz hitz egingo digu. U2 Quick eta Blackbird.,Erabaki du ez duela gehiago hitz egingo.,2
