,premise,hypothesis,label
0,"ובכן, אני אפילו לא חשבתי על זה, אבל הייתי כל כך מתוסכל, ו, אני בסופו של דבר לדבר איתו שוב.",לא דיברתי איתו שוב.,2
1,"ובכן, אני אפילו לא חשבתי על זה, אבל הייתי כל כך מתוסכל, ו, אני בסופו של דבר לדבר איתו שוב.",הייתי כל כך נסערת שהתחלתי לדבר איתו שוב.,0
2,"ובכן, אני אפילו לא חשבתי על זה, אבל הייתי כל כך מתוסכל, ו, אני בסופו של דבר לדבר איתו שוב.",הייתה לנו שיחה נהדרת.,1
3,"וחשבתי שזו הייתה זכות, וזה עדיין, זה עדיין, הייתי היחיד בתשע שניים-שני לשעבר O אשר היה AFFC קריירה חיל האוויר שלי בתחום.",לא הייתי מודע לכך שאני לא הייתי האדם היחיד שהיה בשדה באותו יום.,1
4,"וחשבתי שזו הייתה זכות, וזה עדיין, זה עדיין, הייתי היחיד בתשע שניים-שני לשעבר O אשר היה AFFC קריירה חיל האוויר שלי בתחום.",היה לי הרושם שאני היחיד עם המספר הזה בשדה הקריירה של חיל האוויר.,0
5,"וחשבתי שזו הייתה זכות, וזה עדיין, זה עדיין, הייתי היחיד בתשע שניים-שני לשעבר O אשר היה AFFC קריירה חיל האוויר שלי בתחום.","כולנו קיבלנו את אותו מספר בדיוק לא משנה מה הזכויות הבטיחו לנו להיות מוענק, זה היה הכל שקר.",2
6,הם אמרו לי ש... שיקראו לי בחור בסוף כדי שאפגוש אותו.,מעולם לא אמרו לי שום דבר על פגישה עם מישהו.,2
7,הם אמרו לי ש... שיקראו לי בחור בסוף כדי שאפגוש אותו.,נאמר לי שאיש ייקרא לפגוש אותי.,0
8,הם אמרו לי ש... שיקראו לי בחור בסוף כדי שאפגוש אותו.,הבחור הגיע קצת מאוחר.,1
9,"יש כל כך הרבה דברים שאפשר לדבר עליהם, אז אני פשוט אדלג על זה.",אני רוצה לספר לך כל מה שאני יודע על זה!,2
10,"יש כל כך הרבה דברים שאפשר לדבר עליהם, אז אני פשוט אדלג על זה.","אני לא אדבר על זה, למרות שיש הרבה מה לדון.",0
11,"יש כל כך הרבה דברים שאפשר לדבר עליהם, אז אני פשוט אדלג על זה.",אני לא אדבר על ההיסטוריה של העיר כי יש יותר מדי מה לומר.,1
12,"זה היה הדבר העיקרי שרצינו להציל מאחר ולא הייתה שום דרך לזרוק פצצת מימן של 20 מגה טון מ-30, C124.",לא היה אכפת לנו להציל משהו.,2
13,"זה היה הדבר העיקרי שרצינו להציל מאחר ולא הייתה שום דרך לזרוק פצצת מימן של 20 מגה טון מ-30, C124.",רצינו להציל דבר אחד יותר מכל השאר.,0
14,"זה היה הדבר העיקרי שרצינו להציל מאחר ולא הייתה שום דרך לזרוק פצצת מימן של 20 מגה טון מ-30, C124.",רצינו להציל את הפצצה המיונזית כי היה כל כך קשה להתמודד איתה.,1
15,אז אני לא ממש בטוח למה.,אני בטוח לגבי הסיבה לכך.,2
16,אז אני לא ממש בטוח למה.,אני לא יודע למה הוא העביר בתי ספר.,1
17,אז אני לא ממש בטוח למה.,אני לא יודע למה זה קרה.,0
18,"זאת פאני פלנו, והיא גדלה באוגוסטה, ג'ורג'יה, והיא הולכת לספר על כמה סיפורים מהילדות שלה.",פאני פלנו נאלצה לקבוע מועד חדש והיא לא מסוגלת לספר לנו סיפורים היום.,2
19,"זאת פאני פלנו, והיא גדלה באוגוסטה, ג'ורג'יה, והיא הולכת לספר על כמה סיפורים מהילדות שלה.","פאני פלנו כאן והיא הולכת לדבר איתנו על סיפורי הילדות שלה, על גדל באוגוסטה, ג'ורג'יה.",0
20,"זאת פאני פלנו, והיא גדלה באוגוסטה, ג'ורג'יה, והיא הולכת לספר על כמה סיפורים מהילדות שלה.",פאני פלנו הצליחה לדבר איתנו היום למרות לוח הזמנים העמוס שלה.,1
21,והוצאתי חמישה חטיבות של U2.,התמודדתי עם U2 של.,0
22,והוצאתי חמישה חטיבות של U2.,לא התעסקתי עם U2 בכלל.,2
23,והוצאתי חמישה חטיבות של U2.,עבדתי עם החטיבות של U2 כל יום במשך 40 שנה.,1
24,"הייתי היחיד שאי פעם פעל את הרגולטורים עבור, הבדיקה בתאי הגובה המיניאטורים.",לא אהבתי להיות היחיד שמפעיל את המפקחים לבדיקות.,1
25,"הייתי היחיד שאי פעם פעל את הרגולטורים עבור, הבדיקה בתאי הגובה המיניאטורים.",בדיקות נעשו בתאי הגובה המיניאטורים.,0
26,"הייתי היחיד שאי פעם פעל את הרגולטורים עבור, הבדיקה בתאי הגובה המיניאטורים.",היו כמה מאיתנו שפעילו את הרגולטורים למבחן.,2
27,"אני אה, סמל ראשי, פרש, כמו ריק אמר.",אני עדיין עובד עד היום.,2
28,"אני אה, סמל ראשי, פרש, כמו ריק אמר.",פרשתי בשנת 2002.,1
29,"אני אה, סמל ראשי, פרש, כמו ריק אמר.",ריק אמר לך שאני בפנסיה.,0
30,"יש כמה תחזיות תזרים מזומנים על השולחן שלי, ו, אממ, אה, זה עבור כזה וכזה קטי, זה שם הלקוח.","הלקוח בשם קטי מרוויח 10,000 דולר בחודש.",1
31,"יש כמה תחזיות תזרים מזומנים על השולחן שלי, ו, אממ, אה, זה עבור כזה וכזה קטי, זה שם הלקוח.",יש לקוח בשם קטי.,0
32,"יש כמה תחזיות תזרים מזומנים על השולחן שלי, ו, אממ, אה, זה עבור כזה וכזה קטי, זה שם הלקוח.",אין לנו לקוחות בשם קטי.,2
33,הבחורה שיכולה לעזור לי נמצאת בצד השני של העיר.,הבחורה שאני צריך עזרה ממנה גרה רחוק.,0
34,הבחורה שיכולה לעזור לי נמצאת בצד השני של העיר.,"הבחורה שעוזרת לי נמצאת במרחק 5 ק""מ.",1
35,הבחורה שיכולה לעזור לי נמצאת בצד השני של העיר.,אין אף אחד שיכול לעזור לי.,2
36,"אבל הם היו מחולקים על כמו מי היו עובדים בשדה ומי היו הילדים בבית, זה היה סוג של -",כולם הסכימו שהם יעבדו בשדות.,2
37,"אבל הם היו מחולקים על כמו מי היו עובדים בשדה ומי היו הילדים בבית, זה היה סוג של -",הם לא יכלו להסכים על מי היה עובד שדה ומי שייך בבית.,0
38,"אבל הם היו מחולקים על כמו מי היו עובדים בשדה ומי היו הילדים בבית, זה היה סוג של -",הם לא יכלו להסכים מי צריך לעבוד בשדה הכותנה ומי צריך לנקות את הרצפה.,1
39,"היום הוא ידבר איתנו על האס-אס השלישי, על ה-U2 קוויק ועל ה-בלקבירד.",הוא החליט לא לדבר יותר.,2
40,"היום הוא ידבר איתנו על האס-אס השלישי, על ה-U2 קוויק ועל ה-בלקבירד.",הוא מדבר על שלוש צוללות שונות.,1
41,"היום הוא ידבר איתנו על האס-אס השלישי, על ה-U2 קוויק ועל ה-בלקבירד.",הוא מדבר על שלושה דברים.,0
42,"כלומר, היו להם רק חמישה ילדים, אחד מהם מת.",כל ילדיהם שרדו.,2
43,"כלומר, היו להם רק חמישה ילדים, אחד מהם מת.",אחד מהחמישה מת.,0
44,"כלומר, היו להם רק חמישה ילדים, אחד מהם מת.",הילד שמת נולד חולה.,1
45,"וכמובן, אנדרוב גרומיקוב לא ענה לשום דבר, אבל היה לנו את כל המידע מהסרטים שאו-2 צילמו.",U2 לקח הרבה סרט.,0
46,"וכמובן, אנדרוב גרומיקוב לא ענה לשום דבר, אבל היה לנו את כל המידע מהסרטים שאו-2 צילמו.",U2 לקח טון של סרט מתחת למים.,1
47,"וכמובן, אנדרוב גרומיקוב לא ענה לשום דבר, אבל היה לנו את כל המידע מהסרטים שאו-2 צילמו.","לא היה לנו צילום, אז היינו צריכים לנחש.",2
48,"היא אמרה שיש דמעות שיורדות ממנה, ואז היא אמרה שג'ו הגיע למרפסת.",כשהיא אמרה לו לבוא למרפסת היו לה דמעות בעיניים.,0
49,"היא אמרה שיש דמעות שיורדות ממנה, ואז היא אמרה שג'ו הגיע למרפסת.",היא מיידית מנגשת את הדמעות אחרי שזרקה את ג'ו מהמרפסת.,2
50,"היא אמרה שיש דמעות שיורדות ממנה, ואז היא אמרה שג'ו הגיע למרפסת.",היא כל כך שמחה לראות את ג'ו שהיא התחילה לבכות.,1
51,"גם אם המטוס היה עולה באש, הוא היה נשרף ומתמס דרך רכיב עופרת כדי שהקרינה תדלג החוצה.",ניתן להכיל את הקרינה גם במהלך שריפה.,1
52,"גם אם המטוס היה עולה באש, הוא היה נשרף ומתמס דרך רכיב עופרת כדי שהקרינה תדלג החוצה.",הקרינה תדלג החוצה מחלק עופרת לאחר שהמטוס יישרף.,0
53,"גם אם המטוס היה עולה באש, הוא היה נשרף ומתמס דרך רכיב עופרת כדי שהקרינה תדלג החוצה.",הקרינה לא תדלג במהלך שריפה.,2
54,"זה סמל ראש קלם פרנסיס, פרש מהחיל האוויר האמריקאי.",הצ'יף פרש מהחיל האוויר האמריקאי.,0
55,"זה סמל ראש קלם פרנסיס, פרש מהחיל האוויר האמריקאי.",הצ'יף פרש לפני כמה שבועות.,1
56,"זה סמל ראש קלם פרנסיס, פרש מהחיל האוויר האמריקאי.",מפקד חיל האוויר האמריקאי רק החל את הקריירה שלו השבוע.,2
57,"ובכן, זה הגיע למצב שבו יש שניים או שלושה מטוסים מגיעים בשבוע ואני לא יודע לאן הם טסים.",יותר מטוס אחד מגיע בכל שבוע.,0
58,"ובכן, זה הגיע למצב שבו יש שניים או שלושה מטוסים מגיעים בשבוע ואני לא יודע לאן הם טסים.",תנועת המטוסים הגדלה היא מטרידה.,1
59,"ובכן, זה הגיע למצב שבו יש שניים או שלושה מטוסים מגיעים בשבוע ואני לא יודע לאן הם טסים.",אף פעם לא מגיעים מטוסים.,2
60,הם כבר עברו אימון בחליפות הלחץ המלאות וזה לקח לי זמן אם אתה הולך בחליפות הלחץ המלאות.,לוקח עד שלושה חודשים להשלים את האימון על השימוש בחליפת לחץ מלאה.,1
61,הם כבר עברו אימון בחליפות הלחץ המלאות וזה לקח לי זמן אם אתה הולך בחליפות הלחץ המלאות.,אימון לשימוש בחליפת לחץ מלאה לוקח זמן.,0
62,הם כבר עברו אימון בחליפות הלחץ המלאות וזה לקח לי זמן אם אתה הולך בחליפות הלחץ המלאות.,נוכל להכשיר אותך להשתמש בחליפת לחץ מלאה עד סוף היום.,2
63,"אני רוצה לומר שלא היה כל סכנה של הולך עם הפצצה כי זה לא יתפוצץ, ללא קשר כמה חזק הוא פגע בקרקע.",הפצצה הופעלה על ידי הטייס.,1
64,"אני רוצה לומר שלא היה כל סכנה של הולך עם הפצצה כי זה לא יתפוצץ, ללא קשר כמה חזק הוא פגע בקרקע.",לא היה שום סיכוי שהפצצה תתפוצץ.,0
65,"אני רוצה לומר שלא היה כל סכנה של הולך עם הפצצה כי זה לא יתפוצץ, ללא קשר כמה חזק הוא פגע בקרקע.",הייתה סכנה גדולה לפצצה.,2
66,ומה דעתך שזה נראה בדיוק כמו מה שאני מנסה לעשות.,אני לא בטוח איך זה נראה לך.,2
67,ומה דעתך שזה נראה בדיוק כמו מה שאני מנסה לעשות.,"אני מנסה לעשות את זה, כמובן.",0
68,ומה דעתך שזה נראה בדיוק כמו מה שאני מנסה לעשות.,אני מנסה לסיים את הפרויקט שלי בשבוע הבא.,1
69,"אבל בכל מקרה, החיות היו משתחררות כל הזמן, במיוחד העזים.",העזים ברחו מהאסם כל יום.,1
70,"אבל בכל מקרה, החיות היו משתחררות כל הזמן, במיוחד העזים.",העזים ברחו לעתים קרובות.,0
71,"אבל בכל מקרה, החיות היו משתחררות כל הזמן, במיוחד העזים.",השעירים היו מוגנים.,2
72,הדלתות היו נעולות כשנכנסנו.,כל הדלתות היו פתוחות.,2
73,הדלתות היו נעולות כשנכנסנו.,המפתחות היו איתנו.,1
74,הדלתות היו נעולות כשנכנסנו.,נכנסנו למרות שהדלתות היו נעולות.,0
75,אז הייתי צריך לקחת את הסכומים ולנסות להבין את זה ככה.,אני מרגיש בטוח שהסכומים הם כל מה שאני צריך כדי להבין את זה.,1
76,אז הייתי צריך לקחת את הסכומים ולנסות להבין את זה ככה.,"אין לי מושג מה לעשות עם הסכומים, בבקשה תן לי פרטים נוספים כדי להבין את הבלגן הזה.",2
77,אז הייתי צריך לקחת את הסכומים ולנסות להבין את זה ככה.,אני אחשוב את זה על בסיס הסכומים.,0
78,"הוא בא, הוא פתח את הדלת ואני זוכר שהסתכלתי אחורה וראיתי את הבעת הפנים שלו, ויכולתי לראות שהוא היה מאוכזב.",הוא היה כל כך נרגש ופורץ מאושר שהוא כמעט דפק את הדלת את המסגרת שלה.,2
