,premise,hypothesis,label
0,"खैर, मैं भी उस के बारे में सोच नहीं था, लेकिन मैं इतना निराश था, और, मैं फिर से उससे बात करने के लिए समाप्त हो गया.",मैंने उससे फिर कभी बात नहीं की।,2
1,"खैर, मैं भी उस के बारे में सोच नहीं था, लेकिन मैं इतना निराश था, और, मैं फिर से उससे बात करने के लिए समाप्त हो गया.",मैं इतनी परेशान थी कि मैंने फिर से उससे बात करना शुरू कर दिया।,0
2,"खैर, मैं भी उस के बारे में सोच नहीं था, लेकिन मैं इतना निराश था, और, मैं फिर से उससे बात करने के लिए समाप्त हो गया.",हम एक महान बात की थी.,1
3,"और मैंने सोचा कि यह एक विशेषाधिकार था, और यह अभी भी है, यह अभी भी है, मैं केवल नौ दो दो पूर्व-ओ था जो मेरे AFFC वायु सेना कैरियर क्षेत्र था।",मुझे पता नहीं था कि उस दिन मैदान पर मैं अकेला व्यक्ति नहीं था।,1
4,"और मैंने सोचा कि यह एक विशेषाधिकार था, और यह अभी भी है, यह अभी भी है, मैं केवल नौ दो दो पूर्व-ओ था जो मेरे AFFC वायु सेना कैरियर क्षेत्र था।",मैं धारणा के तहत था कि मैं AFFC वायु सेना कैरियर क्षेत्र में उस संख्या के साथ केवल एक था.,0
5,"और मैंने सोचा कि यह एक विशेषाधिकार था, और यह अभी भी है, यह अभी भी है, मैं केवल नौ दो दो पूर्व-ओ था जो मेरे AFFC वायु सेना कैरियर क्षेत्र था।","हमें सभी को एक ही सटीक संख्या दी गई थी, चाहे हमें जो भी विशेषाधिकार देने का वादा किया गया हो, यह सब झूठ था।",2
6,"उन्होंने मुझे बताया कि, उह, कि मैं एक आदमी में बुलाया जाएगा अंत में मेरे लिए मिलने के लिए.",मुझे किसी से मिलने के बारे में कभी कुछ नहीं बताया गया।,2
7,"उन्होंने मुझे बताया कि, उह, कि मैं एक आदमी में बुलाया जाएगा अंत में मेरे लिए मिलने के लिए.",मुझे बताया गया था कि एक आदमी मुझे मिलने के लिए बुलाया जाएगा।,0
8,"उन्होंने मुझे बताया कि, उह, कि मैं एक आदमी में बुलाया जाएगा अंत में मेरे लिए मिलने के लिए.",वह आदमी थोड़ा देर से आया।,1
9,वहाँ तुम पर बात कर सकते हैं कि मैं बस उस पर छोड़ देंगे इतना है.,मैं तुम्हें सब कुछ मैं उस के बारे में पता है बताना चाहता हूँ!,2
10,वहाँ तुम पर बात कर सकते हैं कि मैं बस उस पर छोड़ देंगे इतना है.,"मैं इसके बारे में बात नहीं करूंगा, भले ही कवर करने के लिए बहुत कुछ है।",0
11,वहाँ तुम पर बात कर सकते हैं कि मैं बस उस पर छोड़ देंगे इतना है.,मैं शहर के इतिहास के बारे में बात नहीं करेंगे क्योंकि वहाँ कहने के लिए बहुत कुछ है.,1
12,"यह प्राथमिक बात हम बचाने के लिए चाहता था के बाद से वहाँ कोई रास्ता नहीं था एक 20 मेगाटन एच-बम को फेंकने के लिए 30, एक C124.",हमें किसी भी चीज़ को बचाने की परवाह नहीं थी।,2
13,"यह प्राथमिक बात हम बचाने के लिए चाहता था के बाद से वहाँ कोई रास्ता नहीं था एक 20 मेगाटन एच-बम को फेंकने के लिए 30, एक C124.",हम बाकी से ज्यादा एक चीज को बचाना चाहते थे।,0
14,"यह प्राथमिक बात हम बचाने के लिए चाहता था के बाद से वहाँ कोई रास्ता नहीं था एक 20 मेगाटन एच-बम को फेंकने के लिए 30, एक C124.",हम एच-बम को बचाना चाहते थे क्योंकि इससे निपटना बहुत मुश्किल था।,1
15,तो मुझे यकीन नहीं है कि क्यों।,मुझे इसका कारण मालूम है।,2
16,तो मुझे यकीन नहीं है कि क्यों।,मुझे नहीं पता कि उसने स्कूल क्यों बदल दिए।,1
17,तो मुझे यकीन नहीं है कि क्यों।,मुझे नहीं पता कि ऐसा क्यों हुआ।,0
18,"यह फनी फ्लोनो है, और वह अगस्ता, GA में पली-बढ़ी है, और वह अपने बचपन की कुछ कहानियों के बारे में बात करने जा रही है।",फनी फ्लोनो को फिर से शेड्यूल करना पड़ा और आज वह हमें कोई कहानी नहीं बता सकती।,2
19,"यह फनी फ्लोनो है, और वह अगस्ता, GA में पली-बढ़ी है, और वह अपने बचपन की कुछ कहानियों के बारे में बात करने जा रही है।","फनी फ्लोनो यहाँ है और वह हमें अपने बचपन की कहानियों के बारे में बताने जा रही है ऑगस्टा, जीए में बड़े होने से।",0
20,"यह फनी फ्लोनो है, और वह अगस्ता, GA में पली-बढ़ी है, और वह अपने बचपन की कुछ कहानियों के बारे में बात करने जा रही है।",फनी फ्लोनो आज अपने व्यस्त कार्यक्रम के बावजूद हमसे बात करने में सक्षम थी।,1
21,और मैं यू 2 के पांच टुकड़े बाहर रखा था।,मैं U2 के साथ सौदा किया.,0
22,और मैं यू 2 के पांच टुकड़े बाहर रखा था।,मैं U2 के साथ सौदा नहीं किया था।,2
23,और मैं यू 2 के पांच टुकड़े बाहर रखा था।,मैं यू 2 के लिए टुकड़ी के साथ काम किया हर दिन चालीस साल के लिए.,1
24,"मैं केवल एक था कि उह, कभी भी चलाया नियामकों के लिए, परीक्षण में लघु ऊंचाई कक्षों.",मुझे टेस्ट के लिए केवल एक ही नियामक चलाना पसंद नहीं था।,1
25,"मैं केवल एक था कि उह, कभी भी चलाया नियामकों के लिए, परीक्षण में लघु ऊंचाई कक्षों.",लघु ऊंचाई कक्षों में परीक्षण किए गए।,0
26,"मैं केवल एक था कि उह, कभी भी चलाया नियामकों के लिए, परीक्षण में लघु ऊंचाई कक्षों.",हममें से कुछ लोग थे जिन्होंने परीक्षण के लिए नियामकों को चलाया।,2
27,"मैं हूँ, उह, प्रमुख मास्टर सार्जेंट, रिटायर, जैसा कि रिक ने कहा.",मैं आज भी काम कर रहा हूँ।,2
28,"मैं हूँ, उह, प्रमुख मास्टर सार्जेंट, रिटायर, जैसा कि रिक ने कहा.",मैं 2002 में सेवानिवृत्त हुआ।,1
