,premise,hypothesis,label
0,"Դե, ես նույնիսկ այդ մասին չէի մտածում, բայց ես այնքան հիասթափված էի, եւ վերջապես նորից խոսեցի նրա հետ:",Ես այլեւս չեմ խոսել նրա հետ:,2
1,"Դե, ես նույնիսկ այդ մասին չէի մտածում, բայց ես այնքան հիասթափված էի, եւ վերջապես նորից խոսեցի նրա հետ:","Ես այնքան տխրեցի, որ սկսեցի նորից խոսել նրա հետ:",0
2,"Դե, ես նույնիսկ այդ մասին չէի մտածում, բայց ես այնքան հիասթափված էի, եւ վերջապես նորից խոսեցի նրա հետ:",Մենք հիանալի զրույց ունեցանք:,1
3,"Եվ ես կարծում էի, որ դա արտոնություն էր, եւ դա դեռեւս այդպես է, ես միակ 9-ը, 2-ը, 2-ը նախկին զինծառայողն եմ, որը իմ AFFC-ի օդային ուժերի կարիերայի ոլորտն էր:","Ես չգիտեի, որ այդ օրը դաշտում մենակ չէի:",1
4,"Եվ ես կարծում էի, որ դա արտոնություն էր, եւ դա դեռեւս այդպես է, ես միակ 9-ը, 2-ը, 2-ը նախկին զինծառայողն եմ, որը իմ AFFC-ի օդային ուժերի կարիերայի ոլորտն էր:","Ես տպավորություն ունեի, որ ես միակն եմ, ով այդ համարը ունի Աֆֆ-ի օդային ուժերի կարիերայի դաշտում:",0
5,"Եվ ես կարծում էի, որ դա արտոնություն էր, եւ դա դեռեւս այդպես է, ես միակ 9-ը, 2-ը, 2-ը նախկին զինծառայողն եմ, որը իմ AFFC-ի օդային ուժերի կարիերայի ոլորտն էր:","Մեզ բոլորիս տրվեց նույն թիվը, անկախ նրանից, թե ինչ արտոնություններ են խոստացել մեզ, դա բոլորն էլ սուտ էր:",2
6,"Նրանք ինձ ասացին, որ վերջում ինձ մի տղա կկանչեն, որ հանդիպեմ:",Ինձ երբեք ոչինչ չեն ասել որեւէ մեկի հետ հանդիպելու մասին:,2
7,"Նրանք ինձ ասացին, որ վերջում ինձ մի տղա կկանչեն, որ հանդիպեմ:","Ինձ ասացին, որ ինձ հետ հանդիպելու համար մի տղա է կանչվելու:",0
8,"Նրանք ինձ ասացին, որ վերջում ինձ մի տղա կկանչեն, որ հանդիպեմ:",Տղամարդը մի քիչ ուշ էր եկել:,1
9,"Այնքան շատ բան կա, որ կարող եք խոսել դրա մասին, որ ես պարզապես կանցնեմ այն:","Ես ուզում եմ ձեզ պատմել այն ամենը, ինչ գիտեմ այդ մասին:",2
10,"Այնքան շատ բան կա, որ կարող եք խոսել դրա մասին, որ ես պարզապես կանցնեմ այն:","Ես չեմ խոսի այդ մասին, չնայած շատ բան կա, որ պետք է քննարկել:",0
11,"Այնքան շատ բան կա, որ կարող եք խոսել դրա մասին, որ ես պարզապես կանցնեմ այն:","Ես չեմ խոսի քաղաքի պատմության մասին, քանի որ շատ բան կա ասելու:",1
12,"Դա այն հիմնական բանն էր, որ մենք ուզում էինք փրկել, քանի որ չկար որեւէ միջոց, որ 20 մեգատոննա Հ-բոմբը դուրս գցվեր 30 միավորից, C124-ից:",Մենք չենք ուզում փրկել որեւէ բան:,2
13,"Դա այն հիմնական բանն էր, որ մենք ուզում էինք փրկել, քանի որ չկար որեւէ միջոց, որ 20 մեգատոննա Հ-բոմբը դուրս գցվեր 30 միավորից, C124-ից:",Մենք ամենից շատ ուզում էինք փրկել մի բան:,0
14,"Դա այն հիմնական բանն էր, որ մենք ուզում էինք փրկել, քանի որ չկար որեւէ միջոց, որ 20 մեգատոննա Հ-բոմբը դուրս գցվեր 30 միավորից, C124-ից:","Մենք ուզում էինք փրկել ջրածնային ռումբը, քանի որ դա շատ դժվար էր հաղթահարել:",1
15,"Ես չգիտեմ, թե ինչու:","Ես վստահ եմ, թե ինչու:",2
16,"Ես չգիտեմ, թե ինչու:","Չգիտեմ, թե ինչու է նա փոխել դպրոցը:",1
17,"Ես չգիտեմ, թե ինչու:","Չգիտեմ, թե ինչու է դա պատահել:",0
18,"Սա Ֆանի Ֆլոնոն է, եւ նա մեծացել է Օգուստա քաղաքում, Գազանիա նահանգում, եւ նա կպատմի իր մանկության պատմությունների մասին:",Ֆանի Ֆլոնոն ստիպված էր հետաձգել հանդիպումը եւ չի կարող մեզ պատմել որեւէ պատմություն այսօր:,2
19,"Սա Ֆանի Ֆլոնոն է, եւ նա մեծացել է Օգուստա քաղաքում, Գազանիա նահանգում, եւ նա կպատմի իր մանկության պատմությունների մասին:","Ֆանի Ֆլոնոն այստեղ է եւ նա մեզ հետ կխոսի իր մանկության պատմությունների մասին, որոնք պատմում են Օգուստա, Գազիա նահանգում մեծանալու մասին:",0
20,"Սա Ֆանի Ֆլոնոն է, եւ նա մեծացել է Օգուստա քաղաքում, Գազանիա նահանգում, եւ նա կպատմի իր մանկության պատմությունների մասին:","Ֆանի Ֆլոնոն այսօր մեզ հետ զրուցել է, չնայած իր զբաղված ժամանակացույցին:",1
21,Եվ ես 5 խմբավորում եմ դուրս բերել U2-ից:,Ես զբաղվել եմ U2-ի հետ:,0
22,Եվ ես 5 խմբավորում եմ դուրս բերել U2-ից:,Ես ընդհանրապես չեմ զբաղվել U2-ի հետ:,2
