,premise,hypothesis,label
0,"Bueno, diak payen pinanunot dayta, ngem naupayak unay, ket, nakisaritaak manen kenkuana.",Diak nakisarita kenkuana manen.,2
1,"Bueno, diak payen pinanunot dayta, ngem naupayak unay, ket, nakisaritaak manen kenkuana.",Kasta unay ti pannakariribukko isu a rinugiak manen ti nakisarita kenkuana.,0
2,"Bueno, diak payen pinanunot dayta, ngem naupayak unay, ket, nakisaritaak manen kenkuana.",Nagpintas ti panagsasaritami.,1
3,"Ket impagarupko a maysa dayta a pribilehio, ket kasta pay laeng, kasta pay laeng, siak laeng ti siam a dua-dua a dati nga O a dayta ti pagtrabahuak iti AFFC Air Force.",Diak ammo a saan laeng a siak ti adda iti tay-ak iti dayta nga aldaw.,1
4,"Ket impagarupko a maysa dayta a pribilehio, ket kasta pay laeng, kasta pay laeng, siak laeng ti siam a dua-dua a dati nga O a dayta ti pagtrabahuak iti AFFC Air Force.",Impagarupko idi a siak laeng ti addaan iti dayta a numero iti AFFC Air Force Career field.,0
5,"Ket impagarupko a maysa dayta a pribilehio, ket kasta pay laeng, kasta pay laeng, siak laeng ti siam a dua-dua a dati nga O a dayta ti pagtrabahuak iti AFFC Air Force.","Agpapada ti bilang a naited kadakami, aniaman dagiti naikari a pribilehio a naited kadakami, ulbod amin dayta.",2
6,"Imbagada kaniak a, uh, adda lalaki a maawagan iti ngudo tapno makasaritak.",Awan ti naibaga kaniak maipapan iti pannakisaritak iti asinoman.,2
7,"Imbagada kaniak a, uh, adda lalaki a maawagan iti ngudo tapno makasaritak.",Naikuna kaniak a maysa a lalaki ti maawagan tapno agkikitaak.,0
8,"Imbagada kaniak a, uh, adda lalaki a maawagan iti ngudo tapno makasaritak.",Naladawen ti isasangpet ti lalaki.,1
9,Adu ti mabalinmo a pagsaritaan iti dayta isu a diak usigen dayta.,Kayatko nga ibaga ti amin nga ammok maipapan iti dayta!,2
10,Adu ti mabalinmo a pagsaritaan iti dayta isu a diak usigen dayta.,"Diak kayat a pagsaritaan dayta, nupay adu ti masapul a saritaen.",0
11,Adu ti mabalinmo a pagsaritaan iti dayta isu a diak usigen dayta.,Diak agsao maipapan iti pakasaritaan ti siudad agsipud ta adu unay ti maibaga.,1
12,"Dayta ti kangrunaan a banag a kayatmi a salimetmetan yantangay awan ti aniaman a pamay-an a mangibelleng iti 20-megaton a H-bomba manipud iti 30, maysa a C124.",Saankami a maseknan iti panangisalakan iti aniaman.,2
13,"Dayta ti kangrunaan a banag a kayatmi a salimetmetan yantangay awan ti aniaman a pamay-an a mangibelleng iti 20-megaton a H-bomba manipud iti 30, maysa a C124.",Kayatmi a maispal ti maysa a banag a nangnangruna ngem iti dadduma.,0
14,"Dayta ti kangrunaan a banag a kayatmi a salimetmetan yantangay awan ti aniaman a pamay-an a mangibelleng iti 20-megaton a H-bomba manipud iti 30, maysa a C124.",Kayatmi a salimetmetan ti H-bomb agsipud ta narigat a tamingen dayta.,1
15,Isu a diak unay ammo no apay.,Masiguradok no apay.,2
16,Isu a diak unay ammo no apay.,Diak ammo no apay a binalbaliwanna ti eskuelaan.,1
17,Isu a diak unay ammo no apay.,Diak ammo no apay a napasamak dayta.,0
18,"Ni Fannie Flono daytoy, ken dimmakkel idiay Augusta, GA, ket saritaennatayo maipapan kadagiti estoria manipud iti kinaubingna.",Nabaliwan ti eskediul ni Fannie Flono ket awan ti maibagana kadatayo ita.,2
19,"Ni Fannie Flono daytoy, ken dimmakkel idiay Augusta, GA, ket saritaennatayo maipapan kadagiti estoria manipud iti kinaubingna.","Addan ni Fannie Flono ditoy ket saritaennatayto maipapan kadagiti estoria ti kinaubingna idi dimmakkel idiay Augusta, GA.",0
20,"Ni Fannie Flono daytoy, ken dimmakkel idiay Augusta, GA, ket saritaennatayo maipapan kadagiti estoria manipud iti kinaubingna.",Ni Fannie Flono nakisarita kadakami ita a aldaw nupay okupado ti eskediulna.,1
21,Ket nangikabilak iti lima a grupo ti U2.,Nakilangenak kadagiti U2.,0
22,Ket nangikabilak iti lima a grupo ti U2.,Diak pulos nakipagtrabaho kadagiti U2.,2
23,Ket nangikabilak iti lima a grupo ti U2.,Nagtrabahoak kadagiti grupo ti U2 iti inaldaw iti las-ud ti uppat a pulo a tawen.,1
24,"Siak laeng ti nangpaandar kadagiti regulator para iti, pannubok iti miniature a siled a pagiddaan.",Diak kayat ti agmaymaysa a mangtaray kadagiti regulator para kadagiti pannubok.,1
25,"Siak laeng ti nangpaandar kadagiti regulator para iti, pannubok iti miniature a siled a pagiddaan.",Naaramid dagiti pannubok kadagiti miniature a siled a pagiddaan.,0
26,"Siak laeng ti nangpaandar kadagiti regulator para iti, pannubok iti miniature a siled a pagiddaan.",Sumagmamano kadakami ti nangtaray kadagiti regulator para iti pannubok.,2
27,"Siak ti eh, Chief Master Sergeant, nagretiro, kas kinuna ni Rick.","Agingga ita, agtartrabahoak pay laeng.",2
28,"Siak ti eh, Chief Master Sergeant, nagretiro, kas kinuna ni Rick.",Nagretiroak idi 2002.,1
29,"Siak ti eh, Chief Master Sergeant, nagretiro, kas kinuna ni Rick.",Imbaga ni Rick a nagretiroakon.,0
30,"Adda sumagmamano a projection ti cash flow iti lamisaanko ken, um, uh, para iti kasta ken kasta a Cutty, dayta ti nagan ti kliente.","Ti kliente a ni Cutty ket makaala iti $10,000 iti kada bulan.",1
31,"Adda sumagmamano a projection ti cash flow iti lamisaanko ken, um, uh, para iti kasta ken kasta a Cutty, dayta ti nagan ti kliente.",Adda maysa a kliente nga agnagan Cutty.,0
32,"Adda sumagmamano a projection ti cash flow iti lamisaanko ken, um, uh, para iti kasta ken kasta a Cutty, dayta ti nagan ti kliente.",Awan ti kliente a naawagan iti Cutty.,2
33,Ti babai a makatulong kaniak ket adda iti bangir a paset ti ili.,Ti babai a masapulko ti tulongna ket adayo ti pagnanaedanna.,0
34,Ti babai a makatulong kaniak ket adda iti bangir a paset ti ili.,Ti babai a tumulong kaniak ket lima a milia ti kaadayona.,1
35,Ti babai a makatulong kaniak ket adda iti bangir a paset ti ili.,Awan ti makatulong kaniak.,2
36,"Ngem nabingbingayda no asino ti agtrabaho iti talon ken asino ti agaywan iti balay, isu a kasla...",Nagkaykaysada amin a nagtrabahoda iti talon.,2
37,"Ngem nabingbingayda no asino ti agtrabaho iti talon ken asino ti agaywan iti balay, isu a kasla...",Dida agkinnaawatan no asino ti agtrabaho iti talon ken no asino ti agtalinaed iti balay.,0
38,"Ngem nabingbingayda no asino ti agtrabaho iti talon ken asino ti agaywan iti balay, isu a kasla...",Dida agkinnaawatan no asino ti agtrabaho iti talon ken asino ti agdalus.,1
39,"Ita nga aldaw, saritaennatayo maipapan iti Third SS, ti U2 Quick ken ti Blackbird.",Inkeddengna a dinanton agsao.,2
40,"Ita nga aldaw, saritaennatayo maipapan iti Third SS, ti U2 Quick ken ti Blackbird.",Agsasao maipapan iti tallo a nagduduma a submarino.,1
41,"Ita nga aldaw, saritaennatayo maipapan iti Third SS, ti U2 Quick ken ti Blackbird.",Tallo ti ibagbagana.,0
42,"Kayatko a sawen, lima laeng ti annakda, ket natay ti maysa kadakuada.",Nalasatan ti amin nga annakda.,2
43,"Kayatko a sawen, lima laeng ti annakda, ket natay ti maysa kadakuada.",Natay ti maysa kadagiti lima nga annak.,0
44,"Kayatko a sawen, lima laeng ti annakda, ket natay ti maysa kadakuada.",Ti ubing a natay ket nayanak a masakit.,1
45,"Ket, siempre, ni Androv Gromikov awan ti insungbatna, ngem adda amin nga impormasionmi manipud kadagiti pelikula nga innala ti U2.",Adu ti naala ti U2.,0
46,"Ket, siempre, ni Androv Gromikov awan ti insungbatna, ngem adda amin nga impormasionmi manipud kadagiti pelikula nga innala ti U2.",Ti U2 nangala iti maysa a tonelada a pelikula manipud iti uneg ti danum.,1
47,"Ket, siempre, ni Androv Gromikov awan ti insungbatna, ngem adda amin nga impormasionmi manipud kadagiti pelikula nga innala ti U2.","Awan ti video, isu a basta agduadua laeng.",2
48,"Kinunana nga agsangsangit dagiti matana ket kinunana, kalpasanna kinunana a simmangpet ni Joe iti beranda.","Bayat nga ibagbagana kenkuana a sumang-at iti beranda, agsangsangit dagiti matana.",0
49,"Kinunana nga agsangsangit dagiti matana ket kinunana, kalpasanna kinunana a simmangpet ni Joe iti beranda.",Dagus a pinunasanna ti luana kalpasan a pinaruarna ni Joe iti beranda.,2
50,"Kinunana nga agsangsangit dagiti matana ket kinunana, kalpasanna kinunana a simmangpet ni Joe iti beranda.",Naragsakan unay a nakakita ken Joe isu a nagsangit.,1
51,"Uray no sumsumged ti eroplano, agpuor ken aglilinnetlet dayta babaen ti maysa a paset ti plomo tapno agruar ti radiasion.",Mabalin met a masinga ti radiasion bayat ti uram.,1
52,"Uray no sumsumged ti eroplano, agpuor ken aglilinnetlet dayta babaen ti maysa a paset ti plomo tapno agruar ti radiasion.",Ti radiasion ket agparuar manipud iti maysa a paset ti plomo kalpasan a napuoran ti eroplano.,0
53,"Uray no sumsumged ti eroplano, agpuor ken aglilinnetlet dayta babaen ti maysa a paset ti plomo tapno agruar ti radiasion.",Saan a rummuar ti radiasion bayat ti uram.,2
54,"Ni Chief Master Sergeant Clem Francis, nagretiro manipud iti US Air Force.",Nagretiro ti Hepe manipud iti US Air Force.,0
55,"Ni Chief Master Sergeant Clem Francis, nagretiro manipud iti US Air Force.",Nabiit pay a nagretiro ti Hepe sumagmamano a lawasen ti napalabas.,1
56,"Ni Chief Master Sergeant Clem Francis, nagretiro manipud iti US Air Force.",Ti Hepe ti Air Force ti E.U. ket nangrugi laeng ti karerana ita a lawas.,2
57,"Bueno, adda idi dua wenno tallo nga eroplano a sumangpet iti makalawas ket diak ammo no sadino ti papanda.",Nasurok a maysa nga eroplano ti dumteng iti kada lawas.,0
58,"Bueno, adda idi dua wenno tallo nga eroplano a sumangpet iti makalawas ket diak ammo no sadino ti papanda.",Makapaing-ingget ti panagadu ti eroplano.,1
59,"Bueno, adda idi dua wenno tallo nga eroplano a sumangpet iti makalawas ket diak ammo no sadino ti papanda.",Awan ti uray ania nga eroplano nga um-umay.,2
60,Naipasalandan iti kabal a napuskol ti presionna ket nabayag pay idi a nakawesak iti kabal a napuskol ti presionna.,Kasapulan ti agingga iti tallo a bulan tapno makompleto ti pannakasanay iti panangusar iti kompleto a pressurized suit.,1
61,Naipasalandan iti kabal a napuskol ti presionna ket nabayag pay idi a nakawesak iti kabal a napuskol ti presionna.,Ti panagsanay a mangusar iti kompleto a kawes a mangparigat kasapulan ti tiempo.,0
62,Naipasalandan iti kabal a napuskol ti presionna ket nabayag pay idi a nakawesak iti kabal a napuskol ti presionna.,Mabalin a masanayka nga agusar iti kompleto a kawes a pangpabpababan inton agngudo ti aldaw.,2
63,"Kayatko a sawen nga awan ti peggad a sumrek iti uneg ti bomba agsipud ta saan a bumtak, uray kasano ti kapigsa ti panangdanogna iti daga.",Ti piloto ti nangdismaya iti bomba.,1
64,"Kayatko a sawen nga awan ti peggad a sumrek iti uneg ti bomba agsipud ta saan a bumtak, uray kasano ti kapigsa ti panangdanogna iti daga.",Awan ti posibilidad a bumtak ti bomba.,0
65,"Kayatko a sawen nga awan ti peggad a sumrek iti uneg ti bomba agsipud ta saan a bumtak, uray kasano ti kapigsa ti panangdanogna iti daga.",Dakkel ti peggad a bumtak ti bomba.,2
66,Ket kasano no kasla dayta ti eksakto a kayatko nga aramiden.,Diak ammo no ania ti mariknam iti daytoy.,2
67,Ket kasano no kasla dayta ti eksakto a kayatko nga aramiden.,"Siempre, ikagkagumaak nga aramiden daytoy.",0
68,Ket kasano no kasla dayta ti eksakto a kayatko nga aramiden.,Ikagkagumaak a malpas ti proyekto iti sumaruno a lawas.,1
69,"Ngem uray no kasta, kanayon a malmalday dagiti animal, nangruna dagiti kalding.",Inaldaw a rummuar dagiti kalding iti kuadra.,1
70,"Ngem uray no kasta, kanayon a malmalday dagiti animal, nangruna dagiti kalding.",Masansan a malmalday dagiti kalding.,0
71,"Ngem uray no kasta, kanayon a malmalday dagiti animal, nangruna dagiti kalding.",Naidulin dagiti kalding iti natalged a lugar.,2
72,Nakandado dagiti ridaw idi simrekkami.,Nakasaganan ti amin a ruangan.,2
73,Nakandado dagiti ridaw idi simrekkami.,Adda kadakami dagiti tulbek.,1
