,premise,hypothesis,label
0,ខ្ញុំមិនដែលគិតពីរឿងនេះទេ តែខ្ញុំខកចិត្តខ្លាំងណាស់ ហើយខ្ញុំក៏បាននិយាយជាមួយគាត់ម្តងទៀត,ខ្ញុំមិននិយាយជាមួយគាត់ទៀតទេ។,2
1,ខ្ញុំមិនដែលគិតពីរឿងនេះទេ តែខ្ញុំខកចិត្តខ្លាំងណាស់ ហើយខ្ញុំក៏បាននិយាយជាមួយគាត់ម្តងទៀត,ខ្ញុំខឹងខ្លាំងណាស់ ទើបខ្ញុំចាប់ផ្តើមនិយាយជាមួយគាត់វិញ។,0
2,ខ្ញុំមិនដែលគិតពីរឿងនេះទេ តែខ្ញុំខកចិត្តខ្លាំងណាស់ ហើយខ្ញុំក៏បាននិយាយជាមួយគាត់ម្តងទៀត,យើងបាននិយាយគ្នាយ៉ាងល្អ។,1
3,ហើយខ្ញុំគិតថាវាជាសិទ្ធិមួយ ហើយវានៅតែមាន ខ្ញុំគឺជាអតីតទាហានម្នាក់គត់ ដែលមានអាយុ ៩២២ឆ្នាំ ដែលជាវិស័យការងាររបស់កងទ័ពអាកាស AFFC ។,ខ្ញុំមិនដឹងទេថា ខ្ញុំមិនមែនជាមនុស្សតែមួយគត់ ដែលនៅទីនោះទេ នៅថ្ងៃនោះ។,1
4,ហើយខ្ញុំគិតថាវាជាសិទ្ធិមួយ ហើយវានៅតែមាន ខ្ញុំគឺជាអតីតទាហានម្នាក់គត់ ដែលមានអាយុ ៩២២ឆ្នាំ ដែលជាវិស័យការងាររបស់កងទ័ពអាកាស AFFC ។,ខ្ញុំមានអារម្មណ៍ថា ខ្ញុំមានតែម្នាក់ឯង ដែលមានលេខនេះ នៅទីលានអាជីព AFFC Air Force ។,0
5,ហើយខ្ញុំគិតថាវាជាសិទ្ធិមួយ ហើយវានៅតែមាន ខ្ញុំគឺជាអតីតទាហានម្នាក់គត់ ដែលមានអាយុ ៩២២ឆ្នាំ ដែលជាវិស័យការងាររបស់កងទ័ពអាកាស AFFC ។,យើងទាំងអស់គ្នាត្រូវបានផ្តល់ចំនួនត្រឹមត្រូវដូចគ្នា មិនថាអ្វីដែលយើងត្រូវបានសន្យាថា នឹងទទួលបានទេ គឺជាការកុហកទាំងអស់។,2
6,គេប្រាប់ខ្ញុំថា... អា... ខ្ញុំនឹងត្រូវហៅបុរសម្នាក់ នៅចុងបញ្ចប់ ដើម្បីឲ្យខ្ញុំជួប។,ខ្ញុំមិនដែលត្រូវបានគេប្រាប់អ្វីទាំងអស់អំពីការជួបជាមួយអ្នកណាម្នាក់ទេ។,2
7,គេប្រាប់ខ្ញុំថា... អា... ខ្ញុំនឹងត្រូវហៅបុរសម្នាក់ នៅចុងបញ្ចប់ ដើម្បីឲ្យខ្ញុំជួប។,គេប្រាប់ខ្ញុំថា មានបុរសម្នាក់នឹងត្រូវគេហៅមកជួបខ្ញុំ,0
8,គេប្រាប់ខ្ញុំថា... អា... ខ្ញុំនឹងត្រូវហៅបុរសម្នាក់ នៅចុងបញ្ចប់ ដើម្បីឲ្យខ្ញុំជួប។,បុរសនោះបានបង្ហាញខ្លួនយឺតបន្តិច។,1
9,មានរឿងជាច្រើនដែលអ្នកអាចនិយាយបាន ខ្ញុំនឹងចាកចេញ។,ខ្ញុំចង់ប្រាប់អ្នកគ្រប់យ៉ាងដែលខ្ញុំដឹងអំពីរឿងនេះ!,2
10,មានរឿងជាច្រើនដែលអ្នកអាចនិយាយបាន ខ្ញុំនឹងចាកចេញ។,ខ្ញុំមិននិយាយអំពីរឿងនេះទេ ទោះបីជាមានរឿងជាច្រើនត្រូវនិយាយក៏ដោយ,0
11,មានរឿងជាច្រើនដែលអ្នកអាចនិយាយបាន ខ្ញុំនឹងចាកចេញ។,ខ្ញុំមិននិយាយអំពីប្រវត្តិសាស្ត្រនៃទីក្រុងនេះទេ ព្រោះមានរឿងច្រើនណាស់ដែលត្រូវនិយាយ។,1
12,វាជារឿងសំខាន់ដែលយើងចង់សង្គ្រោះ ព្រោះគ្មានវិធីណាមួយ ដើម្បីបាញ់គ្រាប់បែក H-គ្រាប់បែក 20 មេហ្គាតុងពី 30 មេហ្គាតុង C-124 ។,យើងមិនខ្វល់ពីការរក្សាសុវត្ថិភាពអ្វីឡើយ។,2
13,វាជារឿងសំខាន់ដែលយើងចង់សង្គ្រោះ ព្រោះគ្មានវិធីណាមួយ ដើម្បីបាញ់គ្រាប់បែក H-គ្រាប់បែក 20 មេហ្គាតុងពី 30 មេហ្គាតុង C-124 ។,យើងចង់សង្គ្រោះរឿងមួយជាងរឿងដទៃទៀត,0
14,វាជារឿងសំខាន់ដែលយើងចង់សង្គ្រោះ ព្រោះគ្មានវិធីណាមួយ ដើម្បីបាញ់គ្រាប់បែក H-គ្រាប់បែក 20 មេហ្គាតុងពី 30 មេហ្គាតុង C-124 ។,យើងចង់សង្គ្រោះគ្រាប់អ៊ែរ ព្រោះវាពិបាកក្នុងការដោះស្រាយ។,1
15,ដូច្នេះ ខ្ញុំ មិន ច្បាស់ ថា ហេតុអ្វី ទេ ។,ខ្ញុំប្រាកដថាហេតុអ្វី។,2
16,ដូច្នេះ ខ្ញុំ មិន ច្បាស់ ថា ហេតុអ្វី ទេ ។,ខ្ញុំមិនដឹងថា ហេតុអ្វីបានជាគាត់ផ្លាស់ទីសាលារៀន។,1
17,ដូច្នេះ ខ្ញុំ មិន ច្បាស់ ថា ហេតុអ្វី ទេ ។,ខ្ញុំមិនដឹងថាហេតុអ្វីបានជាវាកើតឡើងទេ។,0
18,"នេះគឺជា Fannie Flono ហើយនាងបានធំឡើងនៅ Augusta, GA ហើយនាងនឹងនិយាយអំពីរឿងរ៉ាវមួយចំនួនពីកុមារភាពរបស់នាង",Fannie Flono ត្រូវតែធ្វើការកំណត់ពេលថ្មី ហើយមិនអាចប្រាប់យើងរឿងអ្វីបានទេ ថ្ងៃនេះ,2
19,"នេះគឺជា Fannie Flono ហើយនាងបានធំឡើងនៅ Augusta, GA ហើយនាងនឹងនិយាយអំពីរឿងរ៉ាវមួយចំនួនពីកុមារភាពរបស់នាង","Fannie Flono នៅទីនេះ ហើយនាងនឹងនិយាយជាមួយយើង អំពីរឿងកុមារភាពរបស់នាង ពីពេលដែលនាងធំឡើងនៅ Augusta, GA។",0
20,"នេះគឺជា Fannie Flono ហើយនាងបានធំឡើងនៅ Augusta, GA ហើយនាងនឹងនិយាយអំពីរឿងរ៉ាវមួយចំនួនពីកុមារភាពរបស់នាង",Fannie Flono អាចនិយាយជាមួយយើងបានថ្ងៃនេះ ទោះបីជាវាត្រូវការរវល់យ៉ាងណាក៏ដោយ,1
21,ហើយខ្ញុំបានដាក់អា... បួនក្រុមចេញពី U2,ខ្ញុំបានដោះស្រាយជាមួយក្រុម U2 ។,0
22,ហើយខ្ញុំបានដាក់អា... បួនក្រុមចេញពី U2,ខ្ញុំមិនដែលជួបក្រុម U2 នោះទេ។,2
23,ហើយខ្ញុំបានដាក់អា... បួនក្រុមចេញពី U2,ខ្ញុំបានធ្វើការជាមួយក្រុម U2 ជារៀងរាល់ថ្ងៃ អស់រយៈពេល ៤០ ឆ្នាំមកហើយ។,1
24,ខ្ញុំជាមនុស្សតែមួយគត់ ដែលបានប្រើកុងត្រូល័រ សម្រាប់ការធ្វើតេស្ត នៅក្នុងបន្ទប់កម្ពស់តូចៗ,ខ្ញុំមិនចូលចិត្តដែលជាអ្នកតែម្នាក់គត់ ដែលត្រូវធ្វើការវិភាគលើអ្នកគ្រប់គ្រងនោះទេ។,1
25,ខ្ញុំជាមនុស្សតែមួយគត់ ដែលបានប្រើកុងត្រូល័រ សម្រាប់ការធ្វើតេស្ត នៅក្នុងបន្ទប់កម្ពស់តូចៗ,ការសាកល្បងត្រូវបានធ្វើឡើងនៅក្នុងបន្ទប់កម្ពស់តូចៗ។,0
26,ខ្ញុំជាមនុស្សតែមួយគត់ ដែលបានប្រើកុងត្រូល័រ សម្រាប់ការធ្វើតេស្ត នៅក្នុងបន្ទប់កម្ពស់តូចៗ,យើងមានអ្នកខ្លះដែលបានធ្វើការសាកល្បងសម្រាប់ការត្រួតពិនិត្យ។,2
27,ខ្ញុំជាអា មេបញ្ជាការរង ដែលបានចូលនិវត្តន៍ ដូចលោក Rick បាននិយាយថា,ខ្ញុំនៅតែធ្វើការរហូតមកដល់ថ្ងៃនេះ,2
28,ខ្ញុំជាអា មេបញ្ជាការរង ដែលបានចូលនិវត្តន៍ ដូចលោក Rick បាននិយាយថា,ខ្ញុំ បាន ចូល និវត្តន៍ នៅ ឆ្នាំ ២០០២។,1
29,ខ្ញុំជាអា មេបញ្ជាការរង ដែលបានចូលនិវត្តន៍ ដូចលោក Rick បាននិយាយថា,Rick បានប្រាប់អ្នកថា ខ្ញុំបានចូលនិវត្តន៍ហើយ,0
30,មានការព្យាករណ៍លំហូរប្រាក់នៅលើតុរបស់ខ្ញុំ ហើយ... អាអា... វាសម្រាប់អ្នកនោះ និងអ្នកនោះ... ឈ្មោះរបស់អតិថិជន។,អតិថិជនឈ្មោះថា Cutty បានប្រាក់ខែ១០០០ដុល្លារក្នុងមួយខែ។,1
31,មានការព្យាករណ៍លំហូរប្រាក់នៅលើតុរបស់ខ្ញុំ ហើយ... អាអា... វាសម្រាប់អ្នកនោះ និងអ្នកនោះ... ឈ្មោះរបស់អតិថិជន។,មានអតិថិជនម្នាក់ឈ្មោះ ខាតី។,0
32,មានការព្យាករណ៍លំហូរប្រាក់នៅលើតុរបស់ខ្ញុំ ហើយ... អាអា... វាសម្រាប់អ្នកនោះ និងអ្នកនោះ... ឈ្មោះរបស់អតិថិជន។,យើងគ្មានអតិថិជនដែលមានឈ្មោះថា Cutty ទេ។,2
33,ក្មេងស្រីដែលអាចជួយខ្ញុំបាន គឺនៅខាងក្រៅទីក្រុង,ក្មេងស្រីដែលខ្ញុំត្រូវការជំនួយពីគេ រស់នៅឆ្ងាយណាស់។,0
34,ក្មេងស្រីដែលអាចជួយខ្ញុំបាន គឺនៅខាងក្រៅទីក្រុង,ក្មេងស្រីដែលនឹងជួយខ្ញុំគឺនៅចម្ងាយប្រាំម៉ាយ (៥ ម៉ាយ) ។,1
35,ក្មេងស្រីដែលអាចជួយខ្ញុំបាន គឺនៅខាងក្រៅទីក្រុង,គ្មាននរណាអាចជួយខ្ញុំបានទេ។,2
36,"ប៉ុន្តែពួកគេត្រូវបានបែងចែកអំពីដូចជាដែលជាការវាលស្រែនិងដែលជាក្មេងផ្ទះ, វាជាប្រភេទនៃ -",ពួកគេបានយល់ព្រមថា ពួកគេនឹងធ្វើការនៅវាល។,2
37,"ប៉ុន្តែពួកគេត្រូវបានបែងចែកអំពីដូចជាដែលជាការវាលស្រែនិងដែលជាក្មេងផ្ទះ, វាជាប្រភេទនៃ -",ពួកគេ មិន អាច យល់ ស្រប គ្នា អំពី ថា តើ នរណា ជា អ្នក ធ្វើ ការ នៅ លើ ដី និង នរណា ជា អ្នក នៅ ក្នុង ផ្ទះ។,0
38,"ប៉ុន្តែពួកគេត្រូវបានបែងចែកអំពីដូចជាដែលជាការវាលស្រែនិងដែលជាក្មេងផ្ទះ, វាជាប្រភេទនៃ -",ពួកគេមិនអាចយល់ព្រមគ្នាបានថា អ្នកណាត្រូវធ្វើការនៅវាលកៅស៊ូ និង អ្នកណាត្រូវលាងលូ។,1
39,ថ្ងៃនេះ គាត់នឹងនិយាយជាមួយយើងអំពី SS ទីបី U2 Quick និង Blackbird ។,គាត់បានសម្រេចចិត្តមិននិយាយទៀតទេ។,2
40,ថ្ងៃនេះ គាត់នឹងនិយាយជាមួយយើងអំពី SS ទីបី U2 Quick និង Blackbird ។,គាត់និយាយអំពីទូកទឹកជម្រៅ ៣ប្រភេទផ្សេងគ្នា។,1
