,premise,hypothesis,label
0,"मी त्याबद्दल विचारही करत नव्हतो, पण मी खूप निराश झालो होतो, आणि, मी पुन्हा त्याच्याशी बोललो.",मी त्याच्याशी पुन्हा बोललो नाही.,2
1,"मी त्याबद्दल विचारही करत नव्हतो, पण मी खूप निराश झालो होतो, आणि, मी पुन्हा त्याच्याशी बोललो.",मी इतकी अस्वस्थ होते की मी त्याच्याशी पुन्हा बोलू लागलो.,0
2,"मी त्याबद्दल विचारही करत नव्हतो, पण मी खूप निराश झालो होतो, आणि, मी पुन्हा त्याच्याशी बोललो.",आमची चांगली चर्चा झाली.,1
3,"आणि मला वाटलं की हा एक विशेषाधिकार आहे, आणि अजूनही आहे, मी एकमेव ९२२ माजी अधिकारी होतो जे माझे AFFC वायुसेना करिअर क्षेत्र होते.",मला माहित नव्हते की त्या दिवशी मी एकटीच मैदानावर नव्हतो.,1
4,"आणि मला वाटलं की हा एक विशेषाधिकार आहे, आणि अजूनही आहे, मी एकमेव ९२२ माजी अधिकारी होतो जे माझे AFFC वायुसेना करिअर क्षेत्र होते.",मला वाटलं होतं की एएफएफसी एअर फोर्स करिअर फील्डमध्ये मी एकमेव असा नंबर आहे.,0
5,"आणि मला वाटलं की हा एक विशेषाधिकार आहे, आणि अजूनही आहे, मी एकमेव ९२२ माजी अधिकारी होतो जे माझे AFFC वायुसेना करिअर क्षेत्र होते.",आम्हाला सर्वाना एकच संख्या देण्यात आली. आम्हाला कोणतेही विशेषाधिकार देण्याचे आश्वासन दिले गेले असले तरी ते सर्व खोटे होते.,2
6,"त्यांनी मला सांगितले की, उह, मला शेवटी एका मुलाला भेटायला बोलावले जाईल.",मला कोणाला भेटण्याबद्दल कधीच काही सांगण्यात आले नाही.,2
7,"त्यांनी मला सांगितले की, उह, मला शेवटी एका मुलाला भेटायला बोलावले जाईल.",मला सांगण्यात आले होते की एका माणसाला मला भेटायला बोलावण्यात येईल.,0
8,"त्यांनी मला सांगितले की, उह, मला शेवटी एका मुलाला भेटायला बोलावले जाईल.",तो माणूस थोडा उशीरा आला.,1
9,तुम्ही यावर बरेच काही बोलू शकता मी ते वगळणार आहे.,मला त्याबद्दल जे काही माहित आहे ते सगळं मी तुला सांगणार आहे!,2
10,तुम्ही यावर बरेच काही बोलू शकता मी ते वगळणार आहे.,"मी त्याबद्दल बोलणार नाही, जरी बरंच काही कव्हर करायचं आहे.",0
11,तुम्ही यावर बरेच काही बोलू शकता मी ते वगळणार आहे.,मी शहराच्या इतिहासाबद्दल बोलणार नाही कारण सांगण्यासारखं खूप आहे.,1
12,"आम्हाला हीच गोष्ट वाचवायची होती कारण २० मेगाटनचा हायड्रोजन बॉम्ब ३०, सी १२४ वरून टाकण्याचा कोणताही मार्ग नव्हता.",आम्हाला काहीही वाचवायची काळजी नव्हती.,2
13,"आम्हाला हीच गोष्ट वाचवायची होती कारण २० मेगाटनचा हायड्रोजन बॉम्ब ३०, सी १२४ वरून टाकण्याचा कोणताही मार्ग नव्हता.",आम्हाला इतर गोष्टींपेक्षा एका गोष्टीला वाचवायचं होतं.,0
14,"आम्हाला हीच गोष्ट वाचवायची होती कारण २० मेगाटनचा हायड्रोजन बॉम्ब ३०, सी १२४ वरून टाकण्याचा कोणताही मार्ग नव्हता.",आम्हाला एच-बॉम्ब वाचवायचा होता कारण तो हाताळणे खूप कठीण होते.,1
15,त्यामुळे मला नक्की का माहित नाही.,मला खात्री आहे की ते का आहे.,2
16,त्यामुळे मला नक्की का माहित नाही.,मला माहित नाही की त्याने शाळा का बदलल्या.,1
17,त्यामुळे मला नक्की का माहित नाही.,मला माहित नाही ते का झालं.,0
18,"ही फॅनी फ्लोनो आहे, आणि ती ऑगस्टा, GA मध्ये मोठी झाली आहे, आणि ती आपल्या बालपणातील काही गोष्टी सांगणार आहे.",फॅनी फ्लानोला पुन्हा बोलावणं लागलं आणि आज ती आम्हाला काही सांगू शकली नाही.,2
19,"ही फॅनी फ्लोनो आहे, आणि ती ऑगस्टा, GA मध्ये मोठी झाली आहे, आणि ती आपल्या बालपणातील काही गोष्टी सांगणार आहे.","फॅनी फ्लानो इथे आहे आणि ती आपल्याशी ऑगस्टा, जीए मध्ये वाढत असलेल्या तिच्या बालपणातील कथांबद्दल बोलणार आहे.",0
20,"ही फॅनी फ्लोनो आहे, आणि ती ऑगस्टा, GA मध्ये मोठी झाली आहे, आणि ती आपल्या बालपणातील काही गोष्टी सांगणार आहे.",फॅनी फ्लानो आज आपल्याशी बोलू शकली तिच्या व्यस्त वेळापत्रकावरुन.,1
21,आणि मी पाच युनिट यू-२ च्या बाहेर काढले होते.,मी U2 च्या लोकांशी व्यवहार केला.,0
22,आणि मी पाच युनिट यू-२ च्या बाहेर काढले होते.,मी U2 च्या लोकांशी व्यवहार केला नाही.,2
23,आणि मी पाच युनिट यू-२ च्या बाहेर काढले होते.,मी ४० वर्षे दररोज यू-२ च्या संघासोबत काम केले.,1
24,"मी एकमेव होतो ज्याने कधी, उंचीच्या छोट्या खोलीत परीक्षेसाठी रेग्युलेटर चालवले.",मला एकट्यानेच चाचण्यांसाठी रेग्युलेटर चालवणे आवडत नव्हते.,1
25,"मी एकमेव होतो ज्याने कधी, उंचीच्या छोट्या खोलीत परीक्षेसाठी रेग्युलेटर चालवले.",लघु उंचीच्या कक्षात चाचण्या केल्या गेल्या.,0
26,"मी एकमेव होतो ज्याने कधी, उंचीच्या छोट्या खोलीत परीक्षेसाठी रेग्युलेटर चालवले.",आमच्यापैकी काही जण या चाचणीसाठी रेग्युलेटर चालवत होते.,2
27,"मी, रिकीने सांगितल्याप्रमाणे, सेवानिवृत्त झालेला, चीफ मास्टर सार्जंट आहे.",मी आजही काम करत आहे.,2
28,"मी, रिकीने सांगितल्याप्रमाणे, सेवानिवृत्त झालेला, चीफ मास्टर सार्जंट आहे.",मी २००२ मध्ये निवृत्त झालो.,1
29,"मी, रिकीने सांगितल्याप्रमाणे, सेवानिवृत्त झालेला, चीफ मास्टर सार्जंट आहे.",रिकने सांगितलं होतं की मी निवृत्त झालोय.,0
30,"माझ्या डेस्कवर काही रोख प्रवाह अंदाज आहेत आणि, ह्म्म्, ह्म्, ते अशा आणि अशा कटीसाठी आहे, ते क्लायंटचे नाव आहे.",कट्टी नावाच्या क्लायंटला महिन्याला १०००० मिळतात.,1
31,"माझ्या डेस्कवर काही रोख प्रवाह अंदाज आहेत आणि, ह्म्म्, ह्म्, ते अशा आणि अशा कटीसाठी आहे, ते क्लायंटचे नाव आहे.",कट्टी नावाचा एक क्लायंट आहे.,0
32,"माझ्या डेस्कवर काही रोख प्रवाह अंदाज आहेत आणि, ह्म्म्, ह्म्, ते अशा आणि अशा कटीसाठी आहे, ते क्लायंटचे नाव आहे.",आमच्याकडे कट्टी नावाचा कोणताही क्लायंट नाही.,2
33,मला मदत करू शकणारी मुलगी शहराच्या दुसऱ्या बाजूला आहे.,मला ज्या मुलीची मदत हवी आहे ती खूप दूर राहते.,0
34,मला मदत करू शकणारी मुलगी शहराच्या दुसऱ्या बाजूला आहे.,मला मदत करणारी मुलगी पाच मैल दूर आहे.,1
35,मला मदत करू शकणारी मुलगी शहराच्या दुसऱ्या बाजूला आहे.,मला मदत करणारा कोणीही नाही.,2
36,"पण त्यांना वाटून टाकण्यात आले होते की कोण शेतातील कामगार आणि कोण घरातील मुले, ते एक प्रकारचे होते--",ते सर्वजण शेतात काम करतील यावर सहमत झाले.,2
37,"पण त्यांना वाटून टाकण्यात आले होते की कोण शेतातील कामगार आणि कोण घरातील मुले, ते एक प्रकारचे होते--",कोण शेतात काम करणारा आणि कोण घरात राहणारा यावर ते सहमत नव्हते.,0
38,"पण त्यांना वाटून टाकण्यात आले होते की कोण शेतातील कामगार आणि कोण घरातील मुले, ते एक प्रकारचे होते--",कापूस शेतात कोण काम करेल आणि कोण मजले पुसणार यावर ते सहमत नव्हते.,1
39,"आज ते आपल्याशी तिसऱ्या एसएस, यू 2 क्विक आणि ब्लॅकबर्ड बद्दल बोलणार आहेत.",त्याने आता बोलू नये असं ठरवलं आहे.,2
40,"आज ते आपल्याशी तिसऱ्या एसएस, यू 2 क्विक आणि ब्लॅकबर्ड बद्दल बोलणार आहेत.",तो तीन वेगवेगळ्या पाणबुड्यांबद्दल बोलतो.,1
41,"आज ते आपल्याशी तिसऱ्या एसएस, यू 2 क्विक आणि ब्लॅकबर्ड बद्दल बोलणार आहेत.",तो तीन गोष्टींविषयी बोलतो.,0
42,"म्हणजे त्यांना फक्त, पाच मुलं होती, त्यातील एक मरण पावला.",त्यांची सर्व मुले वाचली.,2
