,premise,hypothesis,label
0,အင်း၊ ဒီအကြောင်းကို တွေးတောင်မတွေးခဲ့ပေမဲ့ အရမ်းစိတ်ပျက်ခဲ့ပြီး နောက်ဆုံးတော့ သူနဲ့ စကားပြောခဲ့တယ်။,နောက် သူနဲ့ စကားမပြောရတော့ဘူး။,2
1,အင်း၊ ဒီအကြောင်းကို တွေးတောင်မတွေးခဲ့ပေမဲ့ အရမ်းစိတ်ပျက်ခဲ့ပြီး နောက်ဆုံးတော့ သူနဲ့ စကားပြောခဲ့တယ်။,ကျွန်မ စိတ်ဆိုးလွန်းလို့ သူနဲ့ စကားစမြည်ပြောခဲ့တယ်။,0
2,အင်း၊ ဒီအကြောင်းကို တွေးတောင်မတွေးခဲ့ပေမဲ့ အရမ်းစိတ်ပျက်ခဲ့ပြီး နောက်ဆုံးတော့ သူနဲ့ စကားပြောခဲ့တယ်။,ကျွန်မတို့ စကားပြောတာ ကောင်းတယ်။,1
3,ဒါဟာ အထူးအခွင့်အရေးလို့ ထင်ခဲ့တာ၊ ပြီးတော့ အခုလည်း ထင်နေတုန်းပါ။ ကျွန်တော်ဟာ ၉-၂-၂ တပ်မှူးဟောင်း တစ်ဦးတည်း ဖြစ်ခဲ့ပါတယ်၊ ကျွန်တော့ရဲ့ AFFC လေတပ် အငြိမ်းစား ကွင်းဆင်း စစ်မှုထမ်းကာလ အတွင်းမှာပေါ့ဗျာ။,ကျွန်တော်တစ်ယောက်တည်းသာ အဲဒီကွင်းထဲမှာ ရှိနေတာ မဟုတ်ဘူးဆိုတာကို ကျွန်တော် မသိခဲ့ပါဘူး။,1
4,ဒါဟာ အထူးအခွင့်အရေးလို့ ထင်ခဲ့တာ၊ ပြီးတော့ အခုလည်း ထင်နေတုန်းပါ။ ကျွန်တော်ဟာ ၉-၂-၂ တပ်မှူးဟောင်း တစ်ဦးတည်း ဖြစ်ခဲ့ပါတယ်၊ ကျွန်တော့ရဲ့ AFFC လေတပ် အငြိမ်းစား ကွင်းဆင်း စစ်မှုထမ်းကာလ အတွင်းမှာပေါ့ဗျာ။,AFFC လေတပ် အတွေ့အကြုံ နယ်မြေမှာ ဒီကိန်းဂဏန်းရှိတဲ့ တစ်ဦးတည်းသော သူလို့ ထင်ခဲ့တယ်။,0
5,ဒါဟာ အထူးအခွင့်အရေးလို့ ထင်ခဲ့တာ၊ ပြီးတော့ အခုလည်း ထင်နေတုန်းပါ။ ကျွန်တော်ဟာ ၉-၂-၂ တပ်မှူးဟောင်း တစ်ဦးတည်း ဖြစ်ခဲ့ပါတယ်၊ ကျွန်တော့ရဲ့ AFFC လေတပ် အငြိမ်းစား ကွင်းဆင်း စစ်မှုထမ်းကာလ အတွင်းမှာပေါ့ဗျာ။,ကျွန်မတို့အားလုံးဟာ တူညီတဲ့ အရေအတွက်ပဲ ရခဲ့ကြတယ်၊ ကျွန်မတို့ကို ပေးမယ်လို့ ကတိပေးထားတဲ့ ဘာပဲဖြစ်ဖြစ်၊ အားလုံးဟာ မုသားတွေချည်းပါ။,2
6,သူတို့က ကျွန်မကို ပြောတယ် အိုး အဆုံးမှာ လူတစ်ယောက်ကို ခေါ်လာမယ်၊ ကျွန်မနဲ့ တွေ့အောင်ပြောမယ်တဲ့,ဘယ်သူ့ကိုမှ တွေ့ဆုံခဲ့တယ်လို့ မပြောခဲ့ဘူး။,2
7,သူတို့က ကျွန်မကို ပြောတယ် အိုး အဆုံးမှာ လူတစ်ယောက်ကို ခေါ်လာမယ်၊ ကျွန်မနဲ့ တွေ့အောင်ပြောမယ်တဲ့,ကျွန်မနဲ့ တွေ့ဆုံဖို့ လူတစ်ယောက် ခေါ်လာမယ်လို့ ပြောခဲ့တယ်။,0
8,သူတို့က ကျွန်မကို ပြောတယ် အိုး အဆုံးမှာ လူတစ်ယောက်ကို ခေါ်လာမယ်၊ ကျွန်မနဲ့ တွေ့အောင်ပြောမယ်တဲ့,ဒီလူက နည်းနည်း နောက်ကျပြီး ပေါ်လာတယ်။,1
9,ဒီအကြောင်း ပြောစရာတွေ အများကြီးရှိတာ သိပေမဲ့ ဒါကို ကျော်လိုက်ပါ့မယ်။,ဒီအကြောင်း ကျွန်မသိတာ အားလုံးကို ပြောပြချင်ပါတယ်။,2
