,premise,hypothesis,label
0,"Ik dacht er niet eens aan, maar ik was zo gefrustreerd, en ik ben weer met hem gaan praten.",Ik heb hem niet meer gesproken.,2
1,"Ik dacht er niet eens aan, maar ik was zo gefrustreerd, en ik ben weer met hem gaan praten.",Ik was zo van streek dat ik weer met hem begon te praten.,0
2,"Ik dacht er niet eens aan, maar ik was zo gefrustreerd, en ik ben weer met hem gaan praten.",We hadden een geweldig gesprek.,1
3,"Ik dacht dat het een voorrecht was, en dat is het nog steeds, ik was de enige negen twee twee ex-O die mijn AFFC Air Force Career veld was.",Ik was me er niet van bewust dat ik niet de enige persoon was die op het veld was die dag.,1
4,"Ik dacht dat het een voorrecht was, en dat is het nog steeds, ik was de enige negen twee twee ex-O die mijn AFFC Air Force Career veld was.",Ik had de indruk dat ik de enige was met dat nummer op het AFFC Air Force Career veld.,0
5,"Ik dacht dat het een voorrecht was, en dat is het nog steeds, ik was de enige negen twee twee ex-O die mijn AFFC Air Force Career veld was.","We kregen allemaal hetzelfde aantal, ongeacht de beloften die we kregen. Het was allemaal een leugen.",2
6,Ze zeiden dat ik een man zou krijgen om te ontmoeten.,Ik heb nooit iets gehoord over iemand ontmoeten.,2
7,Ze zeiden dat ik een man zou krijgen om te ontmoeten.,Ik hoorde dat er iemand voor me zou komen.,0
8,Ze zeiden dat ik een man zou krijgen om te ontmoeten.,De man kwam wat laat.,1
9,"Er is zoveel waar je over kunt praten, dat zal ik overslaan.",Ik wil je alles vertellen wat ik daarover weet.,2
10,"Er is zoveel waar je over kunt praten, dat zal ik overslaan.","Daar wil ik niet over praten, ook al is er veel te bespreken.",0
11,"Er is zoveel waar je over kunt praten, dat zal ik overslaan.","Ik zal niet over de geschiedenis van de stad praten, want er is te veel te vertellen.",1
12,"Dat was het belangrijkste wat we wilden redden, omdat er geen manier was om een 20 megaton H-bom van een 30 te dumpen, een C124.",We wilden niets redden.,2
13,"Dat was het belangrijkste wat we wilden redden, omdat er geen manier was om een 20 megaton H-bom van een 30 te dumpen, een C124.",We wilden één ding meer dan de rest redden.,0
14,"Dat was het belangrijkste wat we wilden redden, omdat er geen manier was om een 20 megaton H-bom van een 30 te dumpen, een C124.",We wilden de waterstofbom redden omdat het zo moeilijk was om ermee om te gaan.,1
15,Ik weet niet precies waarom.,Ik weet zeker waarom.,2
16,Ik weet niet precies waarom.,Ik weet niet waarom hij van school verhuisde.,1
17,Ik weet niet precies waarom.,Ik weet niet waarom dat gebeurde.,0
18,"Dit is Fannie Flono, en ze groeide op in Augusta, GA, en ze gaat praten over enkele verhalen uit haar jeugd.",Fannie Flono moest een andere afspraak maken en kan ons geen verhalen vertellen vandaag.,2
19,"Dit is Fannie Flono, en ze groeide op in Augusta, GA, en ze gaat praten over enkele verhalen uit haar jeugd.","Fannie Flono is hier en ze gaat ons vertellen over haar jeugdverhalen van opgroeien in Augusta, GA.",0
20,"Dit is Fannie Flono, en ze groeide op in Augusta, GA, en ze gaat praten over enkele verhalen uit haar jeugd.",Fannie Flono kon vandaag met ons praten ondanks haar drukke schema.,1
21,En ik had vijf afdelingen van U2's uitgeschakeld.,Ik heb met de U2's afgerekend.,0
22,En ik had vijf afdelingen van U2's uitgeschakeld.,Ik heb helemaal niets met de U2's te maken gehad.,2
23,En ik had vijf afdelingen van U2's uitgeschakeld.,Ik heb 40 jaar lang elke dag met de U2-afdelingen gewerkt.,1
24,Ik was de enige die de regulatoren voor de test in de miniatuur hoogte kamers gebruikte.,Ik vond het niet leuk om de enige te zijn die de regulators voor de tests uitvoerde.,1
25,Ik was de enige die de regulatoren voor de test in de miniatuur hoogte kamers gebruikte.,De proeven werden gedaan in de miniatuurhoogte kamers.,0
26,Ik was de enige die de regulatoren voor de test in de miniatuur hoogte kamers gebruikte.,Er waren een paar van ons die de regulators voor de test uitvoeren.,2
