,premise,hypothesis,label
0,"Vel, eg tenkte ikkje på det, men eg var verkeleg opprørt, og eg snakka med han på ein måte.",Eg har ikkje snakka med han no.,2
1,"Vel, eg tenkte ikkje på det, men eg var verkeleg opprørt, og eg snakka med han på ein måte.",Eg vart så opprørt at eg berre byrja å snakka med han igjen.,0
2,"Vel, eg tenkte ikkje på det, men eg var verkeleg opprørt, og eg snakka med han på ein måte.",Vi hadde eit godt samtal.,1
3,"Og eg trudde det var eit privilegium, og det er framleis eit privilegium, fordi eg er den einaste som aldri har vore noko slikt.",Eg visste ikkje at eg ikkje var den einaste personen på banen den dagen.,1
4,"Og eg trudde det var eit privilegium, og det er framleis eit privilegium, fordi eg er den einaste som aldri har vore noko slikt.",Eg var under lyden av at eg var den einaste som hadde eit slikt nummer på flyplassen.,0
5,"Og eg trudde det var eit privilegium, og det er framleis eit privilegium, fordi eg er den einaste som aldri har vore noko slikt.","Me fekk alle det same talet uansett kva for eit privilegium me fekk, og det var løgn.",2
6,Dei sa at eg ville treffe ein jente på slutten av føredraget.,Eg fekk aldri fortalt om å treffe nokon.,2
7,Dei sa at eg ville treffe ein jente på slutten av føredraget.,Eg fekk beskjed om at det var ein fyr som skulle møta meg.,0
8,Dei sa at eg ville treffe ein jente på slutten av føredraget.,Han kom litt seinare.,1
9,Det er så mykje du kan snakke om.,Eg vil fortelja deg alt eg veit om det!,2
10,Det er så mykje du kan snakke om.,"Eg vil ikkje snakke om det, sjølv om det er mykje å gjere.",0
11,Det er så mykje du kan snakke om.,Eg vil ikkje snakka om historia til byen fordi det er for mykje å fortelje.,1
12,"Det var det viktigaste vi klarde å gjere, sidan det var umogleg å smelte ein H-bombe på 20 tonn frå ein K-bombe på 30 tonn.",Me brydde oss ikkje om å redde noko.,2
13,"Det var det viktigaste vi klarde å gjere, sidan det var umogleg å smelte ein H-bombe på 20 tonn frå ein K-bombe på 30 tonn.","Me ville redde livet deira, noko me ikkje kunne.",0
14,"Det var det viktigaste vi klarde å gjere, sidan det var umogleg å smelte ein H-bombe på 20 tonn frå ein K-bombe på 30 tonn.",Me ville redde hydrogenbombane fordi dei var så vanskelege å håndtere.,1
15,Så eg veit ikkje heilt kvifor eg gjer dette.,Eg er sikker på grunnen til dette.,2
16,Så eg veit ikkje heilt kvifor eg gjer dette.,Eg veit ikkje kvifor han bytte skule.,1
17,Så eg veit ikkje heilt kvifor eg gjer dette.,Eg veit ikkje kvifor det skjedde.,0
18,"Dette er Fannie Flono, ho voks opp i Augusta, Georgia, og ho skal fortelje nokre historier om borna si då ho var liten.",Fannie Flono har ikkje fått tida og kan ikkje fortelje oss korleis det gjekk i morse.,2
19,"Dette er Fannie Flono, ho voks opp i Augusta, Georgia, og ho skal fortelje nokre historier om borna si då ho var liten.","Fannie Flono er her og ho skal fortelje om kvar av dei tre barndomshistoriane hennar som blei oppdaga i Augusta, Georgia.",0
20,"Dette er Fannie Flono, ho voks opp i Augusta, Georgia, og ho skal fortelje nokre historier om borna si då ho var liten.",Fannie Flono kunne snakke med oss i dag sjølv om ho hadde eit travelt program.,1
21,"Og eg hadde sett fem av dei, i ein haug med underlag.",Eg snakka med U2 for ein stund.,0
22,"Og eg hadde sett fem av dei, i ein haug med underlag.",Eg hadde ikkje noko imot U2 for augo sine.,2
23,"Og eg hadde sett fem av dei, i ein haug med underlag.",Eg har vore med i U2 i over 40 år.,1
24,"Det var berre eg som stelte bileta, til prøva, i miniatyr-boksar.",Eg likar ikkje å vera den som gjer testane.,1
25,"Det var berre eg som stelte bileta, til prøva, i miniatyr-boksar.",Desse testane vart gjort i miniatyrkammarar i høgd.,0
26,"Det var berre eg som stelte bileta, til prøva, i miniatyr-boksar.","Det var nokre av oss som gjekk på festar,",2
27,"Eg er ein leiar, som Rick sa.",Eg jobbar framleis denne dagen.,2
28,"Eg er ein leiar, som Rick sa.",Eg trekt meg tilbake i 2002.,1
29,"Eg er ein leiar, som Rick sa.",Rick sa at eg var pensjonist.,0
30,"Det fins nokre tal som tyder på at pengar kjem inn i landet. Det er ein måte å tenkja på hendingar som har noko med USA å gjere, men det er òg ein måte å sjå at USA held på å tenkja på hendingar som har noko med USA å gjere.",Kunder med namn Cutty tenar over 10 000 dollar per månad.,1
31,"Det fins nokre tal som tyder på at pengar kjem inn i landet. Det er ein måte å tenkja på hendingar som har noko med USA å gjere, men det er òg ein måte å sjå at USA held på å tenkja på hendingar som har noko med USA å gjere.",Det er ein klient som heiter Cutty.,0
32,"Det fins nokre tal som tyder på at pengar kjem inn i landet. Det er ein måte å tenkja på hendingar som har noko med USA å gjere, men det er òg ein måte å sjå at USA held på å tenkja på hendingar som har noko med USA å gjere.",Me har ingen kunder som heiter Cutty.,2
33,Ho som kan hjelpe meg er på andre sida av byen.,"Ho som eg har bruk for, bur langt borte.",0
34,Ho som kan hjelpe meg er på andre sida av byen.,Jenta som skal hjelpe meg er 8 km unna.,1
35,Ho som kan hjelpe meg er på andre sida av byen.,Det er ingen som kan hjelpa meg.,2
36,"Dei var delte på kven som skulle arbeide der, og kven som skulle halde hus. Det var litt som...",Dei vart alle samde om at dei alle ville arbeide på marka.,2
37,"Dei var delte på kven som skulle arbeide der, og kven som skulle halde hus. Det var litt som...",Dei var ikkje samde om kven som var arbeidaren og kven som var leiaren.,0
38,"Dei var delte på kven som skulle arbeide der, og kven som skulle halde hus. Det var litt som...",Dei kunne ikkje bli samde om kven som skulle arbeide på bomullsfeltet og kven som skulle vaska gulv.,1
39,"I dag skal han fortelje oss om den tredje SS-en, U2 Quick og Blackbird.",Han har valt å ikkje snakka meir.,2
40,"I dag skal han fortelje oss om den tredje SS-en, U2 Quick og Blackbird.",Han snakkar om tre ulike båtar.,1
41,"I dag skal han fortelje oss om den tredje SS-en, U2 Quick og Blackbird.",Han snakkar om tre ting.,0
42,"Dei hadde fem barn, og ein av dei døydde.",Alle borna deira overlevde.,2
43,"Dei hadde fem barn, og ein av dei døydde.",Eit av dei fem døydde.,0
44,"Dei hadde fem barn, og ein av dei døydde.",Barnet som døydde var fødd sjukleg.,1
45,"Og sjølvsagt, Androv Gromikov svara ikkje på noko av dette, men me fekk all informasjonen frå filmen han hadde til U2.",U2 tok mykje film.,0
46,"Og sjølvsagt, Androv Gromikov svara ikkje på noko av dette, men me fekk all informasjonen frå filmen han hadde til U2.",U2 tok frå vatnmassan tonnevis av film.,1
47,"Og sjølvsagt, Androv Gromikov svara ikkje på noko av dette, men me fekk all informasjonen frå filmen han hadde til U2.","Me hadde ikkje noko kamera, så me måtte gjere meine meiningar.",2
48,"Ho sa at ho berre hadde tårer i augo, og ho sa, ""Joe kom opp på veranda"".",Som ho sa til han å koma opp veranda hadde ho tårer i augo.,0
49,"Ho sa at ho berre hadde tårer i augo, og ho sa, ""Joe kom opp på veranda"".",Ho tørka bort tårene fort etter å ha kasta Joe ut av veranda.,2
50,"Ho sa at ho berre hadde tårer i augo, og ho sa, ""Joe kom opp på veranda"".",Ho var så glad for å sjå Joe at ho byrja å gråta.,1
51,"Om flyet hadde vore i brann, hadde det vore oppbrend og smeltet gjennom strålingen.",Stråling kan haldast tilbake i samband med brann.,1
52,"Om flyet hadde vore i brann, hadde det vore oppbrend og smeltet gjennom strålingen.",Strålingen kan ha lekt ut frå ein leddelen etter at flyet brann.,0
53,"Om flyet hadde vore i brann, hadde det vore oppbrend og smeltet gjennom strålingen.",Radioaktiv stråling kjem ikkje ut av kroppen din i samband med brann.,2
54,"Dette er sersjant Clem Francis, frå US Air Force.",Ho forlot den amerikanske flåten.,0
55,"Dette er sersjant Clem Francis, frå US Air Force.",Sjefen pensjonerte seg for ei tid sidan.,1
56,"Dette er sersjant Clem Francis, frå US Air Force.",Den amerikanske flåten starta si karriere denne vekta.,2
57,"Det var to eller tre fly som kom inn i løpet av ein veke, og eg visste ikkje rart kvar dei skulle fly til.",Meir enn eitt fly kjem til kvar veke.,0
58,"Det var to eller tre fly som kom inn i løpet av ein veke, og eg visste ikkje rart kvar dei skulle fly til.",Den auka flytrafikken er problematisk.,1
59,"Det var to eller tre fly som kom inn i løpet av ein veke, og eg visste ikkje rart kvar dei skulle fly til.",Det kjem aldri nokon fly.,2
60,"Dei hadde alt vore opplært i å bruke to ulike typer utstyr. Og det tok tid, fordi då me brukte to ulike typer utstyr,",Det tek opptil tre månader å fullføre opplæring i bruk av ein full trykksutt.,1
61,"Dei hadde alt vore opplært i å bruke to ulike typer utstyr. Og det tok tid, fordi då me brukte to ulike typer utstyr,",Å trene å bruke ein full trykksmørk teke tid.,0
62,"Dei hadde alt vore opplært i å bruke to ulike typer utstyr. Og det tok tid, fordi då me brukte to ulike typer utstyr,",Vi kunne laga ein by med eit par bein i ein kvart kvart hus.,2
63,Eg vil seie at det var ikkje fare for at bomben ikkje kunne gå opp i flaten sin sjølv om dei gjekk ned.,Bomba var blitt avlysa av piloten.,1
64,Eg vil seie at det var ikkje fare for at bomben ikkje kunne gå opp i flaten sin sjølv om dei gjekk ned.,Bomba hadde ingen sjanse til å eksplodera.,0
65,Eg vil seie at det var ikkje fare for at bomben ikkje kunne gå opp i flaten sin sjølv om dei gjekk ned.,Det var stor fare for at bomben kunne eksplodera.,2
66,Og kva om det ser ut som det eg prøver å gjere?,Eg veit ikkje kva du tenkjer.,2
67,Og kva om det ser ut som det eg prøver å gjere?,Eg prøver å forstå det.,0
68,Og kva om det ser ut som det eg prøver å gjere?,Eg prøver å fullføra prosjektet mitt i neste veke.,1
69,"Men likevel, dyrene kunne alltid koma seg vekk, særleg geitar.",Geitene rømde frå stallen kvar dag.,1
70,"Men likevel, dyrene kunne alltid koma seg vekk, særleg geitar.",Geiten rømde ofte.,0
71,"Men likevel, dyrene kunne alltid koma seg vekk, særleg geitar.",Geitene vart haldne trygge og sikre.,2
72,Dørene var låste då vi gjekk inn.,Alle dørene var opne.,2
