,premise,hypothesis,label
0,"मैले त्यसबारे सोचेको पनि थिइनँ, तर म निकै निराश थिएँ, र, मैले फेरि उनीसँग कुरा गरेँ।",मैले फेरि उहाँसँग कुरा गरेन।,2
1,"मैले त्यसबारे सोचेको पनि थिइनँ, तर म निकै निराश थिएँ, र, मैले फेरि उनीसँग कुरा गरेँ।",म यति निराश भएँ कि मैले फेरि उहाँसँग कुरा गर्न सुरु गरें।,0
2,"मैले त्यसबारे सोचेको पनि थिइनँ, तर म निकै निराश थिएँ, र, मैले फेरि उनीसँग कुरा गरेँ।",हामीले राम्रो कुराकानी गर्यौं।,1
3,"र मैले सोचेँ कि यो एउटा विशेषाधिकार हो, र यो अझै पनि, यो अझै पनि, म मात्र नौ दुई-दुई पूर्व-ओ हुँ जुन मेरो AFFC एयर फोर्स क्यारियर क्षेत्र थियो।",मलाई थाहा थिएन कि म मात्र त्यस दिन मैदानमा थिइनँ।,1
4,"र मैले सोचेँ कि यो एउटा विशेषाधिकार हो, र यो अझै पनि, यो अझै पनि, म मात्र नौ दुई-दुई पूर्व-ओ हुँ जुन मेरो AFFC एयर फोर्स क्यारियर क्षेत्र थियो।",म यस्तो धारणामा थिएँ कि एएफएफसी एयर फोर्स क्यारियर फिल्डमा म मात्र एक मात्र हुँ जसको त्यो नम्बर छ।,0
5,"र मैले सोचेँ कि यो एउटा विशेषाधिकार हो, र यो अझै पनि, यो अझै पनि, म मात्र नौ दुई-दुई पूर्व-ओ हुँ जुन मेरो AFFC एयर फोर्स क्यारियर क्षेत्र थियो।","हामी सबैलाई एउटै नम्बर दिइएको थियो, हामीलाई कुन विशेषाधिकार दिने भनेर वचन दिइएको थियो, त्यो सबै झुटो थियो।",2
6,"उनीहरूले मलाई भने कि, उह, अन्तमा मलाई भेट्नको लागि एक जना मान्छेलाई बोलाइनेछ।",मलाई कसैसँग भेट्ने बारेमा कहिल्यै भनिएको थिएन।,2
7,"उनीहरूले मलाई भने कि, उह, अन्तमा मलाई भेट्नको लागि एक जना मान्छेलाई बोलाइनेछ।",मलाई भनिएको थियो कि एकजना मान्छेलाई भेट्न बोलाइनेछ।,0
8,"उनीहरूले मलाई भने कि, उह, अन्तमा मलाई भेट्नको लागि एक जना मान्छेलाई बोलाइनेछ।",त्यो मान्छे अलि ढिलो आइपुग्यो।,1
9,"त्यहाँ धेरै कुराहरु छन् जुन तपाईंहरुसँग कुरा गर्न सकिन्छ, म त्यो कुरा छोड्छु।",म तिमीलाई सबै कुरा भन्न चाहन्छु जुन मलाई थाहा छ!,2
10,"त्यहाँ धेरै कुराहरु छन् जुन तपाईंहरुसँग कुरा गर्न सकिन्छ, म त्यो कुरा छोड्छु।","म यसबारे कुरा गर्ने छैन, यद्यपि त्यहाँ धेरै कुराहरू छन्।",0
11,"त्यहाँ धेरै कुराहरु छन् जुन तपाईंहरुसँग कुरा गर्न सकिन्छ, म त्यो कुरा छोड्छु।",म यस शहरको इतिहासको बारेमा कुरा गर्ने छैन किनभने त्यहाँ भन्न धेरै कुरा छन्।,1
12,"हामीले बचाउन चाहेको मुख्य कुरा यही थियो किनकि २० मेगाटनको एच-बमलाई ३०, सी-१२४ बाट निकाल्ने कुनै तरिका थिएन।",हामीलाई कुनै पनि कुराको बचत गर्ने चिन्ता थिएन।,2
13,"हामीले बचाउन चाहेको मुख्य कुरा यही थियो किनकि २० मेगाटनको एच-बमलाई ३०, सी-१२४ बाट निकाल्ने कुनै तरिका थिएन।",हामी अरूभन्दा एउटा कुरा बचाउन चाहन्थ्यौं।,0
14,"हामीले बचाउन चाहेको मुख्य कुरा यही थियो किनकि २० मेगाटनको एच-बमलाई ३०, सी-१२४ बाट निकाल्ने कुनै तरिका थिएन।",हामी हाइड्रोजन बम बचाउन चाहन्थ्यौं किनभने यसको सामना गर्न निकै कठिन थियो।,1
15,त्यसैले मलाई थाहा छैन किन,म किन भन्ने कुरामा निश्चित छु।,2
16,त्यसैले मलाई थाहा छैन किन,मलाई थाहा छैन किन उनले स्कुलहरू परिवर्तन गरे।,1
17,त्यसैले मलाई थाहा छैन किन,मलाई थाहा छैन किन यस्तो भयो।,0
18,"यो फनी फ्लोनो हो, र उनी अगस्टा, GA मा हुर्किन्, र उनी आफ्नो बाल्यकालका केही कथाहरू बताउन गइन्।",फनी फ्लोनोले अर्को कार्यक्रम तय गर्नुपर्यो र आज हामीलाई कुनै पनि कथा भन्न सकिनन्।,2
19,"यो फनी फ्लोनो हो, र उनी अगस्टा, GA मा हुर्किन्, र उनी आफ्नो बाल्यकालका केही कथाहरू बताउन गइन्।","फनी फ्लोनो यहाँ छिन् र उनले हामीसँग अगस्टा, जर्जियामा हुर्किएको आफ्नो बाल्यकालको कथाको बारेमा कुरा गर्नेछिन्।",0
20,"यो फनी फ्लोनो हो, र उनी अगस्टा, GA मा हुर्किन्, र उनी आफ्नो बाल्यकालका केही कथाहरू बताउन गइन्।","फनी फ्लोनो आज हामीसँग कुरा गर्न सक्षम भएकी थिइन्, उनको व्यस्त तालिकाको बाबजुद पनि।",1
21,र मैले यू-२ को पाँच टुकडी निकालेको थिएँ।,मैले यू-२ सँग सम्झौता गरेँ ।,0
22,र मैले यू-२ को पाँच टुकडी निकालेको थिएँ।,मैले यु-२ सँग कुनै सम्झौता गरिनँ।,2
23,र मैले यू-२ को पाँच टुकडी निकालेको थिएँ।,मैले ४० वर्षसम्म हरेक दिन यु-२ को टोलीसँग काम गरें।,1
24,म एक मात्र थिएँ जसले उचाइको सानो कोठामा परीक्षणका लागि नियामक चलाए,परीक्षणका लागि नियामकहरू चलाउने म मात्र एकजना होइन।,1
25,म एक मात्र थिएँ जसले उचाइको सानो कोठामा परीक्षणका लागि नियामक चलाए,परीक्षणहरू लघु उचाइ कक्षहरूमा गरियो।,0
26,म एक मात्र थिएँ जसले उचाइको सानो कोठामा परीक्षणका लागि नियामक चलाए,हामीमध्ये केहीले परीक्षणका लागि नियामकहरू चलायौं।,2
27,म... रिकले भनेजस्तै सेवानिवृत्त प्रमुख मेस्टर सर्जेन्ट हुँ।,म आज पनि काम गर्दैछु।,2
28,म... रिकले भनेजस्तै सेवानिवृत्त प्रमुख मेस्टर सर्जेन्ट हुँ।,म सन् २००२ मा सेवानिवृत्त भएँ।,1
29,म... रिकले भनेजस्तै सेवानिवृत्त प्रमुख मेस्टर सर्जेन्ट हुँ।,रिकले तपाईंलाई भनेको थियो कि म सेवानिवृत्त भएको छु।,0
30,"मेरो डेस्कमा केही नगद प्रवाह अनुमानहरू छन् र, उह, उह, यो यस्तो र यस्तो कटि को लागि हो, त्यो ग्राहकको नाम हो।","कटि नामको ग्राहकले महिनाको १०,००० डलर कमाउँछ।",1
31,"मेरो डेस्कमा केही नगद प्रवाह अनुमानहरू छन् र, उह, उह, यो यस्तो र यस्तो कटि को लागि हो, त्यो ग्राहकको नाम हो।",त्यहाँ कटि नामको एक ग्राहक छ।,0
32,"मेरो डेस्कमा केही नगद प्रवाह अनुमानहरू छन् र, उह, उह, यो यस्तो र यस्तो कटि को लागि हो, त्यो ग्राहकको नाम हो।",हामीसँग कटि नामका कुनै पनि ग्राहक छैनन्।,2
33,मलाई सहयोग गर्न सक्ने केटी शहरको अर्को छेउमा छ।,मलाई सहयोग चाहिने केटी धेरै टाढा बस्छिन्।,0
34,मलाई सहयोग गर्न सक्ने केटी शहरको अर्को छेउमा छ।,मलाई सहयोग गर्ने युवती ५ माइल टाढा छ।,1
35,मलाई सहयोग गर्न सक्ने केटी शहरको अर्को छेउमा छ।,मलाई सहयोग गर्ने कोही छैन।,2
36,"तर उनीहरुमा यो कुराको बारेमा विभाजन थियो कि कसले खेतमा काम गर्ने र कसले घरको काम गर्ने, यो एक प्रकारको थियो-",तिनीहरू सबै खेतमा काम गर्ने कुरामा सहमत भए।,2
37,"तर उनीहरुमा यो कुराको बारेमा विभाजन थियो कि कसले खेतमा काम गर्ने र कसले घरको काम गर्ने, यो एक प्रकारको थियो-",उनीहरूबीच कसले खेतमा काम गर्छ र कसले घरमा बस्छ भन्ने विषयमा सहमति हुन सकेन।,0
38,"तर उनीहरुमा यो कुराको बारेमा विभाजन थियो कि कसले खेतमा काम गर्ने र कसले घरको काम गर्ने, यो एक प्रकारको थियो-",उनीहरूबीच कसले कपासको खेतमा काम गर्ने र कसले फर्श सफा गर्ने भन्ने विषयमा सहमति हुन सकेन।,1
39,"आज उनले हामीसँग तेस्रो एसएस, यु-२ क्विक र ब्ल्याकबर्डको बारेमा कुरा गर्ने छन्।",उनले अब बोल्न नचाहेको बताएका छन्।,2
40,"आज उनले हामीसँग तेस्रो एसएस, यु-२ क्विक र ब्ल्याकबर्डको बारेमा कुरा गर्ने छन्।",उनले तीनवटा विभिन्न पनडुब्बीको कुरा गरे।,1
41,"आज उनले हामीसँग तेस्रो एसएस, यु-२ क्विक र ब्ल्याकबर्डको बारेमा कुरा गर्ने छन्।",उनले तीनवटा कुराहरू बताएका छन्।,0
42,"मेरो मतलब उनीहरुसँग पाँच जना मात्र बच्चा थिए, तीमध्ये एक जनाको मृत्यु भयो ।",[पृष्ठ २-मा भएको चित्र],2
43,"मेरो मतलब उनीहरुसँग पाँच जना मात्र बच्चा थिए, तीमध्ये एक जनाको मृत्यु भयो ।",पाँच मध्ये एक बच्चाको मृत्यु भयो।,0
44,"मेरो मतलब उनीहरुसँग पाँच जना मात्र बच्चा थिए, तीमध्ये एक जनाको मृत्यु भयो ।",मृत्यु भएको बच्चा बिरामी भएर जन्मेको थियो।,1
45,"अनि, अवश्य पनि, एन्ड्रोभ ग्रोमिकोभले कुनै जवाफ दिएनन्, तर हामीसँग सबै जानकारी थियो जुन यू २ ले लिएका थिए।",यू २ ले धेरै फिल्म लिएको थियो।,0
46,"अनि, अवश्य पनि, एन्ड्रोभ ग्रोमिकोभले कुनै जवाफ दिएनन्, तर हामीसँग सबै जानकारी थियो जुन यू २ ले लिएका थिए।",यू २ ले पानीमुनिबाट एक टन फिल्म निकालेको थियो।,1
47,"अनि, अवश्य पनि, एन्ड्रोभ ग्रोमिकोभले कुनै जवाफ दिएनन्, तर हामीसँग सबै जानकारी थियो जुन यू २ ले लिएका थिए।","हामीसँग कुनै फुटेज थिएन, त्यसैले हामीले अनुमान मात्र लगाउनु पर्यो।",2
48,"उनले भनिन् कि उनको आँखाबाट आँसु मात्र झरिरहेको थियो र उनले भनिन्, त्यसपछि उनले भनिन् कि जो वेश्यालयमा आए ।",जब उनले उसलाई बरामदामा आउन भनिन् उनको आँखामा आँसु थियो।,0
49,"उनले भनिन् कि उनको आँखाबाट आँसु मात्र झरिरहेको थियो र उनले भनिन्, त्यसपछि उनले भनिन् कि जो वेश्यालयमा आए ।",जोलाई घरको आँगनबाट झारिएपछि उनले आँसु झिकेर सफा गरिन्।,2
50,"उनले भनिन् कि उनको आँखाबाट आँसु मात्र झरिरहेको थियो र उनले भनिन्, त्यसपछि उनले भनिन् कि जो वेश्यालयमा आए ।",जोलाई देखेर उनी खुसी भएकी थिइन्।,1
