,premise,hypothesis,label
0,"Nem sequer estava a pensar nisso, mas estava tão frustrada, e acabei por falar com ele outra vez.",Não falei com ele novamente.,2
1,"Nem sequer estava a pensar nisso, mas estava tão frustrada, e acabei por falar com ele outra vez.",Fiquei tão chateada que comecei a falar com ele novamente.,0
2,"Nem sequer estava a pensar nisso, mas estava tão frustrada, e acabei por falar com ele outra vez.",Tivemos uma ótima conversa.,1
3,"E eu pensei que era um privilégio, e ainda é, ainda é, eu era o único nove dois dois Ex-O que era o meu campo de carreira AFFC Força Aérea.",Não sabia que não era a única pessoa no campo naquele dia.,1
4,"E eu pensei que era um privilégio, e ainda é, ainda é, eu era o único nove dois dois Ex-O que era o meu campo de carreira AFFC Força Aérea.",Tinha a impressão de que era o único com esse número no campo de carreira da AFFC.,0
5,"E eu pensei que era um privilégio, e ainda é, ainda é, eu era o único nove dois dois Ex-O que era o meu campo de carreira AFFC Força Aérea.","Todos nós recebemos o mesmo número, não importa quais privilégios nos foram prometidos, tudo foi uma mentira.",2
6,"Disseram-me que, uh, que eu seria chamado para um cara no final para eu me encontrar.",Nunca me disseram nada sobre encontrar alguém.,2
7,"Disseram-me que, uh, que eu seria chamado para um cara no final para eu me encontrar.",Disseram-me que um tipo seria chamado para me encontrar.,0
8,"Disseram-me que, uh, que eu seria chamado para um cara no final para eu me encontrar.",O tipo apareceu um pouco tarde.,1
9,Há tantas coisas sobre as quais poderias falar que vou saltar isso.,Quero contar-te tudo o que sei sobre isso!,2
10,Há tantas coisas sobre as quais poderias falar que vou saltar isso.,"Não vou falar sobre isso, mesmo que haja muito para cobrir.",0
11,Há tantas coisas sobre as quais poderias falar que vou saltar isso.,Não vou falar da história da cidade porque há muito a dizer.,1
12,"Era a coisa principal que queríamos salvar, já que não havia como despejar uma bomba H de 20 megatoneladas de um 30, um C124.",Não nos importávamos em salvar nada.,2
13,"Era a coisa principal que queríamos salvar, já que não havia como despejar uma bomba H de 20 megatoneladas de um 30, um C124.",Queríamos salvar uma coisa mais do que o resto.,0
14,"Era a coisa principal que queríamos salvar, já que não havia como despejar uma bomba H de 20 megatoneladas de um 30, um C124.",Queríamos salvar a bomba-h porque era tão difícil lidar com ela.,1
15,Não sei bem porquê.,Tenho a certeza do motivo.,2
16,Não sei bem porquê.,Não sei porque é que ele mudou de escola.,1
17,Não sei bem porquê.,Não sei porque aconteceu isso.,0
18,"Esta é Fannie Flono, e ela cresceu em Augusta, Georgia, e ela vai falar sobre algumas histórias da sua infância.",A Fannie Flono teve de alterar o horário e não pode contar-nos nenhuma história hoje.,2
19,"Esta é Fannie Flono, e ela cresceu em Augusta, Georgia, e ela vai falar sobre algumas histórias da sua infância.","Fannie Flono está aqui e ela vai falar-nos sobre as suas histórias de infância, de crescer em Augusta, GA.",0
20,"Esta é Fannie Flono, e ela cresceu em Augusta, Georgia, e ela vai falar sobre algumas histórias da sua infância.",Fannie Flono pôde falar connosco hoje apesar da sua agenda ocupada.,1
21,E eu tinha colocado cinco destacamentos dos U2.,Eu já tratei com os U2.,0
22,E eu tinha colocado cinco destacamentos dos U2.,Não liguei com os U2's.,2
23,E eu tinha colocado cinco destacamentos dos U2.,Trabalhei com os destacamentos dos U2 todos os dias durante 40 anos.,1
24,Fui o único que usou os reguladores para o teste nas câmaras de altitude em miniatura.,Não gostava de ser o único a fazer os testes.,1
