,premise,hypothesis,label
0,"Nici nu mă gândeam la asta, dar eram atât de frustrată, şi am ajuns să vorbesc din nou cu el.",Nu am mai vorbit cu el.,2
1,"Nici nu mă gândeam la asta, dar eram atât de frustrată, şi am ajuns să vorbesc din nou cu el.",Am fost atât de supărată încât am început să vorbesc cu el din nou.,0
2,"Nici nu mă gândeam la asta, dar eram atât de frustrată, şi am ajuns să vorbesc din nou cu el.",Am avut o discuţie grozavă.,1
3,"Şi am crezut că a fost un privilegiu, şi încă e, încă e, am fost singurul noua doi doi Ex-O care a fost AFFC meu Air Force Carriere câmp.",Nu eram conştient că nu eram singura persoană care era pe teren în acea zi.,1
4,"Şi am crezut că a fost un privilegiu, şi încă e, încă e, am fost singurul noua doi doi Ex-O care a fost AFFC meu Air Force Carriere câmp.",Am avut impresia că sunt singurul cu acest număr la AFFC Air Force Career.,0
5,"Şi am crezut că a fost un privilegiu, şi încă e, încă e, am fost singurul noua doi doi Ex-O care a fost AFFC meu Air Force Carriere câmp.","Toţi am primit acelaşi număr, indiferent de privilegiile ce ni s-au promis, totul a fost o minciună.",2
6,"Mi-au spus că, uh, că voi fi chemat într-un tip la sfârșitul pentru mine să se întâlnească.",Nu mi s-a spus nimic despre întâlnirea cu cineva.,2
7,"Mi-au spus că, uh, că voi fi chemat într-un tip la sfârșitul pentru mine să se întâlnească.",Mi s-a spus că un tip va fi chemat să mă întâlnesc cu el.,0
8,"Mi-au spus că, uh, că voi fi chemat într-un tip la sfârșitul pentru mine să se întâlnească.",Tipul a venit cam târziu.,1
9,Ai putea vorbi despre atâtea lucruri pe care le-aş trece cu vederea.,Vreau să-ţi spun tot ce ştiu despre asta!,2
10,Ai putea vorbi despre atâtea lucruri pe care le-aş trece cu vederea.,"Nu voi vorbi despre asta, chiar dacă sunt multe de discutat.",0
11,Ai putea vorbi despre atâtea lucruri pe care le-aş trece cu vederea.,Nu voi vorbi despre istoria oraşului pentru că sunt prea multe de spus.,1
12,"Asta a fost primul lucru pe care am vrut să-l salvăm, deoarece nu era nici o modalitate de a arunca o bombă H de 20 de megatone dintr-un 30, un C124.",Nu ne pasă de salvarea nimic.,2
13,"Asta a fost primul lucru pe care am vrut să-l salvăm, deoarece nu era nici o modalitate de a arunca o bombă H de 20 de megatone dintr-un 30, un C124.",Am vrut să salvăm un lucru mai mult decât restul.,0
14,"Asta a fost primul lucru pe care am vrut să-l salvăm, deoarece nu era nici o modalitate de a arunca o bombă H de 20 de megatone dintr-un 30, un C124.",Am vrut să salvăm bomba cu hidrogen pentru că era foarte greu de rezolvat.,1
15,"Deci, eu nu sunt foarte sigur de ce.",Sunt sigur de motiv.,2
16,"Deci, eu nu sunt foarte sigur de ce.",Nu ştiu de ce a transferat şcolile.,1
17,"Deci, eu nu sunt foarte sigur de ce.",Nu ştiu de ce s-a întâmplat asta.,0
18,"Ea este Fannie Flono, a crescut în Augusta, Georgia, şi vă va povesti despre câteva poveşti din copilăria ei.",Fannie Flono a trebuit să reprogrameze şi nu ne poate spune nimic azi.,2
19,"Ea este Fannie Flono, a crescut în Augusta, Georgia, şi vă va povesti despre câteva poveşti din copilăria ei.","Fannie Flono este aici şi ea va vorbi cu noi despre poveştile ei din copilărie din Augusta, Georgia.",0
20,"Ea este Fannie Flono, a crescut în Augusta, Georgia, şi vă va povesti despre câteva poveşti din copilăria ei.",Fannie Flono a fost în stare să vorbească cu noi astăzi în ciuda programului ei ocupat.,1
21,Şi am pus cinci detaşamente din U2.,Am avut de-a face cu U2.,0
22,Şi am pus cinci detaşamente din U2.,Nu am avut de-a face cu U2 deloc.,2
23,Şi am pus cinci detaşamente din U2.,Am lucrat cu echipa U2 în fiecare zi timp de 40 de ani.,1
24,Am fost singurul care a folosit regulatorii pentru testul în camerele miniaturizate de altitudine.,Nu mi-a plăcut să fiu singurul care a făcut testele.,1
25,Am fost singurul care a folosit regulatorii pentru testul în camerele miniaturizate de altitudine.,Testele au fost făcute în camerele miniaturizate de altitudine.,0
26,Am fost singurul care a folosit regulatorii pentru testul în camerele miniaturizate de altitudine.,Câţiva dintre noi au condus testele.,2
27,"Sunt sergent şef, pensionat, cum a spus Rick.",Încă lucrez până în ziua de azi.,2
28,"Sunt sergent şef, pensionat, cum a spus Rick.",M-am pensionat în 2002.,1
29,"Sunt sergent şef, pensionat, cum a spus Rick.",Rick ţi-a spus că m-am retras.,0
30,"Sunt nişte proiecţii de flux de numerar pe biroul meu şi... sunt pentru un anume Cutty, ăsta e numele clientului.",Clientul numit Cutty face 10.000 de dolari pe lună.,1
31,"Sunt nişte proiecţii de flux de numerar pe biroul meu şi... sunt pentru un anume Cutty, ăsta e numele clientului.",Există un client pe nume Cutty.,0
32,"Sunt nişte proiecţii de flux de numerar pe biroul meu şi... sunt pentru un anume Cutty, ăsta e numele clientului.",Nu avem niciun client numit Cutty.,2
33,Fata care mă poate ajuta este în partea cealaltă a oraşului.,Fata de care am nevoie de ajutor locuieşte departe.,0
34,Fata care mă poate ajuta este în partea cealaltă a oraşului.,Fata care mă va ajuta este la 5 mile distanţă.,1
35,Fata care mă poate ajuta este în partea cealaltă a oraşului.,Nu e nimeni care să mă ajute.,2
36,"Dar erau împărţiţi în privinţa a cine era muncitorul de câmp şi cine era copilul de acasă, era un fel de...",Au fost de acord să lucreze pe câmp.,2
37,"Dar erau împărţiţi în privinţa a cine era muncitorul de câmp şi cine era copilul de acasă, era un fel de...",Nu au fost de acord cine era un muncitor de câmp şi cine aparţinea casei.,0
38,"Dar erau împărţiţi în privinţa a cine era muncitorul de câmp şi cine era copilul de acasă, era un fel de...",Nu se puteau înţelege cine să lucreze pe câmpul de bumbac şi cine să ştergă podelele.,1
39,"Astăzi ne va vorbi despre SS-ul al treilea, U2 Quick şi Blackbird.",A decis să nu mai vorbească.,2
40,"Astăzi ne va vorbi despre SS-ul al treilea, U2 Quick şi Blackbird.",Vorbeşte despre trei submarine diferite.,1
41,"Astăzi ne va vorbi despre SS-ul al treilea, U2 Quick şi Blackbird.",Vorbeşte despre trei lucruri.,0
