,premise,hypothesis,label
0,"No, na to som ani nemyslela, ale bola som tak frustrovaná, a skončila som, že som s ním opäť hovorila.",Už som s ním nikdy nehovoril.,2
1,"No, na to som ani nemyslela, ale bola som tak frustrovaná, a skončila som, že som s ním opäť hovorila.","Bola som tak rozrušená, že som s ním začala znova hovoriť.",0
2,"No, na to som ani nemyslela, ale bola som tak frustrovaná, a skončila som, že som s ním opäť hovorila.",Mali sme skvelý rozhovor.,1
3,"A myslel som si, že to je výsada, a stále je, stále je, bol som jediný 9-2-2 Ex-O, čo bolo moje AFFC kariérne pole letectva.","Nevedel som, že v ten deň som nebol na ihrisku sám.",1
4,"A myslel som si, že to je výsada, a stále je, stále je, bol som jediný 9-2-2 Ex-O, čo bolo moje AFFC kariérne pole letectva.","Mal som dojem, že som jediný s týmto číslom na AFFC kariérnom poli letectva.",0
5,"A myslel som si, že to je výsada, a stále je, stále je, bol som jediný 9-2-2 Ex-O, čo bolo moje AFFC kariérne pole letectva.","Všetci sme dostali rovnaké číslo bez ohľadu na to, aké výsady nám boli sľúbené, bolo to všetko klamstvo.",2
6,"Povedali mi, že na konci ma zavolajú, aby som sa stretol s chlapom.","Nikdy mi nikto nepovedal, že sa s niekým stretnem.",2
7,"Povedali mi, že na konci ma zavolajú, aby som sa stretol s chlapom.","Bolo mi povedané, že ma zavolajú na stretnutie.",0
8,"Povedali mi, že na konci ma zavolajú, aby som sa stretol s chlapom.",Ten chlap sa ukázal trochu neskoro.,1
9,"Je toho toľko, o čom by ste sa mohli rozprávať, že to preskočím.","Chcem ti povedať všetko, čo o tom viem!",2
10,"Je toho toľko, o čom by ste sa mohli rozprávať, že to preskočím.","Nebudem o tom hovoriť, aj keď je toho veľa.",0
11,"Je toho toľko, o čom by ste sa mohli rozprávať, že to preskočím.","Nebudem hovoriť o histórii mesta, pretože je toho príliš veľa na opísanie.",1
12,"To bolo hlavné, čo sme chceli zachrániť, pretože nebolo možné vystreliť 20-megatónovú vodíkovú bombu z 30, C124.","Nezaujímalo nás, či niečo zachráňame.",2
13,"To bolo hlavné, čo sme chceli zachrániť, pretože nebolo možné vystreliť 20-megatónovú vodíkovú bombu z 30, C124.",Chceli sme zachrániť jednu vec viac ako ostatné.,0
14,"To bolo hlavné, čo sme chceli zachrániť, pretože nebolo možné vystreliť 20-megatónovú vodíkovú bombu z 30, C124.","Chceli sme zachrániť vodíkovú bombu, pretože sa s ňou bolo veľmi ťažké vyrovnať.",1
15,Takže si nie som istá prečo.,"Som si istý, že dôvod prečo.",2
16,Takže si nie som istá prečo.,"Neviem, prečo presunul školy.",1
17,Takže si nie som istá prečo.,"Neviem, prečo sa to stalo.",0
18,"Toto je Fannie Flono, vyrastala v Auguste, v štáte Georgia, a bude hovoriť o príbehoch z jej detstva.",Fannie Flono musela presunúť a dnes nám nemôže povedať žiadne príbehy.,2
19,"Toto je Fannie Flono, vyrastala v Auguste, v štáte Georgia, a bude hovoriť o príbehoch z jej detstva.","Fannie Flono je tu a bude s nami hovoriť o svojich detských príbehoch z Augusta, GA.",0
20,"Toto je Fannie Flono, vyrastala v Auguste, v štáte Georgia, a bude hovoriť o príbehoch z jej detstva.",Fannie Flonoová sa nám dnes mohla porozprávať napriek jej zaneprázdnenému rozvrhu.,1
21,"A dal som uh, päť oddelení z U2.",Ja som sa zaoberal U2.,0
22,"A dal som uh, päť oddelení z U2.",S U2 som sa vôbec nezaoberal.,2
23,"A dal som uh, päť oddelení z U2.",Pracoval som s U2 každý deň po dobu 40 rokov.,1
24,"Bol som jediný, kto... kedy spravil regulátory pre test v miniatúrnych komorách.","Nepáčilo sa mi, že som bol jediný, kto spravoval tie testy.",1
25,"Bol som jediný, kto... kedy spravil regulátory pre test v miniatúrnych komorách.",Testy boli vykonané v miniatúrnych komorách.,0
26,"Bol som jediný, kto... kedy spravil regulátory pre test v miniatúrnych komorách.",Niekoľko z nás riadi regulátory na test.,2
27,"Som hlavný seržant, v dôchodku, ako povedal Rick.",Stále pracujem dodnes.,2
28,"Som hlavný seržant, v dôchodku, ako povedal Rick.",V roku 2002 som odišiel do dôchodku.,1
29,"Som hlavný seržant, v dôchodku, ako povedal Rick.","Rick ti povedal, že som v dôchodku.",0
30,"Na mojom stole sú nejaké prognózy peňažných tokov a, um, uh, je to pre takého a takého Cuttyho, to je meno klienta.",Klient menom Cutty zarába 10000 dolárov mesačne.,1
31,"Na mojom stole sú nejaké prognózy peňažných tokov a, um, uh, je to pre takého a takého Cuttyho, to je meno klienta.",Je tu klient menom Cutty.,0
32,"Na mojom stole sú nejaké prognózy peňažných tokov a, um, uh, je to pre takého a takého Cuttyho, to je meno klienta.",Nemáme žiadnych klientov menom Cutty.,2
33,"Dievča, ktoré mi môže pomôcť je na druhej strane mesta.","Dievča, od ktorého potrebujem pomoc, žije ďaleko.",0
34,"Dievča, ktoré mi môže pomôcť je na druhej strane mesta.","Dievča, ktoré mi má pomôcť, je vzdialené 8 km.",1
35,"Dievča, ktoré mi môže pomôcť je na druhej strane mesta.",Nikto mi nemôže pomôcť.,2
36,"Ale boli rozdelení, kto bol pracovníkom na poli a kto bol domácim deťom, bolo to trochu...","Všetci sa zhodli, že budú pracovať na poli.",2
37,"Ale boli rozdelení, kto bol pracovníkom na poli a kto bol domácim deťom, bolo to trochu...","Nemohli sa zhodnúť, kto je poľný robotník a kto patrí do domu.",0
38,"Ale boli rozdelení, kto bol pracovníkom na poli a kto bol domácim deťom, bolo to trochu...","Nedohodli sa, kto by mal pracovať na bavlnenom poli a kto by mal čistiť podlahu.",1
39,"Dnes nám bude hovoriť o Tretej SS, U2 Quick a Blackbird.","Rozhodol sa, že už nebude hovoriť.",2
40,"Dnes nám bude hovoriť o Tretej SS, U2 Quick a Blackbird.",Hovorí o troch rôznych ponorkách.,1
41,"Dnes nám bude hovoriť o Tretej SS, U2 Quick a Blackbird.",Hovorí o troch veciach.,0
42,"Mali len päť detí, jedno zomrelo.",Všetky ich deti prežili.,2
43,"Mali len päť detí, jedno zomrelo.",Jedno z piatich detí zomrelo.,0
44,"Mali len päť detí, jedno zomrelo.","Dieťa, ktoré zomrelo, sa narodilo choré.",1
45,"A Androv Gromikov na to samozrejme nič neodpovedal, ale mali sme všetky informácie z filmov, ktoré U2 natáčali.",U2 si vzali veľa filmu.,0
46,"A Androv Gromikov na to samozrejme nič neodpovedal, ale mali sme všetky informácie z filmov, ktoré U2 natáčali.",U2 vytiahli z vody tonu filmu.,1
47,"A Androv Gromikov na to samozrejme nič neodpovedal, ale mali sme všetky informácie z filmov, ktoré U2 natáčali.","Nemali sme žiadne zábery, takže sme museli len hádať.",2
48,"Povedala, že jej len z očí padali slzy a povedala, potom povedala, že Joe prišiel na verandu.","Keď mu povedala, aby prišiel na verandu, mala slzy v očiach.",0
