,premise,hypothesis,label
0,"Nisem niti razmišljal o tem, ampak sem bil tako razočaran, in, sem končal govoril z njim spet.",Nisem govoril z njim.,2
1,"Nisem niti razmišljal o tem, ampak sem bil tako razočaran, in, sem končal govoril z njim spet.","Tako sem bila razburjena, da sem spet začela govoriti z njim.",0
2,"Nisem niti razmišljal o tem, ampak sem bil tako razočaran, in, sem končal govoril z njim spet.",Odlično sva se pogovarjala.,1
3,"To je bil privilegij, še vedno pa je. Bil sem edini bivši oficir, ki je bil moj poklicni letalski oficir.","Nisem vedel, da nisem bil edini na igrišču.",1
4,"To je bil privilegij, še vedno pa je. Bil sem edini bivši oficir, ki je bil moj poklicni letalski oficir.","Imel sem vtis, da sem edini s to številko na polju kariere letalskih sil.",0
5,"To je bil privilegij, še vedno pa je. Bil sem edini bivši oficir, ki je bil moj poklicni letalski oficir.","Vsi smo dobili enako številko, ne glede na to, kakšne privilegije so nam obljubili, vse je bila laž.",2
6,"Rekli so mi, da me bodo na koncu poklicali, da se srečam z nekom.","Nikoli mi niso povedali, da bom koga srečal.",2
7,"Rekli so mi, da me bodo na koncu poklicali, da se srečam z nekom.","Rekli so mi, da bo nekdo prišel.",0
8,"Rekli so mi, da me bodo na koncu poklicali, da se srečam z nekom.",Tip je prišel malo pozno.,1
9,"O toliko stvareh bi se lahko pogovarjala, da bom to preskočila.",Vse ti bom povedal.,2
10,"O toliko stvareh bi se lahko pogovarjala, da bom to preskočila.","O tem ne bom govoril, čeprav je veliko za pokriti.",0
11,"O toliko stvareh bi se lahko pogovarjala, da bom to preskočila.","Ne bom govoril o zgodovini mesta, ker je preveč za povedati.",1
12,"To je bila glavna stvar, ki smo jo hoteli rešiti, ker ni bilo nobenega načina, da bi vrgli 20-megatonsko vodikovo bombo iz 30, C124.",Ničesar nismo hoteli rešiti.,2
13,"To je bila glavna stvar, ki smo jo hoteli rešiti, ker ni bilo nobenega načina, da bi vrgli 20-megatonsko vodikovo bombo iz 30, C124.",Nekaj smo hoteli rešiti.,0
14,"To je bila glavna stvar, ki smo jo hoteli rešiti, ker ni bilo nobenega načina, da bi vrgli 20-megatonsko vodikovo bombo iz 30, C124.","Hoteli smo rešiti vodikovo bombo, ker je bilo tako težko.",1
15,Torej nisem prepričan zakaj.,"Prepričan sem, da vem, zakaj.",2
16,Torej nisem prepričan zakaj.,"Ne vem, zakaj je zamenjal šolo.",1
17,Torej nisem prepričan zakaj.,"Ne vem, zakaj se je to zgodilo.",0
18,"To je Fannie Flono, in ona je odrasla v Augusta, GA, in ona bo govorila o nekaterih zgodbah iz svojega otroštva.",Fannie Flono je morala zamenjati urnik in nam danes ne more povedati nobenih zgodb.,2
19,"To je Fannie Flono, in ona je odrasla v Augusta, GA, in ona bo govorila o nekaterih zgodbah iz svojega otroštva.","Fannie Flono je tukaj in bo govorila o svojih zgodbah iz otroštva, ko je odraščala v Augusti, GA.",0
20,"To je Fannie Flono, in ona je odrasla v Augusta, GA, in ona bo govorila o nekaterih zgodbah iz svojega otroštva.","Fannie Flono je lahko govorila z nami, kljub zasedenemu urniku.",1
21,In jaz sem dal pet odlomkov iz U2.,-S U2 sem se ukvarjal.,0
22,In jaz sem dal pet odlomkov iz U2.,Z U2 sploh nisem imel opravka.,2
23,In jaz sem dal pet odlomkov iz U2.,S U2 sem delal 40 let.,1
24,"Jaz sem bil edini, ki je kdajkoli upravljal regulatorje za test v miniaturnih višinskih komorah.","Ni mi bilo všeč, da sem edina, ki je vodila regulatorje za teste.",1
25,"Jaz sem bil edini, ki je kdajkoli upravljal regulatorje za test v miniaturnih višinskih komorah.",Testirali smo v miniaturnih višinskih komorah.,0
26,"Jaz sem bil edini, ki je kdajkoli upravljal regulatorje za test v miniaturnih višinskih komorah.",Nekaj nas je testiralo regulatorje.,2
27,"Sem nadnarednik, upokojen, kot je rekel Rick.",Še vedno delam.,2
28,"Sem nadnarednik, upokojen, kot je rekel Rick.",Leta 2002 sem se upokojil.,1
29,"Sem nadnarednik, upokojen, kot je rekel Rick.","Rick ti je povedal, da sem v upokojitvi.",0
30,"Na mizi imam nekaj napovedi denarnih tokov in, um, uh, to je za takšnega in takšnega Cuttyja, to je ime stranke.",Klient po imenu Cutty zasluži 10.000 $ na mesec.,1
31,"Na mizi imam nekaj napovedi denarnih tokov in, um, uh, to je za takšnega in takšnega Cuttyja, to je ime stranke.",-Klientka po imenu Cutty.,0
32,"Na mizi imam nekaj napovedi denarnih tokov in, um, uh, to je za takšnega in takšnega Cuttyja, to je ime stranke.",Nimamo nobenega klienta po imenu Cutty.,2
33,"Dekle, ki mi lahko pomaga, je na drugi strani mesta.","Dekle, ki jo potrebujem, živi daleč stran.",0
34,"Dekle, ki mi lahko pomaga, je na drugi strani mesta.","Dekle, ki mi bo pomagalo, je oddaljeno 8 km.",1
35,"Dekle, ki mi lahko pomaga, je na drugi strani mesta.",Nihče mi ne more pomagati.,2
36,"Razdelili so se, kdo je delal na polju in kdo je bil domači otrok.","Vsi so se strinjali, da bodo delali na polju.",2
37,"Razdelili so se, kdo je delal na polju in kdo je bil domači otrok.","Niso se mogli dogovoriti, kdo je poljski dečko in kdo spada v hišo.",0
38,"Razdelili so se, kdo je delal na polju in kdo je bil domači otrok.","Niso se mogli dogovoriti, kdo naj dela na polju in kdo naj pometa tla.",1
39,"Danes bo govoril o tretji SS, U2 Quick in Blackbird.","Odločil se je, da ne bo več govoril.",2
40,"Danes bo govoril o tretji SS, U2 Quick in Blackbird.",Govori o treh različnih podmornicah.,1
41,"Danes bo govoril o tretji SS, U2 Quick in Blackbird.",Govori o treh stvareh.,0
