,premise,hypothesis,label
0,"Bueno, ni siquiera estaba pensando en eso, pero estaba tan frustrada, y terminé hablando con él de nuevo.",No he vuelto a hablar con él.,2
1,"Bueno, ni siquiera estaba pensando en eso, pero estaba tan frustrada, y terminé hablando con él de nuevo.",Estaba tan molesta que empecé a hablar con él de nuevo.,0
2,"Bueno, ni siquiera estaba pensando en eso, pero estaba tan frustrada, y terminé hablando con él de nuevo.",Tuvimos una gran charla.,1
3,"Y pensé que era un privilegio, y todavía es, todavía es, yo era el único nueve dos dos Ex-O que era mi campo de carrera AFFC Fuerza Aérea.",No era consciente de que no era la única persona en el campo ese día.,1
4,"Y pensé que era un privilegio, y todavía es, todavía es, yo era el único nueve dos dos Ex-O que era mi campo de carrera AFFC Fuerza Aérea.",Tenía la impresión de que era el único con ese número en el campo de carreras de la Fuerza Aérea de la AFFC.,0
5,"Y pensé que era un privilegio, y todavía es, todavía es, yo era el único nueve dos dos Ex-O que era mi campo de carrera AFFC Fuerza Aérea.","Todos recibimos el mismo número exacto sin importar los privilegios que se nos prometieron, todo era mentira.",2
6,"Me dijeron que, uh, que me llamarían a un tipo al final para que me encontrara.",Nunca me dijeron nada acerca de conocer a nadie.,2
7,"Me dijeron que, uh, que me llamarían a un tipo al final para que me encontrara.",Me dijeron que un tipo sería llamado para que me encontrara.,0
8,"Me dijeron que, uh, que me llamarían a un tipo al final para que me encontrara.",El tipo llegó un poco tarde.,1
9,Hay tantas cosas de las que podrías hablar que me lo voy a saltar.,¡Quiero decirte todo lo que sé sobre eso!,2
10,Hay tantas cosas de las que podrías hablar que me lo voy a saltar.,"No hablaré de eso, aunque hay mucho que cubrir.",0
11,Hay tantas cosas de las que podrías hablar que me lo voy a saltar.,No hablaré de la historia de la ciudad porque hay demasiado que decir.,1
12,"Eso era lo principal que queríamos salvar ya que no había ninguna manera de arrojar una bomba de 20 megatones de hidrógeno de un 30, un C124.",No nos importaba salvar nada.,2
13,"Eso era lo principal que queríamos salvar ya que no había ninguna manera de arrojar una bomba de 20 megatones de hidrógeno de un 30, un C124.",Queríamos salvar una cosa más que el resto.,0
14,"Eso era lo principal que queríamos salvar ya que no había ninguna manera de arrojar una bomba de 20 megatones de hidrógeno de un 30, un C124.",Queríamos salvar la bomba H porque era muy difícil de manejar.,1
15,Así que no estoy muy seguro de por qué.,Estoy seguro de la razón.,2
16,Así que no estoy muy seguro de por qué.,No sé por qué cambió de escuela.,1
17,Así que no estoy muy seguro de por qué.,No sé por qué sucedió eso.,0
18,"Esta es Fannie Flono, y creció en Augusta, Georgia, y va a hablar de algunas historias de su infancia.",Fannie Flono tuvo que reprogramar y no puede contarnos ninguna historia hoy.,2
19,"Esta es Fannie Flono, y creció en Augusta, Georgia, y va a hablar de algunas historias de su infancia.","Fannie Flono está aquí y nos va a hablar de sus historias de infancia de su crecimiento en Augusta, Georgia.",0
20,"Esta es Fannie Flono, y creció en Augusta, Georgia, y va a hablar de algunas historias de su infancia.",Fannie Flono pudo hablar con nosotros hoy a pesar de su apretada agenda.,1
21,Y yo había puesto cinco destacamentos de U2.,Yo me ocupo de los U2.,0
22,Y yo había puesto cinco destacamentos de U2.,No he tenido nada que ver con U2.,2
23,Y yo había puesto cinco destacamentos de U2.,Trabajé con los destacamentos de U2 todos los días durante cuarenta años.,1
24,Yo era el único que... ejecutó los reguladores para la prueba en las cámaras de altitud en miniatura.,No me gustaba ser el único que ejecuta los reguladores para las pruebas.,1
25,Yo era el único que... ejecutó los reguladores para la prueba en las cámaras de altitud en miniatura.,Las pruebas se realizaron en las cámaras de altitud en miniatura.,0
26,Yo era el único que... ejecutó los reguladores para la prueba en las cámaras de altitud en miniatura.,Algunos de nosotros manejamos los reguladores para la prueba.,2
27,"Soy el sargento jefe, jubilado, como dijo Rick.",Todavía estoy trabajando hasta el día de hoy.,2
28,"Soy el sargento jefe, jubilado, como dijo Rick.",Me jubilé en el 2002.,1
29,"Soy el sargento jefe, jubilado, como dijo Rick.",Rick te dijo que estaba jubilado.,0
30,"Hay algunas proyecciones de flujo de efectivo en mi escritorio y, um, uh, es para tal y tal Cutty, ese es el nombre del cliente.",El cliente llamado Cutty gana 10.000 dólares al mes.,1
31,"Hay algunas proyecciones de flujo de efectivo en mi escritorio y, um, uh, es para tal y tal Cutty, ese es el nombre del cliente.",Hay un cliente llamado Cutty.,0
32,"Hay algunas proyecciones de flujo de efectivo en mi escritorio y, um, uh, es para tal y tal Cutty, ese es el nombre del cliente.",No tenemos ningún cliente llamado Cutty.,2
33,La chica que puede ayudarme está al otro lado de la ciudad.,La chica de la que necesito ayuda vive muy lejos.,0
34,La chica que puede ayudarme está al otro lado de la ciudad.,La chica que me va a ayudar está a 8 km.,1
35,La chica que puede ayudarme está al otro lado de la ciudad.,No hay nadie que pueda ayudarme.,2
36,"Pero estaban divididos sobre quién era el trabajador y quién era el niño de la casa, era como...",Todos estuvieron de acuerdo en que trabajarían en los campos.,2
37,"Pero estaban divididos sobre quién era el trabajador y quién era el niño de la casa, era como...",No estaban de acuerdo en quién era un trabajador de campo y quién pertenecía a la casa.,0
38,"Pero estaban divididos sobre quién era el trabajador y quién era el niño de la casa, era como...",No se ponían de acuerdo en quién debía trabajar en el campo de algodón y quién debía limpiar el suelo.,1
39,"Hoy nos hablará de la Tercera SS, el U2 Quick y el Blackbird.",Ha decidido no hablar más.,2
40,"Hoy nos hablará de la Tercera SS, el U2 Quick y el Blackbird.",Habla de tres submarinos diferentes.,1
41,"Hoy nos hablará de la Tercera SS, el U2 Quick y el Blackbird.",Él habla de tres cosas.,0
42,"Quiero decir que sólo tenían, como, tenían cinco hijos, uno de ellos murió.",Todos sus hijos sobrevivieron.,2
43,"Quiero decir que sólo tenían, como, tenían cinco hijos, uno de ellos murió.",Uno de los cinco niños murió.,0
44,"Quiero decir que sólo tenían, como, tenían cinco hijos, uno de ellos murió.",El niño que murió nació enfermo.,1
45,"Y, por supuesto, Androv Gromikov no respondió nada, pero teníamos toda la información de las películas que U2 había tomado.",U2 tomó mucha película.,0
46,"Y, por supuesto, Androv Gromikov no respondió nada, pero teníamos toda la información de las películas que U2 había tomado.",U2 sacó una tonelada de película del agua.,1
47,"Y, por supuesto, Androv Gromikov no respondió nada, pero teníamos toda la información de las películas que U2 había tomado.","No teníamos imágenes, así que sólo teníamos que adivinar.",2
