,premise,hypothesis,label
0,"Па, нисам ни размишљао о томе, али сам био толико фрустриран, и, завршио сам разговарајући са њим поново.",Нисам више разговарао с њим.,2
1,"Па, нисам ни размишљао о томе, али сам био толико фрустриран, и, завршио сам разговарајући са њим поново.",Био сам толико узнемирен да сам поново почео да разговарам с њим.,0
2,"Па, нисам ни размишљао о томе, али сам био толико фрустриран, и, завршио сам разговарајући са њим поново.",Имали смо сјајан разговор.,1
3,"Мислио сам да је то привилегија, и још увек је, био сам једини девето два два бивше О који је био мој АФФЦ ваздухопловне каријере поље.",Нисам био свестан да нисам био једини на терену тог дана.,1
4,"Мислио сам да је то привилегија, и још увек је, био сам једини девето два два бивше О који је био мој АФФЦ ваздухопловне каријере поље.",Имао сам утисак да сам једини са тим бројем на аеродрому.,0
5,"Мислио сам да је то привилегија, и још увек је, био сам једини девето два два бивше О који је био мој АФФЦ ваздухопловне каријере поље.","Сви смо добили исти тачан број без обзира на оне привилегије које су нам обећане, све је то била лаж.",2
6,Рекли су ми да ће ме неко позвати на крају да се упознам.,Никад ми није речено да ћу се са неким срести.,2
7,Рекли су ми да ће ме неко позвати на крају да се упознам.,Речено ми је да ће неко ме позвати.,0
8,Рекли су ми да ће ме неко позвати на крају да се упознам.,Тај тип се појавио мало касно.,1
9,"Има толико тога о чему би могли да разговарате, али ћу то прескочити.",Желим да ти кажем све што знам о томе!,2
10,"Има толико тога о чему би могли да разговарате, али ћу то прескочити.","Нећу да говорим о томе, иако има много тога за покривање.",0
11,"Има толико тога о чему би могли да разговарате, али ћу то прескочити.",Нећу говорити о историји града јер има превише да се каже.,1
12,"То је била прва ствар коју смо желели да сачувамо, пошто није било начина да се баци 20-мегатонска хидрогенска бомба са 30, С124.",Ништа нас није занимало да спасавамо.,2
13,"То је била прва ствар коју смо желели да сачувамо, пошто није било начина да се баци 20-мегатонска хидрогенска бомба са 30, С124.",Желели смо да спасемо једну ствар више од осталих.,0
14,"То је била прва ствар коју смо желели да сачувамо, пошто није било начина да се баци 20-мегатонска хидрогенска бомба са 30, С124.",Желели смо да спасимо хидро-бомбу јер је било тако тешко да се носимо с њом.,1
15,Зато нисам баш сигуран зашто.,Сигуран сам у разлог зашто.,2
16,Зато нисам баш сигуран зашто.,Не знам зашто је прешао у другу школу.,1
17,Зато нисам баш сигуран зашто.,Не знам зашто се то догодило.,0
18,"Ово је Фани Флоно, одрасла је у Аугусти, у ГАР, и причаће вам о неким причама из свог детињства.",Фани Флоно је морала да промени распоред и није нам данас у стању да нам каже било какве приче.,2
