,premise,hypothesis,label
0,"బాగా, నేను కూడా ఆ గురించి ఆలోచిస్తూ కాదు, కానీ నేను చాలా నిరాశ, మరియు, నేను మళ్ళీ అతనితో మాట్లాడటం ముగించారు.",నేను మళ్ళీ అతనితో మాట్లాడలేదు.,2
1,"బాగా, నేను కూడా ఆ గురించి ఆలోచిస్తూ కాదు, కానీ నేను చాలా నిరాశ, మరియు, నేను మళ్ళీ అతనితో మాట్లాడటం ముగించారు.",నేను చాలా కలత చెందాను నేను అతనితో మాట్లాడటం మొదలుపెట్టాను.,0
2,"బాగా, నేను కూడా ఆ గురించి ఆలోచిస్తూ కాదు, కానీ నేను చాలా నిరాశ, మరియు, నేను మళ్ళీ అతనితో మాట్లాడటం ముగించారు.",మేము ఒక గొప్ప చర్చ వచ్చింది.,1
3,"మరియు నేను ఒక అధికారం భావించారు, మరియు అది ఇప్పటికీ, అది ఇప్పటికీ, నేను మాత్రమే తొమ్మిది రెండు రెండు Ex-O ఇది నా AFFC ఎయిర్ ఫోర్స్ కెరీర్ రంగం ఉంది.",ఆ రోజు నేను ఒక్కడినే మైదానంలో లేనని నాకు తెలియదు.,1
4,"మరియు నేను ఒక అధికారం భావించారు, మరియు అది ఇప్పటికీ, అది ఇప్పటికీ, నేను మాత్రమే తొమ్మిది రెండు రెండు Ex-O ఇది నా AFFC ఎయిర్ ఫోర్స్ కెరీర్ రంగం ఉంది.",నేను AFFC ఎయిర్ ఫోర్స్ కెరీర్ రంగంలో ఆ సంఖ్య తో మాత్రమే ఒక అని ముద్ర కింద ఉంది.,0
5,"మరియు నేను ఒక అధికారం భావించారు, మరియు అది ఇప్పటికీ, అది ఇప్పటికీ, నేను మాత్రమే తొమ్మిది రెండు రెండు Ex-O ఇది నా AFFC ఎయిర్ ఫోర్స్ కెరీర్ రంగం ఉంది.","మాకు అన్ని ఇచ్చిన అదే ఖచ్చితమైన సంఖ్య ఉన్నా మేము మంజూరు వాగ్దానం ఏమి అధికారాలు, అది అన్ని ఒక అబద్ధం ఉంది.",2
6,"వారు నాకు చెప్పారు, uh, నేను కలిసే కోసం నేను చివరలో ఒక వ్యక్తి లో అని.",నేను ఎవరైనా కలిసే గురించి ఏదైనా చెప్పలేదు.,2
7,"వారు నాకు చెప్పారు, uh, నేను కలిసే కోసం నేను చివరలో ఒక వ్యక్తి లో అని.",నేను కలిసే ఒక వ్యక్తి అని చెప్పబడింది.,0
8,"వారు నాకు చెప్పారు, uh, నేను కలిసే కోసం నేను చివరలో ఒక వ్యక్తి లో అని.",వ్యక్తి ఒక బిట్ ఆలస్యంగా కనిపించింది.,1
9,మీరు గురించి మాట్లాడటానికి చాలా ఉంది నేను కేవలం ఆ దాటవేస్తాను.,నేను మీరు నేను తెలుసు ప్రతిదీ చెప్పడం అనుకుంటున్నారా!,2
10,మీరు గురించి మాట్లాడటానికి చాలా ఉంది నేను కేవలం ఆ దాటవేస్తాను.,"నేను దాని గురించి మాట్లాడను, కవర్ చేయడానికి చాలా ఉన్నప్పటికీ.",0
11,మీరు గురించి మాట్లాడటానికి చాలా ఉంది నేను కేవలం ఆ దాటవేస్తాను.,నేను నగరం యొక్క చరిత్ర గురించి మాట్లాడను ఎందుకంటే చెప్పడానికి చాలా ఎక్కువ ఉంది.,1
12,"మేము కాపాడటానికి కావలసిన ప్రాధమిక విషయం ఎందుకంటే ఒక 20 మెగాటన్ H- బాంబు డ్రాప్ ఏ మార్గం లేదు ఒక 30, ఒక C124.",మేము ఏదైనా సేవ్ గురించి పట్టించుకోను.,2
13,"మేము కాపాడటానికి కావలసిన ప్రాధమిక విషయం ఎందుకంటే ఒక 20 మెగాటన్ H- బాంబు డ్రాప్ ఏ మార్గం లేదు ఒక 30, ఒక C124.",మేము మిగిలిన కంటే ఎక్కువ ఒక విషయం సేవ్ కోరుకున్నాడు.,0
14,"మేము కాపాడటానికి కావలసిన ప్రాధమిక విషయం ఎందుకంటే ఒక 20 మెగాటన్ H- బాంబు డ్రాప్ ఏ మార్గం లేదు ఒక 30, ఒక C124.",మేము H- బాంబు సేవ్ కోరుకున్నాడు ఎందుకంటే అది ఎదుర్కోవటానికి చాలా కష్టం.,1
15,కాబట్టి నేను నిజంగా ఎందుకు ఖచ్చితంగా కాదు.,దీనికి కారణం నాకు తెలుసు.,2
16,కాబట్టి నేను నిజంగా ఎందుకు ఖచ్చితంగా కాదు.,నేను అతను పాఠశాలలు బదిలీ ఎందుకు తెలియదు.,1
17,కాబట్టి నేను నిజంగా ఎందుకు ఖచ్చితంగా కాదు.,నేను ఎందుకు ఆ జరిగింది తెలియదు.,0
18,"ఇది ఫానీ ఫ్లోనో, ఆమె ఆగస్టా, GA లో పెరిగారు, ఆమె తన చిన్ననాటి నుండి కొన్ని కథలు గురించి మాట్లాడబోతోంది.",ఫానీ ఫ్లోనో పునఃప్రారంభించవలసి వచ్చింది మరియు మాకు ఏ కథలు నేడు చెప్పడానికి కాదు.,2
19,"ఇది ఫానీ ఫ్లోనో, ఆమె ఆగస్టా, GA లో పెరిగారు, ఆమె తన చిన్ననాటి నుండి కొన్ని కథలు గురించి మాట్లాడబోతోంది.","ఫానీ ఫ్లోనో ఇక్కడ ఉంది మరియు ఆమె తన బాల్య కథల గురించి అగస్టా, GA లో పెరిగిన గురించి మాకు మాట్లాడబోతోంది.",0
20,"ఇది ఫానీ ఫ్లోనో, ఆమె ఆగస్టా, GA లో పెరిగారు, ఆమె తన చిన్ననాటి నుండి కొన్ని కథలు గురించి మాట్లాడబోతోంది.",ఫానీ ఫ్లోనో ఆమె బిజీ షెడ్యూల్ ఉన్నప్పటికీ నేడు మాకు మాట్లాడటానికి చేయగలిగింది.,1
21,"మరియు నేను ఉహ్, ఐదు వేర్వేరు U2 యొక్క.",నేను U2 యొక్క వ్యవహరించే.,0
22,"మరియు నేను ఉహ్, ఐదు వేర్వేరు U2 యొక్క.",నేను U2 యొక్క అన్ని వ్యవహరించే లేదు.,2
23,"మరియు నేను ఉహ్, ఐదు వేర్వేరు U2 యొక్క.",నేను U2 యొక్క ప్రతి రోజు కోసం 40 సంవత్సరాలు బృందాలు పని.,1
24,"నేను మాత్రమే ఒక ఉంది uh, ఎప్పుడూ పరీక్ష కోసం నియంత్రకాలు అమలు, చిన్న ఎత్తు గదులు లో పరీక్ష.",నేను పరీక్షలు కోసం నియంత్రకాలు అమలు మాత్రమే ఒకటి ఉండటానికి ఇష్టం లేదు.,1
25,"నేను మాత్రమే ఒక ఉంది uh, ఎప్పుడూ పరీక్ష కోసం నియంత్రకాలు అమలు, చిన్న ఎత్తు గదులు లో పరీక్ష.",చిన్న ఎత్తు గదులలో పరీక్షలు జరిగాయి.,0
26,"నేను మాత్రమే ఒక ఉంది uh, ఎప్పుడూ పరీక్ష కోసం నియంత్రకాలు అమలు, చిన్న ఎత్తు గదులు లో పరీక్ష.",మాలో కొందరు పరీక్ష కోసం రెగ్యులేటర్లను నడిపించారు.,2
27,"నేను ఊ, చీఫ్ మాస్టర్ సర్జెంట్, రిటైర్, రిక్ చెప్పారు వంటి.",నేను ఇప్పటికీ ఈ రోజు పని చేస్తున్నాను.,2
28,"నేను ఊ, చీఫ్ మాస్టర్ సర్జెంట్, రిటైర్, రిక్ చెప్పారు వంటి.",నేను 2002 లో పదవీ విరమణ చేసాను.,1
29,"నేను ఊ, చీఫ్ మాస్టర్ సర్జెంట్, రిటైర్, రిక్ చెప్పారు వంటి.",రిక్ నేను పదవీ విరమణ చేసినట్లు మీకు చెప్పారు.,0
30,"నా డెస్క్ మీద కొన్ని నగదు ప్రవాహం అంచనాలు ఉన్నాయి మరియు, um, uh, ఇది మరియు Cutty కోసం, ఆ క్లయింట్ యొక్క పేరు.","కట్టి అనే క్లయింట్ నెలకు $ 10,000 సంపాదిస్తుంది.",1
31,"నా డెస్క్ మీద కొన్ని నగదు ప్రవాహం అంచనాలు ఉన్నాయి మరియు, um, uh, ఇది మరియు Cutty కోసం, ఆ క్లయింట్ యొక్క పేరు.",కట్టి అనే ఒక క్లయింట్ ఉంది.,0
32,"నా డెస్క్ మీద కొన్ని నగదు ప్రవాహం అంచనాలు ఉన్నాయి మరియు, um, uh, ఇది మరియు Cutty కోసం, ఆ క్లయింట్ యొక్క పేరు.",మేము కట్టి అనే ఏ ఖాతాదారులకు లేదు.,2
33,నాకు సహాయం చేయవచ్చు అమ్మాయి పట్టణం అంతటా అన్ని మార్గం ఉంది.,నేను సహాయం అవసరం అమ్మాయి దూరంగా నివసిస్తున్నారు.,0
34,నాకు సహాయం చేయవచ్చు అమ్మాయి పట్టణం అంతటా అన్ని మార్గం ఉంది.,నాకు సహాయం చేయబోయే అమ్మాయి 5 మైళ్ళ దూరంలో ఉంది.,1
35,నాకు సహాయం చేయవచ్చు అమ్మాయి పట్టణం అంతటా అన్ని మార్గం ఉంది.,నాకు సహాయం చేసే ఎవరూ లేరు.,2
36,"కానీ వారు వంటి ఎవరు ఫీల్డ్ చేతులు మరియు ఎవరు ఇంటి పిల్లలు, అది ఒక రకమైన విభజించబడింది -",వారందరూ పొలాల్లో పని చేస్తారని అందరూ అంగీకరించారు.,2
