,premise,hypothesis,label
0,"Hindi ko naman naisip iyon, pero sobrang frustrado ako, at, nagsalita na naman ako sa kanya.",Hindi ko na siya kinausap.,2
1,"Hindi ko naman naisip iyon, pero sobrang frustrado ako, at, nagsalita na naman ako sa kanya.",Ako'y labis na nabagabag na nagsimula na akong makipag-usap sa kaniya muli.,0
2,"Hindi ko naman naisip iyon, pero sobrang frustrado ako, at, nagsalita na naman ako sa kanya.",Nagkaroon kami ng isang mahusay na pag-uusap.,1
3,"At naisip ko na iyon ay isang pribilehiyo, at ito ay pa rin, ito ay pa rin, ako ay ang tanging siyam dalawang-dalawang Ex-O na kung saan ay ang aking AFFC Air Force Career field.",Hindi ko alam na hindi lamang ako ang nasa larangan nang araw na iyon.,1
4,"At naisip ko na iyon ay isang pribilehiyo, at ito ay pa rin, ito ay pa rin, ako ay ang tanging siyam dalawang-dalawang Ex-O na kung saan ay ang aking AFFC Air Force Career field.",Sa palagay ko ako lamang ang may numero na iyon sa AFFC Air Force Career field.,0
5,"At naisip ko na iyon ay isang pribilehiyo, at ito ay pa rin, ito ay pa rin, ako ay ang tanging siyam dalawang-dalawang Ex-O na kung saan ay ang aking AFFC Air Force Career field.","Lahat kami ay binigyan ng eksaktong parehong bilang anuman ang mga pribilehiyo na ipinangako sa amin na ibibigay, lahat ay kasinungalingan.",2
6,"Sinabi nila sa akin na, uh, na ako ay tatawag sa isang tao sa dulo para sa akin upang matugunan.",Hindi ko pa sinabihan na may makakasama ako.,2
7,"Sinabi nila sa akin na, uh, na ako ay tatawag sa isang tao sa dulo para sa akin upang matugunan.",Sinabi sa akin na may tatawag na lalaki para sa akin.,0
8,"Sinabi nila sa akin na, uh, na ako ay tatawag sa isang tao sa dulo para sa akin upang matugunan.",Ang lalaking iyon ay medyo huli nang dumating.,1
9,Marami kang puwedeng pag-usapan sa video na hindi ko na susugurin.,Gusto kong sabihin sa iyo ang lahat ng alam ko tungkol dito!,2
10,Marami kang puwedeng pag-usapan sa video na hindi ko na susugurin.,"Hindi ko sasabihin iyon, kahit na marami pa ring dapat isali.",0
11,Marami kang puwedeng pag-usapan sa video na hindi ko na susugurin.,Hindi ako magsasalita tungkol sa kasaysayan ng lungsod dahil marami nang masasabi.,1
12,"Iyon ang pangunahing bagay na nais naming i-save dahil walang anumang paraan upang i-drop ang isang 20-megaton H-bomba mula sa isang 30, isang C124.",Wala kaming pakialam sa pag-iingat ng anuman.,2
13,"Iyon ang pangunahing bagay na nais naming i-save dahil walang anumang paraan upang i-drop ang isang 20-megaton H-bomba mula sa isang 30, isang C124.",Gusto naming iligtas ang isang bagay higit sa iba pa.,0
14,"Iyon ang pangunahing bagay na nais naming i-save dahil walang anumang paraan upang i-drop ang isang 20-megaton H-bomba mula sa isang 30, isang C124.",Nais naming iligtas ang h-bomb dahil napakahirap itong harapin.,1
15,Kaya hindi ko talaga alam kung bakit.,Tunay na alam ko ang dahilan kung bakit.,2
16,Kaya hindi ko talaga alam kung bakit.,Hindi ko alam kung bakit niya inilipat ang mga paaralan.,1
17,Kaya hindi ko talaga alam kung bakit.,Hindi ko alam kung bakit nangyari iyon.,0
18,"Ito si Fannie Flono, at lumaki siya sa Augusta, GA, at magsasalita siya tungkol sa ilang kuwento mula sa kanyang pagkabata.",Si Fannie Flono ay kinailangan na mag-reschedule at hindi siya makapag-uusap sa atin ngayon.,2
19,"Ito si Fannie Flono, at lumaki siya sa Augusta, GA, at magsasalita siya tungkol sa ilang kuwento mula sa kanyang pagkabata.","Narito si Fannie Flono at siya ay magsasalita sa atin tungkol sa kanyang mga kuwento sa pagkabata mula sa paglaki sa Augusta, GA.",0
