,premise,hypothesis,label
0,Bunu düşünmüyordum bile ama çok sinirlendim ve sonunda onunla tekrar konuştum.,Onunla bir daha konuşmadım.,2
1,Bunu düşünmüyordum bile ama çok sinirlendim ve sonunda onunla tekrar konuştum.,O kadar üzülmüştüm ki onunla tekrar konuşmaya başladım.,0
2,Bunu düşünmüyordum bile ama çok sinirlendim ve sonunda onunla tekrar konuştum.,Harika bir konuşma yaptık.,1
3,"Bunun bir ayrıcalık olduğunu düşündüm ve hala öyle, hala öyle, sadece dokuz iki iki eski subaydım ki bu da benim AFFC Hava Kuvvetleri Kariyerim alanıydı.",O gün sahada tek kişinin ben olmadığımın farkında değildim.,1
4,"Bunun bir ayrıcalık olduğunu düşündüm ve hala öyle, hala öyle, sadece dokuz iki iki eski subaydım ki bu da benim AFFC Hava Kuvvetleri Kariyerim alanıydı.",Hava Kuvvetleri'nde bu numarayı sadece benim taşıdığımı sanıyordum.,0
5,"Bunun bir ayrıcalık olduğunu düşündüm ve hala öyle, hala öyle, sadece dokuz iki iki eski subaydım ki bu da benim AFFC Hava Kuvvetleri Kariyerim alanıydı.","Hepimize aynı sayı verildi. Ne kadar ayrıcalıklar söz verildiyse verildi, hepsi yalan.",2
6,"Bana, uh, sonunda bir adamla buluşacağımı söylediler.",Kimseyle tanışmakla ilgili bir şey söylemediler.,2
7,"Bana, uh, sonunda bir adamla buluşacağımı söylediler.",Birinin beni arayacağını söylemişlerdi.,0
8,"Bana, uh, sonunda bir adamla buluşacağımı söylediler.",Adam biraz geç geldi.,1
9,"Konuşacak çok şey var, bunu atlayacağım.",Bu konuda bildiğim her şeyi anlatmak istiyorum!,2
10,"Konuşacak çok şey var, bunu atlayacağım.","Konuşacak çok şey olsa da, bu konuda konuşmayacağım.",0
11,"Konuşacak çok şey var, bunu atlayacağım.",Şehrin tarihi hakkında konuşmayacağım çünkü söyleyecek çok şey var.,1
12,"Bu, kurtarmak istediğimiz ilk şeydi çünkü 20 megatonluk bir H bombasını 30'lu, C124'lü bir bombadan atmanın bir yolu yoktu.",Hiçbir şeyi kurtarmak umurumuzda değildi.,2
13,"Bu, kurtarmak istediğimiz ilk şeydi çünkü 20 megatonluk bir H bombasını 30'lu, C124'lü bir bombadan atmanın bir yolu yoktu.",Diğerlerinden daha çok bir şeyi kurtarmak istedik.,0
14,"Bu, kurtarmak istediğimiz ilk şeydi çünkü 20 megatonluk bir H bombasını 30'lu, C124'lü bir bombadan atmanın bir yolu yoktu.",H-bombayı kurtarmak istedik çünkü onunla başa çıkmak çok zordu.,1
15,Nedenini tam olarak bilmiyorum.,Nedenini biliyorum.,2
16,Nedenini tam olarak bilmiyorum.,Neden okul değiştirdiğini bilmiyorum.,1
17,Nedenini tam olarak bilmiyorum.,Neden olduğunu bilmiyorum.,0
18,"Bu Fannie Flono, Augusta, GA'da büyüdü ve çocukluğundan bazı hikayeler anlatacak.",Fannie Flono'nun randevusu değişti ve bugün bize hiçbir hikaye anlatamıyor.,2
19,"Bu Fannie Flono, Augusta, GA'da büyüdü ve çocukluğundan bazı hikayeler anlatacak.","Fannie Flono burada ve Augusta, GA'da büyüdüğü çocukluk hikayeleri hakkında konuşacak.",0
20,"Bu Fannie Flono, Augusta, GA'da büyüdü ve çocukluğundan bazı hikayeler anlatacak.","Fannie Flono, yoğun programına rağmen bugün bizimle konuşabildi.",1
21,U2'den beş ayrılık çıkartmıştım.,U2'lerle uğraştım.,0
22,U2'den beş ayrılık çıkartmıştım.,U2'lerle hiç uğraşmadım.,2
23,U2'den beş ayrılık çıkartmıştım.,40 yıl boyunca her gün U2'nin gruplarıyla çalıştım.,1
24,Miniatür yükseklik odalarındaki test için düzenleyicileri çalıştıran tek kişi bendim.,Testler için düzenleyicileri tek başıma çalıştırmaktan hoşlanmadım.,1
25,Miniatür yükseklik odalarındaki test için düzenleyicileri çalıştıran tek kişi bendim.,Testler minyatür yükseklik odalarında yapıldı.,0
26,Miniatür yükseklik odalarındaki test için düzenleyicileri çalıştıran tek kişi bendim.,Test için düzenleyicileri kontrol eden birkaç kişiydik.,2
27,"Ben, Rick'in dediği gibi emekli bir başçavuşum.",Ben hâlâ çalışıyorum.,2
28,"Ben, Rick'in dediği gibi emekli bir başçavuşum.",2002'de emekli oldum.,1
29,"Ben, Rick'in dediği gibi emekli bir başçavuşum.",Rick emekli olduğumu söyledi.,0
30,"Masamda bazı nakit akışı tahminleri var ve, şey, şey, bu ve şu Cutty için, bu müşterinin adı.",Cutty adında bir müşteri ayda 10.000 dolar kazanıyor.,1
31,"Masamda bazı nakit akışı tahminleri var ve, şey, şey, bu ve şu Cutty için, bu müşterinin adı.",Cutty adında bir müşteri var.,0
32,"Masamda bazı nakit akışı tahminleri var ve, şey, şey, bu ve şu Cutty için, bu müşterinin adı.",Cutty adında bir müşterimiz yok.,2
33,Bana yardım edebilecek kız şehrin diğer ucunda.,Yardıma ihtiyacım olan kız çok uzakta yaşıyor.,0
34,Bana yardım edebilecek kız şehrin diğer ucunda.,Bana yardım edecek kız 5 mil uzakta.,1
35,Bana yardım edebilecek kız şehrin diğer ucunda.,Bana yardım edebilecek kimse yok.,2
36,"Ama kimin tarla işçisi, kimin ev çocuğu olduğu konusunda bölünmüşlerdi.",Hepsi tarlada çalışacaklarına karar verdiler.,2
37,"Ama kimin tarla işçisi, kimin ev çocuğu olduğu konusunda bölünmüşlerdi.","Kim tarla işçisi, kim de evin sahibi olduğu konusunda anlaşamadılar.",0
38,"Ama kimin tarla işçisi, kimin ev çocuğu olduğu konusunda bölünmüşlerdi.",Kimin pamuk tarlasında çalışması gerektiği ve kimin zemini temizlemesi gerektiği konusunda anlaşamadılar.,1
39,"Bugün bize Üçüncü SS, U2 Quick ve Blackbird hakkında konuşacak.",Artık konuşmamaya karar verdi.,2
40,"Bugün bize Üçüncü SS, U2 Quick ve Blackbird hakkında konuşacak.",Üç farklı denizaltıdan bahsediyor.,1
41,"Bugün bize Üçüncü SS, U2 Quick ve Blackbird hakkında konuşacak.",Üç şeyden bahsediyor.,0
42,"Yani sadece beş çocukları vardı, biri öldü.",Çocuklarının hepsi hayatta kaldı.,2
43,"Yani sadece beş çocukları vardı, biri öldü.",Beş çocuktan biri öldü.,0
44,"Yani sadece beş çocukları vardı, biri öldü.",Ölen çocuk hasta doğmuştu.,1
45,"Ve tabii ki Androv Gromikov hiçbir şey cevaplamadı, ama U2'nin çektikleri filmlerden tüm bilgilere sahibiz.",U2 çok film çekti.,0
46,"Ve tabii ki Androv Gromikov hiçbir şey cevaplamadı, ama U2'nin çektikleri filmlerden tüm bilgilere sahibiz.",U2 su altından bir ton film aldı.,1
