,premise,hypothesis,label
0,ئويلىماي تۇرۇپلا قالدىم، بىراق ئۇ بەك ئاچچىق ھېس قىلدى.,مەن ئۇنىڭ بىلەن قايتا سۆزلەشمىدىم.,2
1,ئويلىماي تۇرۇپلا قالدىم، بىراق ئۇ بەك ئاچچىق ھېس قىلدى.,مەن بەكلا خاپا بولۇپ، ئۇنىڭ بىلەن قايتا پاراڭلىشاتتىم.,0
2,ئويلىماي تۇرۇپلا قالدىم، بىراق ئۇ بەك ئاچچىق ھېس قىلدى.,بىز ناھايىتى ياخشى پاراڭلاشتۇق.,1
3,مەن بۇ ئىشنى بىر شەرەپ دەپ قارايمەن.بۇ مەن ئىشلىگەن 9-2-2 كادىر، يەنى يادرولۇق ئەرباب بازىسى,شۇ كۈنى مەن پەقەت ئۆزۈملا باھا بەرگۈچى ئەمەس ئىدىم.,1
4,مەن بۇ ئىشنى بىر شەرەپ دەپ قارايمەن.بۇ مەن ئىشلىگەن 9-2-2 كادىر، يەنى يادرولۇق ئەرباب بازىسى,.مېنىڭچە، بۇ ساننى چەكلەشنىڭ ئالدىنى ئېلىش ئۈچۈن.بۇنى ئىشلىتىشكە پەقەتلا ئۆزۈمنىڭ يېتەرلىك دەپ ئويلىغان ئىدىم,0
5,مەن بۇ ئىشنى بىر شەرەپ دەپ قارايمەن.بۇ مەن ئىشلىگەن 9-2-2 كادىر، يەنى يادرولۇق ئەرباب بازىسى,بىز ئۈچۈن ھەر بىرەيلەننىڭ بىردىن بىر ھەققىنى ئالغان. بۇ ھەقسىز تەمىنات پەقەت ئالىملارلا بەرگەن.,2
6,ئۇلار ماڭا، uh، ئاخرىدا بىر يىگىتنىڭ ماڭا قارىشىغا يولۇققانلىقىنى ئېيتتى.,ماڭا ھېچكىم بىلەن كۆرۈشۈش ھەققىدە ھېچنىمە دېيىلمىدى.,2
7,ئۇلار ماڭا، uh، ئاخرىدا بىر يىگىتنىڭ ماڭا قارىشىغا يولۇققانلىقىنى ئېيتتى.,ماڭا بىر يىگىتنىڭ چاقىرىقى بارلىقىنى ئېيتتى.,0
8,ئۇلار ماڭا، uh، ئاخرىدا بىر يىگىتنىڭ ماڭا قارىشىغا يولۇققانلىقىنى ئېيتتى.,ئۇ ئادەم بىر ئاز كېچىكىپ كەلدى.,1
9,.سىز شۇ يەردىن سۆزلەپ باقسىڭىز، مەن پەقەتلا سۆزلەپ بېرەي,بۇ توغرىلىق بىلىدىغىنىمنىڭ ھەممىسىنى سىلەرگە دېمەكچى!,2
10,.سىز شۇ يەردىن سۆزلەپ باقسىڭىز، مەن پەقەتلا سۆزلەپ بېرەي,بۇ ھەقتە كۆپ سۆزلىمەيلى، گەرچە ئارىمىزدا كۆپ ئىشلار بولسىمۇ.,0
11,.سىز شۇ يەردىن سۆزلەپ باقسىڭىز، مەن پەقەتلا سۆزلەپ بېرەي,مەن شەھەرنىڭ تارىخى ھەققىدە سۆزلىمەيمەن چۈنكى ئېيتىشقا بەك كۆپ ئىشلار بار.,1
12,بۇ ئەسلى بىز قۇتقۇزماقچى بولغان بىر مەسىلە، چۈنكى بىز 20 مىليارد توننا كېلىدىغان H بومبىنى 30 مىليارد دانە C124 ناملىق بومبىدىن تاشلىۋەتمەيتتۇق,بىز ھېچنىمىنى ساقلاپ قېلىشقا كۆڭۈل بۆلمەيتتۇق.,2
13,بۇ ئەسلى بىز قۇتقۇزماقچى بولغان بىر مەسىلە، چۈنكى بىز 20 مىليارد توننا كېلىدىغان H بومبىنى 30 مىليارد دانە C124 ناملىق بومبىدىن تاشلىۋەتمەيتتۇق,بىز ئەڭ مۇھىمى بىر ئىشنى مۇھاپىزەت قىلماقچى ئىدۇق.,0
14,بۇ ئەسلى بىز قۇتقۇزماقچى بولغان بىر مەسىلە، چۈنكى بىز 20 مىليارد توننا كېلىدىغان H بومبىنى 30 مىليارد دانە C124 ناملىق بومبىدىن تاشلىۋەتمەيتتۇق,.بىز بۇ بومبا قالدۇرۇپ قويۇشنى ئويلىدۇق، چۈنكى بۇ ناھايىتى تەسكە توختايتتى,1
15,چۈنكى مەن ئېنىق ئۇقمايمەن,سەۋەبىنى ئېنىق بىلىمەن.,2
16,چۈنكى مەن ئېنىق ئۇقمايمەن,ئۇنىڭ نېمە ئۈچۈن مەكتەپلەرنى ئۆزگەرتكەنلىكىنى بىلمەيمەن.,1
17,چۈنكى مەن ئېنىق ئۇقمايمەن,نېمە ئۈچۈن بۇنداق بولغانلىقىنى بىلمەيمەن.,0
18,ئاۋۇ فانى فىلونى، ئۇ ئاۋۇستا (داڭلىق ئامىرىكا) دا ئۆسۈپ يېتىلگەن، ئۇ سىلەرگە ئۆزىنىڭ بالىلىق چاغلىرىدىكى بىر قانچە ھېكايىلەرنى سۆزلەپ بېرىدۇ.,فانى فلونو بۈگۈن ھېكايە سۆزلىيەلمىدى.,2
19,ئاۋۇ فانى فىلونى، ئۇ ئاۋۇستا (داڭلىق ئامىرىكا) دا ئۆسۈپ يېتىلگەن، ئۇ سىلەرگە ئۆزىنىڭ بالىلىق چاغلىرىدىكى بىر قانچە ھېكايىلەرنى سۆزلەپ بېرىدۇ.,فانى فلونو بۇ يەردە بىز بىلەن سۆزلىشىۋاتىدۇ ئۇ ئۆزىنىڭ بالىلار تارىخى ھەققىدە سۆزلەيدۇ ئۇ جوڭگۇنىڭ ئاۋۇستا شەھىرىدە ئۆسۈپ چوڭ بولغان,0
20,ئاۋۇ فانى فىلونى، ئۇ ئاۋۇستا (داڭلىق ئامىرىكا) دا ئۆسۈپ يېتىلگەن، ئۇ سىلەرگە ئۆزىنىڭ بالىلىق چاغلىرىدىكى بىر قانچە ھېكايىلەرنى سۆزلەپ بېرىدۇ.,فانى فلونو بۈگۈن ئالدىراش بولۇشىغا قارىماي بىز بىلەن سۆزلەشكە ئامال تاپتى.,1
21,مەن U2 نى بەش پارچە قىلىپ ياسىدىم,مەن U2 گۇرۇپپىسى بىلەن مۇناسىۋەت ئۆتكۈزگەن.,0
22,مەن U2 نى بەش پارچە قىلىپ ياسىدىم,مەن ئۇ ئىككىسىنىڭ ھېچبىرى بىلەن ئالاقىلىشىپ باقمىدىم,2
23,مەن U2 نى بەش پارچە قىلىپ ياسىدىم,مەن 40 يىل بويى ھەر كۈنى U2 گۇرۇپپىسىدا ئىشلەيتتىم,1
24,مەن تەنھا ئۆزۈمنىڭ كومپيۇتېر ھۇجۇمىغا تايىنىپ، ناھايىتى ياخشى بىر سىناق ئېلىپ باردىم.,مەن ئۆزۈمنى تەكشۈرگۈچكە مەسئۇل ھېسابلىيالمىدىم,1
25,مەن تەنھا ئۆزۈمنىڭ كومپيۇتېر ھۇجۇمىغا تايىنىپ، ناھايىتى ياخشى بىر سىناق ئېلىپ باردىم.,سىناق كىچىك دائىرىلىك يۇقىرىلىق كامېرلىرىدا ئېلىپ بېرىلدى.,0
26,مەن تەنھا ئۆزۈمنىڭ كومپيۇتېر ھۇجۇمىغا تايىنىپ، ناھايىتى ياخشى بىر سىناق ئېلىپ باردىم.,سىناق ئۈچۈن بەزى كىشىلەر بار ئىدى.,2
27,مەن رىكنىڭ ئېيتقىنىدەك، ئورۇندۇقتىكى ئەڭ يۇقىرى دەرىجىلىك ئوسمانىي مۇدىر.,مەن ھازىرغىچە ئىشلىۋاتىمەن.,2
28,مەن رىكنىڭ ئېيتقىنىدەك، ئورۇندۇقتىكى ئەڭ يۇقىرى دەرىجىلىك ئوسمانىي مۇدىر.,مەن 2002-يىلى پېنسىيەگە چىقتىم.,1
29,مەن رىكنىڭ ئېيتقىنىدەك، ئورۇندۇقتىكى ئەڭ يۇقىرى دەرىجىلىك ئوسمانىي مۇدىر.,رىك سىزگە مەن پېنسىيەگە چىققانلىقىمنى ئېيتتى.,0
30,.مېنىڭ ئۈستەلدىكى قەغەزگە يېزىلغان بەزى خەتلەر.بۇ.خېلىمنى ئۆزگەرتكەن خەتلەر مۇشۇ خەتلەر,كېتتەي ئىسىملىك خېرىدار ئايدا 10000 دوللار كىرىم قىلىدۇ.,1
31,.مېنىڭ ئۈستەلدىكى قەغەزگە يېزىلغان بەزى خەتلەر.بۇ.خېلىمنى ئۆزگەرتكەن خەتلەر مۇشۇ خەتلەر,ئۇنىڭ كاتتى ئىسىملىك بىر خېرىدارى بار.,0
32,.مېنىڭ ئۈستەلدىكى قەغەزگە يېزىلغان بەزى خەتلەر.بۇ.خېلىمنى ئۆزگەرتكەن خەتلەر مۇشۇ خەتلەر,.بىزدە كاتتى دەپ ئاتالغان ھېچقانداق خېرىدار يوق,2
33,ماڭا ياردەم قىلالايدىغان قىز شەھەرنىڭ ئۇدۇلىدا.,ماڭا ياردەم قىلغان قىز بەك يىراقتا ياشايدۇ.,0
34,ماڭا ياردەم قىلالايدىغان قىز شەھەرنىڭ ئۇدۇلىدا.,ماڭا ياردەم قىلىدىغان قىز بەش مايىل يىراقلىقتا.,1
35,ماڭا ياردەم قىلالايدىغان قىز شەھەرنىڭ ئۇدۇلىدا.,ماڭا ياردەم قىلىدىغان ھېچكىم يوق.,2
36,-- بىراق ئۇلار بۆلۈنۈپ كەتتى -- بىرى تېرىقچىلىق، بىرى ئۆي ئىجارىسى. ئۇ بولسىمۇ، بىرخىل.ئادەتتىكى بالىلار ئۆيدە ئىشلەيتتى,ئۇلار ھەممىسى ئېتىزدا ئىشلەشكە ماقۇل بولدى.,2
37,-- بىراق ئۇلار بۆلۈنۈپ كەتتى -- بىرى تېرىقچىلىق، بىرى ئۆي ئىجارىسى. ئۇ بولسىمۇ، بىرخىل.ئادەتتىكى بالىلار ئۆيدە ئىشلەيتتى,ئۇلار كىمنىڭ ساھابە ئىكەنلىكى ۋە كىمنىڭ ئۆيدە تۇرۇشى توغرىسىدا بىرلىككە كېلەلمىدى.,0
38,-- بىراق ئۇلار بۆلۈنۈپ كەتتى -- بىرى تېرىقچىلىق، بىرى ئۆي ئىجارىسى. ئۇ بولسىمۇ، بىرخىل.ئادەتتىكى بالىلار ئۆيدە ئىشلەيتتى,ئۇلار كىمنىڭ پاختا ئېتىزىدا ئىشلەيدىغانلىقى، كىمنىڭ پولۇ سۈرتۈپ يۈرىدىغانلىقى توغرىسىدا ئىختىلاپ قىلىشقان.,1
39,بۈگۈن ئۇ بىز بىلەن سۆزلىشىدۇ ئۈچىنچى گۇرۇپپا ساقچىلار گۇرۇپپىسى، يەنى U2 تېز گۇرۇپپى ۋە قارا گۇرۇپپا,ئۇ ئەمدى سۆزلەشنى قارار قىلمىدى.,2
40,بۈگۈن ئۇ بىز بىلەن سۆزلىشىدۇ ئۈچىنچى گۇرۇپپا ساقچىلار گۇرۇپپىسى، يەنى U2 تېز گۇرۇپپى ۋە قارا گۇرۇپپا,ئۇ ئۈچ خىل سۇ ئاستى كېمىسىدىن سۆزلەيدۇ.,1
41,بۈگۈن ئۇ بىز بىلەن سۆزلىشىدۇ ئۈچىنچى گۇرۇپپا ساقچىلار گۇرۇپپىسى، يەنى U2 تېز گۇرۇپپى ۋە قارا گۇرۇپپا,ئۇ ئۈچ ئىشنى ئ ۆزى بىلەن ئ ۆزلىشىدۇ,0
42,ئۇ ئىككىسىنىڭ پەقەتلا بەش بالىسى بار، بىرى ئۆلۈپ كەتتى.,ئۇلارنىڭ بالىلىرىنىڭ ھەممىسى ھايات قالدى.,2
43,ئۇ ئىككىسىنىڭ پەقەتلا بەش بالىسى بار، بىرى ئۆلۈپ كەتتى.,بەش بالىنىڭ بىرى ئۆلدى.,0
44,ئۇ ئىككىسىنىڭ پەقەتلا بەش بالىسى بار، بىرى ئۆلۈپ كەتتى.,ئۆلگەن بالا كېسەل تۇغۇلغان.,1
45,ئەلۋەتتە، ئۇ سوئالغا جاۋاب بېرەلمىدى لېكىن، بىز U2 نىڭ بارلىق فىلىملەردىن خەۋەردار ئىدۇق,U2 نىڭ نۇرغۇنلىغان سۈرەتلىرى بار.,0
46,ئەلۋەتتە، ئۇ سوئالغا جاۋاب بېرەلمىدى لېكىن، بىز U2 نىڭ بارلىق فىلىملەردىن خەۋەردار ئىدۇق,ئۇ ئىككىسى سۈيىگە كىرىپ نۇرغۇنلىغان فىلىملارنى كۆرگەزمە قىلدى,1
47,ئەلۋەتتە، ئۇ سوئالغا جاۋاب بېرەلمىدى لېكىن، بىز U2 نىڭ بارلىق فىلىملەردىن خەۋەردار ئىدۇق,.بىزنىڭچە، بۇ خىل سۈرەتلەرنى ئېلىشقا ئامال يوق ئىدى، شۇڭا بىز بۇنى ئويلاپ تاپتۇق,2
48,".ئۇ مۇنداق دېدى: ""سىز ئەڭ ياخشى مەنبە، ئەڭ ياخشى مەنبە شۇكى، سىز ئەڭ ياخشى مەنبە ھېسابلىيالايسىز"". ئۇ مۇنداق دېدى: ""مەن ئەڭ ياخشى مەنبە، ئەڭ ياخشى مەنبە شۇكى، سىز ئەڭ ياخشى مەنبە ھېسابلىيالايسىز""",ئۇ قىزغا دەرۋازىدىن چىقىشنى ئېيتقاندا كۆزلىرىدىن ياش تۆكۈلۈپ كەتتى.,0
49,".ئۇ مۇنداق دېدى: ""سىز ئەڭ ياخشى مەنبە، ئەڭ ياخشى مەنبە شۇكى، سىز ئەڭ ياخشى مەنبە ھېسابلىيالايسىز"". ئۇ مۇنداق دېدى: ""مەن ئەڭ ياخشى مەنبە، ئەڭ ياخشى مەنبە شۇكى، سىز ئەڭ ياخشى مەنبە ھېسابلىيالايسىز""",ئۇ جوۋنى ئېگىزلىكتىن تاشلاپ قويغاندىن كېيىن، تېزلا كۆز ياشلىرىنى سۈرتتى.,2
50,".ئۇ مۇنداق دېدى: ""سىز ئەڭ ياخشى مەنبە، ئەڭ ياخشى مەنبە شۇكى، سىز ئەڭ ياخشى مەنبە ھېسابلىيالايسىز"". ئۇ مۇنداق دېدى: ""مەن ئەڭ ياخشى مەنبە، ئەڭ ياخشى مەنبە شۇكى، سىز ئەڭ ياخشى مەنبە ھېسابلىيالايسىز""",ئۇ جوۋنى كۆرۈپ شۇنداق خۇشال بولدىكى، يىغلاشقا باشلىدى.,1
51,،ئەگەر ئايروپىلان ئوتقا چىقسامۇ ئوت يانىدۇ.لېكىن ئۇ چىراق مۇز تېشىۋېتىلگەن ھالدا ئېرىپ كېتىدۇ.شۇنداقلا توك-ئېلېكتىر ئىسسىقلىقى چىقىپ كېتىدۇ,رادىئاتسىيە ئوت ئاپىتىدىمۇ ساقلىنالايدۇ.,1
52,،ئەگەر ئايروپىلان ئوتقا چىقسامۇ ئوت يانىدۇ.لېكىن ئۇ چىراق مۇز تېشىۋېتىلگەن ھالدا ئېرىپ كېتىدۇ.شۇنداقلا توك-ئېلېكتىر ئىسسىقلىقى چىقىپ كېتىدۇ,ئۇچقۇچىنىڭ ئوتقا كىرىشىدىن كېيىن، ئۇنىڭدىكى رادىئاتسىيە چىقىدۇ.,0
53,،ئەگەر ئايروپىلان ئوتقا چىقسامۇ ئوت يانىدۇ.لېكىن ئۇ چىراق مۇز تېشىۋېتىلگەن ھالدا ئېرىپ كېتىدۇ.شۇنداقلا توك-ئېلېكتىر ئىسسىقلىقى چىقىپ كېتىدۇ,رادىئاتسىيە ئوت ئاپىتىدە سىرتقا سىڭىپ كەتمەيدۇ.,2
54,بۇ بولسا ئامېرىكا ھاۋا ئارمىيەسىنىڭ مۇدىرى، كىلىم فىرانسىس.,باشلىق ئامېرىكا ھاۋا ئارمىيەسىدىن چېكىندى.,0
55,بۇ بولسا ئامېرىكا ھاۋا ئارمىيەسىنىڭ مۇدىرى، كىلىم فىرانسىس.,باشلىق تېخى بىر قانچە ھەپتە ئىلگىرىلا پېنسىيەگە چىققان.,1
56,بۇ بولسا ئامېرىكا ھاۋا ئارمىيەسىنىڭ مۇدىرى، كىلىم فىرانسىس.,ئامېرىكا ھاۋا ئارمىيەسىنىڭ باشلىقى بۇ ھەپتە يېڭى ۋەزىپىگە تەيىنلەندى.,2
57,.بىر ھەپتىدە ئىككى ياكى ئۈچ ئايروپىلاننىڭ كېلىشىنى كۈتۈپ تۇرغان.مەنمۇ ئۇلارنىڭ قەيەرگە بارىدىغانلىقىنى بىلەلمىدىم,ھەر ھەپتىدە بىردىن ئارتۇق ئايروپىلان كېلىدۇ.,0
58,.بىر ھەپتىدە ئىككى ياكى ئۈچ ئايروپىلاننىڭ كېلىشىنى كۈتۈپ تۇرغان.مەنمۇ ئۇلارنىڭ قەيەرگە بارىدىغانلىقىنى بىلەلمىدىم,ئايروپىلانلارنىڭ كۆپىيىشى ئاۋارىچىلىق پەيدا قىلىدۇ.,1
59,.بىر ھەپتىدە ئىككى ياكى ئۈچ ئايروپىلاننىڭ كېلىشىنى كۈتۈپ تۇرغان.مەنمۇ ئۇلارنىڭ قەيەرگە بارىدىغانلىقىنى بىلەلمىدىم,ئۇ يەردە ھېچ قانداق ئايرۇپىلان كەلمەيدۇ.,2
60,ئۇلار ئاللىقاچان تولۇق ئوتتۇرا 3-يىللىقتىكى مەدەت بەرگۈچىلەر بولدى. بۇ جەرياندا، ئەگەر سىز بىر تولۇق ئوتتۇرا 3-يىللىقتىكى مەدەت بەرگۈچى بولسىڭىز,.ئۈچ ئايغىچە پۈتۈنلەي زىممىسىگە ئېلىشقا باشلايدۇ,1
61,ئۇلار ئاللىقاچان تولۇق ئوتتۇرا 3-يىللىقتىكى مەدەت بەرگۈچىلەر بولدى. بۇ جەرياندا، ئەگەر سىز بىر تولۇق ئوتتۇرا 3-يىللىقتىكى مەدەت بەرگۈچى بولسىڭىز,تولۇق بېسىم كىيىمى ئىشلىتىشنى ئۆگىنىش ۋاقىت كېتىدۇ.,0
62,ئۇلار ئاللىقاچان تولۇق ئوتتۇرا 3-يىللىقتىكى مەدەت بەرگۈچىلەر بولدى. بۇ جەرياندا، ئەگەر سىز بىر تولۇق ئوتتۇرا 3-يىللىقتىكى مەدەت بەرگۈچى بولسىڭىز,.بىز سىزگە بىر كۈنلۈك دەرس تەييارلىدۇق.سىز شۇ دەرسنى تولۇقراق ئۆگەنگەن بولسىڭىز، بۇ دەرس تەييارلىقىڭىزنى ئەڭ يېڭى دەرس تەييارلىقىغا ئۆزگەرتەلەيسىز,2
63,مېنىڭ يەنە شۇنى دېيىشىم كېرەككى بۇ بومبا يەرگە تەگسەمۇ يېرىلىپ كەتمەيتتى، يەر ئاستىغا قانچىلىك زەربە بەرسىمۇ پارتلىمايتتى,پىلوت بومبا ئېتىۋېتىلگەن.,1
64,مېنىڭ يەنە شۇنى دېيىشىم كېرەككى بۇ بومبا يەرگە تەگسەمۇ يېرىلىپ كەتمەيتتى، يەر ئاستىغا قانچىلىك زەربە بەرسىمۇ پارتلىمايتتى,بومبا پارتلاش پۇرسىتى يوق ئىدى.,0
65,مېنىڭ يەنە شۇنى دېيىشىم كېرەككى بۇ بومبا يەرگە تەگسەمۇ يېرىلىپ كەتمەيتتى، يەر ئاستىغا قانچىلىك زەربە بەرسىمۇ پارتلىمايتتى,بومبا پارتلاش خەۋپى بەك چوڭ ئىدى.,2
66,.مېنىڭ قىلغان ئىشىم پەقەت مۇشۇنىڭغا ئوخشاشتۇر,بۇ سىزگە قانداق تۇيۇلۇشىنى بىلەلمىدىم.,2
