,premise,hypothesis,label
0,ٹھیک ہے، میں اس کے بارے میں سوچ بھی نہیں رہا تھا، لیکن میں اتنا مایوس تھا، اور، میں نے اس کے ساتھ پھر سے بات کرنے کے لئے ختم.,میں نے پھر اس سے بات نہیں کی.,2
1,ٹھیک ہے، میں اس کے بارے میں سوچ بھی نہیں رہا تھا، لیکن میں اتنا مایوس تھا، اور، میں نے اس کے ساتھ پھر سے بات کرنے کے لئے ختم.,میں اتنا پریشان تھا کہ میں نے پھر سے اس سے بات کرنا شروع کر دی۔,0
2,ٹھیک ہے، میں اس کے بارے میں سوچ بھی نہیں رہا تھا، لیکن میں اتنا مایوس تھا، اور، میں نے اس کے ساتھ پھر سے بات کرنے کے لئے ختم.,ہم نے ایک عظیم بات چیت کی تھی.,1
3,اور میں نے سوچا کہ یہ ایک اعزاز تھا، اور یہ اب بھی ہے، یہ اب بھی ہے، میں صرف نو دو دو سابق O تھا جس میں میری AFFC ایئر فورس کیریئر فیلڈ تھا.,مجھے اس بات کا علم نہیں تھا کہ اس دن میدان میں صرف میں ہی نہیں تھا۔,1
4,اور میں نے سوچا کہ یہ ایک اعزاز تھا، اور یہ اب بھی ہے، یہ اب بھی ہے، میں صرف نو دو دو سابق O تھا جس میں میری AFFC ایئر فورس کیریئر فیلڈ تھا.,میں تاثر کے تحت تھا کہ میں تھا کہ صرف ایک کے ساتھ اس نمبر AFFC ایئر فورس کیریئر میدان میں.,0
5,اور میں نے سوچا کہ یہ ایک اعزاز تھا، اور یہ اب بھی ہے، یہ اب بھی ہے، میں صرف نو دو دو سابق O تھا جس میں میری AFFC ایئر فورس کیریئر فیلڈ تھا.,ہم سب کو ایک ہی نمبر دیا گیا تھا، چاہے ہمیں کیا اعزازات دینے کا وعدہ کیا گیا ہو، یہ سب جھوٹ تھا۔,2
6,انہوں نے مجھے بتایا کہ، اہ، کہ میں نے ایک آدمی میں بلایا جائے گا کہ آخر میں مجھ سے ملنے کے لئے.,مجھے کسی سے ملنے کے بارے میں کبھی کچھ نہیں بتایا گیا.,2
7,انہوں نے مجھے بتایا کہ، اہ، کہ میں نے ایک آدمی میں بلایا جائے گا کہ آخر میں مجھ سے ملنے کے لئے.,مجھے بتایا گیا تھا کہ ایک آدمی مجھ سے ملنے کے لئے بلایا جائے گا.,0
8,انہوں نے مجھے بتایا کہ، اہ، کہ میں نے ایک آدمی میں بلایا جائے گا کہ آخر میں مجھ سے ملنے کے لئے.,وہ آدمی تھوڑا دیر سے آیا.,1
9,آپ کے بارے میں بات کر سکتے ہیں کہ بہت کچھ ہے کہ میں صرف اس کو چھوڑ دیں گے.,میں آپ کو سب کچھ میں اس کے بارے میں جانتے ہیں بتانا چاہتے ہیں!,2
