,premise,hypothesis,label
0,"Tôi thậm chí còn không nghĩ đến chuyện đó, nhưng tôi đã rất thất vọng, và, tôi lại nói chuyện với anh ta.",Tôi không nói chuyện với ông ấy nữa.,2
1,"Tôi thậm chí còn không nghĩ đến chuyện đó, nhưng tôi đã rất thất vọng, và, tôi lại nói chuyện với anh ta.",Tôi đã rất buồn vì tôi bắt đầu nói chuyện với anh ấy một lần nữa.,0
2,"Tôi thậm chí còn không nghĩ đến chuyện đó, nhưng tôi đã rất thất vọng, và, tôi lại nói chuyện với anh ta.",Chúng tôi đã có một cuộc nói chuyện tuyệt vời.,1
3,"Và tôi nghĩ đó là một đặc quyền, và nó vẫn, nó vẫn, tôi là người duy nhất 9 2 2 Ex-O đó là lĩnh vực AFFC Air Force Career của tôi.",Tôi không biết rằng tôi không phải là người duy nhất ở sân vào ngày đó.,1
4,"Và tôi nghĩ đó là một đặc quyền, và nó vẫn, nó vẫn, tôi là người duy nhất 9 2 2 Ex-O đó là lĩnh vực AFFC Air Force Career của tôi.",Tôi có ấn tượng rằng tôi là người duy nhất có số đó ở sân AFFC Air Force Career.,0
5,"Và tôi nghĩ đó là một đặc quyền, và nó vẫn, nó vẫn, tôi là người duy nhất 9 2 2 Ex-O đó là lĩnh vực AFFC Air Force Career của tôi.","Chúng tôi đều được cho cùng một con số chính xác bất kể những đặc quyền nào chúng tôi đã hứa sẽ được cấp, tất cả đều là dối trá.",2
6,"Họ nói với tôi rằng, uh, rằng tôi sẽ được gọi một người đàn ông ở cuối để tôi gặp.",Tôi chưa bao giờ được nói gì về việc gặp ai cả.,2
7,"Họ nói với tôi rằng, uh, rằng tôi sẽ được gọi một người đàn ông ở cuối để tôi gặp.",Tôi được bảo là có một người sẽ gọi tôi đến gặp.,0
8,"Họ nói với tôi rằng, uh, rằng tôi sẽ được gọi một người đàn ông ở cuối để tôi gặp.",Anh ta đến muộn một chút.,1
9,Có rất nhiều thứ mà anh có thể nói về nó mà tôi sẽ bỏ qua.,Tôi muốn nói cho anh biết mọi thứ tôi biết về chuyện đó!,2
10,Có rất nhiều thứ mà anh có thể nói về nó mà tôi sẽ bỏ qua.,"Tôi sẽ không nói về điều đó, mặc dù có rất nhiều điều để nói.",0
11,Có rất nhiều thứ mà anh có thể nói về nó mà tôi sẽ bỏ qua.,Tôi sẽ không nói về lịch sử của thành phố vì có quá nhiều điều để nói.,1
12,"Đó là điều chính chúng tôi muốn cứu vì không có cách nào để thả một quả bom H 20 megaton từ một 30, một C124.",Chúng tôi không quan tâm đến việc cứu vãn bất cứ điều gì.,2
13,"Đó là điều chính chúng tôi muốn cứu vì không có cách nào để thả một quả bom H 20 megaton từ một 30, một C124.",Chúng tôi muốn cứu một thứ hơn tất cả.,0
14,"Đó là điều chính chúng tôi muốn cứu vì không có cách nào để thả một quả bom H 20 megaton từ một 30, một C124.",Chúng tôi muốn cứu bom H vì nó rất khó xử lý.,1
15,Vì vậy tôi không chắc tại sao.,Tôi chắc chắn về lý do tại sao.,2
16,Vì vậy tôi không chắc tại sao.,Tôi không biết tại sao anh ta chuyển trường.,1
17,Vì vậy tôi không chắc tại sao.,Tôi không biết tại sao chuyện đó xảy ra.,0
18,"Đây là Fannie Flono, và cô ấy lớn lên ở Augusta, GA, và cô ấy sẽ nói về một số câu chuyện từ thời thơ ấu của cô ấy.",Fannie Flono phải sắp xếp lại và không thể kể cho chúng ta bất cứ câu chuyện nào hôm nay.,2
19,"Đây là Fannie Flono, và cô ấy lớn lên ở Augusta, GA, và cô ấy sẽ nói về một số câu chuyện từ thời thơ ấu của cô ấy.","Fannie Flono đang ở đây và cô ấy sẽ nói chuyện với chúng tôi về những câu chuyện thời thơ ấu của cô ấy từ khi lớn lên ở Augusta, GA.",0
20,"Đây là Fannie Flono, và cô ấy lớn lên ở Augusta, GA, và cô ấy sẽ nói về một số câu chuyện từ thời thơ ấu của cô ấy.",Fannie Flono đã có thể nói chuyện với chúng tôi hôm nay mặc dù lịch trình bận rộn của cô ấy.,1
21,Và tôi đã đưa ra 5 đội U2.,Tôi đã xử lý với U2.,0
22,Và tôi đã đưa ra 5 đội U2.,Tôi không hề làm việc với U2s.,2
23,Và tôi đã đưa ra 5 đội U2.,Tôi đã làm việc với đội U2 mỗi ngày trong 40 năm.,1
24,Tôi là người duy nhất điều khiển bộ điều chỉnh cho thử nghiệm trong buồng độ cao thu nhỏ.,Tôi không thích là người duy nhất chạy các bộ điều chỉnh cho các xét nghiệm.,1
25,Tôi là người duy nhất điều khiển bộ điều chỉnh cho thử nghiệm trong buồng độ cao thu nhỏ.,Các thử nghiệm được thực hiện trong các buồng độ cao thu nhỏ.,0
26,Tôi là người duy nhất điều khiển bộ điều chỉnh cho thử nghiệm trong buồng độ cao thu nhỏ.,Có một vài người trong chúng tôi đã chạy các bộ điều chỉnh cho thử nghiệm.,2
27,"Tôi là... Trung sĩ trưởng, đã nghỉ hưu, như Rick nói.",Tôi vẫn làm việc cho đến ngày nay.,2
28,"Tôi là... Trung sĩ trưởng, đã nghỉ hưu, như Rick nói.",Tôi nghỉ hưu năm 2002.,1
29,"Tôi là... Trung sĩ trưởng, đã nghỉ hưu, như Rick nói.",Rick nói với anh là tôi đã nghỉ hưu.,0
30,"Có một số dự báo dòng tiền trên bàn của tôi và, ừm, ừm, nó là cho Cutty như vậy, đó là tên của khách hàng.",Khách hàng tên là Cutty kiếm được 10.000 đô một tháng.,1
31,"Có một số dự báo dòng tiền trên bàn của tôi và, ừm, ừm, nó là cho Cutty như vậy, đó là tên của khách hàng.",Có một khách hàng tên là Cutty.,0
32,"Có một số dự báo dòng tiền trên bàn của tôi và, ừm, ừm, nó là cho Cutty như vậy, đó là tên của khách hàng.",Chúng tôi không có khách hàng nào tên là Cutty.,2
33,Cô gái có thể giúp tôi đang ở phía bên kia thị trấn.,Cô gái mà tôi cần giúp đỡ sống ở xa.,0
34,Cô gái có thể giúp tôi đang ở phía bên kia thị trấn.,Cô gái sẽ giúp tôi cách đây 5 dặm.,1
35,Cô gái có thể giúp tôi đang ở phía bên kia thị trấn.,Không có ai có thể giúp tôi.,2
36,"Nhưng họ chia rẽ về việc ai là người làm việc và ai là đứa trẻ nhà, nó giống như...",Họ đều đồng ý rằng họ sẽ làm việc trong cánh đồng.,2
37,"Nhưng họ chia rẽ về việc ai là người làm việc và ai là đứa trẻ nhà, nó giống như...",Họ không thể đồng ý ai là người làm việc trên cánh đồng và ai là người ở trong nhà.,0
38,"Nhưng họ chia rẽ về việc ai là người làm việc và ai là đứa trẻ nhà, nó giống như...",Họ không thể đồng ý ai sẽ làm việc trong cánh đồng bông và ai sẽ lau sàn nhà.,1
39,"Hôm nay anh ấy sẽ nói với chúng ta về SS thứ ba, U2 Quick và Blackbird.",Ông ấy đã quyết định không nói chuyện nữa.,2
40,"Hôm nay anh ấy sẽ nói với chúng ta về SS thứ ba, U2 Quick và Blackbird.",Ông ấy nói về 3 tàu ngầm khác nhau.,1
41,"Hôm nay anh ấy sẽ nói với chúng ta về SS thứ ba, U2 Quick và Blackbird.",Ông ấy nói về ba điều.,0
42,"Ý tôi là họ chỉ có, họ có năm đứa con, một đứa đã chết.",Tất cả con cái của họ đều sống sót.,2
43,"Ý tôi là họ chỉ có, họ có năm đứa con, một đứa đã chết.",Một đứa trong số 5 đứa trẻ đã chết.,0
44,"Ý tôi là họ chỉ có, họ có năm đứa con, một đứa đã chết.",Đứa trẻ chết đã sinh ra bệnh hoạn.,1
45,"Và, tất nhiên, Androv Gromikov không trả lời bất cứ điều gì, nhưng chúng tôi có tất cả các thông tin từ các bộ phim mà U2 đã lấy.",U2 đã lấy rất nhiều phim.,0
46,"Và, tất nhiên, Androv Gromikov không trả lời bất cứ điều gì, nhưng chúng tôi có tất cả các thông tin từ các bộ phim mà U2 đã lấy.",U2 lấy được hàng tấn phim từ dưới nước.,1
47,"Và, tất nhiên, Androv Gromikov không trả lời bất cứ điều gì, nhưng chúng tôi có tất cả các thông tin từ các bộ phim mà U2 đã lấy.","Chúng tôi không có hình ảnh, nên chúng tôi chỉ có thể đoán thôi.",2
48,"Cô ấy nói rằng có những giọt nước mắt chảy ra từ mắt cô ấy và cô ấy nói, sau đó cô ấy nói Joe đã lên hiên.",Khi cô nói với anh ta để đi lên hiên cô đã có nước mắt trong mắt.,0
49,"Cô ấy nói rằng có những giọt nước mắt chảy ra từ mắt cô ấy và cô ấy nói, sau đó cô ấy nói Joe đã lên hiên.",Cô nhanh chóng lau nước mắt sau khi ném Joe ra khỏi hiên.,2
50,"Cô ấy nói rằng có những giọt nước mắt chảy ra từ mắt cô ấy và cô ấy nói, sau đó cô ấy nói Joe đã lên hiên.",Cô ấy rất vui khi thấy Joe đến nỗi bắt đầu khóc.,1
51,"Ngay cả khi máy bay đang cháy, nó sẽ cháy và tan chảy qua một thành phần chì để phóng xạ thoát ra ngoài.",Bức xạ cũng có thể được ngăn chặn trong một vụ hỏa hoạn.,1
52,"Ngay cả khi máy bay đang cháy, nó sẽ cháy và tan chảy qua một thành phần chì để phóng xạ thoát ra ngoài.",Bức xạ sẽ rò rỉ ra khỏi một bộ phận chì sau khi máy bay bị cháy.,0
53,"Ngay cả khi máy bay đang cháy, nó sẽ cháy và tan chảy qua một thành phần chì để phóng xạ thoát ra ngoài.",Bức xạ sẽ không bị rò rỉ ra ngoài trong một đám cháy.,2
54,"Đây là Trung sĩ Clem Francis, đã nghỉ hưu từ Không quân Mỹ.",Sếp đã nghỉ hưu từ Không quân Mỹ.,0
55,"Đây là Trung sĩ Clem Francis, đã nghỉ hưu từ Không quân Mỹ.",Chỉ mới nghỉ hưu vài tuần trước.,1
56,"Đây là Trung sĩ Clem Francis, đã nghỉ hưu từ Không quân Mỹ.",Chỉ huy Không quân Mỹ mới bắt đầu sự nghiệp của mình trong tuần này.,2
57,Nó đã đến nơi có hai hoặc ba máy bay đến trong một tuần và tôi không biết họ đang bay đến đâu.,Mỗi tuần có hơn một máy bay đến.,0
58,Nó đã đến nơi có hai hoặc ba máy bay đến trong một tuần và tôi không biết họ đang bay đến đâu.,Lưu lượng máy bay tăng lên là rắc rối.,1
59,Nó đã đến nơi có hai hoặc ba máy bay đến trong một tuần và tôi không biết họ đang bay đến đâu.,Không có máy bay nào đến cả.,2
60,Họ đã được huấn luyện trong bộ đồ áp lực đầy đủ và tôi mất một thời gian nếu bạn đi vào bộ đồ áp lực đầy đủ.,Phải mất tới ba tháng để hoàn thành việc đào tạo về việc sử dụng bộ đồ áp lực đầy đủ.,1
61,Họ đã được huấn luyện trong bộ đồ áp lực đầy đủ và tôi mất một thời gian nếu bạn đi vào bộ đồ áp lực đầy đủ.,Việc luyện tập để sử dụng bộ đồ áp lực đầy đủ cần có thời gian.,0
62,Họ đã được huấn luyện trong bộ đồ áp lực đầy đủ và tôi mất một thời gian nếu bạn đi vào bộ đồ áp lực đầy đủ.,Chúng tôi có thể huấn luyện anh sử dụng bộ đồ áp lực đầy đủ vào cuối ngày hôm nay.,2
63,"Tôi muốn nói rằng không có bất kỳ nguy cơ nào khi đi vào với quả bom bởi vì nó sẽ không nổ, bất kể nó chạm đất mạnh như thế nào.",Bom đã bị phi công vô hiệu hóa.,1
64,"Tôi muốn nói rằng không có bất kỳ nguy cơ nào khi đi vào với quả bom bởi vì nó sẽ không nổ, bất kể nó chạm đất mạnh như thế nào.",Quả bom không có cơ hội nổ.,0
65,"Tôi muốn nói rằng không có bất kỳ nguy cơ nào khi đi vào với quả bom bởi vì nó sẽ không nổ, bất kể nó chạm đất mạnh như thế nào.",Có một nguy cơ lớn về việc quả bom sẽ nổ.,2
66,Và xem nó có vẻ giống chính xác những gì tôi đang cố gắng làm.,Tôi không chắc là anh thấy thế nào.,2
67,Và xem nó có vẻ giống chính xác những gì tôi đang cố gắng làm.,"Tôi đang cố làm điều này, rõ ràng.",0
68,Và xem nó có vẻ giống chính xác những gì tôi đang cố gắng làm.,Tôi đang cố gắng hoàn thành dự án của mình trong tuần tới.,1
69,"Nhưng dù sao, những con vật sẽ thoát ra mọi lúc, đặc biệt là dê.",Những con dê chạy trốn khỏi chuồng hàng ngày.,1
70,"Nhưng dù sao, những con vật sẽ thoát ra mọi lúc, đặc biệt là dê.",Những con dê thường xuyên trốn thoát.,0
71,"Nhưng dù sao, những con vật sẽ thoát ra mọi lúc, đặc biệt là dê.",Những con dê được giữ an toàn và an toàn.,2
72,Cửa đã bị khóa khi chúng tôi vào.,Tất cả các cửa đều mở.,2
73,Cửa đã bị khóa khi chúng tôi vào.,Chúng tôi có chìa khóa.,1
74,Cửa đã bị khóa khi chúng tôi vào.,Chúng tôi vào trong dù cửa đã khóa.,0
75,Vì vậy tôi chỉ cần lấy tổng số và cố gắng và tìm ra nó như thế.,Tôi cảm thấy tự tin rằng tổng số là tất cả những gì tôi cần để có được điều này tìm ra.,1
76,Vì vậy tôi chỉ cần lấy tổng số và cố gắng và tìm ra nó như thế.,Tôi không biết phải làm gì với những con số này. Xin hãy cho tôi thêm chi tiết để giải quyết vấn đề này.,2
77,Vì vậy tôi chỉ cần lấy tổng số và cố gắng và tìm ra nó như thế.,Tôi sẽ tính toán nó dựa trên tổng số.,0
78,"Anh ấy đến, anh ấy mở cửa và tôi nhớ nhìn lại và thấy biểu hiện trên khuôn mặt của anh ấy, và tôi có thể nói rằng anh ấy đã thất vọng.",Ông đã rất phấn khích và bùng nổ với niềm vui mà ông thực tế gõ cửa ra khỏi khung của nó.,2
79,"Anh ấy đến, anh ấy mở cửa và tôi nhớ nhìn lại và thấy biểu hiện trên khuôn mặt của anh ấy, và tôi có thể nói rằng anh ấy đã thất vọng.",Anh ấy cố không làm chúng tôi cảm thấy tội lỗi nhưng chúng tôi biết chúng tôi đã gây ra rắc rối cho anh ấy.,1
80,"Anh ấy đến, anh ấy mở cửa và tôi nhớ nhìn lại và thấy biểu hiện trên khuôn mặt của anh ấy, và tôi có thể nói rằng anh ấy đã thất vọng.",Chỉ nhìn vào khuôn mặt anh ta khi anh ta bước qua cửa tôi biết anh ta đã bị thất vọng.,0
81,"Vì vậy, tôi không có bất kỳ câu chuyện cụ thể nào.",Tôi không có một cửa hàng cụ thể.,0
82,"Vì vậy, tôi không có bất kỳ câu chuyện cụ thể nào.",Tôi có 1 cửa hàng cụ thể.,2
83,"Vì vậy, tôi không có bất kỳ câu chuyện cụ thể nào.",Có rất nhiều cửa hàng.,1
84,"Và nó là, anh ta không bao giờ thực sự phải làm bất cứ điều gì cho chính mình.",Anh ta nhận được rất nhiều sự giúp đỡ.,0
85,"Và nó là, anh ta không bao giờ thực sự phải làm bất cứ điều gì cho chính mình.",Anh ta được giúp đỡ với bữa ăn và quần áo.,1
86,"Và nó là, anh ta không bao giờ thực sự phải làm bất cứ điều gì cho chính mình.",Anh ấy rất độc lập.,2
87,"Tôi nghĩ, ""Ôi trời ơi, và Ramona đang đứng đó.","Ramona nằm trên sàn nhà, quấn mình trong tư thế thai nhi.",2
88,"Tôi nghĩ, ""Ôi trời ơi, và Ramona đang đứng đó.",Ramona đang lặng lẽ phán xét tôi.,1
89,"Tôi nghĩ, ""Ôi trời ơi, và Ramona đang đứng đó.",Ramona đứng thẳng trong khi tôi đứng đó trong sự kinh ngạc.,0
90,Và thực tế là cô ấy rất nhẹ!,"Cô ấy ăn rất nhiều thức ăn, nhưng vẫn giữ cân nặng của mình xuống.",1
91,Và thực tế là cô ấy rất nhẹ!,Cô ấy không nặng lắm.,0
92,Và thực tế là cô ấy rất nhẹ!,Cô ấy rất hạnh phúc.,2
93,Tôi không biết liệu anh ta có ở lại Augusta sau đó hay không.,Anh ta tiếp tục sống ở Augusta ngay cả sau những vụ tấn công.,1
94,Tôi không biết liệu anh ta có ở lại Augusta sau đó hay không.,Anh ấy tiếp tục sống ở Augusta.,0
95,Tôi không biết liệu anh ta có ở lại Augusta sau đó hay không.,Anh ta đã rời khỏi Augusta ngay lập tức.,2
96,"Tất cả những gì chúng tôi làm, họ không bao giờ nói với chúng tôi bất kỳ nơi nào họ đang đi, ngay cả khi họ rời khỏi căn cứ để đi đến một nơi khác để ở lại một thời gian.",Tôi không bao giờ hỏi họ đi đâu.,1
97,"Tất cả những gì chúng tôi làm, họ không bao giờ nói với chúng tôi bất kỳ nơi nào họ đang đi, ngay cả khi họ rời khỏi căn cứ để đi đến một nơi khác để ở lại một thời gian.",Họ luôn cho chúng tôi biết họ đang ở đâu và họ đang đi đâu.,2
98,"Tất cả những gì chúng tôi làm, họ không bao giờ nói với chúng tôi bất kỳ nơi nào họ đang đi, ngay cả khi họ rời khỏi căn cứ để đi đến một nơi khác để ở lại một thời gian.",Họ không bao giờ nói với chúng tôi họ đi đâu.,0
99,"Họ nói, chúng tôi sẽ trả tiền cho chỗ ở của anh.",Họ sẽ không trả tiền cho chúng ta.,2
100,"Họ nói, chúng tôi sẽ trả tiền cho chỗ ở của anh.",Họ trả tiền cho nhà ở cho tôi và anh chị em tôi.,1
101,"Họ nói, chúng tôi sẽ trả tiền cho chỗ ở của anh.",Họ đang trả tiền cho nhà ở.,0
102,"Ngày hôm sau, đương nhiên, Tổng thống Kennedy, ừm, phong tỏa Cuba, và, ừm, tàu của chúng tôi đã chặn một con tàu Nga đang hướng về bên ngoài Cuba, và họ tìm thấy tên lửa trên chúng.",Kennedy bảo quân chúng ta tìm tên lửa.,0
103,"Ngày hôm sau, đương nhiên, Tổng thống Kennedy, ừm, phong tỏa Cuba, và, ừm, tàu của chúng tôi đã chặn một con tàu Nga đang hướng về bên ngoài Cuba, và họ tìm thấy tên lửa trên chúng.",Họ không chặn tàu nào vì họ không muốn xung đột.,2
104,"Ngày hôm sau, đương nhiên, Tổng thống Kennedy, ừm, phong tỏa Cuba, và, ừm, tàu của chúng tôi đã chặn một con tàu Nga đang hướng về bên ngoài Cuba, và họ tìm thấy tên lửa trên chúng.",Họ tìm thấy 20 tên lửa trên tàu.,1
105,Dù sao thì người đàn ông cũng vào.,Người đàn ông bước vào phòng xử án.,1
106,Dù sao thì người đàn ông cũng vào.,Người đàn ông bước vào phòng.,0
107,Dù sao thì người đàn ông cũng vào.,Người đàn ông chạy theo hướng khác.,2
108,"Um, ông bà tôi luôn là những người rất, rất yêu thương và một số, cha mẹ tôi là và chúng tôi chỉ có một thời gian tuyệt vời xuống đó.",Phải mất rất nhiều thời gian để lái xe đến nhà ông bà tôi.,1
109,"Um, ông bà tôi luôn là những người rất, rất yêu thương và một số, cha mẹ tôi là và chúng tôi chỉ có một thời gian tuyệt vời xuống đó.",Ông bà tôi là một cặp vợ chồng rất yêu thương.,0
110,"Um, ông bà tôi luôn là những người rất, rất yêu thương và một số, cha mẹ tôi là và chúng tôi chỉ có một thời gian tuyệt vời xuống đó.",Ông bà tôi luôn rất cáu kỉnh và chúng tôi không bao giờ thích đến nhà họ.,2
111,Tôi không có thời gian để tham gia vào tất cả mọi thứ.,Tôi có thể nhập nó vào sau.,1
112,Tôi không có thời gian để tham gia vào tất cả mọi thứ.,Tôi đã nhập tất cả đúng giờ.,2
113,Tôi không có thời gian để tham gia vào tất cả mọi thứ.,Tôi không có thời gian để ghi lại tất cả.,0
114,"Và, uh, một trong những công việc của tôi lúc đó là huấn luyện các cá nhân cách đặt dù lên một khẩu súng hạt nhân để, uh, làm nổ quả bom nguyên tử.",Bom nguyên tử không có kích hoạt.,2
115,"Và, uh, một trong những công việc của tôi lúc đó là huấn luyện các cá nhân cách đặt dù lên một khẩu súng hạt nhân để, uh, làm nổ quả bom nguyên tử.",Khẩu súng sẽ kích nổ khi được kéo.,0
116,"Và, uh, một trong những công việc của tôi lúc đó là huấn luyện các cá nhân cách đặt dù lên một khẩu súng hạt nhân để, uh, làm nổ quả bom nguyên tử.",Bạn chỉ cần một chút lực để kéo chuông kích hoạt bom nguyên tử.,1
