,premise,hypothesis,label
0,"我當時無諗過咁 但我好喪,最後我又同佢傾計",我再冇同佢傾偈.,2
1,"我當時無諗過咁 但我好喪,最後我又同佢傾計","我好喪,我開始同佢傾偈",0
2,"我當時無諗過咁 但我好喪,最後我又同佢傾計",我哋傾好咗.,1
3,"我覺得係一個榮幸,至今仍然係 我係唯一一個 曾經喺美國空軍中任職嘅""前任軍官""",我當時唔係唯一一個喺嗰日出面嘅人,1
4,"我覺得係一個榮幸,至今仍然係 我係唯一一個 曾經喺美國空軍中任職嘅""前任軍官""",我以為我係唯一一個 攞住個號碼嘅空軍士兵,0
5,"我覺得係一個榮幸,至今仍然係 我係唯一一個 曾經喺美國空軍中任職嘅""前任軍官""","我哋都得到同樣嘅數字 無論獲得咩權利,都只係一大堆",2
6,佢哋同我講.. 最後一個男人會叫我嚟見你,我從來未聽講過要同任何人見面.,2
7,佢哋同我講.. 最後一個男人會叫我嚟見你,"有人同我講,會有一個人叫我嚟見你",0
8,佢哋同我講.. 最後一個男人會叫我嚟見你,嗰個人遲到咗一陣.,1
9,"你可以喺度講好多嘢,所以我冇講啦","我想話畀你知,我知嘅嘢!",2
10,"你可以喺度講好多嘢,所以我冇講啦",我唔想講多啲呢樣嘢 雖然有好多嘢要講,0
11,"你可以喺度講好多嘢,所以我冇講啦","我唔想講呢個城市嘅歷史, 因為有好多嘢可以講.",1
12,因為我哋無辦法將 20 萬重嘅彈 從 30 萬 C 124 號炸彈身上拋出嚟,我哋冇關心佢哋任何嘢,2
13,因為我哋無辦法將 20 萬重嘅彈 從 30 萬 C 124 號炸彈身上拋出嚟,我哋想比其他嘢多拯救一個嘢,0
14,因為我哋無辦法將 20 萬重嘅彈 從 30 萬 C 124 號炸彈身上拋出嚟,我哋想救返個 因為我哋都覺得要處理佢好難,1
15,所以我唔清楚係點嘅原因,我好肯定係點解.,2
16,所以我唔清楚係點嘅原因,我唔知點解佢會轉去第二間學校,1
17,所以我唔清楚係點嘅原因,我唔知道點解呢個情況發生.,0
18,呢個係 Fannie Flono 佢喺加州奧古斯塔長大 佢會講佢細時嘅故事,"菲尼. 弗洛诺重新安排会议, 所以今日她无法同我们分享任何故事.",2
19,呢個係 Fannie Flono 佢喺加州奧古斯塔長大 佢會講佢細時嘅故事,Fannie Flono 喺呢度同我講佢喺加州奧古斯塔長大嘅童話,0
20,呢個係 Fannie Flono 佢喺加州奧古斯塔長大 佢會講佢細時嘅故事,"儘管 Fannie Flono 今日忙碌,佢仍然能夠同我哋傾偈",1
21,我將U2嘅五個隊伍擺出來,我同 U2 團隊合作,0
22,我將U2嘅五個隊伍擺出來,我根本唔系同 U2 有任何關係.,2
23,我將U2嘅五個隊伍擺出來,"我每日都同樂隊一齊工作,四十年.",1
24,我係唯一一個曾經喺細小嘅海拔度 執行測試嘅控制者,我唔鍾意獨自做呢啲測試,1
25,我係唯一一個曾經喺細小嘅海拔度 執行測試嘅控制者,喺細嘅海拔空間裏面進行測試,0
26,我係唯一一個曾經喺細小嘅海拔度 執行測試嘅控制者,我哋做咗幾個小程序來測試,2
27,"我係退休嘅軍士,正如 Rick 所講.",我到宜家仍然喺度工作,2
28,"我係退休嘅軍士,正如 Rick 所講.",我喺 2002 年退咗休,1
29,"我係退休嘅軍士,正如 Rick 所講.",Rick話我已經退休啦,0
30,"我喺辦公室收到預算報告 關於嗰個卡蒂,同埋嗰個客人嘅名",一個叫卡蒂嘅客戶 每個月賺一萬美金.,1
31,"我喺辦公室收到預算報告 關於嗰個卡蒂,同埋嗰個客人嘅名",有個叫卡蒂嘅客人,0
32,"我喺辦公室收到預算報告 關於嗰個卡蒂,同埋嗰個客人嘅名",我哋冇客人叫卡蒂.,2
33,可以幫到我嘅人 就喺喺街嘅另一邊,我需要幫手嘅女仔住好遠,0
34,可以幫到我嘅人 就喺喺街嘅另一邊,喺八英里外嘅一個女仔幫我,1
35,可以幫到我嘅人 就喺喺街嘅另一邊,無人可以幫我.,2
36,但係佢哋分邊做田野工作邊做家庭工 呢個就係佢哋分別嘅原因,佢哋都同意同我哋一齊去做農作物,2
