question;answer;answer_ab
"Yon pyès monnen se tèt moute. Whitney voye pyès monnen an. Erika pa voye pyès monnen an. Tj pa voye pyès monnen an. Benito voye pyès monnen an. Èske pyès monnen an toujou tèt? Remake byen ke ""flip"" isit la vle di ""renvèse"". ";wi wi ;A
"Yon pyès monnen se tèt moute. Lucky pa voye lajan an. Mireya voye pyès monnen an. JJ voye pyès monnen an. KC voye pyès monnen an. Èske pyès monnen an toujou tèt? Remake byen ke ""flip"" isit la vle di ""renvèse"". ";pa gen ;B
"Yon pyès monnen se tèt moute. Caleb voye pyès monnen an. Chase voye pyès monnen an. Eleazar voye pyès monnen an. Chanel pa voye lajan. Èske pyès monnen an toujou tèt? Remake byen ke ""flip"" isit la vle di ""renvèse"". ";pa gen ;B
"Yon pyès monnen se tèt moute. Silvia voye pyès monnen an. Carolina pa voye lajan an. Stan voye pyès monnen an. Chuck voye pyès monnen an. Èske pyès monnen an toujou tèt? Remake byen ke ""flip"" isit la vle di ""renvèse"". ";pa gen ;B
"Yon pyès monnen se tèt moute. Breanna voye pyès monnen an. Trey pa voye lajan an. Omar voye pyès monnen an. Patrice pa voye pyès monnen an. Èske pyès monnen an toujou tèt? Remake byen ke ""flip"" isit la vle di ""renvèse"". ";wi wi ;A
"Yon pyès monnen se tèt moute. Lilian voye pyès monnen an. Ian voye pyès monnen an. Bryce voye pyès monnen an. Aracely pa voye lajan. Èske pyès monnen an toujou tèt? Remake byen ke ""flip"" isit la vle di ""renvèse"". ";pa gen ;B
"Yon pyès monnen se tèt moute. Walter pa voye pyès monnen an. Mikayla pa voye pyès monnen an. Larry pa voye pyès monnen an. Ryan pa t ap voye pyès monnen an. Èske pyès monnen an toujou tèt? Remake byen ke ""flip"" isit la vle di ""renvèse"". ";wi wi ;A
"Yon pyès monnen se tèt moute. Angelina voye pyès monnen an. Layla voye pyès monnen an. Jenny voye pyès monnen an. Zane pa voye pyès monnen an. Èske pyès monnen an toujou tèt? Remake byen ke ""flip"" isit la vle di ""renvèse"". ";pa gen ;B
"Yon pyès monnen se tèt moute. Lizzy voye pyès monnen an. Juany pa voye lajan an. Aisha voye pyès monnen an. Brenda pa t ap voye pyès monnen an. Èske pyès monnen an toujou tèt? Remake byen ke ""flip"" isit la vle di ""renvèse"". ";wi wi ;A
"Yon pyès monnen se tèt moute. Elise voye pyès monnen an. Lupe voye pyès monnen an. Renee pa t ap voye lajan an. Noemi pa voye lajan an. Èske pyès monnen an toujou tèt? Remake byen ke ""flip"" isit la vle di ""renvèse"". ";wi wi ;A
"Yon pyès monnen se tèt moute. Jesse voye pyès monnen an. Roderick voye pyès monnen an. Travis pa voye lajan an. Rita pa t ap voye pyès monnen an. Èske pyès monnen an toujou tèt? Remake byen ke ""flip"" isit la vle di ""renvèse"". ";wi wi ;A
"Yon pyès monnen se tèt moute. Cinthia pa voye pyès monnen an. Lloyd pa voye pyès monnen an. Jacqueline voye pyès monnen an. JC voye pyès monnen an. Èske pyès monnen an toujou tèt? Remake byen ke ""flip"" isit la vle di ""renvèse"". ";wi wi ;A
"Yon pyès monnen se tèt moute. Sterling lanse pyès monnen an. Jenifer voye pyès monnen an. Patsy voye pyès monnen an. Denise voye pyès monnen an. Èske pyès monnen an toujou tèt? Remake byen ke ""flip"" isit la vle di ""renvèse"". ";wi wi ;A
"Yon pyès monnen se tèt moute. Beatriz voye pyès monnen an. Gillian pa voye pyès monnen an. Coco pa voye pyès monnen an. Vivian pa voye lajan an. Èske pyès monnen an toujou tèt? Remake byen ke ""flip"" isit la vle di ""renvèse"". ";pa gen ;B
"Yon pyès monnen se tèt moute. Prince lanse pyès monnen an. Rene voye pyès monnen an. Vishal voye pyès monnen an. Patrick pa t ap voye pyès monnen an. Èske pyès monnen an toujou tèt? Remake byen ke ""flip"" isit la vle di ""renvèse"". ";pa gen ;B
"Yon pyès monnen se tèt moute. Jae pa voye lajan an. Dennis pa voye pyès monnen an. Cris voye pyès monnen an. Bernadette voye pyès monnen an. Èske pyès monnen an toujou tèt? Remake byen ke ""flip"" isit la vle di ""renvèse"". ";wi wi ;A
"Yon pyès monnen se tèt moute. Hank pa voye pyès monnen an. Janine pa t ap voye pyès monnen an. Frankie voye pyès monnen an. Isa voye pyès monnen an. Èske pyès monnen an toujou tèt? Remake byen ke ""flip"" isit la vle di ""renvèse"". ";wi wi ;A
"Yon pyès monnen se tèt moute. Max pa voye pyès monnen an. Mikey pa voye lajan an. Cynthia pa voye pyès monnen an. Holly voye pyès monnen an. Èske pyès monnen an toujou tèt? Remake byen ke ""flip"" isit la vle di ""renvèse"". ";pa gen ;B
"Yon pyès monnen se tèt moute. Christy voye pyès monnen an. Rey pa voye lajan an. Michelle voye pyès monnen an. Dolly pa voye pyès monnen an. Èske pyès monnen an toujou tèt? Remake byen ke ""flip"" isit la vle di ""renvèse"". ";wi wi ;A
"Yon pyès monnen se tèt moute. Annie pa voye pyès monnen an. Toño voye pyès monnen an. Sharon voye pyès monnen an. Delores lanse pyès monnen an. Èske pyès monnen an toujou tèt? Remake byen ke ""flip"" isit la vle di ""renvèse"". ";pa gen ;B
"Yon pyès monnen se tèt moute. Jessy pa voye pyès monnen an. Libby pa voye lajan an. Danielle voye pyès monnen an. Wouj lan voye pyès monnen an. Èske pyès monnen an toujou tèt? Remake byen ke ""flip"" isit la vle di ""renvèse"". ";wi wi ;A
"Yon pyès monnen se tèt moute. Jorge pa voye pyès monnen an. Natalia pa t ap voye pyès monnen an. Bryant voye pyès monnen an. Kiran voye pyès monnen an. Èske pyès monnen an toujou tèt? Remake byen ke ""flip"" isit la vle di ""renvèse"". ";wi wi ;A
"Yon pyès monnen se tèt moute. Yan pa voye lajan an. Eunice pa voye pyès monnen an. Jozèf voye pyès monnen an. Hugh pa voye pyès monnen an. Èske pyès monnen an toujou tèt? Remake byen ke ""flip"" isit la vle di ""renvèse"". ";pa gen ;B
"Yon pyès monnen se tèt moute. Melody pa voye lajan an. Ramiro pa voye pyès monnen an. Humberto pa voye pyès monnen an. Jakòb pa voye pyès monnen an. Èske pyès monnen an toujou tèt? Remake byen ke ""flip"" isit la vle di ""renvèse"". ";wi wi ;A
"Yon pyès monnen se tèt moute. Domingo pa voye pyès monnen an. Briana voye pyès monnen an. Michael voye pyès monnen an. Joan pa voye pyès monnen an. Èske pyès monnen an toujou tèt? Remake byen ke ""flip"" isit la vle di ""renvèse"". ";wi wi ;A
"Yon pyès monnen se tèt moute. Kristopher pa voye pyès monnen an. Deb voye pyès monnen an. Jake voye pyès monnen an. Tammy voye pyès monnen an. Èske pyès monnen an toujou tèt? Remake byen ke ""flip"" isit la vle di ""renvèse"". ";pa gen ;B
