question;answer;answer_ab
"동전은 앞면입니다. 휘트니가 동전을 던집니다. 에리카는 동전을 던지지 않습니다. TJ는 동전을 던지지 않습니다. 베니토가 동전을 던집니다. 동전은 여전히 위쪽에 있나요? 여기서 ""flip""는 ""반전""을 뜻한다는 점에 주목하십시오. ";네 ;A
"동전은 앞면입니다. 럭키는 동전을 던지지 않습니다. 미레야가 동전을 던집니다. JJ가 동전을 던집니다. KC는 동전을 던집니다. 동전은 여전히 위쪽에 있나요? 여기서 ""flip""는 ""반전""을 뜻한다는 점에 주목하십시오. ";아니지 ;B
"동전은 앞면입니다. 케일럽은 동전을 던집니다. 체이스가 동전을 던집니다. 엘레아자르가 동전을 던집니다. 샤넬은 동전을 던지지 않습니다. 동전은 여전히 위쪽에 있나요? 여기서 ""flip""는 ""반전""을 뜻한다는 점에 주목하십시오. ";아니지 ;B
"동전은 앞면입니다. 실비아는 동전을 던집니다. 캐롤라이나는 동전을 던지지 않습니다. 스탠이 동전을 던집니다. 척은 동전을 던집니다. 동전은 여전히 위쪽에 있나요? 여기서 ""flip""는 ""반전""을 뜻한다는 점에 주목하십시오. ";아니지 ;B
"동전은 앞면입니다. 브리나는 동전을 던집니다. 트레이는 동전을 던지지 않아요 오마르는 동전을 던집니다. 패트리스는 동전을 던지지 않습니다. 동전은 여전히 위쪽에 있나요? 여기서 ""flip""는 ""반전""을 뜻한다는 점에 주목하십시오. ";네 ;A
"동전은 앞면입니다. 릴리안은 동전을 던집니다. 이안은 동전을 던집니다. 브라이스는 동전을 던집니다. 아라셀리는 동전을 던지지 않습니다. 동전은 여전히 위쪽에 있나요? 여기서 ""flip""는 ""반전""을 뜻한다는 점에 주목하십시오. ";아니지 ;B
"동전은 앞면입니다. 월터는 동전을 던지지 않습니다. 미카일라는 동전을 던지지 않습니다. 래리는 동전을 던지지 않습니다. 라이언은 동전을 던지지 않습니다. 동전은 여전히 위쪽에 있나요? 여기서 ""flip""는 ""반전""을 뜻한다는 점에 주목하십시오. ";네 ;A
"동전은 앞면입니다. 안젤리나는 동전을 던집니다. 레이라는 동전을 던진다. 제니는 동전을 던집니다. 제인은 동전을 던지지 않습니다. 동전은 여전히 위쪽에 있나요? 여기서 ""flip""는 ""반전""을 뜻한다는 점에 주목하십시오. ";아니지 ;B
"동전은 앞면입니다. 리지는 동전을 던집니다. 후니는 동전을 던지지 않습니다. 아이샤가 동전을 던집니다. 브렌다는 동전을 던지지 않아요. 동전은 여전히 위쪽에 있나요? 여기서 ""flip""는 ""반전""을 뜻한다는 점에 주목하십시오. ";네 ;A
"동전은 앞면입니다. 엘리스가 동전을 던집니다. 루페가 동전을 던집니다. 레네는 동전을 던지지 않습니다. 노에미는 동전을 던지지 않습니다. 동전은 여전히 위쪽에 있나요? 여기서 ""flip""는 ""반전""을 뜻한다는 점에 주목하십시오. ";네 ;A
"동전은 앞면입니다. 제시는 동전을 던집니다. 로더릭이 동전을 던집니다. 트래비스는 동전을 던지지 않습니다. 리타는 동전을 던지지 않습니다. 동전은 여전히 위쪽에 있나요? 여기서 ""flip""는 ""반전""을 뜻한다는 점에 주목하십시오. ";네 ;A
"동전은 앞면입니다. 신시아는 동전을 던지지 않습니다. 로이드는 동전을 던지지 않습니다. 잭린이 동전을 던집니다. JC가 동전을 던집니다. 동전은 여전히 위쪽에 있나요? 여기서 ""flip""는 ""반전""을 뜻한다는 점에 주목하십시오. ";네 ;A
"동전은 앞면입니다. 스터링이 동전을 던집니다. 제니퍼가 동전을 던집니다. 패시는 동전을 던집니다. 데니스가 동전을 던집니다. 동전은 여전히 위쪽에 있나요? 여기서 ""flip""는 ""반전""을 뜻한다는 점에 주목하십시오. ";네 ;A
"동전은 앞면입니다. 비아트리스는 동전을 던집니다. 질리안은 동전을 던지지 않습니다. 코코는 동전을 던지지 않습니다. 비비안은 동전을 던지지 않습니다. 동전은 여전히 위쪽에 있나요? 여기서 ""flip""는 ""반전""을 뜻한다는 점에 주목하십시오. ";아니지 ;B
"동전은 앞면입니다. 프린스는 동전을 던집니다. 레네가 동전을 던집니다. 비샬은 동전을 던집니다. 패트릭은 동전을 던지지 않습니다. 동전은 여전히 위쪽에 있나요? 여기서 ""flip""는 ""반전""을 뜻한다는 점에 주목하십시오. ";아니지 ;B
"동전은 앞면입니다. 제이는 동전을 던지지 않습니다. 데니스는 동전을 던지지 않습니다. 크리스가 동전을 던집니다. 베르나데트는 동전을 던집니다. 동전은 여전히 위쪽에 있나요? 여기서 ""flip""는 ""반전""을 뜻한다는 점에 주목하십시오. ";네 ;A
"동전은 앞면입니다. 행크는 동전을 던지지 않습니다. 제닌은 동전을 던지지 않습니다. 프랭키가 동전을 던집니다. 아이사는 동전을 던집니다. 동전은 여전히 위쪽에 있나요? 여기서 ""flip""는 ""반전""을 뜻한다는 점에 주목하십시오. ";네 ;A
