question;answer;answer_ab
"ഒരു നാണയം തല ഉയര് ത്തുന്നു. വിറ്റ്നി നാണയം എറിയുന്നു. എറിക്ക നാണയം എറിയുന്നില്ല. ടിജെ നാണയം എറിയുന്നില്ല. ബെനിറ്റോ നാണയം എറിയുന്നു. നാണയം ഇപ്പോഴും തലകീഴായിട്ടുണ്ടോ? ""ഫ്ലിപ്"" എന്ന വാക്കിന്റെ അർത്ഥം ""തിരിച്ചുകാട്ടുക"" എന്നാണ്. ";അതെ ;A
"ഒരു നാണയം തല ഉയര് ത്തുന്നു. ലക്കി നാണയം എറിയുന്നില്ല. മിറേയാ നാണയം എറിയുന്നു. ജെജെ നാണയം എറിയുന്നു. കെ സി നാണയം എറിയുന്നു. നാണയം ഇപ്പോഴും തലകീഴായിട്ടുണ്ടോ? ""ഫ്ലിപ്"" എന്ന വാക്കിന്റെ അർത്ഥം ""തിരിച്ചുകാട്ടുക"" എന്നാണ്. ";വേണ്ട ;B
"ഒരു നാണയം തല ഉയര് ത്തുന്നു. കാലേബ് നാണയം എറിയുന്നു. ചെയ്സ് നാണയം എറിയുന്നു. എലെയാസര് നാണയം എറിയുന്നു. ചാനൽ നാണയം എറിയുന്നില്ല. നാണയം ഇപ്പോഴും തലകീഴായിട്ടുണ്ടോ? ""ഫ്ലിപ്"" എന്ന വാക്കിന്റെ അർത്ഥം ""തിരിച്ചുകാട്ടുക"" എന്നാണ്. ";വേണ്ട ;B
"ഒരു നാണയം തല ഉയര് ത്തുന്നു. സിൽവിയ നാണയം എറിയുന്നു. കരോലിന നാണയം എറിയുന്നില്ല. സ്റ്റാന് നാണയം എറിയുന്നു. ചക്ക് നാണയം എറിയുന്നു. നാണയം ഇപ്പോഴും തലകീഴായിട്ടുണ്ടോ? ""ഫ്ലിപ്"" എന്ന വാക്കിന്റെ അർത്ഥം ""തിരിച്ചുകാട്ടുക"" എന്നാണ്. ";വേണ്ട ;B
"ഒരു നാണയം തല ഉയര് ത്തുന്നു. ബ്രിയന്ന നാണയം എറിയുന്നു. ട്രേയ് നാണയം എറിയുന്നില്ല. ഒമർ നാണയം എറിയുന്നു. പട്രീസ് നാണയം എറിയുന്നില്ല. നാണയം ഇപ്പോഴും തലകീഴായിട്ടുണ്ടോ? ""ഫ്ലിപ്"" എന്ന വാക്കിന്റെ അർത്ഥം ""തിരിച്ചുകാട്ടുക"" എന്നാണ്. ";അതെ ;A
"ഒരു നാണയം തല ഉയര് ത്തുന്നു. ലിലിയന് നാണയം എറിയുന്നു. ഇയാൻ നാണയം എറിയുന്നു. ബ്രൈസ് നാണയം എറിയുന്നു. അരാസെലി നാണയം എറിയുന്നില്ല. നാണയം ഇപ്പോഴും തലകീഴായിട്ടുണ്ടോ? ""ഫ്ലിപ്"" എന്ന വാക്കിന്റെ അർത്ഥം ""തിരിച്ചുകാട്ടുക"" എന്നാണ്. ";വേണ്ട ;B
"ഒരു നാണയം തല ഉയര് ത്തുന്നു. വാൾട്ടർ നാണയം എറിയുന്നില്ല. മൈക്കയ്ല നാണയം എറിയുന്നില്ല. ലാറി നാണയം എറിയുന്നില്ല. റയന് നാണയം എറിയുന്നില്ല. നാണയം ഇപ്പോഴും തലകീഴായിട്ടുണ്ടോ? ""ഫ്ലിപ്"" എന്ന വാക്കിന്റെ അർത്ഥം ""തിരിച്ചുകാട്ടുക"" എന്നാണ്. ";അതെ ;A
"ഒരു നാണയം തല ഉയര് ത്തുന്നു. ആഞ്ചലീന നാണയം എറിയുന്നു. ലേല നാണയം എറിഞ്ഞു. ജെന്നി നാണയം എറിയുന്നു. സെയ്ന് നാണയം എറിയുന്നില്ല. നാണയം ഇപ്പോഴും തലകീഴായിട്ടുണ്ടോ? ""ഫ്ലിപ്"" എന്ന വാക്കിന്റെ അർത്ഥം ""തിരിച്ചുകാട്ടുക"" എന്നാണ്. ";വേണ്ട ;B
"ഒരു നാണയം തല ഉയര് ത്തുന്നു. ലിസി നാണയം എറിയുന്നു. ജുവാന് നാണയം എറിയുന്നില്ല. ആഇഷ നാണയം എറിയുന്നു. ബ്രെൻഡ നാണയം എറിയുന്നില്ല. നാണയം ഇപ്പോഴും തലകീഴായിട്ടുണ്ടോ? ""ഫ്ലിപ്"" എന്ന വാക്കിന്റെ അർത്ഥം ""തിരിച്ചുകാട്ടുക"" എന്നാണ്. ";അതെ ;A
"ഒരു നാണയം തല ഉയര് ത്തുന്നു. എലിസ് നാണയം എറിയുന്നു. ലൂപ്പെ നാണയം എറിയുന്നു. റെനീ നാണയം എറിയുന്നില്ല. നൊവൊമി നാണയം എറിയുന്നില്ല. നാണയം ഇപ്പോഴും തലകീഴായിട്ടുണ്ടോ? ""ഫ്ലിപ്"" എന്ന വാക്കിന്റെ അർത്ഥം ""തിരിച്ചുകാട്ടുക"" എന്നാണ്. ";അതെ ;A
