question;answer;answer_ab
"Ang isang barya ay ulo. Inilipat ni Whitney ang barya. Hindi ibinaba ni Erika ang barya. Hindi ibinaba ni Tj ang barya. Inilipat ni Benito ang barya. Nasa itaas pa ba ang barya? Pansinin na ang ""flip"" dito ay nangangahulugang ""baligtad"". ";oo naman ;A
"Ang isang barya ay ulo. Hindi ibinabalik ni Lucky ang barya. Inilipat ni Mireya ang barya. Pinapalitan ni JJ ang barya. Inilagay ni KC ang barya. Nasa itaas pa ba ang barya? Pansinin na ang ""flip"" dito ay nangangahulugang ""baligtad"". ";hindi ;B
"Ang isang barya ay ulo. Ibinalik ni Caleb ang barya. Inilagay ni Chase ang barya. Inilagay ni Eleazar ang barya. Hindi nag-flip ng barya si Chanel. Nasa itaas pa ba ang barya? Pansinin na ang ""flip"" dito ay nangangahulugang ""baligtad"". ";hindi ;B
"Ang isang barya ay ulo. Inilipat ni Silvia ang barya. Hindi ibinabalik ni Carolina ang barya. Inilipat ni Stan ang barya. Inilagay ni Chuck ang barya. Nasa itaas pa ba ang barya? Pansinin na ang ""flip"" dito ay nangangahulugang ""baligtad"". ";hindi ;B
"Ang isang barya ay ulo. Inilipat ni Breanna ang barya. Hindi nilapag ni Trey ang barya. Inilagay ni Omar ang barya. Hindi ibinaba ni Patrice ang barya. Nasa itaas pa ba ang barya? Pansinin na ang ""flip"" dito ay nangangahulugang ""baligtad"". ";oo naman ;A
"Ang isang barya ay ulo. Inilipat ni Lilian ang barya. Inilipat ni Ian ang barya. Inilipat ni Bryce ang barya. Hindi ibinabalik ni Aracely ang barya. Nasa itaas pa ba ang barya? Pansinin na ang ""flip"" dito ay nangangahulugang ""baligtad"". ";hindi ;B
"Ang isang barya ay ulo. Hindi ibinaba ni Walter ang barya. Hindi ibinaba ni Mikayla ang barya. Hindi ibinaba ni Larry ang barya. Hindi ibinabalik ni Ryan ang barya. Nasa itaas pa ba ang barya? Pansinin na ang ""flip"" dito ay nangangahulugang ""baligtad"". ";oo naman ;A
"Ang isang barya ay ulo. Inilipat ni Angelina ang barya. Inilagay ni Layla ang barya. Inilipat ni Jenny ang barya. Hindi ibinabalik ni Zane ang barya. Nasa itaas pa ba ang barya? Pansinin na ang ""flip"" dito ay nangangahulugang ""baligtad"". ";hindi ;B
"Ang isang barya ay ulo. Inilipat ni Lizzy ang barya. Hindi ibinaba ni Juany ang barya. Ibinalik ni Aisha ang barya. Hindi si Brenda ang nag-aangat ng barya. Nasa itaas pa ba ang barya? Pansinin na ang ""flip"" dito ay nangangahulugang ""baligtad"". ";oo naman ;A
"Ang isang barya ay ulo. Inilipat ni Elise ang barya. Inilipat ni Lupe ang barya. Hindi ibinabalik ni Renee ang barya. Hindi ibinabalik ni Noemi ang barya. Nasa itaas pa ba ang barya? Pansinin na ang ""flip"" dito ay nangangahulugang ""baligtad"". ";oo naman ;A
"Ang isang barya ay ulo. Inilagay ni Jesse ang barya. Inilipat ni Roderick ang barya. Hindi sinasalip ni Travis ang barya. Hindi ibinabalik ni Rita ang barya. Nasa itaas pa ba ang barya? Pansinin na ang ""flip"" dito ay nangangahulugang ""baligtad"". ";oo naman ;A
"Ang isang barya ay ulo. Hindi ibinabalik ni Cinthia ang barya. Hindi ibinaba ni Lloyd ang barya. Inilipat ni Jacqueline ang barya. Inilipat ni JC ang barya. Nasa itaas pa ba ang barya? Pansinin na ang ""flip"" dito ay nangangahulugang ""baligtad"". ";oo naman ;A
"Ang isang barya ay ulo. Ang Sterling ay nag-aalsa ng barya. Inilipat ni Jenifer ang barya. Inilagay ni Patsy ang barya. Inilipat ni Denise ang barya. Nasa itaas pa ba ang barya? Pansinin na ang ""flip"" dito ay nangangahulugang ""baligtad"". ";oo naman ;A
"Ang isang barya ay ulo. Inilipat ni Beatriz ang barya. Hindi ibinabalik ni Gillian ang barya. Hindi ibinabalik ni Coco ang barya. Hindi ibinabalik ni Vivian ang barya. Nasa itaas pa ba ang barya? Pansinin na ang ""flip"" dito ay nangangahulugang ""baligtad"". ";hindi ;B
