question;answer;answer_ab
"ایک سکہ سر ہے. وٹنی سکے پھینکتا ہے. ایریکا سکے کو نہیں اُڑا رہی TJ سکے نہیں پھینکتا. بینیٹو سکے کو پھینک دیتا ہے. کیا سکہ اب بھی اوپر کی طرف ہے؟ یہاں ""فِلٹ"" کا مطلب ""ریورس"" ہے۔ ";ہاں ;A
"ایک سکہ سر ہے. لکی سکے نہیں پھینکتا. میریا نے سکے کو اُلٹا۔ جے جے سکے کو اڑا دیتا ہے KC سکے پھینکتا ہے. کیا سکہ اب بھی اوپر کی طرف ہے؟ یہاں ""فِلٹ"" کا مطلب ""ریورس"" ہے۔ ";نہیں ;B
"ایک سکہ سر ہے. کیلب سکے کو پھینک دیتا ہے چیس سکے کو پھینک دیتا ہے. الیعزر نے سکے کو اُلٹا۔ شینل سکے کو نہیں پھینکتی۔ کیا سکہ اب بھی اوپر کی طرف ہے؟ یہاں ""فِلٹ"" کا مطلب ""ریورس"" ہے۔ ";نہیں ;B
"ایک سکہ سر ہے. سلویا سکے کو پھینک دیتی ہے۔ کیرولینا سکے نہیں پھینکتی۔ سٹین سکے پھینکتا ہے. چک سکے کو پھینک دیتا ہے. کیا سکہ اب بھی اوپر کی طرف ہے؟ یہاں ""فِلٹ"" کا مطلب ""ریورس"" ہے۔ ";نہیں ;B
"ایک سکہ سر ہے. بریانا سکے کو پھینک دیتی ہے۔ ٹری سکے نہیں پھینکتا. عمر نے سکے کو پھینکا۔ پیٹرس سکے کو نہیں پھینکتا۔ کیا سکہ اب بھی اوپر کی طرف ہے؟ یہاں ""فِلٹ"" کا مطلب ""ریورس"" ہے۔ ";ہاں ;A
"ایک سکہ سر ہے. لیلیان سکے کو پھینک دیتی ہے۔ ایان سکے کو پھینک دیتا ہے. برائس سکے پھینک دیتا ہے. Aracely سکے نہیں پھینکتا. کیا سکہ اب بھی اوپر کی طرف ہے؟ یہاں ""فِلٹ"" کا مطلب ""ریورس"" ہے۔ ";نہیں ;B
"ایک سکہ سر ہے. والٹر سکے کو نہیں پھینکتا۔ میکیلا سکے کو نہیں پھینکتی۔ لیری سکے نہیں پھینکتا۔ رائن سکے نہیں پھینکتا. کیا سکہ اب بھی اوپر کی طرف ہے؟ یہاں ""فِلٹ"" کا مطلب ""ریورس"" ہے۔ ";ہاں ;A
"ایک سکہ سر ہے. انجلینا سکے کو پھینک دیتی ہے۔ لیلی نے سکے کو اُڑا دیا۔ جینی سکے کو پھینک دیتی ہے۔ زین سکے نہیں پھینکتا. کیا سکہ اب بھی اوپر کی طرف ہے؟ یہاں ""فِلٹ"" کا مطلب ""ریورس"" ہے۔ ";نہیں ;B
"ایک سکہ سر ہے. لیزی سکے کو پھینک دیتی ہے۔ جوانی سکے کو نہیں پھینکتا۔ عائشہ نے سکے کو اُلٹا۔ برینڈا سکے نہیں پھینکتی۔ کیا سکہ اب بھی اوپر کی طرف ہے؟ یہاں ""فِلٹ"" کا مطلب ""ریورس"" ہے۔ ";ہاں ;A
"ایک سکہ سر ہے. ایلیز سکے کو پھینک دیتی ہے۔ لوپ سکے کو پھینک دیتا ہے. رینی سکے نہیں پھینکتی۔ نوئمی سکے کو نہیں اُڑا رہی۔ کیا سکہ اب بھی اوپر کی طرف ہے؟ یہاں ""فِلٹ"" کا مطلب ""ریورس"" ہے۔ ";ہاں ;A
"ایک سکہ سر ہے. جسی سکے کو پھینک دیتا ہے. روڈرک سکے کو پھینک دیتا ہے ٹریوس سکے نہیں پھینکتا. ریٹا سکے نہیں پھینکتی۔ کیا سکہ اب بھی اوپر کی طرف ہے؟ یہاں ""فِلٹ"" کا مطلب ""ریورس"" ہے۔ ";ہاں ;A
"ایک سکہ سر ہے. سینتھیا سکے کو نہیں پھینکتی۔ لوئیڈ سکے کو نہیں پھینکتا۔ جیکلین سکے کو پھینک دیتی ہے۔ جی سی سکے پھینکتا ہے. کیا سکہ اب بھی اوپر کی طرف ہے؟ یہاں ""فِلٹ"" کا مطلب ""ریورس"" ہے۔ ";ہاں ;A
"ایک سکہ سر ہے. سٹرلنگ سکے کو اُڑا دیتا ہے۔ جینیفر نے سکے کو اُلٹا۔ پیٹی سکے کو پھینک دیتی ہے۔ ڈینس سکے کو پھینک دیتی ہے۔ کیا سکہ اب بھی اوپر کی طرف ہے؟ یہاں ""فِلٹ"" کا مطلب ""ریورس"" ہے۔ ";ہاں ;A
"ایک سکہ سر ہے. بیٹریز نے سکے کو اُلٹا اُلٹا کر دیا۔ جِلین سکے کو اُڑاتی نہیں ہے۔ کوکو سکے کو نہیں پھینکتی۔ ویوین سکے نہیں پھینکتی۔ کیا سکہ اب بھی اوپر کی طرف ہے؟ یہاں ""فِلٹ"" کا مطلب ""ریورس"" ہے۔ ";نہیں ;B
"ایک سکہ سر ہے. پرنس سکے کو اُڑا دیتا ہے۔ رینی سکے کو پھینک دیتا ہے. وشال نے سکے کو پھینکا۔ پیٹرک سکے کو نہیں پھینکتا۔ کیا سکہ اب بھی اوپر کی طرف ہے؟ یہاں ""فِلٹ"" کا مطلب ""ریورس"" ہے۔ ";نہیں ;B
"ایک سکہ سر ہے. جی سکے نہیں پھینکتا. ڈینس سکے کو نہیں پھینکتا۔ کرس سکے کو پھینک دیتا ہے. برناڈٹ نے سکے کو اُلٹا۔ کیا سکہ اب بھی اوپر کی طرف ہے؟ یہاں ""فِلٹ"" کا مطلب ""ریورس"" ہے۔ ";ہاں ;A
"ایک سکہ سر ہے. ہانک سکے نہیں پھینکتا. جینین سکے کو نہیں پھینکتی۔ فرینکی سکے پھینکتا ہے. آسا سکے کو پھینک دیتا ہے. کیا سکہ اب بھی اوپر کی طرف ہے؟ یہاں ""فِلٹ"" کا مطلب ""ریورس"" ہے۔ ";ہاں ;A
"ایک سکہ سر ہے. میکس سکے نہیں پھینکتا۔ مائیکی سکے نہیں پھینکتا. سینتھیا سکے کو نہیں اُڑا رہی ہولی سکے پھینکتی ہے. کیا سکہ اب بھی اوپر کی طرف ہے؟ یہاں ""فِلٹ"" کا مطلب ""ریورس"" ہے۔ ";نہیں ;B
