question;answer;answer_ab
"一個硬幣代表頭頂. 惠特尼就個硬幣 艾瑞卡唔會硬幣 TJ 唔會投硬幣 班尼托就左硬幣. 呢張硬幣仲有唔上? 請留意到 ""翻轉""嘅意思係 ""倒退"". ";係 ;A
"一個硬幣代表頭頂. 幸運係唔會硬幣 Mireya 投硬幣 JJ 將硬幣投 KC 投硬幣 呢張硬幣仲有唔上? 請留意到 ""翻轉""嘅意思係 ""倒退"". ";唔係 ;B
"一個硬幣代表頭頂. 凱勒布就個硬幣 Chase 將硬幣投 以利亞撒就咗硬幣 妮唔會硬幣,而佢會投硬幣 呢張硬幣仲有唔上? 請留意到 ""翻轉""嘅意思係 ""倒退"". ";唔係 ;B
"一個硬幣代表頭頂. 席爾維亞就個硬幣 卡羅琳娜唔會硬幣,而會自己玩. 史丹將硬幣投 查克就投一枚硬币. 呢張硬幣仲有唔上? 請留意到 ""翻轉""嘅意思係 ""倒退"". ";唔係 ;B
"一個硬幣代表頭頂. 布里安娜就個硬幣 特雷唔會硬幣,佢唔會喺個局度 奧馬爾就投硬幣 帕特里斯唔會硬幣 呢張硬幣仲有唔上? 請留意到 ""翻轉""嘅意思係 ""倒退"". ";係 ;A
"一個硬幣代表頭頂. 莉莉安就個硬幣 伊恩就個硬幣 布萊斯就個硬幣 艾拉塞利唔會硬幣 呢張硬幣仲有唔上? 請留意到 ""翻轉""嘅意思係 ""倒退"". ";唔係 ;B
"一個硬幣代表頭頂. 沃爾特唔會硬幣, Mikayla 唔會投硬幣. 拉里唔會硬幣,佢唔會郁,佢唔會郁. 瑞安唔會硬幣,佢唔會喺個局度 呢張硬幣仲有唔上? 請留意到 ""翻轉""嘅意思係 ""倒退"". ";係 ;A
"一個硬幣代表頭頂. 安吉莉娜就個硬幣 萊拉就咗硬幣. Jenny 將硬幣投 恩唔會硬幣,佢唔會喺佢自己身上發揮力量 呢張硬幣仲有唔上? 請留意到 ""翻轉""嘅意思係 ""倒退"". ";唔係 ;B
"一個硬幣代表頭頂. 莉莉就個硬幣 Juany 唔會投硬幣. 阿伊莎咗個硬幣 布倫達唔係拋硬幣嘅 呢張硬幣仲有唔上? 請留意到 ""翻轉""嘅意思係 ""倒退"". ";係 ;A
"一個硬幣代表頭頂. Elise 投硬幣 路佩咗個硬幣 瑞妮唔會硬幣,而佢會投硬幣 諾米唔會硬幣 呢張硬幣仲有唔上? 請留意到 ""翻轉""嘅意思係 ""倒退"". ";係 ;A
