question;answer_number
Bebek Janet ngenteg 16 jaja nyabran rahina. Ipun ngajengang tigang soroh ring sabilang semeng tur nyabran rahina ngajengang petang soroh ring timpal-timpalnyane. Dané ngadol sisannyané nyabran rahina ring pasar tani antuk jinah kalih dolar AS nyabran jaja bebek sané anyar. Akuda akeh jinah ipune nyabran rahina ring pasar? ;18
Sabilang jubah nganggén 2 bolt serat biru miwah atenga serat putih. Makudang-kudang baut sané kabuatang? ;3
Josh raris mautsaha ngentosin umah. Dané numbas umah antuk 80.000 dolar AS raris ngutang 50.000 dolar AS antuk ngamecikang. Indiké punika nincapang pikolih umahnyané 150%. Kantos napi pikolihnyane? ;70000
James raris maputusin pacang malaib 3 kali seminggu. Dané malaib 60 méter ring soang-soang pacentokan. Makudang-kudang meter sané prasida dané jalanin awuku? ;540
Nyabran rahina, Wendi ngajengang ayamnyané tigang cangkir sané madaging biji, cacing, miwah jangan mangda setata séhat. Ida ngicen ayam punika ajengan ping tiga. Semengan, ipun ngicénin ayamnyané 15 cangkir ajengan. Ring soré, ipun malih ngicénin ayamnyané 25 cangkir. Makudang-kudang cangkir ajengan napi sané patut kaicénin ring pitik-pitiknyané rikala ajengan sané kaping untat ring rahina punika yéning akéh pitik Wendi wantah 20 siki? ;20
Kylar lunga ka toko numbas kacamata antuk apartemen anyarnyane. Satunggil gelas nelasang prabéya $5, sakéwanten sabilang gelas kalih wantah 60% saking prabéya punika. Kylar makeneh numbas gelas 16. Sabilang pipisé ento anggona meliang ia? ;64
Toulouse madué kambing kambing sané akéhnyané ping kalih saking Charleston. Charleston madué 4 kali liunan domba bandingang ring Seattle. Kantos kudang biri-biri sané wénten ring Toulouse, Charleston, miwah Seattle yéning Seattle madué 20 biri-biri? ;260
Carla ngunduh file sané agengnyané 200 GB. Biasane ipun prasida ngunduh 2 GB/menit, nanging 40% saking pamargin ngunduh, Windows ngamaksa restart mangda nginstal update, sané ngamanggehin 20 menit. Raris Carla patut ngulangin ngunduh saking pangawit. Kantos napi kawéntenannyané mangda prasida ngunduh berkas punika? ;160
John nyopir tigang jam ring kecepatan 60 mph raris mawali santukan dané uning dané lali ring paindikan sané mabuat ring jeroné. Dané mautsaha mangda prasida budal ring galah 4 jam sakéwanten kalih jam kapertama dané kantun macet ring margi. Dané nelasang atengah jam selanturnyané ngiterin mobil antuk kecepatan 30mph, sadurung prasida ngiterin galah sané kantun 4 jam sané kantun mamargi antuk kecepatan 80mph. Sapunapi doh ipun saking jeronnyane risampuné petang jam punika lintang? ;45
Gaji per jam Eliza antuk 40 jam pertama ipun makarya nyabran wuku inggih punika $10. Dané taler ngamolihang upah lembur 1,2 kali lipat saking upah per jamnyané. Yéning Eliza makarya 45 jam wuku puniki, napi pikolihnyané wuku puniki? ;460
