question;answer_number
Amadada kaJanet azalela amaqanda angu-16 ngosuku. Udla ezintathu ngesidlo sasekuseni njalo ekuseni futhi ubhaka amakhekhe kubangane bakhe nsuku zonke enezinombolo ezine. Udayisa okusele emakethe yabalimi nsuku zonke ngamaRandi amabili ngeqanda likadada elisha. Uhola malini nsuku zonke emakethe yabatshali? ;18
Ingubo ithatha imicu emibili eluhlaza okwesibhakabhaka nengxenye yemicu emhlophe. Kudingeka amabhawodi amangaki esewonke? ;3
UJosh unquma ukuzama ukuguqula indlu. Uthenga indlu ngamaRandi angu - 30 000 bese efaka amaRandi angu - 50 000 ekulungiseni. Lokhu kwandisa inani lendlu ngo-150%. Wazuza malini? ;70000
UJames unquma ukugijima ama-sprint amathathu kathathu ngesonto. Ugijima amamitha angu-60 ngejubane ngalinye. Ugijima amamitha amangaki ngesonto? ;540
Nsuku zonke, uWendi wondla inkukhu ngayinye yakhe ngamakomishi amathathu okudla kwezinkukhu okuxubile, okuqukethe imbewu, izibungu zempuphu nemifino ukuze azigcine ziphilile. Unika izinkukhu ukudla kwazo izikhathi ezintathu. Ekuseni, unikeza umhlambi wakhe wezinkukhu izinkomishi ezingu-15 zokudla. Ntambama, unikeza izinkukhu zakhe ezinye izinkomishi ezingu-25 zokudla. Zingaki izinkomishi zokudla okudingeka anikeze izinkukhu zakhe ekudleni kokugcina kosuku uma umhlambi kaWendi unenkukhu ezingu-20? ;20
UKylar waya esitolo eyothenga izibuko zendlu yakhe entsha. Ingilazi eyodwa ibiza u-R15, kodwa ingilazi yesibili ibiza u-60% walokho. UKylar ufuna ukuthenga izingilazi ezingu-16. Udinga ukukhokha malini ngazo? ;64
ITouleuse inezimvu eziphindwe kabili kuneziningi zaseCharleston. ICharleston inezimvu eziphindwe kane kunezeSeattle. Zingaki izimvu iToulouse, iCharleston, neSeattle eziba nazo uma iSeattle inezimvu ezingu-20? ;260
UCarla ulanda ifayela elingu-200 GB. Ngokuvamile angalanda ama-2 GB ngomzuzu, kodwa u-40% wendlela yokulanda, iWindows iphoqa ukuqala kabusha ukufaka izibuyekezo, okuthatha imizuzu engu-20. Khona-ke uCarla kumelwe aqale kabusha ukulanda kusukela ekuqaleni. Kuthatha umthwalo ongakanani ukulanda ifayela? ;160
UJohn ushayela amahora amathathu ngesivinini esingama-60 mph bese ephenduka ngoba uyaqaphela ukuthi ukhohliwe okuthile okubaluleke kakhulu ekhaya. Uzama ukubuyela ekhaya ngemva kwamahora amane kodwa amahora amabili okuqala uwachitha emgwaqweni ongasebenzi. Uchitha isigamu sehora esilandelayo eshayela ngesivinini esingama-30mph, ngaphambi kokuba akwazi ukushayela isikhathi esisele samahora amane ehamba nge-80mph. Ude kangakanani ekhaya ekupheleni kwalawo mahora amane? ;45
Imali ka-Eliza ngehora lamahora okuqala angu-40 asebenza ngawo isonto ngalinye ingu-$10. Uthola nenkokhelo yehora elengeziwe ephindwe izikhathi ezingu-1,2 kunenkokhelo yakhe yamahora evamile. Uma u-Eliza esebenze amahora angu-45 kuleli sonto, uhola malini kuleli sonto? ;460
Uhlelo olusha lwalulanda ama - 60 ngenyanga yokuqala. Inani lokulandwa kwenyanga yesibili laphindeka kathathu kunalokhu kwenyanga yokuqala, kodwa labe selehlile ngo-30% ngenyanga yesithathu. Ingakanani inombolo yokulandwa kwalolu hlelo phakathi nalezi zinyanga ezintathu? ;366
UToula waya esitolo sokubhaka wayothenga izinhlobo ezihlukahlukene zamakhekhe. Wathenga amadonathi angu-3 ayedola angu-68 idonsa ngalinye, ama-cupcake amancane angu-2 ayedola angu-80 idonsa ngalinye, nama-cheesecake amancane angu-6 adonsa angu-55 idonsa ngalinye. Yayingakanani izindleko eziphelele? ;694
UCarlos utshala isihlahla sikamalimu. Ukutshala lesi sihlahla kuzodla u-R300. Unyaka ngamunye uyotshala amalamula angu-7, angawathengisa ngo-R1.50 lilinye. Kubiza u-R3 ngonyaka ukuwuthambisa nokuwondla. Kuyothatha iminyaka emingaki ngaphambi kokuba aqale ukuzuza imali esihlahleni sikamalimu? ;13
UMelanie uyathengisa endlini ngendlu. Wathengisa ingxenye yesithathu yemishini yakhe yokuhlanza endlini eluhlaza, ezinye ezimbili endlini ebomvu, nengxenye yalokho okwakusele endlini ewolintshi. Uma uMelanie esenazo izinsiza zokuhlanza ezinhlanu, waqala ngaziphi? ;18
Ekilasini lomdanso elalinezifundo ezingu-20, abangu-20% babhalisela ukudansa umdanso wesimanje, abangu-25% ababhalisela ukudansa i-jazz, kanti abanye babhalisela ukudansa i-hip-hop. Bangaki amaphesenti abo bonke abafundi ababhalisele ukudansa i-hip-hop? ;60
Umthengisi ufuna ukukhetha phakathi kwezinhlelo ezimbili zokuthenga: ubucwebe obubiza u-R1 000 noma izinto zobuchwepheshe ezibiza u-R1 000. Umeluleki wakhe wezezimali ucabanga ukuthi imakethe yobucwebe izokwenyuka ngo-2.5% kuyilapho imakethe yamagajethi e-elekthronikhi izokwenyuka ngo-1.2% phakathi nenyanga efanayo. Uma umthengisi efuna ukukhulisa inzuzo ekupheleni kwale nyanga ngokwenza ukukhetha, inzuzo ingaba yimalini? ;125
Izitimela ezimbili zishiya iSan Rafael ngesikhathi esifanayo. Baqala ukuhamba belibangise entshonalanga, bobabili behamba amakhilomitha angu - 80. Ngosuku olulandelayo, baya enyakatho, bahambe amakhilomitha angu-150. Uhambo oluhlanganiswe isitimela ngasinye kulezi zinsuku ezimbili lungakanani? ;230
