m_query;response
Julia het Maandag met 18 kinders gespeel. Sy het Dinsdag met 10 kinders gespeel. Hoeveel meer kinders het sy Maandag gespeel as Dinsdag? ;8.0
Julia het Maandag met 11 kinders gespeel. Sy het Dinsdag met 12 kinders gespeel. Hoeveel meer kinders het sy Dinsdag saam met gespeel as Maandag? ;1.0
Julia het Maandag met 5 kinders gespeel. Sy het Dinsdag met'n paar ander kinders geklim. As sy met 15 kinders gespeel het, hoeveel kinders het sy Dinsdag gespeel? ;10.0
Julia het Maandag met'n paar kinders gespeel. Sy het Dinsdag met 14 kinders gespeel. As sy met 16 kinders gespeel het, hoeveel kinders het sy Maandag gespeel? ;2.0
Julia het Maandag met 16 kinders gespeel. As sy Maandag met 12 kinders meer as Dinsdag met mekaar gespeel het, hoeveel kinders het sy Dinsdag gespeel? ;4.0
Julia het Dinsdag met 14 kinders gespeel. As sy Maandag met 8 kinders meer as Dinsdag met mekaar gespeel het, hoeveel kinders het sy Maandag gespeel? ;22.0
Julia het Maandag met 17 kinders gespeel, 15 kinders Dinsdag en 2 kinders Woensdag. Hoeveel kinders het sy saam gespeel? ;34.0
Julia het Maandag met 15 kinders gespeel, Dinsdag met 18 kinders en Woensdag met 97 kinders. Hoeveel kinders het sy Maandag en Dinsdag saam met gespeel? ;33.0
Julia het Maandag met 5 kinders gespeel, Dinsdag met 9 kinders en Woensdag met 15 kinders. Hoeveel kinders het sy Maandag en Woensdag saam met gespeel? ;20.0
Julia het Maandag met 2 kinders gespeel, Dinsdag met 14 kinders en Woensdag met 16 kinders. Hoeveel kinders het sy Dinsdag en Woensdag saam met gespeel? ;30.0
Julia het Maandag met 9 kinders gespeel, Dinsdag met 7 kinders en Woensdag met 96 kinders. Hoeveel meer kinders het sy Maandag gespeel as Dinsdag? ;2.0
Julia het Maandag met 14 kinders gespeel, Dinsdag met 2 kinders en Woensdag met 8 kinders. Hoeveel meer kinders het sy Maandag gespeel as Woensdag? ;6.0
Julia het Maandag met 8 kinders gespeel, Dinsdag met 11 kinders en Woensdag met 9 kinders. Hoeveel meer kinders het sy Dinsdag saam met gespeel as Woensdag? ;2.0
Julia het Maandag met 15 kinders gespeel, Dinsdag met 18 kinders en Woensdag met 7 kinders. Hoeveel meer kinders het sy Maandag en Dinsdag saam met gespeel as Woensdag? ;26.0
Julia het Maandag met 13 kinders en Dinsdag met 10 kinders gespeel. Sy het Woensdag met 15 kinders kaarte gespeel. Hoeveel kinders het sy saam gespeel? ;38.0
Julia het Maandag met 7 kinders en Dinsdag met 13 kinders gespeel. Sy het Woensdag met 20 kinders kaarte gespeel. Hoeveel kinders het sy saam met haar gespeel? ;20.0
Julia het Maandag met 12 kinders gespeel. Sy het Dinsdag met 14 kinders gespeel. Sy het altesaam 34 uur spandeer om op beide dae te speel. Hoeveel kinders het sy saam gespeel? ;26.0
Julia het Maandag met 19 kinders gespeel. Sy het Dinsdag met 18 kinders gespeel. Sy het altesaam 38 uur spandeer om op beide dae te speel. Hoeveel meer kinders het sy Maandag gespeel as Dinsdag? ;1.0
Julia het Dinsdag met 5 kinders gespeel. Sy het Maandag met 6 kinders gespeel. Hoeveel meer kinders het sy Maandag gespeel as Dinsdag? ;1.0
