m_query;response
(جوليا) لعبت مع 18 طفلاً يوم الإثنين لعبت التتويج مع 10 أطفال يوم الثلاثاء كم عدد الأطفال الذين لعبت معهم يوم الاثنين أكثر من يوم الثلاثاء ؟ ;8.0
(جوليا) لعبت مع 11 طفلاً يوم الإثنين لقد لعبت مع 12 طفل يوم الثلاثاء كم عدد الأطفال الذين لعبت معهم يوم الثلاثاء أكثر من يوم الإثنين ؟ ;1.0
جوليا لعبت التتويج مع 5 أطفال يوم الاثنين لقد لعبت مع بعض الاطفال الثلاثاء إذا لعبت مع 15 طفل كم عدد الأطفال الذين لعبت معهم يوم الثلاثاء ؟ ;10.0
جوليا لعبت التتويج مع بعض الأطفال يوم الاثنين لقد لعبت مع 14 طفلاً يوم الثلاثاء إذا لعبت مع 16 طفل كم عدد الأطفال الذين لعبت معهم يوم الاثنين ؟ ;2.0
(جوليا) لعبت مع 16 طفلاً يوم الإثنين إذا كانت تلعب مع 12 طفل آخرين يوم الاثنين أكثر من يوم الثلاثاء كم عدد الأطفال الذين لعبت معهم يوم الثلاثاء ؟ ;4.0
(جوليا) لعبت مع 14 طفلاً يوم الثلاثاء إذا كانت تلعب مع 8 أطفال يوم الاثنين أكثر من يوم الثلاثاء كم عدد الأطفال الذين لعبت معهم يوم الاثنين ؟ ;22.0
جوليا لعبت مع 17 طفلاً يوم الإثنين 15 طفلاً يوم الثلاثاء و 2 طفلاً يوم الأربعاء كم عدد الأطفال الذين لعبت معهم ؟ ;34.0
جوليا لعبت مع 15 طفل يوم الاثنين 18 طفل يوم الثلاثاء و 97 طفل يوم الأربعاء كم عدد الأطفال الذين لعبت معهم يومي الاثنين والثلاثاء ؟ ;33.0
جوليا لعبت مع 5 أطفال يوم الاثنين 9 أطفال يوم الثلاثاء و 15 أطفال يوم الأربعاء كم عدد الأطفال الذين لعبت معهم يومي الاثنين والأربعاء ؟ ;20.0
جوليا لعبت مع طفلين يوم الاثنين 14 طفل يوم الثلاثاء و 16 طفل يوم الأربعاء كم عدد الأطفال الذين لعبت معهم يومي الثلاثاء والأربعاء ؟ ;30.0
جوليا لعبت التتويج مع 9 أطفال يوم الاثنين 7 أطفال يوم الثلاثاء و 96 طفل يوم الأربعاء كم عدد الأطفال الذين لعبت معهم يوم الاثنين أكثر من يوم الثلاثاء ؟ ;2.0
جوليا لعبت مع 14 طفلاً يوم الإثنين و طفلان يوم الثلاثاء و 8 أطفال يوم الأربعاء كم عدد الأطفال الذين لعبت معهم يوم الاثنين أكثر من يوم الأربعاء ؟ ;6.0
جوليا لعبت التتويج مع 8 أطفال يوم الاثنين 11 طفل يوم الثلاثاء و 9 أطفال يوم الأربعاء كم عدد الأطفال الذين لعبت معهم يوم الثلاثاء أكثر من يوم الأربعاء ؟ ;2.0
جوليا لعبت مع 15 طفل يوم الاثنين 18 طفل يوم الثلاثاء و 7 أطفال يوم الأربعاء كم عدد الأطفال الذين لعبت معهم يومي الاثنين والثلاثاء أكثر من يوم الأربعاء ؟ ;26.0
جوليا لعبت مع 13 طفل يوم الاثنين و 10 أطفال يوم الثلاثاء لعبت الورق مع 15 طفلاً يوم الأربعاء كم عدد الأطفال الذين لعبت معهم ؟ ;38.0
جوليا لعبت مع 7 أطفال يوم الاثنين و 13 طفل يوم الثلاثاء لعبت الورق مع 20 طفلاً يوم الأربعاء كم عدد الأطفال الذين لعبت معهم اللعب ؟ ;20.0
جوليا لعبت التتويج مع 12 طفل يوم الاثنين لقد لعبت مع 14 طفلاً يوم الثلاثاء قضت 34 ساعة في اللعب في كل يوم كم عدد الأطفال الذين لعبت معهم ؟ ;26.0
جوليا لعبت التتويج مع 19 طفل يوم الاثنين لقد لعبت مع 18 طفلاً يوم الثلاثاء قضت 38 ساعة في اللعب في كل يوم كم عدد الأطفال الذين لعبت معهم يوم الاثنين أكثر من يوم الثلاثاء ؟ ;1.0
جوليا لعبت مع 5 أطفال يوم الثلاثاء لقد لعبت مع 6 أطفال يوم الاثنين كم عدد الأطفال الذين لعبت معهم يوم الاثنين أكثر من يوم الثلاثاء ؟ ;1.0
(جوليا) لعبت مع 18 طفلاً لقد لعبت مع 4 أطفال يوم الاثنين و مع ذلك مع بعض الأطفال الآخرين يوم الثلاثاء كم عدد الأطفال الذين لعبت معهم يوم الثلاثاء ؟ ;14.0
جوليا لعبت مع 4 أطفال يوم الأربعاء لقد لعبت مع 6 أطفال يوم الاثنين و 17 طفلاً يوم الثلاثاء كم عدد الأطفال الذين لعبت معهم يوم الاثنين أكثر من يوم الأربعاء ؟ ;2.0
بوبي) أكل بعض الحلوى) ثم أكل 25 أخرى إذا أكل 43 قطعة من الحلوى كم قطعة من الحلوى أكل في البداية ؟ ;18.0
بوبي) أكل 28 قطعة من الحلوى) ثم أكل 42 آخرين كما أنه أكل 63 قطعة من الشوكولاته كم قطعة حلوى أكلها بوبي ؟ ;70.0
بوبي أكل 33 قطعة من الحلوى ثم أكل 4 أخرى و أكل أيضاً 14 قطعة من الشوكولاته كم قطعة من الحلوى والشوكولاته أكلتها بوبي ؟ ;51.0
بوبي) أكل 38 قطعة من الحلوى) ثم أكل 36 أخرى و أكل أيضاً 16 قطعة من الشوكولاته كم قطعة حلوى أكثر من الشوكولاته أكلتها بوبي ؟ ;58.0
بوبي كان لديه 20 قطعة من الحلوى لقد أكل 34 قطعة من الحلوى ثم أكل 18 آخرين كم قطعة حلوى أكلها بوبي ؟ ;52.0
بوبي كان لديه 21 قطعة من الحلوى لقد أكل 5 قطع من الحلوى ثم أكل 9 أخرى كم قطعة حلوى تبقى له ؟ ;7.0
بوبي كان لديه 22 قطعة من الحلوى لقد أكل بعض الحلوى ثم أكل 5 أخرى إذا كان لا يزال لديه 8 قطع من الحلوى المتبقية كم قطعة من الحلوى كان قد أكل في البداية ؟ ;9.0
بوبي كان لديه 19 قطعة من الحلوى لقد أكل قطعتين من الحلوى كم قطعة حلوى تبقى له ؟ ;17.0
بوبي كان لديه 32 قطعة من الحلوى لقد أكل بعض الحلوى إذا كان لديه 20 قطعة من الحلوى المتبقية كم قطعة من الحلوى أكلها بوبي ؟ ;12.0
بوبي أكل 17 قطعة من الحلوى ثم أكل 15 آخرين إذا كان لديه 36 قطعة من الحلوى كم قطعة من الحلوى تبقى له ؟ ;4.0
بوبي) أكل 23 قطعة من الحلوى) إذا كان لديه 30 قطعة من الحلوى كم قطعة من الحلوى تبقى له ؟ ;7.0
(آلن) أحضر 5 بالونات و (جايك) أحضر 3 بالونات للمتنزه كم عدد البالونات التي كان لدى (ألن) أكثر من (جايك) في الحديقة ؟ ;2.0
(آلن) أحضر بالونين و (جايك) أحضر 3 بالونات إلى الحديقة كم عدد البالونات التي كان لدى (جايك) أكثر من (ألن) في الحديقة ؟ ;1.0
آلان وجيك أحضروا 3 بالونات إلى الحديقة إذا أحضر (ألن) بالونين كم بالون أحضره (جايك) إلى الحديقة ؟ ;1.0
(جايك) أحضر 6 بالونات إلى الحديقة إذا أحضر (جايك) أربعة بالونات أكثر من عدد البالونات التي أحضرها (ألن) كم عدد البالونات التي أحضرها (ألن) إلى الحديقة ؟ ;2.0
(آلن) أحضر 5 بالونات إلى الحديقة إذا أحضر (جايك) 6 بالونات أكثر من عدد البالونات التي أحضرها (ألن) كم بالون أحضرها (جايك) إلى الحديقة ؟ ;11.0
آلان أحضر 3 بالونات و جايك أحضر 5 بالونات إلى الحديقة ثم اشترى (ألن) بالونين آخرين في الحديقة كم عدد البالونات التي كان لدى (ألن) و (جايك) في الحديقة ؟ ;10.0
(آلن) أحضر بالونين و (جايك) أحضر أربعة بالونات للمتنزه ثم اشترى (ألن) 3 بالونات أخرى في الحديقة كم عدد البالونات التي كان لدى (ألن) أكثر من (جايك) في الحديقة ؟ ;1.0
(آلن) أحضر بالونين و (جايك) أحضر 6 بالونات إلى الحديقة ثم اشترى (ألن) 3 بالونات أخرى في الحديقة كم عدد البالونات التي كان لدى (جايك) أكثر من (ألن) في الحديقة ؟ ;1.0
