m_query;response
Julia a joué à la cage avec 18 enfants lundi. Elle a joué à l' échec avec 10 enfants mardi. Avec combien d' autres enfants a-t-elle joué lundi que mardi? ;8.0
Julia a joué à la cage avec 11 enfants lundi. Elle a joué à la cage avec 12 enfants mardi. Avec combien d' autres enfants a-t-elle joué mardi? ;1.0
Julia a joué à la cage avec 5 enfants lundi. Elle a joué à la cage avec d' autres enfants mardi. Si elle a joué avec 15 enfants au total, avec combien d' autres a-t-elle joué mardi? ;10.0
Julia a joué à la cage avec des enfants lundi. Elle a joué à l' échec avec 14 enfants mardi. Si elle a joué avec 16 enfants au total, avec combien d' autres a-t-elle joué lundi? ;2.0
Julia a joué à la cage avec 16 enfants lundi. Si elle a joué à la cage avec 12 enfants de plus lundi qu' mardi, avec combien d' enfants a-t-elle joué mardi? ;4.0
Julia a joué à la cage avec 14 enfants mardi. Si elle a joué à l' échec avec 8 enfants de plus lundi qu' mardi, avec combien d' enfants a-t-elle joué lundi? ;22.0
Julia a joué à la cage avec 17 enfants lundi, 15 mardi et 2 mercredi. Avec combien d' enfants a-t-elle joué au total? ;34.0
Julia a joué à la cage avec 15 enfants lundi, 18 mardi et 97 mercredi. Avec combien d' enfants a-t-elle joué lundi et mardi? ;33.0
Julia a joué à la cage avec 5 enfants lundi, 9 mardi et 15 mercredi. Avec combien d' enfants a-t-elle joué lundi et mercredi? ;20.0
Julia a joué à la cage avec 2 enfants lundi, 14 enfants mardi et 16 enfants mercredi. Avec combien d' enfants a-t-elle joué mardi et mercredi? ;30.0
Julia a joué à l' échec avec 9 enfants lundi, 7 mardi et 96 mercredi. Avec combien d' autres enfants a-t-elle joué lundi que mardi? ;2.0
Julia a joué à l' échec avec 14 enfants lundi, 2 mardi et 8 mercredi. Avec combien d' autres enfants a-t-elle joué lundi que mercredi? ;6.0
Julia a joué à l' échec avec 8 enfants lundi, 11 mardi et 9 mercredi. Avec combien d' autres enfants a-t-elle joué mardi? ;2.0
Julia a joué à la cage avec 15 enfants lundi, 18 mardi et 7 mercredi. Avec combien d' autres enfants a-t-elle joué lundi et mardi? ;26.0
Julia a joué à la cage avec 13 enfants lundi et 10 autres mardi. Elle a joué aux cartes avec 15 enfants mercredi. Avec combien d' enfants a-t-elle joué au total? ;38.0
Julia a joué à la cage avec 7 enfants lundi et 13 enfants mardi. Elle a joué aux cartes avec 20 enfants mercredi. Avec combien d' enfants a-t-elle joué à la cage? ;20.0
Julia a joué à la cage avec 12 enfants lundi. Elle a joué à l' échec avec 14 enfants mardi. Elle a passé 34 heures à jouer à la cage les deux jours. Avec combien d' enfants a-t-elle joué au total? ;26.0
Julia a joué à la cage avec 19 enfants lundi. Elle a joué à l' échec avec 18 enfants mardi. Elle a passé 38 heures à jouer à la cage les deux jours. Avec combien d' autres enfants a-t-elle joué lundi que mardi? ;1.0
Julia a joué à la cage avec 5 enfants mardi. Elle avait joué à l' écharpe avec 6 enfants lundi. Avec combien d' autres enfants a-t-elle joué lundi que mardi? ;1.0
Julia a joué à la cage avec un total de 18 enfants. Elle a joué avec 4 enfants lundi et avec d' autres mardi. Avec combien d' enfants a-t-elle joué mardi? ;14.0
Julia a joué à la cage avec 4 enfants mercredi. Elle avait joué avec 6 enfants lundi et 17 mardi. Avec combien d' autres enfants a-t-elle joué lundi que mercredi? ;2.0
Bobby a mangé des bonbons. Puis il en a mangé 25 de plus. S' il a mangé 43 bonbons au total, combien de bonbons a-t-il mangé au début? ;18.0
Bobby a mangé 28 bonbons. Puis il en a mangé 42 de plus. Il a aussi mangé 63 morceaux de chocolat. Combien de bonbons Bobby a mangé? ;70.0
Bobby a mangé 33 bonbons. Puis il en a mangé 4 de plus. Il a aussi mangé 14 morceaux de chocolat. Combien de bonbons et de chocolat Bobby a-t-il mangés au total? ;51.0
Bobby a mangé 38 bonbons. Puis il en a mangé 36 de plus. Il a aussi mangé 16 morceaux de chocolat. Combien de bonbons en plus que du chocolat Bobby a mangé? ;58.0
Bobby avait 20 bonbons. Il a mangé 34 bonbons. Puis il en a mangé 18 de plus. Combien de bonbons Bobby a mangé? ;52.0
Bobby avait 21 bonbons. Il a mangé 5 bonbons. Puis il en a mangé 9 de plus. Combien de bonbons lui restent? ;7.0
