m_query;response
जूलिया सोमवार को 18 बच्चों के साथ टैग खेला. वह मंगलवार को 10 बच्चों के साथ टैग खेला. मंगलवार की तुलना में वह सोमवार को कितने और बच्चों के साथ खेलती थी? ;8.0
जूलिया सोमवार को 11 बच्चों के साथ टैग खेला. वह मंगलवार को 12 बच्चों के साथ टैग खेला. वह मंगलवार को सोमवार की तुलना में कितने और बच्चों के साथ खेलती थी? ;1.0
जूलिया ने सोमवार को 5 बच्चों के साथ टैग खेला. वह मंगलवार को कुछ और बच्चों के साथ टैग खेला. अगर वह कुल 15 बच्चों के साथ खेलती है तो मंगलवार को उसने कितने बच्चों के साथ खेला? ;10.0
जूलिया सोमवार को कुछ बच्चों के साथ टैग खेला. वह मंगलवार को 14 बच्चों के साथ टैग खेला. अगर वह कुल 16 बच्चों के साथ खेलती थी तो सोमवार को उसने कितने बच्चों के साथ खेला? ;2.0
जूलिया सोमवार को 16 बच्चों के साथ टैग खेला. अगर वह मंगलवार की तुलना में सोमवार को 12 और बच्चों के साथ टैग खेलती थी तो मंगलवार को उसने कितने बच्चों के साथ खेला? ;4.0
जूलिया ने मंगलवार को 14 बच्चों के साथ टैग खेला. अगर वह सोमवार को मंगलवार की तुलना में 8 अधिक बच्चों के साथ टैग खेलती है तो सोमवार को उसने कितने बच्चों के साथ खेला? ;22.0
जूलिया सोमवार को 17 बच्चों के साथ टैग खेला 15 बच्चे मंगलवार को और 2 बच्चे बुधवार को. वह कुल कितने बच्चों के साथ खेलती थी? ;34.0
जूलिया सोमवार को 15 बच्चों के साथ टैग खेला, मंगलवार को 18 बच्चों के साथ और बुधवार को 97 बच्चों के साथ. वह सोमवार और मंगलवार को कितने बच्चों के साथ खेलती थी? ;33.0
जूलिया ने सोमवार को 5 बच्चों के साथ टैग खेला मंगलवार को 9 बच्चे और बुधवार को 15 बच्चे. वह सोमवार और बुधवार को कितने बच्चों के साथ खेलती थी? ;20.0
जूलिया सोमवार को 2 बच्चों के साथ टैग खेला 14 बच्चों मंगलवार को और 16 बच्चों बुधवार को. वह मंगलवार और बुधवार को कितने बच्चों के साथ खेलती थी? ;30.0
जूलिया सोमवार को 9 बच्चों के साथ टैग खेला करती थी मंगलवार को 7 बच्चे और बुधवार को 96 बच्चे. मंगलवार की तुलना में वह सोमवार को कितने और बच्चों के साथ खेलती थी? ;2.0
जूलिया सोमवार को 14 बच्चों के साथ टैग खेला दो बच्चे मंगलवार को और 8 बच्चे बुधवार को. वह बुधवार की तुलना में सोमवार को कितने और बच्चों के साथ खेलती थी? ;6.0
जूलिया सोमवार को 8 बच्चों के साथ टैग खेला करती थी मंगलवार को 11 बच्चे और बुधवार को 9 बच्चे. वह मंगलवार को बुधवार की तुलना में कितने और बच्चों के साथ खेलती थी? ;2.0
जूलिया सोमवार को 15 बच्चों के साथ टैग खेला करती थी मंगलवार को 18 बच्चों के साथ और बुधवार को 7 बच्चों के साथ. वह सोमवार और मंगलवार को बुधवार की तुलना में कितने और बच्चों के साथ खेलती थी? ;26.0
जूलिया सोमवार को 13 बच्चों के साथ और मंगलवार को 10 बच्चों के साथ टैग खेला करती थी. वह बुधवार को 15 बच्चों के साथ कार्ड खेला. वह कुल कितने बच्चों के साथ खेलती थी? ;38.0
जूलिया सोमवार को 7 बच्चों के साथ और मंगलवार को 13 बच्चों के साथ टैग खेला करती थी. वह बुधवार को 20 बच्चों के साथ कार्ड खेला. वह कुल कितने बच्चों के साथ टैग खेलती थी? ;20.0
जूलिया सोमवार को 12 बच्चों के साथ टैग खेला. वह मंगलवार को 14 बच्चों के साथ टैग खेला. उसने दोनों दिनों में कुल 34 घंटे टैग खेलने में बिताए। वह कुल कितने बच्चों के साथ खेलती थी? ;26.0
जूलिया सोमवार को 19 बच्चों के साथ टैग खेला. वह मंगलवार को 18 बच्चों के साथ टैग खेला. उसने दोनों दिनों में कुल 38 घंटे टैग खेलने में बिताए. मंगलवार की तुलना में वह सोमवार को कितने और बच्चों के साथ खेलती थी? ;1.0
जूलिया ने मंगलवार को 5 बच्चों के साथ टैग खेला. वह सोमवार को 6 बच्चों के साथ टैग खेल रही थी. मंगलवार की तुलना में वह सोमवार को कितने और बच्चों के साथ खेलती थी? ;1.0
जूलिया कुल 18 बच्चों के साथ टैग खेला. वह सोमवार को 4 बच्चों के साथ खेलती थी और फिर भी मंगलवार को कुछ और बच्चों के साथ खेलती थी. मंगलवार को वह कितने बच्चों के साथ खेलती थी? ;14.0
