m_query;response
जुलिया सोमवारी १८ मुलांसोबत टॅग खेळली. मंगळवारी ती १० मुलांसोबत टॅग खेळत होती. मंगळवारी ती किती मुलांबरोबर खेळली? ;8.0
जुलिया सोमवारी ११ मुलांसोबत टॅग खेळली. मंगळवारी ती १२ मुलांसोबत टॅग खेळत होती. मंगळवारी ती सोमवारपेक्षा किती मुलांबरोबर खेळली? ;1.0
जुलिया सोमवारी ५ मुलांसोबत टॅग खेळली. मंगळवारी ती काही मुलांबरोबर टॅग खेळत होती. जर ती एकूण १५ मुलांसोबत खेळली तर मंगळवारी ती किती मुलांसोबत खेळली? ;10.0
जुलिया सोमवारी काही मुलांसोबत टॅग खेळली. मंगळवारी ती १४ मुलांसोबत टॅग खेळत होती. जर ती एकूण १६ मुलांसोबत खेळली तर सोमवारी ती किती मुलांसोबत खेळली? ;2.0
जुलिया सोमवारी १६ मुलांसोबत टॅग खेळली. जर तिने मंगळवारपेक्षा सोमवारी १२ अधिक मुलांबरोबर टॅग खेळले तर मंगळवारी ती किती मुलांबरोबर खेळली? ;4.0
जुलिया मंगळवारी १४ मुलांसोबत टॅग खेळली. जर तिने मंगळवारी पेक्षा सोमवारी ८ अधिक मुलांबरोबर टॅग खेळले तर सोमवारी तिने किती मुलांबरोबर खेळले? ;22.0
जुलिया सोमवारी १७ मुलांसोबत खेळत होती, मंगळवारी १५ आणि बुधवारी २ मुले. ती एकूण किती मुलांबरोबर खेळली? ;34.0
जुलिया सोमवारी १५ मुलांसोबत, मंगळवारी १८ मुलांसोबत आणि बुधवारी ९७ मुलांसोबत खेळत होती. सोमवार आणि मंगळवारी ती किती मुलांबरोबर खेळली? ;33.0
जुलिया सोमवारी ५ मुलांसोबत, मंगळवारी ९ आणि बुधवारी १५ मुलांसोबत खेळत होती. सोमवार आणि बुधवारी ती किती मुलांबरोबर खेळली? ;20.0
जुलिया सोमवारी २ मुलांसोबत, मंगळवारी १४ मुलांसोबत आणि बुधवारी १६ मुलांसोबत खेळत होती. मंगळवार आणि बुधवारी ती किती मुलांबरोबर खेळली? ;30.0
जुलिया सोमवारी 9 मुलांसोबत, मंगळवारी 7 मुलांसोबत आणि बुधवारी 96 मुलांसोबत टेग खेळत होती. मंगळवारी ती किती मुलांबरोबर खेळली? ;2.0
जुलिया सोमवारी १४ मुलांसोबत खेळत होती, मंगळवारी २ मुले आणि बुधवारी ८ मुले. बुधवारपेक्षा सोमवारी ती किती मुलांबरोबर खेळली? ;6.0
जुलिया सोमवारी ८ मुलांसोबत, मंगळवारी ११ आणि बुधवारी ९ मुलांसोबत खेळत होती. मंगळवारी ती बुधवारपेक्षा किती मुलांबरोबर खेळली? ;2.0
जुलिया सोमवारी १५ मुलांबरोबर, मंगळवारी १८ मुलांबरोबर आणि बुधवारी ७ मुलांबरोबर खेळत होती. बुधवारपेक्षा सोमवार आणि मंगळवारी ती किती मुलांबरोबर खेळली? ;26.0
जुलिया सोमवारी १३ मुलांसोबत आणि मंगळवारी १० मुलांसोबत टॅग खेळली. बुधवारी ती १५ मुलांसोबत कार्ड खेळली. ती एकूण किती मुलांबरोबर खेळली? ;38.0
जुलिया सोमवारी 7 मुलांसोबत आणि मंगळवारी 13 मुलांसोबत टॅग खेळली. बुधवारी ती २० मुलांसोबत कार्ड खेळली. ती एकूण किती मुलांसोबत टॅग खेळली? ;20.0
जुलिया सोमवारी १२ मुलांसोबत टॅग खेळली. मंगळवारी ती १४ मुलांसोबत टॅग खेळत होती. तिने दोन्ही दिवस एकूण ३४ तास टॅग खेळण्यात घालवले. ती एकूण किती मुलांबरोबर खेळली? ;26.0
जुलिया सोमवारी १९ मुलांसोबत टॅग खेळली. मंगळवारी ती १८ मुलांसोबत टॅग खेळली. तिने दोन्ही दिवस एकूण ३८ तास टॅग खेळण्यात घालवले. मंगळवारी ती किती मुलांबरोबर खेळली? ;1.0
जुलिया मंगळवारी ५ मुलांसोबत टॅग खेळली. तिने सोमवारी 6 मुलांसोबत टॅग खेळला होता. मंगळवारी ती किती मुलांबरोबर खेळली? ;1.0
ज्युलिया एकूण १८ मुलांसोबत टॅग खेळत होती. ती सोमवारी चार मुलांसोबत खेळली आणि मंगळवारी आणखी काही मुलांसोबत. मंगळवारी ती किती मुलांबरोबर खेळली? ;14.0
जुलिया बुधवारी चार मुलांसोबत टॅग खेळली. तिने सोमवारी 6 आणि मंगळवारी 17 मुलांबरोबर खेळले होते. बुधवारपेक्षा सोमवारी ती किती मुलांबरोबर खेळली? ;2.0
बॉबीने काही गोड खाल्ले. नंतर तो आणखी २५ खाल्ला. जर त्याने एकूण ४३ चॉकलेट खाल्ले असतील तर त्याने सुरुवातीला किती चॉकलेट खाल्ले असतील? ;18.0
बॉबीने २८ चॉकलेट खाल्ले. नंतर तो आणखी ४२ खाल्ला. त्याने ६३ चॉकलेट्स खाल्ल्या. बॉबीने किती गोड खाल्ले? ;70.0
बॉबीने ३३ चॉकलेट खाल्ले. मग त्याने आणखी ४ खाल्ले. त्याने चॉकलेटचे १४ तुकडे खाल्ले. बॉबीने एकूण किती चॉकलेट आणि कँडी खाल्ले? ;51.0
बॉबीने ३८ चॉकलेट खाल्ले. नंतर त्याने आणखी ३६ खाल्ले. त्याने १६ चॉकलेट्स खाल्ल्या. बॉबीने चॉकलेटपेक्षा किती जास्त कँडी खाल्ले? ;58.0
बॉबीने २० चॉकलेट्स खाल्ल्या होत्या. त्याने ३४ चॉकलेट खाल्ले. नंतर तो आणखी १८ खाल्ला. बॉबीने किती गोड खाल्ले? ;52.0
बॉबीने २१ चॉकलेट्स खाल्ल्या होत्या. त्याने ५ चॉकलेट खाल्ल्या. नंतर तो आणखी ९ खाल्ला. त्याच्याकडे अजून किती गोड आहेत? ;7.0
बॉबीने २२ चॉकलेट्स खाल्ल्या होत्या. त्याने काही चॉकलेट्स खाल्ल्या. नंतर तो आणखी ५ खाल्ला. जर त्याच्याकडे अजूनही 8 चॉकलेट्स शिल्लक असतील तर त्याने सुरुवातीला किती चॉकलेट्स खाल्ल्या होत्या? ;9.0
बॉबीने १९ चॉकलेट्स खाल्ल्या होत्या. त्याने २ चॉकलेट खाल्ले. त्याच्याकडे अजून किती गोड आहेत? ;17.0
बॉबीकडे ३२ चॉकलेट्स होत्या. त्याने काही चॉकलेट्स खाल्ल्या. त्याच्याकडे २० चॉकलेट्स शिल्लक असतील तर बॉबीने किती चॉकलेट्स खाल्ल्या? ;12.0
बॉबीने १७ चॉकलेट खाल्ले. मग तो आणखी १५ खाल्ला. जर सुरुवातीला त्याच्याकडे ३६ चॉकलेट्स असतील तर त्याच्याकडे अजून किती चॉकलेट्स आहेत? ;4.0
बॉबीने २३ चॉकलेट खाल्ले. जर सुरुवातीला त्याच्याकडे ३० कँडीज असतील तर त्याच्याकडे अजून किती कँडीज आहेत? ;7.0
अॅलनने ५ बॉल आणले आणि जेकने ३ बॉल पार्कमध्ये आणले. पार्कमध्ये जेकपेक्षा अॅलनकडे किती अधिक बलून होते? ;2.0
अॅलनने दोन बॉल आणले आणि जेकने तीन बॉल पार्कमध्ये आणले. जेककडे पार्कमध्ये अॅलनपेक्षा किती अधिक बलून होते? ;1.0
अॅलन आणि जेक यांनी उद्यानाला ३ बॉल आणले. जर ऍलनने दोन बॉल आणले असतील तर जेकने किती बॉल पार्कमध्ये आणले असतील? ;1.0
जेकने उद्यानात ६ बलून आणले होते. जर जेक ऍलनपेक्षा ४ अधिक बलून आणले असतील तर ऍलन किती बलून पार्कमध्ये आणले? ;2.0
अॅलनने उद्यानात ५ बॉल आणले. जर जेक 6 अधिक बलून आणले असेल तर जेलन आणलेल्या बलूनपेक्षा किती बलून जेक पार्कमध्ये आणले? ;11.0
अॅलनने ३ आणि जेकने ५ बॉल पार्कमध्ये आणले. त्यानंतर अॅलनने पार्कमध्ये आणखी दोन बॉल विकत घेतले. अॅलन आणि जेक यांच्याकडे किती बॉल होते? ;10.0
अॅलनने दोन आणि जेकने चार बॉल पार्कमध्ये आणले. त्यानंतर अॅलनने उद्यानातून आणखी ३ बॉल विकत घेतले. पार्कमध्ये जेकपेक्षा अॅलनकडे किती अधिक बलून होते? ;1.0
अॅलनने दोन बॉल आणले आणि जेकने सहा बॉल पार्कमध्ये आणले. त्यानंतर अॅलनने उद्यानातून आणखी ३ बॉल विकत घेतले. जेककडे पार्कमध्ये अॅलनपेक्षा किती अधिक बलून होते? ;1.0
अॅलनने ५ बॉल आणले आणि जेकने ४ बॉल पार्कमध्ये आणले. त्यानंतर अॅलनने उद्यानातून आणखी ३ बॉल विकत घेतले. अॅलन किती बॉल पार्कमध्ये आणले? ;8.0
अॅलन सहा आणि जेक दोन बॉल पार्कमध्ये आणले. जेकने मग पार्कमध्ये आणखी ३ बॉल विकत घेतले. पार्कमध्ये जेकपेक्षा अॅलनकडे किती अधिक बलून होते? ;1.0
अॅलन सहा फुगे आणला आणि जेक तीन फुगे घेऊन आला. जेकने मग पार्कमध्ये आणखी ४ बॉल विकत घेतले. जेककडे पार्कमध्ये अॅलनपेक्षा किती अधिक बलून होते? ;1.0
अॅलनने ५ आणि जेकने ६ बॉल पार्कमध्ये आणले. जेकने मग पार्कमध्ये आणखी ३ बॉल विकत घेतले. जेक किती बलून पार्क मध्ये आणले? ;9.0
अॅलनने ३ बॉल आणि २० बॉल आणले तर जेकने ५ बॉल आणि ५९ बॉल पार्कमध्ये आणले. अॅलन आणि जेक यांच्याकडे किती बॉल होते? ;8.0
अॅलनने 7 बॉल आणि 5 बॉल आणले तर जेकने 6 बॉल आणि 4 बॉल पार्कमध्ये आणले. अॅलन आणि जेक यांनी पार्कमध्ये किती बॉल घेतले? ;9.0
अॅलनने ५ बॉल आणले आहेत. जर ऍलन आणि जेक एकूण ६ बलून पार्कमध्ये आणले असतील तर जेक किती बलून पार्कमध्ये आणले? ;1.0
अॅलनने दोन बॉल पार्कमध्ये आणले आणि नंतर तिथे आणखी तीन बॉल विकत घेतले. जर जेकने 6 बॉल पार्कमध्ये आणले असतील तर जेककडे पार्कमध्ये अॅलनपेक्षा किती बॉल होते? ;1.0
दररोज रायन सहा तास इंग्रजी शिकतो आणि दोन तास चिनी शिकतो. तो चिनी शिकण्यापेक्षा किती तास इंग्रजी शिकण्यात घालवतो? ;4.0
दररोज रायन सहा तास इंग्रजी शिकतो आणि सात तास चिनी शिकतो. इंग्रजी शिकण्यापेक्षा तो किती तास अधिक चिनी शिकण्यात घालवतो? ;1.0
दररोज रायन तीन तास इंग्रजी शिकतो आणि काही तास चीनी शिकतो. जर तो दररोज इंग्रजी आणि चिनी शिकण्यासाठी एकूण 4 तास खर्च करतो तर तो किती तास चिनी शिकण्यासाठी खर्च करतो? ;1.0
