m_query;response
Julia grała w taganie z 18 dzieciakami w poniedziałek. Wtorek grała w tagania z 10 dzieciakami. Z ilu więcej dzieciaków bawiła się w poniedziałek niż we wtorek? ;8.0
Julia grała w taganie z 11 dzieciakami w poniedziałek. Wtorek grała w tagania z 12 dzieciakami. Z ilu więcej dzieciaków bawiła się we wtorek niż w poniedziałek? ;1.0
Julia grała w tagania z pięcioma dziećmi w poniedziałek. Wtorek grała w tagania z innymi dziećmi. Jeśli grała z 15 dzieciakami, z ilu dzieciakami grała we wtorek? ;10.0
Julia grała w tagania z kilkoma dziećmi w poniedziałek. Wtorek grała w tagania z 14 dzieciakami. Jeśli grała z 16 dziećmi, z ilu z nich grała w poniedziałek? ;2.0
Julia grała w tagania z 16 dzieciakami w poniedziałek. Jeśli w poniedziałek grała w tagania z 12 więcej dzieciaków niż we wtorek, to z ilu dzieciaków grała we wtorek? ;4.0
Julia grała w tag z 14 dzieciakami we wtorek. Jeśli w poniedziałek grała w tagania z ośmioma innymi dziećmi niż we wtorek, to z ilu dzieciami grała w poniedziałek? ;22.0
Julia grała w tag z 17 dzieciakami w poniedziałek, 15 dzieciakami we wtorek i 2 dzieciakami w środę. Z ilu dzieciakami w sumie się bawiła? ;34.0
Julia grała w tag z 15 dzieciakami w poniedziałek, 18 dzieciakami we wtorek i 97 dzieciakami w środę. Z ilu dzieciakami grała w poniedziałek i wtorek? ;33.0
Julia grała w tagania z 5 dzieciakami w poniedziałek, 9 dzieciakami we wtorek i 15 dzieciakami w środę. Z ilu dzieciakami grała w poniedziałek i środę? ;20.0
Julia grała w tag z 2 dziećmi w poniedziałek, 14 dzieci w wtorek i 16 dzieci w środę. Z ilu dzieciakami grała we wtorki i środy? ;30.0
Julia grała w taganie z 9 dzieciakami w poniedziałek, 7 dzieciakami we wtorek i 96 dzieciakami w środę. Z ilu więcej dzieciaków bawiła się w poniedziałek niż we wtorek? ;2.0
Julia grała w tag z 14 dziećmi w poniedziałek, 2 wtorek i 8 w środę. Z ilu więcej dzieciaków grała w poniedziałek niż w środę? ;6.0
Julia grała w tag z 8 dziećmi w poniedziałek, 11 wtorek i 9 w środę. Z ilu więcej dzieciaków grała we wtorek niż w środę? ;2.0
Julia grała w taganie z 15 dzieciakami w poniedziałek, 18 dzieciakami we wtorek i 7 dzieciakami w środę. Z ilu więcej dzieciaków grała w poniedziałek i wtorek niż w środę? ;26.0
