m_query;response
Julia spelade tagg med 18 barn på måndag. Hon spelade tag med tio barn på tisdag. Hur många fler barn lekte hon med på måndag än på tisdag? ;8.0
Julia spelade tagg med elva barn på måndag. Hon spelade tag med 12 barn på tisdag. Hur många fler barn lekte hon med på tisdag än på måndag? ;1.0
Julia spelade tagg med fem barn på måndag. Hon spelade tag med några fler barn på tisdag. Om hon spelade med totalt 15 barn hur många spelade hon med på tisdag? ;10.0
Julia spelade tagg med några barn på måndag. Hon spelade tag med 14 barn på tisdag. Om hon spelade med totalt 16 barn hur många spelade hon med på måndag? ;2.0
Julia spelade tagg med 16 barn på måndag. Om hon spelade tag med 12 fler barn på måndag än på tisdag hur många barn spelade hon med på tisdag? ;4.0
Julia spelade tagg med 14 barn på tisdag. Om hon spelade tag med 8 fler barn på måndag än på tisdag hur många barn spelade hon med på måndag? ;22.0
Julia spelade tagg med 17 barn på måndag 15 barn på tisdag och 2 barn på onsdag. Hur många barn lekte hon med totalt? ;34.0
Julia spelade tagg med 15 barn på måndag 18 barn på tisdag och 97 barn på onsdag. Hur många barn lekte hon med på måndag och tisdag? ;33.0
Julia spelade tagg med fem barn på måndag, nio barn på tisdag och 15 barn på onsdag. Hur många barn lekte hon med på måndag och onsdag? ;20.0
Julia spelade tagg med två barn på måndag 14 barn på tisdag och 16 barn på onsdag. Hur många barn lekte hon med på tisdag och onsdag? ;30.0
Julia spelade tagg med nio barn på måndag, sju barn på tisdag och 96 barn på onsdag. Hur många fler barn lekte hon med på måndag än på tisdag? ;2.0
Julia spelade tagg med 14 barn på måndag 2 barn på tisdag och 8 barn på onsdag. Hur många fler barn lekte hon med på måndag än på onsdag? ;6.0
Julia spelade tagg med åtta barn på måndag, elva barn på tisdag och nio barn på onsdag. Hur många fler barn lekte hon med på tisdag än på onsdag? ;2.0
Julia spelade tagg med 15 barn på måndag 18 barn på tisdag och 7 barn på onsdag. Hur många fler barn lekte hon med på måndag och tisdag än på onsdag? ;26.0
Julia spelade tagg med 13 barn på måndag och 10 barn på tisdag. Hon spelade kort med 15 barn på onsdag. Hur många barn lekte hon med totalt? ;38.0
Julia spelade tagg med sju barn på måndag och 13 barn på tisdag. Hon spelade kort med 20 barn på onsdag. Hur många barn spelade hon tagg med totalt? ;20.0
Julia spelade tagg med 12 barn på måndag. Hon spelade tag med 14 barn på tisdag. Hon spenderade totalt 34 timmar på att leka tagg båda dagarna. Hur många barn lekte hon med totalt? ;26.0
Julia spelade tagg med 19 barn på måndag. Hon spelade tag med 18 barn på tisdag. Hon spenderade totalt 38 timmar på att leka tagg båda dagarna. Hur många fler barn lekte hon med på måndag än på tisdag? ;1.0
Julia spelade tagg med fem barn på tisdag. Hon hade spelat tagg med sex barn på måndag. Hur många fler barn lekte hon med på måndag än på tisdag? ;1.0
Julia spelade tagg med totalt 18 barn. Hon spelade med fyra barn på måndag och ännu fler barn på tisdag. Hur många barn lekte hon med på tisdag? ;14.0
Julia spelade tag med fyra barn på onsdag. Hon hade spelat med sex barn på måndag och 17 barn på tisdag. Hur många fler barn lekte hon med på måndag än på onsdag? ;2.0
Bobby åt lite godis. Sen åt han 25 till. Om han åt totalt 43 godisstycken hur många godisstycken hade han ätit i början? ;18.0
Bobby åt 28 godisbitar. Sen åt han 42 till. Han åt också 63 chokladbitar. Hur många godisbitar åt Bobby? ;70.0
Bobby åt 33 godisbitar. Sen åt han fyra till. Han åt också 14 chokladbitar. Hur många godis och choklad åt Bobby? ;51.0
Bobby åt 38 godisbitar. Sen åt han 36 till. Han åt också 16 chokladbitar. Hur många godisbitar åt Bobby? ;58.0
Bobby åt 20 godisbitar. Han åt 34 godisbitar. Sen åt han 18 till. Hur många godisbitar åt Bobby? ;52.0
Bobby hade 21 godisbitar. Han åt fem godisbitar. Sen åt han nio till. Hur många godisbitar har han kvar? ;7.0
Bobby hade 22 godisbitar. Han åt lite godis. Sen åt han fem till. Om han har åtta godis kvar hur många godis hade han ätit i början? ;9.0
Bobby åt 19 godisbitar. Han åt två godisbitar. Hur många godisbitar har han kvar? ;17.0
