question;A;B;C;answer;answer_abc
Alice, Bob en Claire speel 'n speletjie. Aan die begin van die spel hou hulle elkeen 'n bal in die hand: Alice het 'n oranje bal, Bob 'n wit bal en Claire 'n blou bal. Namate die spel vorder, ruil spelers pare balle uit. Eerstens, Alice en Bob ruil hulle balle. Toe het Bob en Claire hulle balle uitgeruil. Uiteindelik ruil Alice en Bob hulle balle. Aan die einde van die spel, het Alice die ;oranje bal ;wit bal ;blou bal ;blou bal ;C
Alice, Bob en Claire speel 'n speletjie. Aan die begin van die spel hou hulle elkeen 'n bal in die hand: Alice het 'n oranje bal, Bob 'n wit bal en Claire 'n blou bal. Namate die spel vorder, ruil spelers pare balle uit. Eerstens, Alice en Bob ruil hulle balle. Toe het Bob en Claire hulle balle uitgeruil. Uiteindelik ruil Alice en Bob hulle balle. Aan die einde van die spel, het Bob die ;oranje bal ;wit bal ;blou bal ;wit bal ;B
Alice, Bob en Claire speel 'n speletjie. Aan die begin van die spel hou hulle elkeen 'n bal in die hand: Alice het 'n oranje bal, Bob 'n wit bal en Claire 'n blou bal. Namate die spel vorder, ruil spelers pare balle uit. Eerstens, Alice en Bob ruil hulle balle. Toe het Bob en Claire hulle balle uitgeruil. Uiteindelik ruil Alice en Bob hulle balle. Aan die einde van die spel, het Claire die ;oranje bal ;wit bal ;blou bal ;oranje bal ;A
Alice, Bob en Claire speel 'n speletjie. Aan die begin van die spel hou hulle elkeen 'n bal in die hand: Alice het 'n swart bal, Bob 'n bruin bal en Claire 'n blou bal. Namate die spel vorder, ruil spelers pare balle uit. Eerstens, Bob en Claire ruil hulle balle. Dan ruil Alice en Bob hulle balle. Uiteindelik het Claire en Bob hulle balle uitgeruil. Aan die einde van die spel, het Alice die ;blou bal ;swart bal ;bruin bal ;blou bal ;A
Alice, Bob en Claire speel 'n speletjie. Aan die begin van die spel hou hulle elkeen 'n bal in die hand: Alice het 'n swart bal, Bob 'n bruin bal en Claire 'n blou bal. Namate die spel vorder, ruil spelers pare balle uit. Eerstens, Bob en Claire ruil hulle balle. Dan ruil Alice en Bob hulle balle. Uiteindelik het Claire en Bob hulle balle uitgeruil. Aan die einde van die spel, het Bob die ;blou bal ;swart bal ;bruin bal ;bruin bal ;C
Alice, Bob en Claire speel 'n speletjie. Aan die begin van die spel hou hulle elkeen 'n bal in die hand: Alice het 'n swart bal, Bob 'n bruin bal en Claire 'n blou bal. Namate die spel vorder, ruil spelers pare balle uit. Eerstens, Bob en Claire ruil hulle balle. Dan ruil Alice en Bob hulle balle. Uiteindelik het Claire en Bob hulle balle uitgeruil. Aan die einde van die spel, het Claire die ;blou bal ;swart bal ;bruin bal ;swart bal ;B
Alice, Bob en Claire speel 'n speletjie. Aan die begin van die spel hou hulle elkeen 'n bal in die hand: Alice het 'n oranje bal, Bob 'n rooi bal en Claire 'n swart bal. Namate die spel vorder, ruil spelers pare balle uit. Eerstens, Alice en Bob ruil hulle balle. Toe het Claire en Bob hulle balle uitgeruil. Uiteindelik het Alice en Claire hulle balle uitgeruil. Aan die einde van die spel, het Alice die ;oranje bal ;swart bal ;rooi bal ;oranje bal ;A
Alice, Bob en Claire speel 'n speletjie. Aan die begin van die spel hou hulle elkeen 'n bal in die hand: Alice het 'n oranje bal, Bob 'n rooi bal en Claire 'n swart bal. Namate die spel vorder, ruil spelers pare balle uit. Eerstens, Alice en Bob ruil hulle balle. Toe het Claire en Bob hulle balle uitgeruil. Uiteindelik het Alice en Claire hulle balle uitgeruil. Aan die einde van die spel, het Bob die ;oranje bal ;swart bal ;rooi bal ;swart bal ;B
Alice, Bob en Claire speel 'n speletjie. Aan die begin van die spel hou hulle elkeen 'n bal in die hand: Alice het 'n oranje bal, Bob 'n rooi bal en Claire 'n swart bal. Namate die spel vorder, ruil spelers pare balle uit. Eerstens, Alice en Bob ruil hulle balle. Toe het Claire en Bob hulle balle uitgeruil. Uiteindelik het Alice en Claire hulle balle uitgeruil. Aan die einde van die spel, het Claire die ;oranje bal ;swart bal ;rooi bal ;rooi bal ;C
Alice, Bob en Claire speel 'n speletjie. Aan die begin van die spel hou hulle elkeen 'n bal in die hand: Alice het 'n geel bal, Bob 'n pers bal en Claire 'n blou bal. Namate die spel vorder, ruil spelers pare balle uit. Eerstens, Alice en Claire ruil hulle balle. Toe het Bob en Claire hulle balle uitgeruil. Uiteindelik het Alice en Claire hulle balle uitgeruil. Aan die einde van die spel, het Alice die ;blou bal ;geel bal ;pers bal ;pers bal ;C
