question;A;B;C;answer;answer_abc
Alis, Bob i Kler igraju igru. Na početku igre, svaka od njih drži loptu: Alisa ima narandžastu loptu, Bob ima bijelu loptu, a Kler ima plavu loptu. Kako igra napreduje, igrači se menjaju lopticama. Prvo, Alice i Bob razmjenjuju jaja. Onda su Bob i Kler zamijenili jaja. Konačno, Alice i Bob su zamijenili jaja. Na kraju igre, Alisa ima ;narandžasta loptica ;Bijela lopta ;plava lopta ;plava lopta ;C
Alis, Bob i Kler igraju igru. Na početku igre, svaka od njih drži loptu: Alisa ima narandžastu loptu, Bob ima bijelu loptu, a Kler ima plavu loptu. Kako igra napreduje, igrači se menjaju lopticama. Prvo, Alice i Bob razmjenjuju jaja. Onda su Bob i Kler zamijenili jaja. Konačno, Alice i Bob su zamijenili jaja. Na kraju igre, Bob ima ;narandžasta loptica ;Bijela lopta ;plava lopta ;Bijela lopta ;B
Alis, Bob i Kler igraju igru. Na početku igre, svaka od njih drži loptu: Alisa ima narandžastu loptu, Bob ima bijelu loptu, a Kler ima plavu loptu. Kako igra napreduje, igrači se menjaju lopticama. Prvo, Alice i Bob razmjenjuju jaja. Onda su Bob i Kler zamijenili jaja. Konačno, Alice i Bob su zamijenili jaja. Na kraju igre, Claire ima ;narandžasta loptica ;Bijela lopta ;plava lopta ;narandžasta loptica ;A
Alis, Bob i Kler igraju igru. Na početku igre, svaka od njih drži loptu: Alisa ima crnu loptu, Bob ima smeđu loptu, a Kler ima plavu loptu. Kako igra napreduje, igrači se menjaju lopticama. Prvo, Bob i Kler mijenjaju loptice. Onda su Alice i Bob zamijenili jaja. Konačno, Kler i Bob su zamijenili jaja. Na kraju igre, Alisa ima ;plava lopta ;Crna kugla ;smeđa loptica ;plava lopta ;A
Alis, Bob i Kler igraju igru. Na početku igre, svaka od njih drži loptu: Alisa ima crnu loptu, Bob ima smeđu loptu, a Kler ima plavu loptu. Kako igra napreduje, igrači se menjaju lopticama. Prvo, Bob i Kler mijenjaju loptice. Onda su Alice i Bob zamijenili jaja. Konačno, Kler i Bob su zamijenili jaja. Na kraju igre, Bob ima ;plava lopta ;Crna kugla ;smeđa loptica ;smeđa loptica ;C
Alis, Bob i Kler igraju igru. Na početku igre, svaka od njih drži loptu: Alisa ima crnu loptu, Bob ima smeđu loptu, a Kler ima plavu loptu. Kako igra napreduje, igrači se menjaju lopticama. Prvo, Bob i Kler mijenjaju loptice. Onda su Alice i Bob zamijenili jaja. Konačno, Kler i Bob su zamijenili jaja. Na kraju igre, Claire ima ;plava lopta ;Crna kugla ;smeđa loptica ;Crna kugla ;B
Alis, Bob i Kler igraju igru. Na početku igre, svaka od njih drži loptu: Alisa ima narandžastu loptu, Bob ima crvenu loptu, a Kler ima crnu loptu. Kako igra napreduje, igrači se menjaju lopticama. Prvo, Alice i Bob razmjenjuju jaja. Onda su Kler i Bob zamijenili jaja. Konačno, Alice i Claire zamijenili su jaja. Na kraju igre, Alisa ima ;narandžasta loptica ;Crna kugla ;Crvena loptica ;narandžasta loptica ;A
Alis, Bob i Kler igraju igru. Na početku igre, svaka od njih drži loptu: Alisa ima narandžastu loptu, Bob ima crvenu loptu, a Kler ima crnu loptu. Kako igra napreduje, igrači se menjaju lopticama. Prvo, Alice i Bob razmjenjuju jaja. Onda su Kler i Bob zamijenili jaja. Konačno, Alice i Claire zamijenili su jaja. Na kraju igre, Bob ima ;narandžasta loptica ;Crna kugla ;Crvena loptica ;Crna kugla ;B
Alis, Bob i Kler igraju igru. Na početku igre, svaka od njih drži loptu: Alisa ima narandžastu loptu, Bob ima crvenu loptu, a Kler ima crnu loptu. Kako igra napreduje, igrači se menjaju lopticama. Prvo, Alice i Bob razmjenjuju jaja. Onda su Kler i Bob zamijenili jaja. Konačno, Alice i Claire zamijenili su jaja. Na kraju igre, Claire ima ;narandžasta loptica ;Crna kugla ;Crvena loptica ;Crvena loptica ;C
Alis, Bob i Kler igraju igru. Na početku igre, svaka od njih drži loptu: Alisa ima žutu loptu, Bob ima ljubičastu loptu, a Kler ima plavu loptu. Kako igra napreduje, igrači se menjaju lopticama. Prvo, Alis i Kler mijenjaju jaja. Onda su Bob i Kler zamijenili jaja. Konačno, Alice i Claire zamijenili su jaja. Na kraju igre, Alisa ima ;plava lopta ;žuta lopta ;ljubičasto loptice ;ljubičasto loptice ;C
Alis, Bob i Kler igraju igru. Na početku igre, svaka od njih drži loptu: Alisa ima žutu loptu, Bob ima ljubičastu loptu, a Kler ima plavu loptu. Kako igra napreduje, igrači se menjaju lopticama. Prvo, Alis i Kler mijenjaju jaja. Onda su Bob i Kler zamijenili jaja. Konačno, Alice i Claire zamijenili su jaja. Na kraju igre, Bob ima ;plava lopta ;žuta lopta ;ljubičasto loptice ;žuta lopta ;B
Alis, Bob i Kler igraju igru. Na početku igre, svaka od njih drži loptu: Alisa ima žutu loptu, Bob ima ljubičastu loptu, a Kler ima plavu loptu. Kako igra napreduje, igrači se menjaju lopticama. Prvo, Alis i Kler mijenjaju jaja. Onda su Bob i Kler zamijenili jaja. Konačno, Alice i Claire zamijenili su jaja. Na kraju igre, Claire ima ;plava lopta ;žuta lopta ;ljubičasto loptice ;plava lopta ;A
Alis, Bob i Kler igraju igru. Na početku igre, svaka od njih drži loptu: Alisa ima smeđu loptu, Bob ima crvenu loptu, a Kler ima bijelu loptu. Kako igra napreduje, igrači se menjaju lopticama. Prvo, Kler i Bob razmijene jaja. Onda su Bob i Alis zamijenili jaja. Konačno, Claire i Alice mijenjaju jaja. Na kraju igre, Alisa ima ;Bijela lopta ;smeđa loptica ;Crvena loptica ;Crvena loptica ;C
Alis, Bob i Kler igraju igru. Na početku igre, svaka od njih drži loptu: Alisa ima smeđu loptu, Bob ima crvenu loptu, a Kler ima bijelu loptu. Kako igra napreduje, igrači se menjaju lopticama. Prvo, Kler i Bob razmijene jaja. Onda su Bob i Alis zamijenili jaja. Konačno, Claire i Alice mijenjaju jaja. Na kraju igre, Bob ima ;Bijela lopta ;smeđa loptica ;Crvena loptica ;smeđa loptica ;B
Alis, Bob i Kler igraju igru. Na početku igre, svaka od njih drži loptu: Alisa ima smeđu loptu, Bob ima crvenu loptu, a Kler ima bijelu loptu. Kako igra napreduje, igrači se menjaju lopticama. Prvo, Kler i Bob razmijene jaja. Onda su Bob i Alis zamijenili jaja. Konačno, Claire i Alice mijenjaju jaja. Na kraju igre, Claire ima ;Bijela lopta ;smeđa loptica ;Crvena loptica ;Bijela lopta ;A
