question;A;B;C;answer;answer_abc
Alice, Bob og Claire spiller et spil. I starten af spillet holder de hver især en bold: Alice har en orange bold, Bob har en hvid bold og Claire har en blå bold. Efterhånden som spillet skrider frem, bytter par af spillere bolde. Først bytter Alice og Bob bolde. Så bytter Bob og Claire bolde. Endelig bytter Alice og Bob bolde. I slutningen af spillet, har Alice ;orange kugle ;hvid kugle ;blå kugle ;blå kugle ;C
Alice, Bob og Claire spiller et spil. I starten af spillet holder de hver især en bold: Alice har en orange bold, Bob har en hvid bold og Claire har en blå bold. Efterhånden som spillet skrider frem, bytter par af spillere bolde. Først bytter Alice og Bob bolde. Så bytter Bob og Claire bolde. Endelig bytter Alice og Bob bolde. I slutningen af spillet, har Bob ;orange kugle ;hvid kugle ;blå kugle ;hvid kugle ;B
Alice, Bob og Claire spiller et spil. I starten af spillet holder de hver især en bold: Alice har en orange bold, Bob har en hvid bold og Claire har en blå bold. Efterhånden som spillet skrider frem, bytter par af spillere bolde. Først bytter Alice og Bob bolde. Så bytter Bob og Claire bolde. Endelig bytter Alice og Bob bolde. I slutningen af spillet, har Claire ;orange kugle ;hvid kugle ;blå kugle ;orange kugle ;A
Alice, Bob og Claire spiller et spil. I starten af spillet holder de hver især en bold: Alice har en sort bold, Bob har en brun bold og Claire har en blå bold. Efterhånden som spillet skrider frem, bytter par af spillere bolde. Først bytter Bob og Claire bolde. Så bytter Alice og Bob bolde. Endelig, Claire og Bob bytter bolde. I slutningen af spillet, har Alice ;blå kugle ;sort kugle ;brun kugle ;blå kugle ;A
Alice, Bob og Claire spiller et spil. I starten af spillet holder de hver især en bold: Alice har en sort bold, Bob har en brun bold og Claire har en blå bold. Efterhånden som spillet skrider frem, bytter par af spillere bolde. Først bytter Bob og Claire bolde. Så bytter Alice og Bob bolde. Endelig, Claire og Bob bytter bolde. I slutningen af spillet, har Bob ;blå kugle ;sort kugle ;brun kugle ;brun kugle ;C
Alice, Bob og Claire spiller et spil. I starten af spillet holder de hver især en bold: Alice har en sort bold, Bob har en brun bold og Claire har en blå bold. Efterhånden som spillet skrider frem, bytter par af spillere bolde. Først bytter Bob og Claire bolde. Så bytter Alice og Bob bolde. Endelig, Claire og Bob bytter bolde. I slutningen af spillet, har Claire ;blå kugle ;sort kugle ;brun kugle ;sort kugle ;B
Alice, Bob og Claire spiller et spil. I starten af spillet holder de hver især en bold: Alice har en orange bold, Bob har en rød bold og Claire har en sort bold. Efterhånden som spillet skrider frem, bytter par af spillere bolde. Først bytter Alice og Bob bolde. Så bytter Claire og Bob bolde. Endelig, Alice og Claire bytter kugler. I slutningen af spillet, har Alice ;orange kugle ;sort kugle ;rød kugle ;orange kugle ;A
Alice, Bob og Claire spiller et spil. I starten af spillet holder de hver især en bold: Alice har en orange bold, Bob har en rød bold og Claire har en sort bold. Efterhånden som spillet skrider frem, bytter par af spillere bolde. Først bytter Alice og Bob bolde. Så bytter Claire og Bob bolde. Endelig, Alice og Claire bytter kugler. I slutningen af spillet, har Bob ;orange kugle ;sort kugle ;rød kugle ;sort kugle ;B
Alice, Bob og Claire spiller et spil. I starten af spillet holder de hver især en bold: Alice har en orange bold, Bob har en rød bold og Claire har en sort bold. Efterhånden som spillet skrider frem, bytter par af spillere bolde. Først bytter Alice og Bob bolde. Så bytter Claire og Bob bolde. Endelig, Alice og Claire bytter kugler. I slutningen af spillet, har Claire ;orange kugle ;sort kugle ;rød kugle ;rød kugle ;C
Alice, Bob og Claire spiller et spil. I starten af spillet holder de hver især en bold: Alice har en gul bold, Bob har en lilla bold og Claire har en blå bold. Efterhånden som spillet skrider frem, bytter par af spillere bolde. Først bytter Alice og Claire bolde. Så bytter Bob og Claire bolde. Endelig, Alice og Claire bytter kugler. I slutningen af spillet, har Alice ;blå kugle ;gul kugle ;lilla kugle ;lilla kugle ;C
