question;A;B;C;answer;answer_abc
Alice, Bob, lan Claire lagi main game. Ing wiwitan dolanan, saben wong nyekel bal: Alice duwe bal oranye, Bob duwe bal putih, lan Claire duwe bal biru. Nalika dolanan terus, pasangan pemain ngganti bal. Pisanan, Alice lan Bob ijolan bal. Banjur, Bob lan Claire ngganti bal. Pungkasané, Alice lan Bob ijolan bal. Ing pungkasan game, Alice wis ;bal jeruk ;bal putih ;bal biru ;bal biru ;C
Alice, Bob, lan Claire lagi main game. Ing wiwitan dolanan, saben wong nyekel bal: Alice duwe bal oranye, Bob duwe bal putih, lan Claire duwe bal biru. Nalika dolanan terus, pasangan pemain ngganti bal. Pisanan, Alice lan Bob ijolan bal. Banjur, Bob lan Claire ngganti bal. Pungkasané, Alice lan Bob ijolan bal. Ing pungkasan game, Bob wis ;bal jeruk ;bal putih ;bal biru ;bal putih ;B
Alice, Bob, lan Claire lagi main game. Ing wiwitan dolanan, saben wong nyekel bal: Alice duwe bal oranye, Bob duwe bal putih, lan Claire duwe bal biru. Nalika dolanan terus, pasangan pemain ngganti bal. Pisanan, Alice lan Bob ijolan bal. Banjur, Bob lan Claire ngganti bal. Pungkasané, Alice lan Bob ijolan bal. Ing pungkasan game, Claire wis ;bal jeruk ;bal putih ;bal biru ;bal jeruk ;A
Alice, Bob, lan Claire lagi main game. Ing wiwitan dolanan, saben wong nyekel bal: Alice duwe bal ireng, Bob duwe bal coklat, lan Claire duwe bal biru. Nalika dolanan terus, pasangan pemain ngganti bal. Kaping pisanan, Bob lan Claire ijolan bal. Banjur, Alice lan Bob ijolan bal. Akiré, Claire lan Bob ijol-ijolan bal. Ing pungkasan game, Alice wis ;bal biru ;bal ireng ;bal coklat ;bal biru ;A
Alice, Bob, lan Claire lagi main game. Ing wiwitan dolanan, saben wong nyekel bal: Alice duwe bal ireng, Bob duwe bal coklat, lan Claire duwe bal biru. Nalika dolanan terus, pasangan pemain ngganti bal. Kaping pisanan, Bob lan Claire ijolan bal. Banjur, Alice lan Bob ijolan bal. Akiré, Claire lan Bob ijol-ijolan bal. Ing pungkasan game, Bob wis ;bal biru ;bal ireng ;bal coklat ;bal coklat ;C
Alice, Bob, lan Claire lagi main game. Ing wiwitan dolanan, saben wong nyekel bal: Alice duwe bal ireng, Bob duwe bal coklat, lan Claire duwe bal biru. Nalika dolanan terus, pasangan pemain ngganti bal. Kaping pisanan, Bob lan Claire ijolan bal. Banjur, Alice lan Bob ijolan bal. Akiré, Claire lan Bob ijol-ijolan bal. Ing pungkasan game, Claire wis ;bal biru ;bal ireng ;bal coklat ;bal ireng ;B
Alice, Bob, lan Claire lagi main game. Ing wiwitan dolanan, saben wong nyekel bal: Alice duwe bal oranye, Bob duwe bal abang, lan Claire duwe bal ireng. Nalika dolanan terus, pasangan pemain ngganti bal. Pisanan, Alice lan Bob ijolan bal. Banjur, Claire lan Bob ijolan bal. Pungkasané, Alice lan Claire ijolan bal. Ing pungkasan game, Alice wis ;bal jeruk ;bal ireng ;bal abang ;bal jeruk ;A
Alice, Bob, lan Claire lagi main game. Ing wiwitan dolanan, saben wong nyekel bal: Alice duwe bal oranye, Bob duwe bal abang, lan Claire duwe bal ireng. Nalika dolanan terus, pasangan pemain ngganti bal. Pisanan, Alice lan Bob ijolan bal. Banjur, Claire lan Bob ijolan bal. Pungkasané, Alice lan Claire ijolan bal. Ing pungkasan game, Bob wis ;bal jeruk ;bal ireng ;bal abang ;bal ireng ;B
Alice, Bob, lan Claire lagi main game. Ing wiwitan dolanan, saben wong nyekel bal: Alice duwe bal oranye, Bob duwe bal abang, lan Claire duwe bal ireng. Nalika dolanan terus, pasangan pemain ngganti bal. Pisanan, Alice lan Bob ijolan bal. Banjur, Claire lan Bob ijolan bal. Pungkasané, Alice lan Claire ijolan bal. Ing pungkasan game, Claire wis ;bal jeruk ;bal ireng ;bal abang ;bal abang ;C
Alice, Bob, lan Claire lagi main game. Ing wiwitan dolanan, saben wong nyekel bal: Alice duwe bal kuning, Bob duwe bal ungu, lan Claire duwe bal biru. Nalika dolanan terus, pasangan pemain ngganti bal. Pisanan, Alice lan Claire ijolan bal. Banjur, Bob lan Claire ngganti bal. Pungkasané, Alice lan Claire ijolan bal. Ing pungkasan game, Alice wis ;bal biru ;bal kuning ;bal ungu ;bal ungu ;C
Alice, Bob, lan Claire lagi main game. Ing wiwitan dolanan, saben wong nyekel bal: Alice duwe bal kuning, Bob duwe bal ungu, lan Claire duwe bal biru. Nalika dolanan terus, pasangan pemain ngganti bal. Pisanan, Alice lan Claire ijolan bal. Banjur, Bob lan Claire ngganti bal. Pungkasané, Alice lan Claire ijolan bal. Ing pungkasan game, Bob wis ;bal biru ;bal kuning ;bal ungu ;bal kuning ;B
Alice, Bob, lan Claire lagi main game. Ing wiwitan dolanan, saben wong nyekel bal: Alice duwe bal kuning, Bob duwe bal ungu, lan Claire duwe bal biru. Nalika dolanan terus, pasangan pemain ngganti bal. Pisanan, Alice lan Claire ijolan bal. Banjur, Bob lan Claire ngganti bal. Pungkasané, Alice lan Claire ijolan bal. Ing pungkasan game, Claire wis ;bal biru ;bal kuning ;bal ungu ;bal biru ;A
