,input_sentence_1,input_sentence_2,input_sentence_3,input_sentence_4,sentence_quiz1,sentence_quiz2,answer_right_ending
0,Ek het 'n Law and Order fan geword in 2011.,Ek het van 'n beroerte herstel.,"Toe ek by die huis kom, het ek elke episode probeer kyk.",Dit was moeilik om te probeer om 20 jaar se vertoning te kyk.,Ek dink Law and Order is een van die slegste programme wat ooit gemaak is.,Uiteindelik het ek na almal gekyk.,2
1,Almal was lief vir Bob omdat hy 'n gewilde karakter in 'n film gespeel het.,Bob het dit gehaat omdat hy glad nie soos daardie karakter was nie.,Jim het Bob gevra om sy karakter se slagspreuk te sê.,Dit was te veel vir Bob en hy het van woede uitgebars.,Bob het vir die man gesê om hom in vrede te laat.,Bob het die man vir tee gevra.,1
2,Lita wou na haar gunstelingprogram op televisie kyk.,Haar kinders het daarop aangedring dat sy saam met hulle gaan sit en kyk.,Lita het vir hulle gesê dat sy huiswerk moes doen.,Haar kinders het haar wasgoedmandjie na die sitkamer gesleep.,Lita het 'n pepperoni pizza vir middagete bestel.,Lita het die wasgoed gevou terwyl sy televisie gekyk het.,2
3,Leef gespring as sy is geskok deur 'n harde pop.,Sy het besef dat dit die gloeilamp in haar kombuis was wat uitgebrand het.,Sy het 'n voetbank gekry en daarop gestap.,Dit het onder haar geswaai en sy het amper geval.,Liv het besluit om 'n gloeilamp in die badkamer te verander.,Liv het toe die gloeilamp verander.,2
4,Moeder het vir haar kinders gesê dit sal oor vyftien minute middagete wees.,Maar toe het sy 'n belangrike telefoonoproep gekry.,"Terwyl sy gepraat het, het die hond deur die hele kombuis modder gesleep.","Die kinders het hulle ma begin pla, wat nog steeds aan die telefoon was.",Die moeder was baie gefrustreerd.,Die kinders se gedrag het die moeder kalmeer.,1
5,Hector het altyd koffie by 'n plaaslike winkel gekoop voordat hy werk toe gegaan het.,Hy besef dat sy koffie koop gewoonte is baie duur.,Eendag besluit Hector om koffie by die huis te braai.,"Hy is trots daarop dat die koffie wat hy by die huis gemaak het, so goed is.",Hector het aangehou om sy eie koffie te brou en geld te spaar.,Hector het meer koffie by Starbucks begin koop.,1
6,Kelly het uitgevind daar is 'n nuwe meisie by die skool.,"Toe sy by die skool ingaan, het sy na haar gaan soek.","Toe sy haar ontmoet het, het sy haar genooi om saam met haar te gaan eet.","Toe hulle middagete eet, het die meisies vriende geword.",Kelly het nooit weer met haar gepraat nie.,Kelly was bly dat sy 'n nuwe vriend gemaak het.,2
7,Tommy het hard geoefen om sy eerste 5K te hardloop.,Tydens die wedloop was hy gefrustreerd toe soveel mense hom oortref het.,"Toe hy hoor hoe sy naam tydens toekennings genoem word, was hy geskok.",Hy het nie besef hulle sal toekennings doen volgens ouderdomsgroep nie.,Hy was skaam dat hy geen erkenning gekry het nie.,"Hy was trots daarop dat hy eerste in sy ouderdomsgroep was, maar tiende in die algehele klas.",2
8,Laurie gaan vanaand na haar eerste formele dans.,Haar afspraak het haar opgetel en vir haar 'n pragtige roos gegee.,"Laurie het 'n lang, sprankelende rok gedra.",Hulle het met al hulle vriende gedans en pret gehad.,Laurie het huilend huis toe gegaan.,Laurie het die aand afgesluit deur haar maatjie te soen.,2
9,Neil het historiese spoorweë ondersoek.,"Hy het in Scranton, Pennsilvanië, ingery.",Hy het besef dat dit 'n pragtige ou treinstasie is.,Hy het baie foto's geneem terwyl hy daar was.,Neil het al sy foto's uitgevee.,Neil het die foto's op sy rekenaar gestoor.,2
10,Bob het sy eerste dag by 'n visrestaurant gevrees.,Hy het beplan om te wag om sy skitterende seevaardersuniform aan te trek.,Bob het begin werk om visburgers te maak nadat hy die uniform aangetrek het.,"Hy was so besig, hy het vergeet om terug te verander in sy straat klere",Bob was so lief vir die uitrusting dat hy dit aan sy vriende gewys het.,Bob het na werk uitgegaan in die matroospak.,2
11,'n Vriend het my kom besoek.,Ek het vir haar gesê dat my hond byt.,Sy het nie geluister nie.,sy het hom probeer streel en met hom probeer speel.,My hond het haar gebyt.,My hond het weggehardloop.,1
12,Lester wou nog altyd meer artistiek wees.,Hy besluit om eendag 'n prentjie van 'n blom te probeer teken.,Hy sit voor 'n pragtige orgidee en begin teken.,Lester se tekening kom baie goed uit.,Hy hang die prentjie aan die muur in sy sitkamer.,Hy besluit om nooit weer iets te teken nie.,1
13,Pablo hou daarvan om wurms te eet.,Hy het op skool 'n boek gelees oor hoe om dit te doen.,Hy braai hulle in olyfolie.,Hy hou daarvan om dit ten minste een keer per maand te doen.,Pablo geniet wurms en beskou dit as 'n lekkerny.,Pablo hou nie daarvan om wurms te eet nie.,1
14,Kira was nog altyd lief vir die Japannese kultuur.,Baie van haar gunstelingflieks was in Japannees.,Sy het besluit dat sy daarheen sou reis.,Sy het jare lank geld vir haar reis gespaar.,Sy het al die geld aan skoene bestee.,Dit was die beste reis van haar lewe.,2
15,Glen was in die bui vir 'n wandeling.,Hy het sy baadjie aangetrek en buite gegaan.,"Terwyl hy op die sypaadjie geloop het, het hy gestruikel en sy knie oopgeslaan.",Glen het weer opgestaan en teruggekom huis toe.,Glen het sy beste marathon tyd ooit gehardloop.,Glen het gesweer dat hy nooit weer sal kan loop nie.,2
16,Jesus het die hele dag die meubels gepoleer.,Soos nag nader hy die werk wat hy gedoen het ondersoek.,Alles het blink en nuut gelyk.,Jesus het al sy vriende daardie aand na 'n partytjie genooi.,Hulle het gesê sy meubels lyk mooi.,Sy vriende het sy meubels gepoleer.,1
17,Ek het onlangs na die winkel toe geloop.,"Toe ek by 'n uitgang verbyloop, het ek koud, harde staal op my arm gevoel.",Ek was geskok dat ek deur 'n motor getref is!,Die bestuurder het baie jammer gesê nadat hy gesien het dat ek getref is.,Ek het vir hulle gesê dit is goed en toe weggeloop.,Die bestuurder van die motor het baie kwaad geword vir my.,1
18,Gina se suster het haar enkel gesny op gebreekte glas.,Die bloed het van haar voet af in haar skoen geloop.,"Toe sy die bloed sien, het sy huis toe gehardloop.","Gina het agter haar aan gehardloop, maar kon nie bybly nie.","Toe hulle by die huis kom, het hulle almal roomys geëet.",Gina se suster het dokter toe gegaan.,2
19,'n Seuntjie was in die derde graad.,"Hy was baie slim, maar het gesukkel om te lees.","Wanneer hy hardop gelees het, het sy klasmaats hom uitgelag.",Hy het elke dag begin oefen om te lees.,Die seuntjie het aanvaar dat hy nooit sou verbeter nie.,Aan die einde van die jaar het hy goed gevaar in sy leestoets.,2
20,Rosie se klas het 'n klein partytjie gehou.,Sy het besluit om 'n vrugteslaai vir almal te maak.,Sy het baie geld aan die vrugte bestee en baie tyd daaraan bestee om dit voor te berei.,Op die dag van die party het sy 'n groot bak van die vrugte-slaai opgetel.,Rosie se klas het die vrugteslaai saam geëet.,Rosie het die bak vrugteslaai by die huis in haar yskas gehou.,1
21,Kelly was bly om haar nuwe selfoon te hê.,Sy het dit oral saamgeneem.,Ongelukkig het sy dit gebreek.,Gelukkig kon sy dit egter regmaak.,Die winkel het haar 'n billike prys gegee om dit reg te maak.,Kelly het 'n nuwe foon gekoop.,1
