,input_sentence_1,input_sentence_2,input_sentence_3,input_sentence_4,sentence_quiz1,sentence_quiz2,answer_right_ending
0,"Ma hakkasin ""Õiguse ja korra"" fänniks 2011. aastal.",Ma taastusin insuldi järel.,"Kui ma koju jõudsin, siis ma proovisin vaadata iga episoodi.",Raske oli 20 aasta jooksul sarja vaadata.,"Minu arust on ""Seadus ja kord"" üks halvimatest sarjadest, mis kunagi tehtud on.",Lõpuks vaatasin ma neid kõiki.,2
1,"Kõik armastasid Bobit, sest ta mängis filmis populaarset tegelast.","Bob vihkas seda, sest ta ei sarnanenud üldse sellele tegelaskujule.",Jim palus Bobil öelda oma tegelaskuju peamõiste.,See oli Bobile liiga palju ja ta plahvatas raevust.,Bob käskis mehel ta rahule jätta.,Bob küsis mehelt teed.,1
2,Lita tahtis vaadata oma lemmikprogramm.,"Lapsed nõudsid, et ta koos nendega vaataks.","Lita ütles, et tal on vaja tööd teha.",Lapsed tõmbasid ta pesu korvi elutoas.,Lita tellis lõunasöögiks pepperoni pitsat.,"Lita koristas pesu, vaadates televiisorit.",2
3,"Liv hüppas, kui ta oli hirmunud valju pop.","Ta mõistis, et see oli küünal tema köögis põleb välja.",Ta võttis jalgatooli ja astus selle peale.,See raputas tema all ja ta peaaegu kukkus.,Liv otsustas muuta vannitoas lampi.,Liv vahetas siis lambipirni.,2
4,"Ema ütles oma lastele, et 15 minuti pärast on lõunaaeg.",Aga siis sai ta olulise kõne.,"Kui ta rääkis, tõmbas koer kogu köögi mudaga.","Lapsed hakkasid ema, kes oli ikka veel telefonis, tülitama.",Ema oli üsna pettunud.,Laste käitumine rahustas ema.,1
5,Hector on alati enne tööd kohvi kohalikust poest ostnud.,"Ta mõistab, et tema kohvi ostmise harjumus on väga kallis.",Ühel päeval otsustas Hector kodus kohvi valmistada.,"Ta on uhke, et tema kodus valmistatud kohv on nii hea.",Hector tegi oma kohvi ja säästas raha.,Hector hakkas ostma rohkem kohvi Starbucksist.,1
6,"Kelly sai teada, et koolis on uus tüdruk.","Kui ta kooli sisse astus, läks ta teda otsima.","Kui ta temaga kohtus, kutsus ta ta lõunatama.","Kui nad lõunasööki sõid, muutusid tüdrukud sõpradeks.",Kelly ei rääkinud temaga enam kunagi.,"Kelly oli õnnelik, et sai uue sõbra.",2
7,Tommy treenis kõvasti oma esimese 5 km jooksmiseks.,"Võistluse ajal tundis ta end pettunud, kui nii palju inimesi möödus temast.","Kui ta kuulis oma nime auhindade andmisel, oli ta šokeeritud.","Ta ei teadnud, et nad annavad auhindu vanusegruppide järgi.","Tal oli häbi, et teda ei tunnustatud.","Ta oli uhke, et lõpetas vanuse järgi esimesena, kuid üldiselt kümnendana.",2
8,Laurie läheb täna oma esimesele formaalsele tantsule.,Tema kaaslane võttis ta üles ja andis talle ilusa roosi.,Laurie kandis pikka säravat kleiti.,Nad tantsisid ja lõbutsesid koos kõigi oma sõpradega.,Laurie läks nutma koju.,"Laurie lõpetas õhtu, suudeldes oma kaaslast.",2
9,Neil uuris ajaloolisi raudteed.,"Ta ratsutas Scrantoni, Pennsylvania.","Ta mõistis, et see on ilus vana rongidepood.",Ta tegi seal olles palju pilte.,Neil kustutas kõik oma fotod.,Neil salvestas fotod oma arvutisse.,2
