,input_sentence_1,input_sentence_2,input_sentence_3,input_sentence_4,sentence_quiz1,sentence_quiz2,answer_right_ending
0,मैं 2011 में लॉ एंड ऑर्डर का प्रशंसक बन गया।,मैं एक स्ट्रोक से उबर रहा था।,जब मैं घर आया तो मैंने हर एपिसोड देखने की कोशिश की।,यह एक शो के 20 साल देखने के लिए binge कोशिश कर रहा कठिन था.,मुझे लगता है कि लॉ एंड ऑर्डर अब तक के सबसे बुरे शो में से एक है।,अंततः मैंने उन सबको देखा।,2
1,बॉब को हर कोई पसंद करता था क्योंकि वह फिल्म में एक लोकप्रिय चरित्र का किरदार निभाता था।,बॉब को इससे नफरत थी क्योंकि वह उस चरित्र जैसा कुछ भी नहीं था।,जिम ने बॉब से अपने चरित्र का कैच वाक्यांश कहने को कहा।,यह बॉब के लिए बहुत अधिक था और वह क्रोध से फट गया।,बॉब ने उस आदमी को उसे अकेला छोड़ने को कहा।,बॉब ने उस आदमी से चाय माँगी।,1
2,लिटा टीवी पर अपना पसंदीदा शो देखना चाहती थी।,उसके बच्चों ने जोर देकर कहा कि वह उनके साथ बैठकर इसे देखे।,लिटा ने उन्हें बताया कि उसे कुछ काम करना है।,उसके बच्चे उसकी कपड़े धोने की टोकरी को लिविंग रूम में घसीट कर ले गए।,लिटा ने दोपहर के भोजन के लिए एक पेपरनी पिज्जा का आदेश दिया।,लिटा ने टीवी देखते हुए कपड़े मोड़े।,2
3,जब वह एक जोरदार धमाके से डर गई तो जीवित उछल गई।,उसे एहसास हुआ कि यह उसकी रसोई में बल्ब जल रहा था।,उसने एक फुटस्टूल निकाला और उस पर चढ़ गई।,वह उसके नीचे झूल गया और वह लगभग गिर गई।,लिव ने बाथरूम में एक बल्ब बदलने का फैसला किया।,लिव ने बल्ब बदल दिया।,2
4,माँ ने अपने बच्चों से कहा कि पंद्रह मिनट में दोपहर का भोजन हो जाएगा।,लेकिन फिर उसे एक ज़रूरी फोन आया।,"वह बात कर रही थी, कुत्ते ने रसोई में सारी कीचड़ खींच ली।","बच्चे अपनी मां को परेशान करने लगे, जो अभी भी फोन पर थी।",माँ काफी निराश महसूस करती थी।,बच्चों के व्यवहार ने माँ को शांत किया।,1
5,हेक्टर हमेशा काम से पहले एक स्थानीय दुकान से कॉफी खरीदता है।,उसे पता चलता है कि उसकी कॉफी खरीदने की आदत बहुत महंगी है।,एक दिन हेक्टर ने घर पर कॉफी बनाने का फैसला किया।,उसे गर्व है कि उसने घर पर बनाई कॉफी इतनी अच्छी है।,हेक्टर अपनी कॉफी खुद बनाकर पैसे बचाता रहा।,हेक्टर ने स्टारबक्स से और कॉफी खरीदना शुरू कर दिया।,1
6,केली को पता चला कि स्कूल में एक नई लड़की थी।,जब वह स्कूल में चली गई तो वह उसे ढूंढने चली गई।,"जब वह उससे मिली, तो उसने उसे दोपहर के भोजन के लिए अपने साथ बैठने के लिए आमंत्रित किया।","दोपहर का भोजन करने के बाद, लड़कियां दोस्त बन गईं।",केली ने फिर कभी उससे बात नहीं की.,केली एक नया दोस्त बनाने के लिए खुश थी।,2
7,टॉमी ने अपने पहले 5 किमी दौड़ने के लिए कड़ी मेहनत की।,दौड़ के दौरान वह निराश महसूस करता था जब इतने सारे लोग उससे आगे निकल जाते थे।,जब उन्होंने पुरस्कार समारोह में अपना नाम सुना तो वे चौंक गए।,उन्हें नहीं पता था कि वे आयु वर्ग के अनुसार पुरस्कार देंगे।,उसे शर्म आ रही थी कि उसे कोई सम्मान नहीं मिला।,उन्हें आयु वर्ग में पहले स्थान पर रहने पर गर्व था लेकिन कुल मिलाकर दसवें स्थान पर रहे।,2
8,लोरी आज रात अपने पहले औपचारिक नृत्य के लिए जा रहा है.,उसके डेट ने उसे उठाया और उसे एक सुंदर गुलाब दिया।,लॉरी ने एक लंबी चमकदार पोशाक पहनी थी।,वे अपने सभी दोस्तों के साथ नाचते और मस्ती करते थे।,लॉरी रोते हुए घर चली गई।,लॉरी ने अपने डेट को किस करके रात खत्म की।,2
9,नील ऐतिहासिक रेलमार्गों की खोज कर रहा था।,वह पेन्सिलवेनिया के स्क्रैंटन में घुसा।,उसे एहसास हुआ कि यह एक सुंदर पुराना ट्रेन डिपो था।,उसने वहाँ रहते हुए बहुत सी तस्वीरें लीं।,नील ने अपनी सारी तस्वीरें डिलीट कर दीं।,नील ने अपने कंप्यूटर पर फ़ोटो सहेजे।,2
