,input_sentence_1,input_sentence_2,input_sentence_3,input_sentence_4,sentence_quiz1,sentence_quiz2,answer_right_ending
0,2011-ben lettem a Törvény és Rend rajongója.,Épp egy stroke-ból gyógyultam.,"Amikor hazaértem, minden epizódot megnéztem.",Nehéz volt megrészegülni egy 20 éves műsorban.,"Szerintem a Törvény és Rend az egyik legrosszabb sorozat, amit valaha készítettek.",Végül mindet megnéztem.,2
1,"Mindenki szerette Bobot, mert népszerű karaktert játszott a filmben.","Bob utálta, mert ő egyáltalán nem hasonlított erre a karakterre.","Jim megkért Bobot, hogy mondja el a karakterének a fő mondatát.","Bobnak ez túl sok volt, és dühbe tört.","Bob azt mondta a férfinak, hogy hagyja békén.",Bob teát kért tőle.,1
2,Lita a kedvenc műsorát akarta nézni a tévében.,"A gyerekei ragaszkodtak hozzá, hogy nézze meg velük.","Lita azt mondta nekik, hogy van egy kis dolga.",A gyerekei a mosókosarat a nappaliba hurcolták.,Lita egy pepperoni pizzát rendelt ebédre.,"Lita a mosogatást hajtogatta, miközben tévét nézett.",2
3,"Liv ugrott, amikor megdöbbent egy hangos robbanás.","Rájött, hogy a konyhában a villanykörte égett ki.","Kiszállt egy lábszékre, és rálépett.","A lába alatt remegett, és majdnem elesett.","Liv úgy döntött, hogy kicseréli a zseblámpát a fürdőben.",Liv aztán kicserélte a villanykörtét.,2
4,"Anya azt mondta a gyerekeinek, hogy tizenöt perc múlva ebédidő lesz.",De aztán fontos telefonhívást kapott.,"Amíg beszélt, a kutya sárba húzta a konyhát.","A gyerekek elkezdték zaklatni az anyjukat, aki még mindig a telefonon volt.",Az anya eléggé frusztrált volt.,A gyerekek viselkedése megnyugtatta az anyát.,1
5,Hector mindig kávézott egy helyi boltban munka előtt.,"Rájött, hogy a kávévásárlási szokása nagyon drága.","Egy nap Hector úgy dönt, hogy otthon főz kávét.","Büszke arra, hogy olyan jó a kávé, amit otthon készít.","Hector saját kávét főzött, és pénzt takarított meg.",Hector több kávét kezdett venni a Starbucks-ból.,1
6,"Kelly rájött, hogy van egy új lány az iskolában.","Amikor belépett az iskolába, őt kereste.","Amikor találkoztak, meghívta, hogy ebédeljen vele.","Amikor ebédeltek, a lányok barátok lettek.",Kelly soha többé nem beszélt vele.,"Kelly örült, hogy új barátot szerzett.",2
7,"Tommy keményen edzett, hogy futjon az első 5 km-t.","A verseny során frusztrált volt, amikor annyi ember ment el mellette.","Amikor meghallotta a nevét a díjátadásokon, megdöbbent.","Nem tudta, hogy korosztályonként osztják meg a díjakat.","Szégyellte, hogy nem kapott elismerést.","Büszke volt, hogy első lett az életkorban, de tizedik lett a teljes körben.",2
8,Laurie ma este megy az első hivatalos táncára.,A társa elvitte és egy gyönyörű rózsát adott neki.,"Laurie hosszú, csillogó ruhát viselt.",Táncoltak és jól érezték magukat a barátaikkal.,Laurie sírva ment haza.,"Laurie azzal fejezte be az estét, hogy megcsókolta a randit.",2
9,Neil történelmi vasútvonalakat kutatott.,"Scrantonba, Pennsylvania-ba lovagolt.","Rájött, hogy egy gyönyörű régi vasútállomás.","Sok fotót készített, amíg ott volt.",Neil törölte az összes fotóját.,Neil mentette a képeket a számítógépére.,2
10,"Bob rettegett az első napján, amikor egy gyorséttermi halboltban dolgozott.","Azt tervezte, hogy várja, amíg felveszi a csillogó tengeri egyenruháját.","Bob halburgereket csinált, miután felvette az egyenruhát.","Annyira elfoglalt volt, hogy elfelejtette átöltözni a szokásos ruhájába.","Bob annyira szerette a ruhát, hogy megmutatta a barátainak.",Bob a tengerészruhában ment ki munka után.,2
11,Egy barátom jött látogatóba.,"Mondtam neki, hogy a kutyám harap.",Nem hallgatott rám.,Megpróbálta simogatni és játszani vele.,A kutyám harapta meg.,A kutyám elfutott.,1
12,Lester mindig is művész akart lenni.,"Egy nap úgy dönt, hogy rajzol egy virágot.",Leül egy gyönyörű orchidea elé és rajzolni kezd.,Lester rajza nagyon jól jön.,A szobájában a falra akasztja a képet.,"Úgy dönt, hogy soha többé nem rajzol semmit.",1
