,input_sentence_1,input_sentence_2,input_sentence_3,input_sentence_4,sentence_quiz1,sentence_quiz2,answer_right_ending
0,Aku menjadi penggemar Law and Order pada tahun 2011.,Aku sedang sembuh dari stroke.,Ketika aku pulang aku mencoba untuk menonton setiap episode.,Sulit untuk mencoba menonton 20 Tahun dari sebuah acara.,Saya pikir Hukum dan Ketertiban adalah salah satu acara terburuk yang pernah dibuat.,Akhirnya aku menonton mereka semua.,2
1,Semua orang menyukai Bob karena dia memainkan karakter populer dalam film.,Bob membencinya karena dia tidak seperti karakter itu.,Jim meminta Bob untuk mengatakan kata kunci karakternya.,Bob terlalu banyak dan dia meledak dengan kemarahan.,Bob menyuruh pria itu untuk meninggalkan dia sendiri.,Bob meminta pria itu untuk minum teh.,1
2,Lita ingin menonton acara favoritnya di televisi.,Anak-anaknya memaksa dia untuk menonton bersama mereka.,Lita mengatakan kepada mereka bahwa dia memiliki pekerjaan yang harus dilakukan.,Anak-anaknya menyeret keranjang cucian ke ruang tamu.,Lita memesan pizza pepperoni untuk makan siang.,Lita melipat pakaian saat menonton televisi.,2
3,Liv melompat saat dia terkejut dengan suara keras.,Dia menyadari itu adalah bola lampu di dapurnya yang terbakar.,Dia keluar dari kursi dan melangkah ke atasnya.,Itu bergoyang di bawahnya dan dia hampir jatuh.,Liv memutuskan untuk mengganti bola lampu di kamar mandi.,Liv kemudian mengganti bola lampu.,2
4,Ibu mengatakan kepada anak-anaknya bahwa itu akan menjadi waktu makan siang dalam lima belas menit.,Tapi kemudian dia mendapat panggilan telepon penting.,"Saat dia sedang berbicara, anjing itu menyeret lumpur ke seluruh dapur.","Anak-anak mulai mengganggu ibu mereka, yang masih di telepon.",Sang ibu merasa sangat frustrasi.,Perilaku anak-anak menenangkan sang ibu.,1
5,Hector selalu membeli kopi di toko lokal sebelum bekerja.,Dia menyadari bahwa kebiasaan membeli kopi itu sangat mahal.,Suatu hari Hector memutuskan untuk menyeduh kopi di rumah.,Dia bangga bahwa kopi yang dia buat di rumah begitu enak.,Hector terus menyeduh kopi sendiri dan menyimpan uang.,Hector mulai membeli kopi dari Starbucks.,1
6,Kelly menemukan ada gadis baru di sekolah.,Ketika dia berjalan ke sekolah dia pergi mencarinya.,"Ketika dia bertemu dengannya, dia mengundang dia untuk duduk bersamanya di makan siang.","Saat mereka makan siang, gadis-gadis itu menjadi teman.",Kelly tidak pernah berbicara dengannya lagi.,Kelly senang karena telah membuat teman baru.,2
7,Tommy berlatih keras untuk lari 5K pertamanya.,"Selama perlombaan, ia merasa frustrasi ketika begitu banyak orang melewatinya.",Ketika dia mendengar namanya disebut selama penghargaan dia terkejut.,Dia tidak menyadari mereka akan melakukan penghargaan oleh kelompok usia.,Dia malu karena tidak mendapat pengakuan.,"Dia bangga finis di urutan pertama dalam kategori usia, tapi di urutan kesepuluh secara keseluruhan.",2
8,Laurie akan pergi ke tarian formal pertamanya malam ini.,Kencan nya menjemputnya dan memberinya mawar yang indah.,Laurie memakai gaun berkilau panjang.,Mereka menari dan bersenang-senang dengan semua teman mereka.,Laurie pulang sambil menangis.,Laurie mengakhiri malam dengan mencium pacarnya.,2
9,Neil sedang menjelajahi rel kereta api bersejarah.,"Dia naik ke Scranton, Pennsylvania.",Dia menyadari itu adalah depot kereta api tua yang indah.,Dia mengambil banyak foto saat dia di sana.,Neil menghapus semua fotonya.,Neil menyimpan foto-foto di komputernya.,2
