,input_sentence_1,input_sentence_2,input_sentence_3,input_sentence_4,sentence_quiz1,sentence_quiz2,answer_right_ending
0,मी २०११ मध्ये लॉ अँड ऑर्डरचा चाहता झालो.,मी स्ट्रोकमधून बरे होत होतो.,घरी आल्यावर मी प्रत्येक भाग बघण्याचा प्रयत्न केला.,२० वर्षांचा शो बघून बरीच थकवा आला.,मला वाटतं लॉ अँड ऑर्डर हा आतापर्यंत बनलेल्या शोपैकी एक वाईट शो आहे.,शेवटी मी त्या सगळ्या पाहिल्या.,2
1,बॉबवर सगळ्यांनाच प्रेम होतं कारण तो चित्रपटात लोकप्रिय व्यक्तिरेखा साकारत होता.,बॉबचा त्याबद्दल तिरस्कार होता कारण तो त्या पात्रासारखा नव्हता.,जिमने बॉबला त्याच्या पात्राची कॅचफ्रेज सांगण्यास सांगितले.,बॉबसाठी हे खूपच जास्त होते आणि तो रागाच्या भरात फुटला.,बॉबने त्या माणसाला त्याला एकटे सोडण्यास सांगितले.,बॉबने त्या माणसाला चहा मागितला.,1
2,लिटाला तिचा आवडता शो टीव्हीवर पाहायचा होता.,तिच्या मुलांनी आग्रह धरला की ती त्यांच्याबरोबर बसून पहावी.,लिटा त्यांना म्हणाली की तिला काही कामं करायची आहेत.,तिची मुलं तिची कपड्यांची टोपली लिव्हिंग रूममध्ये ओढत होती.,लिटा ने दुपारच्या जेवणासाठी पिझ्झा मागवला.,लिटा टीव्ही पाहताना कपडे फाडत होती.,2
3,ती जोरात पॉप करून startled होते म्हणून जिवंत उडी मारली.,तिला कळलं की तिच्या स्वयंपाकघरातील विजेचा दिवा जळत आहे.,तिने एक पायघोळ काढला आणि त्यावर पाऊल ठेवलं.,ती तिच्या खाली डळमळत होती आणि ती जवळजवळ पडली होती.,लिव्हने बाथरूममध्ये एक बल्ब बदलण्याचा निर्णय घेतला.,लिव्हने नंतर बल्ब बदलला.,2
4,आईने आपल्या मुलांना सांगितले की पंधरा मिनिटांत लंचची वेळ होईल.,पण नंतर तिला एक महत्वाचा फोन आला.,ती बोलत असताना कुत्रा स्वयंपाकघरात सगळीकडे चिखल ओढत होता.,"मुलांनी आईला त्रास द्यायला सुरुवात केली, जी अजूनही फोनवर होती.",आईला खूपच निराशा वाटली.,मुलांच्या वागण्याने आईला शांत केले.,1
5,कामाच्या आधी हेक्टर नेहमी स्थानिक दुकानातून कॉफी घेतो.,त्याला कळतं की त्याची कॉफी खरेदी करण्याची सवय खूप महाग आहे.,एके दिवशी हेक्टरने घरीच कॉफी बनवण्याचा निर्णय घेतला.,त्याला अभिमान आहे की त्याने घरी बनवलेली कॉफी इतकी चांगली आहे.,हेक्टर स्वतःची कॉफी बनवत होता आणि पैसे वाचवत होता.,हेक्टरने स्टारबक्समधून अधिक कॉफी खरेदी करायला सुरुवात केली.,1
6,केलीला कळलं की शाळेत एक नवीन मुलगी आहे.,जेव्हा ती शाळेत गेली तेव्हा ती तिच्या शोधात गेली.,"जेव्हा ती तिला भेटली, तिने तिला लंचमध्ये तिच्याबरोबर बसण्यास सांगितले.",जेव्हा त्यांनी जेवण केले तेव्हा मुलींची मैत्री झाली.,केलीने तिच्याशी पुन्हा कधीच बोलले नाही.,केलीला नवीन मित्र मिळाल्याचा आनंद झाला.,2
7,टॉमीने पहिल्या ५ किमी धावण्यासाठी खूप मेहनत घेतली.,शर्यतीदरम्यान त्याला खूप लोक त्याच्या पुढे जाताना निराश वाटले.,पुरस्काराच्या वेळी जेव्हा त्याचे नाव ऐकले तेव्हा तो धक्का बसला.,"त्यांना कळलं नव्हतं की, ते वयोगटानुसार पुरस्कार देतील.","त्याला कोणतीही ओळख मिळाली नाही, याची त्याला लाज वाटत होती.","वयोगटात प्रथम, पण एकूण दहाव्या क्रमांकावर पोहचल्याचा त्याला अभिमान होता.",2
8,आज रात्री लॉरी तिच्या पहिल्या औपचारिक नृत्याला जाणार आहे.,तिची डेट तिला घेऊन गेली आणि तिला एक सुंदर गुलाब दिला.,लॉरीने लांब चमकदार ड्रेस घातला होता.,ते त्यांच्या सर्व मित्रांसोबत नाचले आणि मजा केली.,लॉरी रडत घरी गेली.,लॉरीने तिच्या डेटला चुंबन देऊन रात्र संपवली.,2
9,नील ऐतिहासिक रेल्वेमार्ग शोधत होता.,तो पेनसिल्व्हेनियाच्या स्क्रॅन्टनमध्ये गेला.,त्याला कळलं की हे एक सुंदर जुने रेल्वे स्थानक आहे.,तिथे असताना त्याने बरेच फोटो काढले.,नीलने त्याचे सगळे फोटो डिलीट केले.,नीलने फोटो त्याच्या संगणकावर सेव्ह केले.,2
