,input_sentence_1,input_sentence_2,input_sentence_3,input_sentence_4,sentence_quiz1,sentence_quiz2,answer_right_ending
0,நான் 2011ல் சட்டம் ஒழுங்கு ரசிகன் ஆனேன்.,நான் ஒரு பக்கவாதம் இருந்து மீண்டு.,நான் வீட்டிற்கு வந்தபோது ஒவ்வொரு அத்தியாயத்தையும் பார்க்க முயற்சித்தேன்.,ஒரு நிகழ்ச்சி 20 ஆண்டுகளில் பார்த்து binge முயற்சி கடினமாக இருந்தது.,நான் சட்டம் மற்றும் ஒழுங்கு எப்போதும் செய்யப்பட்ட மோசமான நிகழ்ச்சிகள் ஒன்றாகும் என்று நினைக்கிறேன்.,கடைசியில் நான் அனைத்தையும் பார்த்தேன்.,2
1,படங்களில் பிரபலமான கதாபாத்திரத்தில் நடித்ததால் எல்லோரும் பாப்பை நேசித்தனர்.,பாப் அதை வெறுத்தார் ஏனெனில் அவர் அந்த கதாபாத்திரம் போன்ற எதுவும் இல்லை.,பாப் தனது கதாபாத்திரத்தின் முக்கிய சொற்றொடரைச் சொல்லுமாறு ஜிம் கேட்டார்.,"இது போபிற்கு அதிகமாக இருந்தது, அவர் கோபத்தால் வெடித்தார்.",பாப் அந்த மனிதனை தனியாக விட்டுவிடச் சொன்னார்.,பாப் அந்த மனிதரிடம் தேநீர் கேட்டார்.,1
2,லிதா தொலைக்காட்சியில் தனது பிடித்த நிகழ்ச்சியை பார்க்க விரும்பினார்.,[பக்கம் 3-ன் படம்],லீட்டா அவர்களுக்கு செய்ய வேண்டிய வேலைகள் இருப்பதாகக் கூறினார்.,அவளுடைய குழந்தைகள் அவளுடைய துணிகளை சமையல் அறைக்கு இழுத்துச் சென்றனர்.,லீட்டா மதிய உணவிற்கு ஒரு பெப்பரோனி பீஸ்ஸாவை ஆர்டர் செய்தாள்.,லிதா டிவி பார்த்துக் கொண்டு துணிகளை மடித்தாள்.,2
3,ஒரு உரத்த குண்டு வெடிப்பால் அவள் அதிர்ச்சியடைந்தபோது லைவ் குதித்தார்.,அவள் உணர்ந்தாள் அது அவளது சமையலறையில் விளக்கு விளக்கு எரிந்து கொண்டிருந்தது.,அவள் ஒரு அடித்தளத்தை எடுத்து அதில் ஏறி நின்றாள்.,அது அவள் கீழ் அசைந்தது அவள் கிட்டத்தட்ட விழுந்தது.,கழிவறையில் ஒரு விளக்கை மாற்ற லிவ் முடிவு செய்தார்.,லிவ் பின்னர் விளக்கை மாற்றினார்.,2
4,அம்மா தன் பிள்ளைகளுக்கு பதினைந்து நிமிடங்களில் மதிய உணவு நேரம் என்று சொன்னார்.,"ஆனால், ஒரு முக்கியமான தொலைபேசி அழைப்பு வந்தது.","அவள் பேசிக்கொண்டிருக்கும் போது, நாய் சமையலறை முழுவதும் மண்ணை இழுத்துச் சென்றது.","தொலைபேசியில் பேசிக்கொண்டிருந்த தாயை, குழந்தைகள் தொந்தரவு செய்யத் தொடங்கினர்.",[பக்கம் 3-ன் படம்],குழந்தைகளின் நடத்தை தாயை அமைதிப்படுத்தியது.,1
5,"வேலைக்குச் செல்வதற்கு முன், ஹெக்டர் எப்போதும் ஒரு உள்ளூர் கடையில் காபி வாங்குவார்.",அவர் காபி வாங்குவது மிகவும் விலை உயர்ந்தது என்பதை அவர் உணர்ந்திருக்கிறார்.,ஒரு நாள் ஹெக்டர் வீட்டில் காபி தயாரிக்க முடிவு செய்கிறார்.,அவர் வீட்டில் தயாரித்த காபி மிகவும் நன்றாக இருப்பதில் பெருமை கொள்கிறார்.,ஹெக்டர் தனது சொந்த காபியை காய்ச்சிக்கொண்டே பணம் சேமித்தார்.,ஹெக்டர் ஸ்டார்பக்ஸ் இருந்து மேலும் காபி வாங்க தொடங்கியது.,1
6,கல்லூரியில் ஒரு புதிய பெண் இருப்பதை கெல்லி கண்டுபிடித்தார்.,அவள் பள்ளிக்குள் நுழைந்தபோது அவள் அவளைத் தேடிச் சென்றாள்.,"அவள் அவளை சந்தித்தபோது, அவள் மதிய உணவிற்கு அவளுடன் உட்கார்ந்திருக்க அழைத்தாள்.","மதிய உணவு சாப்பிட்டபோது, பெண்கள் நண்பர்களாக மாறினர்.",கெல்லி மீண்டும் அவளை பேசவில்லை.,கெல்லி ஒரு புதிய நண்பரைப் பெற்றதில் மகிழ்ச்சியடைந்தார்.,2
7,டாமி தனது முதல் 5K ஓட்டத்திற்கு கடினமாக பயிற்சி செய்தார்.,பந்தயத்தின் போது பலர் அவரைக் கடந்து சென்றபோது அவர் விரக்தியடைந்தார்.,விருது வழங்கும் விழாவில் அவரது பெயர் அழைக்கப்பட்டதைக் கேட்டதும் அவர் அதிர்ச்சியடைந்தார்.,அவர்கள் வயது குழுக்கள் மூலம் விருதுகளை செய்ய வேண்டும் என்று அவர் உணரவில்லை.,தனக்கு எந்த அங்கீகாரமும் கிடைக்கவில்லை என்று அவர் வெட்கப்பட்டார்.,"அவர் வயதுக்கு முதல்வராக முடித்ததில் பெருமைப்பட்டார், ஆனால் ஒட்டுமொத்தமாக பத்தாவது இடத்தைப் பிடித்தார்.",2
8,லோரி தனது முதல் முறையான நடனம் இன்று இரவு செல்கிறது.,அவளது டேட்டிங் அவளை அழைத்து சென்று ஒரு அழகான ரோஜாவைக் கொடுத்தது.,லாரி ஒரு நீண்ட பிரகாசமான உடை அணிந்திருந்தார்.,அவர்கள் நடனமாடி தங்கள் நண்பர்கள் அனைவருடனும் வேடிக்கை பார்த்தனர்.,லோரி வீட்டுக்கு அழுதபடி சென்றார்.,லோரி தனது டேட்டிங் முத்தமிட்டு இரவு முடிந்தது.,2
9,நீல் வரலாற்று ரயில்வேயை ஆராய்ந்து கொண்டிருந்தார்.,அவர் பென்சில்வேனியாவின் ஸ்க்ரான்டன் நகருக்குள் சென்றார்.,அது ஒரு அழகான பழைய ரயில் நிலையம் என்பதை அவர் உணர்ந்தார்.,அவர் அங்கு இருந்த போது நிறைய புகைப்படங்கள் எடுத்தார்.,நீல் தனது புகைப்படங்கள் அனைத்தையும் நீக்கினார்.,நீல் தனது கணினியில் புகைப்படங்கள் சேமிக்கப்படும்.,2
10,பாப் ஒரு விரைவு உணவு மீன் கூட்டுறவு தனது முதல் நாள் வேலை பயந்தார்.,அவர் தனது கவர்ச்சியான கடல்சார் சீருடையை அணிவதற்கு காத்திருக்க திட்டமிட்டார்.,பாப் சீருடை அணிந்த பிறகு மீன் பர்கர் தயாரிக்கும் வேலை கிடைத்தது.,"அவர் மிகவும் பிஸியாக இருந்தார், அவர் தனது தெரு ஆடைகளை மீண்டும் மாற்ற மறந்துவிட்டேன்",பாப் தனது நண்பர்களுக்கு காட்ட மிகவும் பிடித்திருந்தது.,"வேலை முடிந்தபின், கடற்படை உடையை அணிந்து போப் வெளியே சென்றார்.",2
11,ஒரு நண்பர் வருகை.,நான் என் நாய் கடிக்கிறது என்று அவளிடம் சொன்னேன்.,அவள் கேட்கவில்லை.,அவள் அவனைத் தொட்டு விளையாட முயன்றாள்.,என் நாய் அவளை கடித்து.,என் நாய் ஓடிப்போய்விட்டது.,1
12,லெஸ்டர் எப்போதும் கலைஞராக இருக்க விரும்பினார்.,ஒரு நாள் பூவை வரைவதற்கு முயற்சி செய்ய முடிவு செய்கிறார்.,"அழகான ஓர் ஆர்க்கிடே முன் அமர்ந்து, வரைவதற்குத் தொடங்குகிறார்.",லெஸ்டர் வரைதல் மிகவும் நன்றாக வருகிறது.,அவர் தனது வாழ்க்கை அறையில் சுவரில் படத்தை தொங்கவிடுகிறார்.,அவர் மீண்டும் எதையும் வரைவதில்லை என்று முடிவு செய்கிறார்.,1
13,பப்லோ புழுக்கள் சாப்பிட விரும்புகிறார்.,அவர் பள்ளி ஒரு புத்தகம் படித்து எப்படி இந்த செய்ய.,அவர் ஆலிவ் எண்ணெயில் அவற்றை வறுக்கிறார்.,அவர் மாதத்திற்கு ஒரு முறையாவது இதை செய்ய விரும்புகிறார்.,"பப்லோ புழுக்களை ரசிக்கிறார், அவற்றை ஒரு சுவையாக கருதுகிறார்.",பப்லோ புழுக்களை சாப்பிடுவதில் மகிழ்ச்சி அடைவதில்லை.,1
14,கிரா எப்போதும் ஜப்பானிய கலாச்சாரத்தை நேசித்தார்.,அவளுக்குப் பிடித்த பல படங்கள் ஜப்பானிய மொழியில் இருந்தன.,அவள் அங்கு பயணம் செய்ய முடிவு செய்தாள்.,பல வருடங்களாக அவள் பயணத்திற்காக பணம் சேமித்திருந்தாள்.,அவள் காலணிகள் அனைத்து பணம் செலவு.,அது அவளுடைய வாழ்க்கையின் சிறந்த பயணம்.,2
15,கிளென் ஒரு நடைக்கு மனநிலையில் இருந்தது.,அவர் தனது ஜாக்கெட்டை அணிந்து வெளியே சென்றார்.,[பக்கம் 3-ன் படம்],கிளென் மீண்டும் எழுந்து நின்று தன் வீட்டிற்குத் திரும்பிச் சென்றான்.,கிளென் தனது சிறந்த மராத்தான் நேரத்தை ஓட்டினார்.,க்ளென் அவர் மீண்டும் நடக்க மாட்டேன் என்று சத்தியம்.,2
16,இயேசு நாள் முழுவதும் தளபாடங்களை மெருகூட்டினார்.,இரவு நெருங்கி வந்தபோது அவர் செய்த வேலையை ஆய்வு செய்தார்.,எல்லாமே பளபளப்பாகவும் புதியதாகவும் இருந்தது.,இயேசு தனது நண்பர்கள் அனைவரையும் அன்று மாலை ஒரு விருந்துக்கு அழைத்தார்.,அவர்கள் அவரது தளபாடங்கள் அழகாக இருந்தது கூறினார்.,அவரது நண்பர்கள் அவரது தளபாடங்களை மெருகூட்டினர்.,1
17,நான் கடைக்கு சமீபத்தில் நடந்து சென்றேன்.,"நான் ஒரு வெளியேறும் வழியை கடந்து செல்லும்போது, என் கையில் குளிர், கடினமான எஃகு இருந்தது.",நான் ஒரு கார் மோதிக்கொண்டிருந்தேன் என்று நான் அதிர்ச்சியடைந்தேன்!,நான் மோதியதைப் பார்த்த பிறகு டிரைவர் மிகவும் மன்னிப்புக் கேட்டார்.,நான் அவர்களை அது சரி என்று கூறினார் பின்னர் விட்டு சென்றார்.,கார் டிரைவர் என் மீது மிகவும் கோபமடைந்தார்.,1
18,ஜினாவின் சகோதரி உடைந்த கண்ணாடி மீது தனது கணுக்கால் வெட்டி.,இரத்தம் அவளது காலில் இருந்து காலில் ஓடியது.,அவள் இரத்த பார்த்த போது அவள் வீட்டிற்கு ஓடி.,"ஜினா அவளை பின்தொடர்ந்தார், ஆனால் பின்தொடர முடியவில்லை.",அவர்கள் வீட்டிற்கு வந்தபோது அவர்கள் அனைவரும் ஐஸ்கிரீம் சாப்பிட்டார்கள்.,ஜினாவின் சகோதரி டாக்டரிடம் சென்றார்.,2
