,input_sentence_1,input_sentence_2,input_sentence_3,input_sentence_4,sentence_quiz1,sentence_quiz2,answer_right_ending
0,Naging tagahanga ako ng Law and Order noong 2011.,Ako'y nagbabad sa isang stroke.,"Nang umuwi ako, sinubukan kong panoorin ang bawat yugto.",Mahirap ang pag-iingat sa 20 Taon ng isang palabas.,Sa palagay ko ang Law and Order ay isa sa pinakamasamang palabas na ginawa.,Sa wakas ay napanood ko silang lahat.,2
1,Gustung-gusto ng lahat si Bob dahil siya'y naglalaro ng isang popular na karakter sa pelikula.,Kinapootan ito ni Bob sapagkat wala siyang katulad sa karakter na iyon.,Hiniling ni Jim kay Bob na sabihin ang pangungusap ng karakter niya.,Napakalaki nito para kay Bob at siya'y bumagsak sa galit.,Sinabi ni Bob sa lalaki na iwan siya.,Nagtanong si Bob sa lalaki para sa tsaa.,1
2,Gusto ni Lita na panoorin ang kaniyang paboritong palabas sa telebisyon.,Pinilit ng kaniyang mga anak na siya'y umupo at manood ng pelikula kasama nila.,Sinabi ni Lita sa kanila na may mga gawain siyang dapat gawin.,Inilagay ng kaniyang mga anak ang kaniyang basket ng laundry sa sala.,Nag-order si Lita ng pepperoni pizza para sa tanghalian.,Sinusukat ni Lita ang laundry habang nanonood ng telebisyon.,2
3,Si Liv ay tumalon nang siya ay natakot sa isang malakas na pop.,Naisip niya na ang bombilya sa kusina niya ang naglalaho.,Kumuha siya ng isang tungkod at tumayo rito.,Nag-uugaling ito sa ilalim niya at halos mahulog siya.,Nagpasya si Liv na baguhin ang isang bombilya sa banyo.,Pagkatapos ay binago ni Liv ang bombilya.,2
4,Sinabi ni Nanay sa kaniyang mga anak na maghapunan na sila sa loob ng labinlimang minuto.,Pero may importanteng tawag sa telepono.,"Habang nagsasalita siya, ang aso ay nag-aaksaya ng putik sa buong kusina.","Nagsimula nang pag-aalalahin ng mga bata ang kanilang ina, na nakikipag-usap pa rin sa telepono.",Ang ina ay nadama na siya'y labis na nabigo.,Ang paggawi ng mga bata ay nagpagaan sa ina.,1
5,Si Hector ay laging bumibili ng kape sa isang lokal na tindahan bago magtrabaho.,Nauunawaan niya na ang kaniyang bisyo sa pagbili ng kape ay napakamahal.,"Isang araw, nagpasya si Hector na magluto ng kape sa bahay.",Ipinagmamalaki niya na ang kape na ginawa niya sa bahay ay napakahusay.,Si Hector ay patuloy na nagluluto ng kaniyang sariling kape at nagtipid ng pera.,Nagsimula nang bumili ng kape si Hector sa Starbucks.,1
6,Nalaman ni Kelly na may bagong babae sa paaralan.,Nang pumasok siya sa paaralan siya ay naghanap sa kanya.,"Nang makilala niya ang babae, inanyayahan niya ang babae na sumama sa kaniya sa hapunan.","Nang maghapunan sila, naging magkaibigan ang mga babae.",Hindi na siya kinausap ni Kelly.,Natuwa si Kelly na nagkaroon siya ng bagong kaibigan.,2
7,Nagsanay nang husto si Tommy para sa kaniyang unang 5K run.,Sa panahon ng karera ay nadarama niya ang pagkabigo nang napakaraming tao ang lumapit sa kaniya.,Nang marinig niyang tinawag ang kaniyang pangalan sa panahon ng mga parangal ay nagulat siya.,Hindi niya alam na magbibigay sila ng mga award ayon sa edad.,Nahihiya siya na hindi siya kinikilala.,Ipinagmamalaki niya na siya ang unang nakamit sa edad ngunit ika-sampung sa pangkalahatan.,2
8,Si Laurie ay pupunta sa kanyang unang pormal na sayaw ngayong gabi.,Ang kaniyang kasamahan ay pumili sa kaniya at nagbigay sa kaniya ng isang magandang rosas.,Nagsuot si Laurie ng mahabang nakamamanghang damit.,Sila'y sumayaw at nagsasaya kasama ang lahat ng kanilang mga kaibigan.,Umuwi si Laurie na umiiyak.,Nagtapos si Laurie sa gabi sa pamamagitan ng paghalok sa kaniyang kasama.,2
9,Si Neil ay naghahanap ng makasaysayang mga riles ng tren.,"Siya'y sumakay sa Scranton, Pennsylvania.",Naisip niya na ito ay isang magandang lumang depot ng tren.,Marami siyang kinuha na litrato habang naroon siya.,Pinutol ni Neil ang lahat ng kanyang mga larawan.,Ini-save ni Neil ang mga larawan sa kaniyang computer.,2
10,Natatakot si Bob sa kaniyang unang araw na pagtatrabaho sa isang fast food fish joint.,Iniisip niyang maghintay bago magsuot ng kaniyang nakamamanghang uniporme sa dagat.,Nagtrabaho si Bob sa paggawa ng fish burger pagkatapos magsuot ng uniporme.,"Busy siya, nakalimutan niyang magsuot ng damit sa kalye",Napaka-sweet ni Bob ang damit na iyon anupat ipinakita niya ito sa kaniyang mga kaibigan.,Si Bob ay lumabas pagkatapos ng trabaho na nakasuot ng suot ng marinero.,2
11,Isang kaibigan ang dumalaw.,Sinabi ko sa kanya na ang aking aso ay kumagat.,Hindi siya nakinig.,sinikap niyang yakapin at i-play sa kanya.,Kinagat siya ng aking aso.,Tumakas ang aking aso.,1
12,Si Lester ay laging gustong maging mas artistikong tao.,Nagpasya siyang subukan na gumuhit ng larawan ng isang bulaklak isang araw.,Umupo siya sa harap ng isang magandang orkid at nagsisimula na gumuhit.,Ang dibuho ni Lester ay napakahusay.,Inibit niya ang larawan sa dingding ng kaniyang silid-tulugan.,Nagpasya na huwag na siyang magsulat ng anumang bagay muli.,1
13,Mahilig kumain si Pablo ng mga bulate.,Nabasa niya sa paaralan ang isang aklat tungkol sa kung paano ito gagawin.,Inihahanda niya ang mga ito sa langis ng oliba.,Gustung-gusto niyang gawin ito nang hindi bababa sa isang beses sa isang buwan.,Nagtatamasa si Pablo sa mga bulate at itinuturing itong isang masarap na pagkain.,Hindi mahilig si Pablo sa pagkain ng mga bulate.,1
14,Si Kira ay laging nagmamahal sa kultura ng Hapon.,Maraming paborito niyang pelikula ang sa wikang Hapon.,Nagpasya siyang maglakbay roon.,Sa loob ng maraming taon ay nagtipon siya ng pera para sa kaniyang paglalakbay.,Gastos niya ang lahat ng pera sa sapatos.,Ito ang pinakamagandang paglalakbay sa kaniyang buhay.,2
15,Si Glen ay nasa mood na maglakad.,Isinulong niya ang kanyang jacket at lumabas.,"Habang naglalakad sa gilid ng kalsada, siya'y natitisod at nasira ang kaniyang tuhod.",Tumayo si Glen at naglakad nang dumadaing pabalik sa kaniyang bahay.,Si Glen ang nakaabot ng pinakamabilis na oras sa marathon.,Sumumpa si Glen na hindi na siya makalakad muli.,2
16,Gumugol si Jesus sa pag-aayos ng mga muwebles.,Habang papalapit na ang gabi ay sinuri niya ang gawaing nagawa niya.,Lahat ay mukhang makintab at bago.,Inanyayahan ni Jesus ang lahat ng kaniyang mga kaibigan sa isang parti sa gabi na iyon.,Sinabi nila na ang kanyang mga kasangkapan ay maganda.,Ang kaniyang mga kaibigan ang nag-polish ng kaniyang mga muwebles.,1
17,Naglalakad ako papunta sa tindahan kamakailan.,"Habang lumalakad ako sa isang labas, nadama ko ang malamig, matigas na bakal sa aking braso.",Nagulat ako nang ako'y sakyan ng kotse!,Nagpaumanhin nang husto ang tsuper nang makita niyang ako'y na-hit.,Sinabi ko sa kanila na okay lang at umalis na ako.,Napakasuka ng tsuper ng kotse sa akin.,1
18,Sinaksak ng kapatid na babae ni Gina ang kaniyang bukung-bukong sa nasirang salamin.,Ang dugo ay tumatakbo sa kaniyang paa at sa kaniyang sapatos.,Nang makita niya ang dugo ay tumakbo siya pauwi.,"Si Gina ay tumakbo sa likuran niya, ngunit hindi siya makaabot.","Nang makauwi sila, lahat sila ay kumain ng ice cream.",Nagpunta ang kapatid ni Gina sa doktor.,2
19,Isang batang lalaki ang nasa ikatlong klase.,Siya'y matalino ngunit nahihirapan sa pagbabasa.,Tuwing binabasa niya nang malakas ang mga kasamahan niya sa klase ay kinakatawa siya.,Nagsimula siyang magsanay sa pagbabasa araw-araw.,Tinanggap ng maliit na batang lalaki na hindi na siya magpapabuti.,"Sa pagtatapos ng taon, mahusay ang naging resulta niya sa kaniyang pagsubok sa pagbabasa.",2
20,Nag-aayos ng maliit na party ang klase ni Rosie.,Nagpasya siyang gumawa ng salad na prutas para sa lahat.,Naggasto siya ng maraming pera sa prutas at maraming oras sa paghahanda nito.,Sa araw ng partido siya scooped isang malaking mangkok ng prutas salad up.,Nagbahagi ang klase ni Rosie ng prutas na salad.,Iniingatan ni Rosie ang mangkok ng prutas na salad sa kaniyang ref sa bahay.,1
21,Tuwang-tuwa si Kelly sa kaniyang bagong telepono.,Kinuha niya ito kahit saan.,Sa kasamaang palad ay sinira niya ito.,Sa kabutihang palad ay nagawa niyang ayusin ito.,Ang tindahan ay nagbigay sa kaniya ng makatarungang presyo upang ayusin ito.,Bumili si Kelly ng bagong telepono.,1
22,"Noong ako'y nasa kolehiyo, nakilala ko ang isang nakatatanda sa akin.",Ako'y 22 at siya'y 38 taong gulang.,Nagkaroon kami ng isang mabuting pag-unawa at nagkaroon kami ng isang magandang panahon na magkasama.,Nagkasama kami sa buong panahon na naroon ako.,Maligayang alaala ko ang mga panahong iyon.,May mga negatibong alaala ako tungkol sa panahong iyon.,1
23,Gusto ni Bob na sumali sa palabas sa paaralan.,Maingat niyang pinag-aralan ang papel.,Madalas niyang pinag-aaralan ang kaniyang mga talata.,"Sa araw ng audition, mahusay ang ginawa niya.",Si Bob ay lubhang natutuwa.,Napakahiya ni Bob.,1
24,Si Jackie ay itinalaga bilang tagapagbantay ng hall ng ikawalong grado.,Siya ay hinahangaan ng buong klase.,Kadalasan ay pinagsasapanganib ng kaniyang mga kaklase ang kaniyang trabaho.,Sila'y tatakasan ang mga passport ni Jackie.,Isinara ng prinsipal ang kaniyang mga kaklase na masungit.,Ang mga kaklase niya ay binigyan ng mga gantimpala dahil sa kanilang paggawi.,1
25,Kinuha na ng aking ama ang isang bagong kotse.,Upang ipagdiwang ang lahat kami ay nagmaneho.,Isang kotse ang lumampas sa stop sign at sumaksak sa amin.,Napakalakas ng pag-hit ko sa bintana na nabalian ko ito.,Lumabas ako at ako at ang aking ama ay okay.,Parehong sinira kami ng sasakyan.,1
26,Gustong-gusto ng aking bibingka ang pelikulang Frozen.,Gusto niya lagi itong isusuot.,Naglalakad siya sa paligid ng bahay na umaawit.,Gustung-gusto niyang sumigaw na hayaan mo na.,Paulit-ulit niyang kinakanta ito.,Siya ay mahilig sa sports at napopoot sa mga bagay na prinsesa.,1
