,input_sentence_1,input_sentence_2,input_sentence_3,input_sentence_4,sentence_quiz1,sentence_quiz2,answer_right_ending
0,Ngaba umlandeli we-Law and Order ngo-2011.,Ngangilulama ekuhlaselweni unhlangothi.,Lapho ngifika ekhaya ngazama ukubukela zonke iziqephu.,Kwakunzima ukuzama ukuzitika ngokubuka uhlelo lweminyaka engu-20.,Ngicabanga ukuthi i-Law and Order ingenye yezinhlelo ezimbi kakhulu ezake zenziwa.,Ekugcineni ngababuka bonke.,2
1,Wonke umuntu wayemthanda uBob ngoba wayedlala umuntu othandwayo kumafilimu.,UBob wayizonda ngoba wayengafani nakancane nalowo muntu.,UJim wacela uBob ukuba asho amazwi ayisiqubulo somlingiswa wakhe.,Kwakunzima kakhulu kuBob futhi waqhuma ngolaka.,UBob watshela le ndoda ukuba imshiye yedwa.,UBob wacela itiye kulowo muntu.,1
2,ULita wayefuna ukubukela uhlelo lwakhe ayeluthanda kakhulu kuthelevishini.,Izingane zakhe zazincenga ukuba ahlale phansi nazo ziyibuke.,ULita wabatshela ukuthi kunemisebenzi okumelwe ayenze.,Izingane zakhe zayihudula inqola yakhe yokugeza izingubo zayiyisa egumbini lokuphumula.,ULita wa-oda i-pizza enama-pepperoni njengesidlo sasemini.,ULita waqoqa izingubo ezihlanzekile ngesikhathi ebuka ithelevishini.,2
3,U-Liv wagxuma lapho eshaqwa ukuqhuma okukhulu.,Waqaphela ukuthi kwakungumshini wokukhanya wasekhishini owawucisha.,Wathola isihlalo sezinyawo futhi wasinyathela.,Yayinyakaza ngaphansi kwakhe futhi wacishe wawa.,ULiv wanquma ukushintsha isibani endlini yangasese.,ULiv wabe eseshintsha isibani.,2
4,Umama watshela izingane zakhe ukuthi kwakuzoba isikhathi sokudla kwasemini ngemva kwemizuzu eyishumi nanhlanu.,Kodwa wabe esethola ucingo olubalulekile.,"Ngesikhathi esakhuluma, inja yayihamba idonsela udaka ekhishini lonke.","Izingane zaqala ukuhlupha unina, owayesengocingweni.",Unina wazizwa ekhungathekile.,Ukuziphatha kwezingane kwamduduza unina.,1
5,UHector wayehlale ethenga ikhofi esitolo sendawo ngaphambi kokuba aye emsebenzini.,Uyaqaphela ukuthi umkhuba wakhe wokuthenga ikhofi ubiza kakhulu.,Ngolunye usuku uHector unquma ukubhaka ikhofi ekhaya.,Uyaziqhenya ngokuthi ikhofi alipheka ekhaya limnandi kangaka.,UHector waqhubeka ezibilisela ikhofi futhi wonga imali.,UHector waqala ukuthenga ikhofi elengeziwe kwaStarbucks.,1
6,UKelly wathola ukuthi kunentombazane entsha esikoleni.,Lapho engena esikoleni waya kumfuna.,"Lapho ehlangana naye, wamcela ukuba ahlale naye esidlweni sasemini.","Lapho bedla isidlo sasemini, amantombazane aba abangane.",UKelly akazange aphinde akhulume naye.,UKelly wayejabule ngokuba nomngane omusha.,2
7,UTommy wazilolonga kanzima ukuze agijime ibanga lakhe lokuqala le-5 km.,Phakathi nomncintiswano wazizwa ekhungathekile lapho abantu abaningi kangaka bemdlula.,Lapho ezwa igama lakhe libizwa ngesikhathi kunikezwa imiklomelo washaqeka.,Wayengazi ukuthi babeyokhipha imiklomelo ngokweminyaka.,Wayenamahloni ngokuthi wayengazange athole ukwamukelwa.,Wayeziqhenya ngokuqeda kuqala ngokweminyaka kodwa waba ngoweshumi esigabeni esiphelele.,2
8,ULaurie uya emdanso wakhe wokuqala namuhla.,Umngane wakhe wamlanda futhi wamnika i-rose elihle.,ULaurie wayegqoke ingubo ende ekhazimulayo.,Babedansa futhi bazijabulisa nabangane babo.,ULorie waya ekhaya ekhala.,ULorie waqeda ngokuqabula umuntu ayehamba naye.,2
9,UNeil wayehlola izitimela zomlando.,"Wagibela waya eScranton, ePennsylvania.",Waqaphela ukuthi kwakuyisiteshi sesitimela esidala esihle.,Wathatha izithombe eziningi ngesikhathi elapho.,UNiel wasusa zonke izithombe zakhe.,UNil wazigcina izithombe kuyi-computer yakhe.,2
