" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
  Dit was die primêre ding wat ons wou red aangesien daar geen manier was om 'n 20-megaton H-bom van 'n 30;"n C124 af te gooi nie. 
Hipotese:  Ons het nie omgegee om enigiets te red nie. 
Bevat die uitgangspunt die hipotese?  
Kies tussen ja of nee. 
Antwoord: 
Ja";
  Dit was die primêre ding wat ons wou red aangesien daar geen manier was om 'n 20-megaton H-bom van 'n 30;"n C124 af te gooi nie. 
Hipotese:  Ons wou een ding meer as die res red. 
Bevat die uitgangspunt die hipotese?  
Kies tussen ja of nee. 
Antwoord: 
Ja";
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Yes";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Neeg";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ne";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ne";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Neeg";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
No";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ne";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Sy neet dit.";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Neeg";;
" 
Ja";;
" 
Nein";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Neeg";;
" 
Ja";;
" 
Ja";;
" 
Ne";;
" 
Ne";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
nee";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
  Ja;"n lekker somer 
Hipotese:  Ek hoop jy het 'n ellendige somervakansie. 
Bevat die uitgangspunt die hipotese?  
Kies tussen ja of nee. 
Antwoord: 
Ne";
  Ja;"n lekker somer 
Hipotese:  Ja";"n aangename somer. 
Bevat die uitgangspunt die hipotese?  
Kies tussen ja of nee. 
Antwoord: 
Neeg"
" 
Ja";;
" 
Ja";;
" 
Ne";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
  Ek het een kind;"n dogter van 18 maande. 
Bevat die uitgangspunt die hipotese?  
Kies tussen ja of nee. 
Antwoord: 
Ja";
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Neeg";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
" 
Neeg";;
" 
Neeg";;
" 
Ja";;
" 
Ja";;
" 
Ja";;
